,labels_twodiamonds_MeanShift_params1,labels_twodiamonds_MeanShift_params10,labels_twodiamonds_MeanShift_params11,labels_twodiamonds_MeanShift_params12,labels_twodiamonds_MeanShift_params13,labels_twodiamonds_MeanShift_params14,labels_twodiamonds_MeanShift_params15,labels_twodiamonds_MeanShift_params16,labels_twodiamonds_MeanShift_params17,labels_twodiamonds_MeanShift_params18,labels_twodiamonds_MeanShift_params19,labels_twodiamonds_MeanShift_params2,labels_twodiamonds_MeanShift_params20,labels_twodiamonds_MeanShift_params21,labels_twodiamonds_MeanShift_params22,labels_twodiamonds_MeanShift_params23,labels_twodiamonds_MeanShift_params24,labels_twodiamonds_MeanShift_params25,labels_twodiamonds_MeanShift_params26,labels_twodiamonds_MeanShift_params27,labels_twodiamonds_MeanShift_params28,labels_twodiamonds_MeanShift_params29,labels_twodiamonds_MeanShift_params3,labels_twodiamonds_MeanShift_params4,labels_twodiamonds_MeanShift_params5,labels_twodiamonds_MeanShift_params6,labels_twodiamonds_MeanShift_params7,labels_twodiamonds_MeanShift_params8,labels_twodiamonds_MeanShift_params9
cSIL,0.8244631784267806,0.8300543028207696,0.8189407952528109,0.8189407952528109,0.8523336558646216,0.8250825730553286,0.8316752096019747,0.8300543028207696,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8016132558284659,0.8190088898235772,0.8190088898235772,0.6730207679423602,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.794313168454446,0.7765180618283649,0.7769851118344878,0.8262926353558133,0.8523336558646216,0.8250825730553286,0.8316752096019747
GD43,3.9686704000736346,3.0711907166049843,2.1995866652532476,2.1995866652532476,2.366624443642969,3.1763010099809565,2.8980400653248743,3.0711907166049843,2.199652323923088,2.199652323923088,2.199652323923088,3.7075567455186027,2.199652323923088,2.199652323923088,1.2002100581148831,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,1.835022098486336,2.238762184040871,2.065632891265822,3.139978341789403,2.366624443642969,3.1763010099809565,2.8980400653248743
GD53,0.21077144296889797,0.40189549070678626,0.49449218974232967,0.49449218974232967,0.14487650329200283,0.453301996969499,0.3694195041463749,0.40189549070678626,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.20538493998139293,0.49434209006264135,0.49434209006264135,0.3591759729995666,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.15007922187924416,0.21765929218581223,0.30975935491774337,0.44022248817533427,0.14487650329200283,0.453301996969499,0.3694195041463749
PS,-2.923765652714647,2.5027314297701926,1.9583811910504618,1.9583811910504618,1.3090385071670674,2.748151779577563,2.2657332425260375,2.5027314297701926,1.9633687222225316,1.9633687222225316,1.9633687222225316,-3.0361172772904856,1.9633687222225316,1.9633687222225316,1.5473192477490307,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,-0.38136123615578066,0.9133726197858483,1.5878434724199089,2.7362995447667293,1.3090385071670674,2.748151779577563,2.2657332425260375
rCIP,7.422537729972602,0.40601017158002367,0.0018946369732924296,0.0018946369732924296,0.9311538861290705,0.3704781806314865,0.38420179637500323,0.40601017158002367,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,11.412655790822601,0.0018794274806136092,0.0018794274806136092,0.1282740191898076,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,1.9715352831596964,1.8577879400536343,0.8336862422141081,0.38684711750749634,0.9311538861290705,0.3704781806314865,0.38420179637500323
WB,0.84915979172407,1.0853852860520232,1.7686208620045376,1.7686208620045376,1.099003220474259,1.1008188284801226,1.0882579348332124,1.0853852860520232,1.7678433053228,1.7678433053228,1.7678433053228,0.8655929789369515,1.7678433053228,1.7678433053228,2.087720690689899,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.0816186548451763,1.0437130389385112,1.1534088038339085,1.0949246124245715,1.099003220474259,1.1008188284801226,1.0882579348332124
XB,0.3607443234441393,0.20832492928301505,0.22107622601551866,0.22107622601551866,0.2689629984436092,0.21405777064625575,0.21004595065892673,0.20832492928301505,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.4608570651219314,0.22098041316535008,0.22098041316535008,0.623177760329937,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.5579947635132141,0.5413042040274627,0.4245831531891321,0.21066611974035618,0.2689629984436092,0.21405777064625575,0.21004595065892673
SSE,19.640092951205666,83.17492801700983,182.88776877947146,182.88776877947146,60.33008787324538,84.10238594279318,83.34798212286314,83.17492801700983,182.8450892976305,182.8450892976305,182.8450892976305,17.880334151049688,182.8450892976305,182.8450892976305,159.91216397431393,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,46.41338822068424,44.97453704641248,73.04657531533194,83.74884415995385,60.33008787324538,84.10238594279318,83.34798212286314
RS,0.2598001617561412,0.15475866515659165,0.06137016558666906,0.06137016558666906,0.20973474753097476,0.13843986494021887,0.16020440167879324,0.15475866515659165,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.2175371786441602,0.06161527321192945,0.06161527321192945,-0.17547174931272888,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.18872257492468678,0.13567821630951007,0.1059308341024106,0.1424205420628329,0.20973474753097476,0.13843986494021887,0.16020440167879324
DH,0.20026573292219924,0.38445513941043313,0.5028157604907099,0.5028157604907099,0.3161051106341545,0.3882732152398871,0.3822565741123783,0.38445513941043313,0.502717536293308,0.502717536293308,0.502717536293308,0.19791501976976544,0.502717536293308,0.502717536293308,0.5042462904290419,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.2800419733387749,0.2932747463967102,0.3615538782535978,0.3878470353890285,0.3161051106341545,0.3882732152398871,0.3822565741123783
