,labels_compound_DBSCAN_params16,labels_compound_DBSCAN_params17,labels_compound_DBSCAN_params21,labels_compound_DBSCAN_params22,labels_compound_DBSCAN_params23,labels_compound_DBSCAN_params26,labels_compound_DBSCAN_params27,labels_compound_DBSCAN_params28,labels_compound_DBSCAN_params31,labels_compound_DBSCAN_params32,labels_compound_DBSCAN_params33,labels_compound_DBSCAN_params34,labels_compound_DBSCAN_params36,labels_compound_DBSCAN_params37,labels_compound_DBSCAN_params38,labels_compound_DBSCAN_params39,labels_compound_DBSCAN_params41,labels_compound_DBSCAN_params42,labels_compound_DBSCAN_params43,labels_compound_DBSCAN_params44,labels_compound_DBSCAN_params45,labels_compound_DBSCAN_params46,labels_compound_DBSCAN_params47,labels_compound_DBSCAN_params48,labels_compound_DBSCAN_params49,labels_compound_DBSCAN_params50
cSIL,,,,,,,,,,,,,0.9052915741373236,,,,0.9085045216561896,0.9085045216561896,,,,0.807280210875499,0.807280210875499,,,
GD43,,,,,,,,,,,,,4.217075066195007,,,,3.1425103157965197,3.1425103157965197,,,,1.253267668610254,1.253267668610254,,,
GD53,,,,,,,,,,,,,0.4483011192591787,,,,0.2747838940201395,0.2747838940201395,,,,0.3285723357860608,0.3285723357860608,,,
PS,,,,,,,,,,,,,1.5959804119439185,,,,2.0887508864945525,2.0887508864945525,,,,1.736702055555865,1.736702055555865,,,
rCIP,,,,,,,,,,,,,0.03270132009578803,,,,0.006816041405607957,0.006816041405607957,,,,0.011554349606523295,0.011554349606523295,,,
WB,,,,,,,,,,,,,0.8048011208727668,,,,0.7989716246596537,0.7989716246596537,,,,1.894395946396431,1.894395946396431,,,
XB,,,,,,,,,,,,,0.12374047446700656,,,,0.09999180765293628,0.09999180765293628,,,,0.2329307017588466,0.2329307017588466,,,
SSE,294.62905752943743,344.81965679061807,430.55091637291673,439.8544630651015,328.6649957242514,245.8953841237494,433.38580085434535,447.50842777682135,438.9460409388091,443.2341226190713,430.1617700742112,590.1181890853735,40.54179599330245,444.2831595574809,430.413335630489,418.08518030581286,50.90437780435764,50.90437780435764,440.90237739973537,423.48493033805437,588.3338810068537,117.7390368466684,117.7390368466684,509.941183891554,450.03488945285466,584.5362047888808
RS,,,,,,,,,,,,,0.3267393737350067,,,,0.37309378757641176,0.37309378757641176,,,,0.10150468955857621,0.10150468955857621,,,
DH,0.17702985374886435,0.14634713870650573,0.23618531270081752,0.29133378078298894,0.30393913191729505,0.24111626828906207,0.3124880775912052,0.3032206200889576,0.24627078409762457,0.4057563649016831,0.36138248221504815,0.42102659611343013,0.3184414606174162,0.37236230559880235,0.39728415818592316,0.36611132659196216,0.34167118223670395,0.34167118223670395,0.383181004536402,0.42738277249626566,0.42142588115433316,0.4640047340679812,0.4640047340679812,0.5009504356523785,0.36359398519886077,0.41907846132950827
B,0.5010616944715562,0.19665968054624816,1.138728221100633,1.2396647259699825,0.6165768998968454,0.5391789717207373,1.3381705188622939,1.3395229729590432,1.122769643622646,1.3995430439367258,1.344721390631812,1.6565713627020295,0.13152820495616493,1.5211588655747974,1.4173050149895963,1.3528009677293509,0.17387547417945587,0.17387547417945587,1.4735157224591477,1.4873763313776318,1.6964435719561826,0.46068176867206084,0.46068176867206084,2.135174075679651,1.4429696074380172,1.746296063105941
BH,0.5143626099773629,0.022673250311525537,2.606101725752438,3.447070407741789,0.37520858316689354,2.435433918047171,3.5520644836535467,3.4262079744813185,3.9319574525404617,7.387654845387241,4.62490425158901,7.009366972258391,10.13544899832561,9.032257168002307,8.195321629318535,4.899528287678766,16.968125934785878,16.968125934785878,9.392175358273208,8.346804101775557,7.264022579652891,58.86951842333419,58.86951842333419,36.80598165125204,9.23557353507973,8.01622472770295
D,0.12288548754087786,0.8959635827642222,0.41688237285959884,0.33007127004376574,0.2089954331230073,0.3354383502973881,0.4009084316477823,0.3549784314411224,0.4009794026821228,0.6701992072102593,0.45658119236903383,0.6944494213470624,0.4609933844339493,0.574031758718956,0.7598530131614802,0.3965306336849763,0.3646895746058424,0.3646895746058424,0.6024184154215555,0.5858989563393531,0.6746713966961373,0.30198612256568325,0.30198612256568325,0.28319236024568945,0.5911978225981034,0.5671392692668995
H,,,,,,,,,,,,,0.37920660612882645,,,,0.26848701531101216,0.26848701531101216,,,,0.33214164189177237,0.33214164189177237,,,
DBCV,0.005183729855197564,0.17524198747434236,0.3191970021704478,0.3516572007802582,0.15292873672340668,0.36169333037971496,0.39385369403842596,0.3639434057387959,0.6693751075628254,0.7063850145753972,0.7370490747053133,0.6482160395402808,0.38728133297034856,0.5392507498441703,0.6211381661414316,0.765289322560317,0.4394737064142276,0.4394737064142276,0.45826763319049724,0.6052281188183675,0.6627799128814857,0.04036395142581204,0.04036395142581204,0.09543300037248649,0.5222740985133444,0.6724447460889893
I,1.2025133024173666,78.37013133119609,0.5623594031320832,0.93444757775709,36.05567516354677,0.42596537464098344,0.8410247939299288,0.9112199362431775,0.48885462879185587,1.1093699626107187,1.0111449261313605,3.6762278835360704,1.0674226497353654,0.9120012453489688,0.9897431497322832,0.9606089929128916,1.0770896375641716,1.0770896375641716,0.8451830512588064,0.9534094598801613,3.5282541772678058,0.7767978966196106,0.7767978966196106,0.3770979156675778,0.8709750042839907,3.089001793843459
C,0.3020876842246327,0.5329200893832566,0.13498039737394502,0.14647006950718566,0.45116965841469053,0.09480970759175308,0.12282620671951587,0.14375113081940302,0.02366198540216824,0.03479126510779884,0.06252229966956228,0.10919537051422418,0.01609776689205951,0.017225030284270797,0.02101723046937985,0.0537008920679244,0.02968096340464825,0.02968096340464825,0.016617788356230706,0.022733189284200678,0.09969513114341631,0.13077320751298485,0.13077320751298485,0.12320393498182572,0.01675100188455396,0.07982254252158445
CDbw,0.5568871224262328,0.7365070404439396,0.6138676295089903,0.6450891125401536,0.4489543383224447,0.521066992496032,0.5714116604637113,0.66850359886943,0.4645156476325787,0.1979951364120743,0.4621619370833077,0.3754240458839029,0.14308439242074114,0.16858094463517476,0.23452816469193455,0.4369526801541173,0.08869953534411082,0.08869953534411082,0.20785117994365412,0.1666239534393617,0.3317033629963556,0.06401650725743856,0.06401650725743856,0.11939545741355456,0.20686950317530678,0.2786176973018892
VIASCKDE,0.2897738489881404,0.2777958747516936,0.35715807393494675,0.3515019760786887,0.4296323835881785,0.37568928886182223,0.3732626827919665,0.3459877663717337,0.4790138776829785,0.4634286234033773,0.44950496481596036,0.46604802700380177,0.48757159970386554,0.4833629855195959,0.4797126463337285,0.4604075574708488,0.48075122036352186,0.48075122036352186,0.48596131172709633,0.472059507694401,0.46855036347059426,0.47959534714901175,0.47959534714901175,0.4739562766379596,0.48580760301368914,0.4757173383822945
COP,0.300289950740081,0.4608895429507373,0.2839223654411308,0.25658122463962035,0.30274645274186907,0.2739884133087498,0.24554749027148481,0.2545027909279599,0.25248099498885446,0.218547548033581,0.22273531862698015,0.22906251127714927,0.19873447746102166,0.19835579092909847,0.2099219371567774,0.21788494102033096,0.18435468880440378,0.18435468880440378,0.20234275230159038,0.21068330439010235,0.22787761619536548,0.2534040011961154,0.2534040011961154,0.2622064895671417,0.20055801758877279,0.218064874946707
