,labels_lsun_MeanShift_params1,labels_lsun_MeanShift_params10,labels_lsun_MeanShift_params11,labels_lsun_MeanShift_params12,labels_lsun_MeanShift_params13,labels_lsun_MeanShift_params14,labels_lsun_MeanShift_params15,labels_lsun_MeanShift_params16,labels_lsun_MeanShift_params17,labels_lsun_MeanShift_params18,labels_lsun_MeanShift_params19,labels_lsun_MeanShift_params2,labels_lsun_MeanShift_params20,labels_lsun_MeanShift_params21,labels_lsun_MeanShift_params22,labels_lsun_MeanShift_params23,labels_lsun_MeanShift_params24,labels_lsun_MeanShift_params25,labels_lsun_MeanShift_params26,labels_lsun_MeanShift_params3,labels_lsun_MeanShift_params4,labels_lsun_MeanShift_params5,labels_lsun_MeanShift_params6,labels_lsun_MeanShift_params7,labels_lsun_MeanShift_params8,labels_lsun_MeanShift_params9
cSIL,0.8351044649311117,0.8856433821630454,0.8829939939886107,0.8856433821630454,0.8771502793452377,0.852439332824158,0.8856433821630454,0.8856433821630454,0.8849147227136503,0.8885712185989227,0.8994224990641686,0.8388444908586661,0.9001431481074802,0.8871551806156124,0.8862953182897082,0.8861252543160612,0.8861252543160612,0.8816192385949485,0.8869193293042987,0.8140293928170533,0.8151635193164087,0.8814220937339241,0.8561413676792453,0.8771502793452377,0.852439332824158,0.8856433821630454
GD43,2.9571883594405466,3.4868657809312174,3.3831189595901523,3.4868657809312174,3.338605783950125,3.0830743547482395,3.4868657809312174,3.4868657809312174,3.8939376449566074,4.005223222891818,3.4551269676786864,2.9945648943257472,3.4009378606533502,4.087035452348702,3.6538123924991566,3.6719320567153813,3.6719320567153813,3.3339723129300403,4.418111101927684,2.2815877456610267,2.4949725146457227,3.6339386807837597,3.31860852301013,3.338605783950125,3.0830743547482395,3.4868657809312174
GD53,0.07016584496223484,0.29768093943014223,0.2916789342312376,0.29768093943014223,0.29771525854290193,0.22936949194283632,0.29768093943014223,0.29768093943014223,0.33540329720444995,0.30607364642440044,0.298079823483215,0.07016584496223484,0.2867230896970416,0.32959983750655986,0.29624978786074946,0.29847875433285037,0.29847875433285037,0.28781419356539045,0.2968841257467322,0.10708200480116051,0.09371997267712054,0.32399037468053615,0.20346006907611952,0.29771525854290193,0.22936949194283632,0.29768093943014223
PS,-10.891089860364344,1.408774962630543,1.3893405166117057,1.408774962630543,1.388679836210083,-0.30068803693989704,1.408774962630543,1.408774962630543,1.5556654030894332,1.4571493063303214,1.960296549864082,-10.034894367203105,1.918926188198438,1.5547488774315148,1.3215509511196826,1.3289338636938144,1.3289338636938144,1.3795036554483495,1.4079069946548048,-5.406701971585351,-5.345472747496054,1.5178305196730153,-0.94256129295935,1.388679836210083,-0.30068803693989704,1.408774962630543
rCIP,10.366689807427806,0.1908832275134501,0.1774518882623348,0.1908832275134501,0.19994636610789057,1.1242593612128005,0.1908832275134501,0.1908832275134501,0.2009562494023331,0.22560998105667346,0.05148267449205829,8.633373059822159,0.047320531083937425,0.21526711396401013,0.23574915201309468,0.22629255842432078,0.22629255842432078,0.17118215744660414,0.7631960309270356,3.379946546309024,3.9290977414092203,0.1783355907310606,1.3836625956478343,0.19994636610789057,1.1242593612128005,0.1908832275134501
WB,0.7838602818306868,0.707287496433733,0.7081748604595012,0.707287496433733,0.7185219589050549,0.7156867507678253,0.707287496433733,0.707287496433733,0.6970334199572759,0.7098253850445984,0.7534295714751531,0.7476805880717564,0.7543939618141766,0.7033876132354546,0.7207863201877708,0.7207658531753859,0.7207658531753859,0.7092924655527872,0.6463264645027826,0.7075756095399726,0.7177119358508228,0.6983519498680157,0.6123246415285892,0.7185219589050549,0.7156867507678253,0.707287496433733
XB,0.44430477625924064,0.15931311645113647,0.16941991629228106,0.15931311645113647,0.1813237781621297,0.26186515018565376,0.15931311645113647,0.15931311645113647,0.1544977947631827,0.1352261026932928,0.1531105145050902,0.4374135085371245,0.15356735014983938,0.14302439181897927,0.1566096703188304,0.15506401061534958,0.15506401061534958,0.17469273398806331,0.1763449767185187,0.49437575948621443,0.4190163999390893,0.1741807775881313,0.29838065553111415,0.1813237781621297,0.26186515018565376,0.15931311645113647
SSE,9.356619340149841,27.78634231110259,27.81687815698711,27.78634231110259,28.172241539395507,20.797615319531218,27.78634231110259,27.78634231110259,27.43279039896161,27.873650531300054,35.538635520619124,9.445819718290101,35.57690704529999,27.652027434512274,28.249837900652615,28.24913680107008,28.24913680107008,27.85532352021199,21.803962188571695,12.484619275238991,12.653373748620727,27.478323487024515,15.941401345481307,28.172241539395507,20.797615319531218,27.78634231110259
RS,0.47839559782684,0.4136391348878334,0.41611316413946436,0.4136391348878334,0.3913287388599847,0.4301444120094418,0.4136391348878334,0.4136391348878334,0.40464372208881527,0.40110655628368236,0.3771140971167922,0.4879094574303266,0.38001800917946293,0.40013067741798003,0.4053885140059213,0.40620426861937636,0.40620426861937636,0.4167992344135702,0.43770307458514907,0.4808283218797191,0.4758446368055607,0.41343146617430193,0.471761584539968,0.3913287388599847,0.4301444120094418,0.4136391348878334
DH,0.14065579226515584,0.28260231923782425,0.28262521742593494,0.28260231923782425,0.2871061665465385,0.2484254637273096,0.28260231923782425,0.28260231923782425,0.2857799370140709,0.2851140961090161,0.31268003558532953,0.1428659833061213,0.3117849981668064,0.28652813985477965,0.2838638810275477,0.28400809327764576,0.28400809327764576,0.28267623846897316,0.26396536146470984,0.183614355056894,0.18476454970060593,0.284388349341125,0.22942866571508136,0.2871061665465385,0.2484254637273096,0.28260231923782425
