,labels_twodiamonds_KMeans_params1,labels_twodiamonds_KMeans_params10,labels_twodiamonds_KMeans_params11,labels_twodiamonds_KMeans_params12,labels_twodiamonds_KMeans_params13,labels_twodiamonds_KMeans_params14,labels_twodiamonds_KMeans_params15,labels_twodiamonds_KMeans_params16,labels_twodiamonds_KMeans_params17,labels_twodiamonds_KMeans_params18,labels_twodiamonds_KMeans_params19,labels_twodiamonds_KMeans_params2,labels_twodiamonds_KMeans_params20,labels_twodiamonds_KMeans_params21,labels_twodiamonds_KMeans_params22,labels_twodiamonds_KMeans_params23,labels_twodiamonds_KMeans_params24,labels_twodiamonds_KMeans_params25,labels_twodiamonds_KMeans_params26,labels_twodiamonds_KMeans_params27,labels_twodiamonds_KMeans_params28,labels_twodiamonds_KMeans_params29,labels_twodiamonds_KMeans_params3,labels_twodiamonds_KMeans_params30,labels_twodiamonds_KMeans_params31,labels_twodiamonds_KMeans_params32,labels_twodiamonds_KMeans_params33,labels_twodiamonds_KMeans_params34,labels_twodiamonds_KMeans_params35,labels_twodiamonds_KMeans_params36,labels_twodiamonds_KMeans_params37,labels_twodiamonds_KMeans_params38,labels_twodiamonds_KMeans_params39,labels_twodiamonds_KMeans_params4,labels_twodiamonds_KMeans_params40,labels_twodiamonds_KMeans_params41,labels_twodiamonds_KMeans_params42,labels_twodiamonds_KMeans_params43,labels_twodiamonds_KMeans_params44,labels_twodiamonds_KMeans_params45,labels_twodiamonds_KMeans_params46,labels_twodiamonds_KMeans_params47,labels_twodiamonds_KMeans_params48,labels_twodiamonds_KMeans_params49,labels_twodiamonds_KMeans_params5,labels_twodiamonds_KMeans_params50,labels_twodiamonds_KMeans_params51,labels_twodiamonds_KMeans_params52,labels_twodiamonds_KMeans_params53,labels_twodiamonds_KMeans_params54,labels_twodiamonds_KMeans_params6,labels_twodiamonds_KMeans_params7,labels_twodiamonds_KMeans_params8,labels_twodiamonds_KMeans_params9
cSIL,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.832122791693863,0.8190088898235772,0.832122791693863,0.8321318027499686,0.8321318027499686,0.8321318027499686,0.8321318027499686,0.832122791693863,0.832122791693863,0.8321318027499686,0.8321318027499686,0.8321318027499686,0.8190088898235772,0.8321318027499686,0.832122791693863,0.832122791693863,0.8321318027499686,0.8321318027499686,0.8321318027499686,0.8321318027499686,0.8312373490816763,0.8312373490816763,0.8312373490816765,0.8190088898235772,0.8312373490816765,0.8312373490816765,0.8312373490816765,0.8312373490816763,0.8312373490816763,0.8312373490816765,0.8312373490816765,0.8312373490816765,0.8312373490816765,0.8312373490816763,0.8190088898235772,0.8312373490816763,0.8312373490816765,0.8312373490816765,0.8312373490816765,0.8312373490816765,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8190088898235772
GD43,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088,1.5987216506788098,2.199652323923088,1.5987216506788098,1.5979932365125897,1.5979932365125897,1.5979932365125897,1.5979932365125897,1.5987216506788098,1.5987216506788098,1.5979932365125897,1.5979932365125897,1.5979932365125897,2.199652323923088,1.5979932365125897,1.5987216506788098,1.5987216506788098,1.5979932365125897,1.5979932365125897,1.5979932365125897,1.5979932365125897,3.1212896652380526,3.1212896652380526,3.1212896652380526,2.199652323923088,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,2.199652323923088,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,3.1212896652380526,2.199652323923088,2.199652323923088,2.199652323923088,2.199652323923088
GD53,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.22427207341724548,0.49434209006264135,0.22427207341724548,0.2242631841789851,0.2242631841789851,0.2242631841789851,0.2242631841789851,0.22427207341724548,0.22427207341724548,0.2242631841789851,0.2242631841789851,0.2242631841789851,0.49434209006264135,0.2242631841789851,0.22427207341724548,0.22427207341724548,0.2242631841789851,0.2242631841789851,0.2242631841789851,0.2242631841789851,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.49434209006264135,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.49434209006264135,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.42316263156580164,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.49434209006264135
PS,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.578940012760436,1.9633687222225316,1.578940012760436,1.579051972788949,1.579051972788949,1.579051972788949,1.579051972788949,1.578940012760436,1.578940012760436,1.579051972788949,1.579051972788949,1.579051972788949,1.9633687222225316,1.579051972788949,1.578940012760436,1.578940012760436,1.579051972788949,1.579051972788949,1.579051972788949,1.579051972788949,2.557418699831106,2.557418699831106,2.557418699831106,1.9633687222225316,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,1.9633687222225316,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,2.557418699831106,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.19100444751198853,0.0018794274806136092,0.19100444751198853,0.19087586012446286,0.19087586012446286,0.19087586012446286,0.19087586012446286,0.19100444751198853,0.19100444751198853,0.19087586012446286,0.19087586012446286,0.19087586012446286,0.0018794274806136092,0.19087586012446286,0.19100444751198853,0.19100444751198853,0.19087586012446286,0.19087586012446286,0.19087586012446286,0.19087586012446286,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.0018794274806136092,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.0018794274806136092,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.39661709578031834,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092
WB,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228,1.525760504613976,1.7678433053228,1.525760504613976,1.5257324493737905,1.5257324493737905,1.5257324493737905,1.5257324493737905,1.525760504613976,1.525760504613976,1.5257324493737905,1.5257324493737905,1.5257324493737905,1.7678433053228,1.5257324493737905,1.525760504613976,1.525760504613976,1.5257324493737905,1.5257324493737905,1.5257324493737905,1.5257324493737905,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.7678433053228,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.7678433053228,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.0714158043751965,1.7678433053228,1.7678433053228,1.7678433053228,1.7678433053228
XB,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.3136262237545832,0.22098041316535008,0.3136262237545832,0.3139083835555778,0.3139083835555778,0.3139083835555778,0.3139083835555778,0.3136262237545832,0.3136262237545832,0.3139083835555778,0.3139083835555778,0.3139083835555778,0.22098041316535008,0.3139083835555778,0.3136262237545832,0.3136262237545832,0.3139083835555778,0.3139083835555778,0.3139083835555778,0.3139083835555778,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.22098041316535008,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.22098041316535008,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.20949054207689527,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.22098041316535008
SSE,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305,131.37936746073683,182.8450892976305,131.37936746073683,131.37776610740463,131.37776610740463,131.37776610740463,131.37776610740463,131.37936746073683,131.37936746073683,131.37776610740463,131.37776610740463,131.37776610740463,182.8450892976305,131.37776610740463,131.37936746073683,131.37936746073683,131.37776610740463,131.37776610740463,131.37776610740463,131.37776610740463,82.33058373264008,82.33058373264008,82.33058373264008,182.8450892976305,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,182.8450892976305,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,82.33058373264008,182.8450892976305,182.8450892976305,182.8450892976305,182.8450892976305
RS,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.12242247016748668,0.06161527321192945,0.12242247016748668,0.1220396608376643,0.1220396608376643,0.1220396608376643,0.1220396608376643,0.12242247016748668,0.12242247016748668,0.1220396608376643,0.1220396608376643,0.1220396608376643,0.06161527321192945,0.1220396608376643,0.12242247016748668,0.12242247016748668,0.1220396608376643,0.1220396608376643,0.1220396608376643,0.1220396608376643,0.1595857064869756,0.1595857064869756,0.15958570648697545,0.06161527321192945,0.15958570648697545,0.15958570648697545,0.15958570648697545,0.1595857064869756,0.1595857064869756,0.15958570648697545,0.15958570648697545,0.15958570648697545,0.15958570648697545,0.1595857064869756,0.06161527321192945,0.1595857064869756,0.15958570648697545,0.15958570648697545,0.15958570648697545,0.15958570648697545,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.06161527321192945
DH,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308,0.4230765619612152,0.502717536293308,0.4230765619612152,0.4232521773614263,0.4232521773614263,0.4232521773614263,0.4232521773614263,0.4230765619612152,0.4230765619612152,0.4232521773614263,0.4232521773614263,0.4232521773614263,0.502717536293308,0.4232521773614263,0.4230765619612152,0.4230765619612152,0.4232521773614263,0.4232521773614263,0.4232521773614263,0.4232521773614263,0.3839631298322299,0.3839631298322299,0.38396312983222997,0.502717536293308,0.38396312983222997,0.38396312983222997,0.38396312983222997,0.3839631298322299,0.3839631298322299,0.38396312983222997,0.38396312983222997,0.38396312983222997,0.38396312983222997,0.3839631298322299,0.502717536293308,0.3839631298322299,0.38396312983222997,0.38396312983222997,0.38396312983222997,0.38396312983222997,0.502717536293308,0.502717536293308,0.502717536293308,0.502717536293308
