,labels_ecoli_DBSCAN_params26,labels_ecoli_DBSCAN_params31,labels_ecoli_DBSCAN_params32,labels_ecoli_DBSCAN_params36,labels_ecoli_DBSCAN_params37,labels_ecoli_DBSCAN_params41,labels_ecoli_DBSCAN_params42,labels_ecoli_DBSCAN_params43,labels_ecoli_DBSCAN_params46,labels_ecoli_DBSCAN_params47,labels_ecoli_DBSCAN_params48,labels_ecoli_DBSCAN_params51,labels_ecoli_DBSCAN_params55
cSIL,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,
PS,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,
WB,,,,,,,,,,,,,
XB,,,,,,,,,,,,,
SSE,574.7542038799561,585.5541309098811,552.0138688164806,344.56084201113697,465.7602537071609,450.9680574302895,430.4170255039519,468.41202185273113,574.0160170546059,463.12456411718824,468.40523680843665,541.6927993783773,497.0551698760605
RS,,,,,,,,,,,,,
DH,0.26794078818096645,0.04037162637283281,0.27704296935031314,0.014767565970084903,0.11767454123251117,0.03938145227114876,0.09147093409842413,0.25547655177983053,0.2405560095940438,0.34861665333533287,0.1859243869384374,0.14445001910126945,0.2980336869120579
B,0.009455094655222679,0.0816411240138235,0.017740525730867224,0.39354630228014165,0.31422979643894833,0.8355666602666368,0.9262780561955763,0.395626948754976,0.3198830404158402,1.6748659277299272,1.2117293474600637,0.47494388617400407,1.22850882064616
BH,0.006710605302791796,0.06407241822569489,0.03424278695220849,0.6226137989211661,1.0502587032366222,4.557610768234662,4.154234645312205,2.8286157410810504,58.63134723842049,26.941733504407278,7.294710052159179,60.06392565445454,13.686727003175898
D,6.702248407765511,0.44436284615507626,3.512626377077352,0.2223809845478617,0.28935625497602996,0.23317391944951013,0.24795751868473334,0.6249415862259934,0.7893645589990971,0.34713039989988,0.4130005182224815,0.5738700242077801,0.2810043051977939
H,,,,,,,,,,,,,
DBCV,0.01785714285621795,0.09240958055847687,0.030386497228556634,0.1140352522892392,0.047127618221741815,-0.03704648213750603,0.1677605222503531,0.22947408513924716,0.762602033338432,0.3351321815097884,0.3299980185385282,0.9067047627846055,0.3474596515245774
I,3009.7781981982725,133.43371885998678,2544.2157417417657,0.847493764407247,19.979958307678842,0.8539617597490805,1.522455120147006,31.099864717895507,1.0106295885104095,0.8401240904653073,1.8931551103935351,0.36652184849740327,2.678233397693969
C,0.6203043431732537,0.595391852738082,0.6516204041056656,0.5075406339479399,0.5558071556938793,0.2668975002861255,0.37494329708298424,0.49936250612619243,0.30199121289412234,0.19092032480569568,0.3424474965376799,0.15205598425122532,0.24758562300410789
VIASCKDE,0.038502549201286485,0.03796111252605022,0.03553004319768698,0.0772800237149863,0.05273417052176416,0.07096978875936684,0.06241257454272476,0.04238641339816348,0.05331972237424389,0.050490808971445124,0.04190654517930443,0.05941609073985001,0.06217452093449343
COP,0.2892098145449945,0.3056756907245382,0.2900941106723134,0.3340410015148999,0.3226118012070553,0.37101470852660856,0.3392477298060784,0.306755316865043,0.3992022402547145,0.32718419319311864,0.34886847198801,0.45977724392613634,0.3298478860690103
Sym,0.001955510710408874,0.0011225860461751497,0.0018942503824095733,0.000813325949533999,0.0018265375502622275,0.002448560177371614,0.0020720099092600623,0.0033207525221315777,0.004732213670361369,0.003105400884638136,0.002508388209780867,0.004568530583220545,0.003759954633692808
CS,2.5994649724244,1.3682343163546267,2.3930956622039306,1.3951242812648978,2.143602219708354,1.1516293216071445,2.02296122568334,1.78813563858042,2.0267010463847854,2.6865448205522076,1.8942316652629458,1.6012187497320103,2.0492116650714087
SF,0.31004243207219784,0.16727547634653572,0.2908107093047879,0.03587168826801235,0.1754927481201799,0.05096857919983022,0.08888340419717533,0.22354456579948745,0.12084035524296777,0.11832607529331751,0.12740644755201092,0.07260876338796873,0.1693347227309444
SD,1111.1331685808343,503.01923176145345,1085.798295316151,380.54006643796555,878.8796772629034,796.1427430456637,999.2793210580862,1289.6710898346266,2602.980458312995,2668.8108817729376,1468.9818303851184,2926.762361995531,1776.2172015257224
SDbw,3.5521401899833607,1.077785832848989,2.936408137849486,0.2618040876776657,1.0586259150132808,0.4594729727970739,0.7174719227490267,1.457622500602509,1.0926532864948544,1.31669746745065,0.9031467652558103,1.0815731289338661,0.9854060323713142
XB*,25.12353849153646,17.19792604092355,4.341060597672549,17.660364665576836,15.32343596095502,5.304414541965385,8.53020799119468,1.716655564943218,11.414272875268638,3.9167088749275036,2.5971528539503335,2.776320804816831,1.8345716132482393
S,-0.11283558722076847,-0.2553830751100755,-0.251021582337606,-0.2787987148190638,-0.27536564225966287,-0.058099011303850125,0.00649577560202078,-0.08731124415162582,0.16470140511895132,0.2850816633279492,0.12049735676832589,0.341557186111961,0.2530326461286118
DB,1.053995612736742,1.387861780227614,1.7974444543208945,1.6983379722264698,1.6179246126170057,1.7717563525947908,1.7700646202475647,1.4925573278206816,3.781895262502316,2.4296046993330003,1.885117210273135,1.7046379261564928,1.6733889826868833
CH,2.6704153849386647,3.2666337523992923,3.1447114155294953,7.467441771301324,12.496606072093522,27.63109722757834,32.66109685481076,30.414684668430517,11.692625909896268,79.33792898471341,51.39038198867568,16.225477448186197,88.07541108439118
AD-S,-0.025025235384607436,0.021243760746304286,-0.01878148252717025,0.09005141853662452,-0.006333507443715961,0.14074335683219735,0.07650876097178795,0.009021109802475872,0.18049126595331916,0.17275343048232508,0.09861204051200423,0.4530601368243268,0.11120004763105791
AD-DB,1.8774936831207045,2.07300441665882,2.0163190284609427,2.1362003178710887,2.2513908542049306,1.8556736925804853,2.081473976480429,2.37111892353921,1.7997099990131316,2.560621795003938,2.139425633549612,1.5030648729457612,2.1809389956773972
