,labels_lsun_SpectralClustering_params1,labels_lsun_SpectralClustering_params10,labels_lsun_SpectralClustering_params11,labels_lsun_SpectralClustering_params12,labels_lsun_SpectralClustering_params13,labels_lsun_SpectralClustering_params14,labels_lsun_SpectralClustering_params15,labels_lsun_SpectralClustering_params16,labels_lsun_SpectralClustering_params17,labels_lsun_SpectralClustering_params18,labels_lsun_SpectralClustering_params19,labels_lsun_SpectralClustering_params2,labels_lsun_SpectralClustering_params20,labels_lsun_SpectralClustering_params21,labels_lsun_SpectralClustering_params22,labels_lsun_SpectralClustering_params23,labels_lsun_SpectralClustering_params24,labels_lsun_SpectralClustering_params25,labels_lsun_SpectralClustering_params26,labels_lsun_SpectralClustering_params27,labels_lsun_SpectralClustering_params28,labels_lsun_SpectralClustering_params29,labels_lsun_SpectralClustering_params3,labels_lsun_SpectralClustering_params30,labels_lsun_SpectralClustering_params31,labels_lsun_SpectralClustering_params32,labels_lsun_SpectralClustering_params33,labels_lsun_SpectralClustering_params34,labels_lsun_SpectralClustering_params35,labels_lsun_SpectralClustering_params36,labels_lsun_SpectralClustering_params37,labels_lsun_SpectralClustering_params38,labels_lsun_SpectralClustering_params39,labels_lsun_SpectralClustering_params4,labels_lsun_SpectralClustering_params40,labels_lsun_SpectralClustering_params41,labels_lsun_SpectralClustering_params42,labels_lsun_SpectralClustering_params43,labels_lsun_SpectralClustering_params44,labels_lsun_SpectralClustering_params45,labels_lsun_SpectralClustering_params46,labels_lsun_SpectralClustering_params47,labels_lsun_SpectralClustering_params48,labels_lsun_SpectralClustering_params5,labels_lsun_SpectralClustering_params6,labels_lsun_SpectralClustering_params7,labels_lsun_SpectralClustering_params8,labels_lsun_SpectralClustering_params9
cSIL,0.5092413034372166,0.8184276426714856,0.8410356870452584,0.8184276426714856,0.7776346107301194,0.7719410879089836,0.8033803744174112,0.8415955521117375,0.8033803744174112,0.8033803744174112,0.8849415275932292,0.5092413034372166,0.883941665073627,0.8849415275932292,0.883941665073627,0.8849415275932292,0.883941665073627,0.8444072978429858,0.6037066832562746,0.8294379648807634,0.7577526366137544,0.8853923028267827,0.5092413034372166,0.8799791303217612,0.903211709595702,0.9008560551522775,0.903211709595702,0.9008560551522775,0.903211709595702,0.9008560551522775,0.822071698542616,0.8087549651607198,0.8863770370970023,0.7202287291547921,0.8869823142680208,0.8800974197555359,0.8800394803650695,0.8233262111830623,0.8211553116348933,0.8233262111830623,0.8211553116348933,0.8233262111830623,0.8211553116348933,0.5092413034372166,0.5092413034372166,0.8410356870452584,0.8184276426714856,0.8410356870452584
GD43,0.6452622342503379,1.4013088852134528,1.458394088557181,1.4013088852134528,0.8514704531041829,0.8414403309161722,1.5051481207330237,1.2853759397141624,1.5051481207330237,1.5051481207330237,2.460001259689197,0.6452622342503379,2.5683957791261176,2.460001259689197,2.5683957791261176,2.460001259689197,2.5683957791261176,1.3871063594231303,0.5867391584782207,1.2727284409465462,0.9896787375595899,1.9469356878476647,0.6452622342503379,1.839997095480104,2.639060397664893,3.1989962295886176,2.639060397664893,3.1989962295886176,2.639060397664893,3.1989962295886176,1.5423033090277853,1.2363429330441553,3.791039356353643,1.2468160432542863,4.052065197047744,1.377911880458638,1.3572425335540965,1.2852988585684397,1.4278017372699796,1.2852988585684397,1.4278017372699796,1.2852988585684397,1.4278017372699796,0.6452622342503379,0.6452622342503379,1.458394088557181,1.4013088852134528,1.458394088557181
GD53,0.38720306888777517,0.4312737813923665,0.431376714881159,0.4312737813923665,0.07113898677664537,0.07924776157310888,0.21716515545950088,0.10325874156480043,0.21716515545950088,0.21716515545950088,0.29523009232094954,0.38720306888777517,0.30727995841204214,0.29523009232094954,0.30727995841204214,0.29523009232094954,0.30727995841204214,0.15320461365341123,0.07619260177336146,0.09540991785994092,0.10083084332035751,0.1457179298170963,0.38720306888777517,0.15147253167439895,0.2125768573762748,0.27598297844315933,0.2125768573762748,0.27598297844315933,0.2125768573762748,0.27598297844315933,0.08191854353227726,0.06872170090086493,0.3290869750672667,0.4520600952653309,0.3440067279093331,0.09808315679905263,0.09723781996854038,0.08976143929055971,0.1306297166438499,0.08976143929055971,0.1306297166438499,0.08976143929055971,0.1306297166438499,0.38720306888777517,0.38720306888777517,0.431376714881159,0.4312737813923665,0.431376714881159
PS,1.296702055555865,1.2212303574426575,1.1754899343437437,1.2212303574426575,1.5087023303787617,1.5713745216663406,1.7415086485793312,1.8139592706962104,1.7415086485793312,1.7415086485793312,1.9573960755602198,1.296702055555865,2.0452493663279743,1.9573960755602198,2.0452493663279743,1.9573960755602198,2.0452493663279743,0.9040848619924617,0.23542434172961102,1.208227832434906,1.7183482957017102,2.3295671998105476,1.296702055555865,2.5761925466622615,1.6562867932115732,1.8680966559732317,1.6562867932115732,1.8680966559732317,1.6562867932115732,1.8680966559732317,0.09786639446629514,-0.1559117617573767,1.5276391278008428,1.9633687222225316,1.623715860561864,2.167982352036719,2.171664340124112,1.1115359739807196,1.6117389321722912,1.1115359739807196,1.6117389321722912,1.1115359739807196,1.6117389321722912,1.296702055555865,1.296702055555865,1.1754899343437437,1.2212303574426575,1.1754899343437437
rCIP,0.13642962889211674,0.02051138270324688,0.009634546952203484,0.02051138270324688,0.013157142384415996,0.015688138349192526,0.021330644703645586,0.13610711408369205,0.021330644703645586,0.021330644703645586,0.017415684348309566,0.13642962889211674,0.01968232610554362,0.017415684348309566,0.01968232610554362,0.017415684348309566,0.01968232610554362,0.10397515576047142,0.28536372768077883,0.10010618165341131,0.17758675816624214,0.11108495064201498,0.13642962889211674,0.14037422810401828,0.03418893477874166,0.04506539965893989,0.03418893477874166,0.04506539965893989,0.03418893477874166,0.04506539965893989,0.19372943634832882,0.22183000247360327,0.20510858641867763,0.021542633757218613,0.21898879818881617,0.3940955553807699,0.41833534652458015,0.22626419825863595,0.24663956031286316,0.22626419825863595,0.24663956031286316,0.22626419825863595,0.24663956031286316,0.13642962889211674,0.13642962889211674,0.009634546952203484,0.02051138270324688,0.009634546952203484
WB,8.470139372221714,3.3220990893458824,3.424856161781277,3.3220990893458824,2.8318957567265395,2.7813219636949316,1.911750479780213,2.0426790737172347,1.911750479780213,1.911750479780213,1.1433730558179653,8.470139372221714,1.1175822650343838,1.1433730558179653,1.1175822650343838,1.1433730558179653,1.1175822650343838,1.3172415077199797,3.5233385775600965,1.9177825342374102,1.949002066599696,0.9015640040958827,8.470139372221714,0.9212378224258225,0.8220316442596297,0.7603802732635228,0.8220316442596297,0.7603802732635228,0.8220316442596297,0.7603802732635228,1.3059415291732344,1.785801245474473,0.6985816321696598,3.090374087967294,0.6953038957852695,0.8684823445376073,0.8770109045746967,1.0908596327547069,0.9111044418998915,1.0908596327547069,0.9111044418998915,1.0908596327547069,0.9111044418998915,8.470139372221714,8.470139372221714,3.424856161781277,3.3220990893458824,3.424856161781277
XB,0.7940755661457856,0.2707095495430725,0.24723180417858592,0.2707095495430725,0.46768400338448085,0.47182355013230676,0.2601475960141291,0.2425174280156504,0.2601475960141291,0.2601475960141291,0.15904005268151947,0.7940755661457856,0.15204354126620184,0.15904005268151947,0.15204354126620184,0.15904005268151947,0.15204354126620184,0.3917760608615019,1.023797215973604,0.30293694807066635,0.3745245148127977,0.17595885456817334,0.7940755661457856,0.18066413019954633,0.16322989255532425,0.1542974014544344,0.16322989255532425,0.1542974014544344,0.16322989255532425,0.1542974014544344,0.32093058941190794,0.3758178351026843,0.15365671094304376,0.38629676099591176,0.14970185597088115,0.2916305867424001,0.2937555135594619,0.3286236989067844,0.33223928582211515,0.3286236989067844,0.33223928582211515,0.3286236989067844,0.33223928582211515,0.7940755661457856,0.7940755661457856,0.24723180417858592,0.2707095495430725,0.24723180417858592
SSE,181.3857833062632,139.9570490922074,141.55305937734744,139.9570490922074,108.87612645970108,107.86716396194464,87.2690127061626,90.8246977409504,87.2690127061626,87.2690127061626,61.87269986417699,181.3857833062632,60.85585490021185,61.87269986417699,60.85585490021185,61.87269986417699,60.85585490021185,55.544897817160816,105.00474461980029,72.66169230622054,73.45702422902667,41.24079578305073,181.3857833062632,41.972279676901564,38.22289972944458,35.81412504420454,38.22289972944458,35.81412504420454,38.22289972944458,35.81412504420454,46.43430442966598,59.00613078286206,27.48625300236873,136.12143077021142,27.373032389610227,33.181830676699626,33.459053235381546,40.156460973485636,34.55927970517389,40.156460973485636,34.55927970517389,40.156460973485636,34.55927970517389,181.3857833062632,181.3857833062632,141.55305937734744,139.9570490922074,141.55305937734744
RS,-0.14662952349899402,0.03786721128088656,0.11037713630969276,0.03786721128088656,-0.029018377635958586,-0.05826020205353442,-0.014159270405865723,0.05563221784891385,-0.014159270405865723,-0.014159270405865723,0.2523475758626032,-0.14662952349899402,0.2275541474652349,0.2523475758626032,0.2275541474652349,0.2523475758626032,0.2275541474652349,0.26901726000927023,-0.14218114746487215,0.1365914646641635,-0.037035502563907405,0.27499265872574713,-0.14662952349899402,0.2556760824434294,0.3926264729885678,0.38681020585667514,0.3926264729885678,0.38681020585667514,0.3926264729885678,0.38681020585667514,0.28205832121782126,0.21260791130347373,0.409154144314867,-0.21420313500038093,0.40520907136803674,0.3251386231436207,0.32265753684324483,0.29687485012300374,0.31571029639095494,0.29687485012300374,0.31571029639095494,0.29687485012300374,0.31571029639095494,-0.14662952349899402,-0.14662952349899402,0.11037713630969276,0.03786721128088656,0.11037713630969276
DH,0.5784122180247997,0.4786361824342597,0.43697040140812254,0.4786361824342597,0.42226226957632984,0.43246595433451396,0.4293709553844595,0.41867746713193504,0.4293709553844595,0.42937095538445946,0.37230034849234733,0.5784122180247997,0.3843061647259461,0.37230034849234733,0.3843061647259461,0.37230034849234733,0.3843061647259461,0.3340746777553909,0.4011663089989308,0.3454950905036654,0.39157787109790776,0.33037182822851835,0.5784122180247997,0.3354568877492722,0.3034397457972306,0.309422802621991,0.3034397457972306,0.309422802621991,0.3034397457972306,0.309422802621991,0.29259987345353045,0.3027036495198347,0.28403640115793877,0.5938187786065131,0.28505101857536413,0.2903259235101131,0.29073485857782283,0.2850953747649784,0.2908484165786561,0.2850953747649784,0.2908484165786561,0.2850953747649784,0.2908484165786561,0.5784122180247997,0.5784122180247997,0.43697040140812254,0.4786361824342597,0.43697040140812254
