,labels_zigzag_MeanShift_params1,labels_zigzag_MeanShift_params10,labels_zigzag_MeanShift_params11,labels_zigzag_MeanShift_params12,labels_zigzag_MeanShift_params13,labels_zigzag_MeanShift_params14,labels_zigzag_MeanShift_params15,labels_zigzag_MeanShift_params16,labels_zigzag_MeanShift_params17,labels_zigzag_MeanShift_params18,labels_zigzag_MeanShift_params19,labels_zigzag_MeanShift_params2,labels_zigzag_MeanShift_params20,labels_zigzag_MeanShift_params21,labels_zigzag_MeanShift_params22,labels_zigzag_MeanShift_params23,labels_zigzag_MeanShift_params24,labels_zigzag_MeanShift_params25,labels_zigzag_MeanShift_params26,labels_zigzag_MeanShift_params27,labels_zigzag_MeanShift_params28,labels_zigzag_MeanShift_params29,labels_zigzag_MeanShift_params3,labels_zigzag_MeanShift_params30,labels_zigzag_MeanShift_params4,labels_zigzag_MeanShift_params5,labels_zigzag_MeanShift_params6,labels_zigzag_MeanShift_params7,labels_zigzag_MeanShift_params8,labels_zigzag_MeanShift_params9
cSIL,0.9244145306974817,0.8979973360591953,0.9131058539675773,0.9040940172687788,0.9105521426961642,0.9102602493452537,0.8913742633875454,0.8979973360591953,0.904761158418729,0.9104814110486537,0.904761158418729,0.9126954988691242,0.8797813671064303,0.9084263845447479,0.9151122073263842,0.8484088971976418,0.9030222497385982,0.8304163542904254,0.8683689917641763,0.8733405472952076,0.8206750006578972,0.8097308492367015,0.9163381056768244,0.8097308492367015,0.9127464355316022,0.9055123313807831,0.9041683787663548,0.9105521426961642,0.9102602493452537,0.8913742633875454
GD43,6.709010894591422,4.552351449727804,5.079398743730765,3.8792889780096314,5.355607195746536,5.398187097719326,2.693106569885512,4.552351449727804,4.647811258418194,4.903509012962083,4.647811258418194,8.352858180728488,2.210509606048466,5.648278809785059,7.017453173877357,2.2343847839291713,4.647811258418194,2.8809162906520416,3.5077973273454135,3.741534171755518,3.207604939178432,2.047364201924764,6.554529494240485,2.047364201924764,6.654191425263433,3.621254070203875,4.552351449727804,5.355607195746536,5.398187097719326,2.693106569885512
GD53,0.08300895766897301,0.1365884893908798,0.11916760090941522,0.11062074842791927,0.09454482135075945,0.13740259409250696,0.052107972953660105,0.1365884893908798,0.0786530904915283,0.10282060385070145,0.0786530904915283,0.11138056380692936,0.04533348897100608,0.0934698651288642,0.14680234819719826,0.13752479003373638,0.0786530904915283,0.26455399692352194,0.07582624811624107,0.3940510402143388,0.3443918462146346,0.49317626765982064,0.06722964621622021,0.49317626765982064,0.06729826114910287,0.07171051753744,0.08208239344479554,0.09454482135075945,0.13740259409250696,0.052107972953660105
PS,-13.186344759616503,-7.603595830219739,-4.13574342920409,-6.1414202595433505,-7.577162195657873,-7.315019246914995,-4.157915120208601,-7.603595830219739,0.2457348814441625,-1.928126710547419,0.2457348814441625,-17.41925346192148,-0.9268166363454409,0.2764232556505363,-2.9804039587400615,0.7830414139157086,0.2637636927368458,0.8136413345126178,0.5094514337923847,2.3198723814579925,0.9460730938034285,1.9474957063495157,-16.55399535467388,1.9474957063495157,-16.466261249830723,-8.507071973733767,-10.740064895691289,-7.577162195657873,-7.315019246914995,-4.157915120208601
rCIP,19.350124792232155,23.452545997911496,10.988141074083133,18.02438993525083,16.94610052084941,17.83403217296523,10.050735075906509,23.452545997911496,1.9597400267620122,6.195683015486091,1.9597400267620122,47.18693044601942,4.167460809992157,1.8318919518269323,8.346237403503675,0.9908551653427875,2.019393922289447,0.10841304826408418,1.2369640156281676,0.12449413942207362,0.5221971992116169,0.01245972585965946,51.68910171995093,0.01245972585965946,29.13315142409984,24.53567854834885,38.320434884751236,16.94610052084941,17.83403217296523,10.050735075906509
WB,0.3353969827047683,0.4092205363143503,0.43897911891110203,0.43679784909712727,0.39801363858922345,0.4018304971725914,0.49100662707286075,0.4092205363143503,0.5329339788779632,0.48239416032750776,0.5329339788779632,0.34162575153742925,0.6173889975795722,0.5260938472875485,0.453091054760966,0.793296585273661,0.5399507157572802,0.8826116334779394,0.7144463445089462,0.9654790252181715,1.0592234958639954,1.8796409989265597,0.33893312589722807,1.8796409989265597,0.3369347303327178,0.41836083345796976,0.3957791979575037,0.39801363858922345,0.4018304971725914,0.49100662707286075
XB,0.17171364341494075,0.21224815977790473,0.11034097490954396,0.19435665755859904,0.14925720654860195,0.14828620161995915,0.19051753718232314,0.21224815977790473,0.09825369636020587,0.11336614812079325,0.09825369636020587,0.23702953814143038,0.15009357027201198,0.09281684507315863,0.0977198379875614,0.2022500954252488,0.09947411000998194,0.2482119910530291,0.13729645852611427,0.1499314722508635,0.24180784215945358,0.23494008773782846,0.38122120552829,0.23494008773782846,0.3835711016253158,0.1596281909013993,0.1736681579312095,0.14925720654860195,0.14828620161995915,0.19051753718232314
SSE,2.0034202743134975,3.1782138038763463,4.162854431795269,3.6060929384572886,3.0932879665883015,3.1222251415800972,4.638276552338503,3.1782138038763463,7.124599677455604,5.354059978634968,7.124599677455604,1.7180261441307791,7.410624326076162,7.03820655585074,4.636838457210914,12.972629712314722,7.213094655432622,16.342933912076113,10.448247687072561,24.779659409878533,19.122484391743622,61.74431976728606,1.7747047874225377,61.74431976728606,1.7643857562293213,3.0609580504421046,2.6005150641037806,3.0932879665883015,3.1222251415800972,4.638276552338503
RS,0.7193680673858184,0.5821401354663702,0.5368887565843496,0.5549977185095875,0.6209060602055597,0.5995957524479837,0.509579329545373,0.5821401354663702,0.40423230211043787,0.47753652063054824,0.40423230211043787,0.7415836703391091,0.3620734378787028,0.40688106728495993,0.5062220042172486,0.24738759773607644,0.40180029059449857,0.2228662012784151,0.2664476883025301,0.2461210215452158,0.15361863698268716,0.03091682641209553,0.7461144370567905,0.03091682641209553,0.7389717831391448,0.6033122370803227,0.6348440735170162,0.6209060602055597,0.5995957524479837,0.509579329545373
DH,0.09341544871461992,0.13495506658802947,0.1553629248233394,0.1444233772149919,0.127847228471911,0.1334795637440798,0.15901332539057444,0.13495506658802947,0.20671487162836102,0.17844044275720897,0.20671487162836102,0.08442380896994232,0.20220767776932072,0.2058432091624691,0.16705750686182388,0.24978825656813836,0.20782988819289816,0.27377686179385213,0.23334524269051274,0.3442727493254596,0.3032157103003431,0.5063835527377782,0.08223050393900884,0.5063835527377782,0.08510536763751402,0.1265934854471003,0.11646592055899573,0.127847228471911,0.1334795637440798,0.15901332539057444
