,labels_d31_DBSCAN_params13,labels_d31_DBSCAN_params14,labels_d31_DBSCAN_params15,labels_d31_DBSCAN_params17,labels_d31_DBSCAN_params18,labels_d31_DBSCAN_params19,labels_d31_DBSCAN_params20,labels_d31_DBSCAN_params21,labels_d31_DBSCAN_params22,labels_d31_DBSCAN_params23,labels_d31_DBSCAN_params24,labels_d31_DBSCAN_params25,labels_d31_DBSCAN_params26,labels_d31_DBSCAN_params27,labels_d31_DBSCAN_params28,labels_d31_DBSCAN_params9
cSIL,,,,,,,,,,,,0.813453414368768,0.813453414368768,0.813453414368768,0.813453414368768,
GD43,,,,,,,,,,,,1.1147389212692895,1.1147389212692895,1.1147389212692895,1.1147389212692895,
GD53,,,,,,,,,,,,0.48404707343269476,0.48404707343269476,0.48404707343269476,0.48404707343269476,
PS,,,,,,,,,,,,0.9967020555558649,0.9967020555558649,0.9967020555558649,0.9967020555558649,
rCIP,,,,,,,,,,,,0.04213436327907248,0.04213436327907248,0.04213436327907248,0.04213436327907248,
WB,,,,,,,,,,,,23.049865365936796,23.049865365936796,23.049865365936796,23.049865365936796,
XB,,,,,,,,,,,,0.35977937615926325,0.35977937615926325,0.35977937615926325,0.35977937615926325,
SSE,2426.683531299356,3226.9568718889223,6083.203404616785,3597.926567763252,3385.230170908854,2738.234419597552,3220.0839406863242,4517.902506027307,2522.0892587191693,2617.946609445473,2318.967115193418,1624.6293588187696,1624.6293588187696,1624.6293588187696,1624.6293588187696,3633.137554854628
RS,,,,,,,,,,,,0.03913678030736128,0.03913678030736128,0.03913678030736128,0.03913678030736128,
DH,0.0002947802559980368,0.005478694779865418,0.13141596491414126,0.016431705828282402,0.0070599406313280495,0.003992673304517052,0.003559561042147545,0.18901142874174953,0.08814132930816794,0.06773180597293377,0.07533112928144745,0.39034818755742007,0.39034818755742007,0.39034818755742007,0.39034818755742007,0.0013525210258793358
B,0.5204968373386691,0.14184854641289643,0.013365500528381726,1.792748430961299,1.8237323040274194,1.306012832465002,1.4212867456219926,1.2610016827157775,0.9512793742611282,1.191902424934029,1.1843894487508657,0.3839857799188983,0.3839857799188983,0.3839857799188983,0.3839857799188983,0.06907905323376444
BH,0.015886054704077047,0.005328283701250938,0.002152171520595377,12.064667990645855,2.820413750696962,0.4968049463166517,0.3212142389163424,540.1835371195463,178.4721647535422,147.51532985953574,147.40247102386073,812.3146794093848,812.3146794093848,812.3146794093848,812.3146794093848,0.0003214527448786167
