,labels_wdbc_DBSCAN_params51,labels_wdbc_DBSCAN_params52,labels_wdbc_DBSCAN_params53
cSIL,0.7579375680754395,0.8338107059572675,0.6574692435696601
GD43,0.7232805332930258,1.2848428014767308,1.195031618648786
GD53,0.09398909508487505,0.15713058416382766,0.46881222616487694
PS,-1.2813059180691195,0.7082595223037496,1.1133687222225315
rCIP,2.842258051244837e-10,3.0376389151431004e-11,1.9443413325011414e-11
WB,16.361903740988176,13.274004222869952,10.617675741833743
XB,0.9093860052321322,0.3576785498653208,0.602136620519872
SSE,68.30938910814496,48.12132060397405,17.635716787828258
RS,-0.9041827162365023,-0.404131878058576,-0.3657624690241232
DH,0.06515539960344421,0.2087898991944469,0.6727838543497774
B,0.4510920303830461,0.3684920687302209,0.8020504611026473
BH,9.758484158306421,16.04044020132468,8.817858393914127
D,0.26098328539101107,0.49402501159125534,0.42336282953332033
H,1.431501794270093,0.47685971592432475,0.6420445630601402
DBCV,0.07443315147680128,0.010031251855286805,0.0
I,0.10677706862740274,0.3391846510822977,0.12650038050469853
C,0.22655751321556647,0.1704811507650525,0.2623874621102704
VIASCKDE,0.026195873362041926,0.016341008394985358,0.024046084024511506
COP,0.4514826079237467,0.529171399584362,0.42755023881924237
Sym,0.0058206052732423935,0.015481828757992722,0.02246896960812657
CS,0.9931534039339477,0.847740189327726,1.3478193136250596
SF,0.07469092805698141,0.2427286313115462,0.3473562922745502
SD,33.07708415212148,34.25148085104467,39.19842910660604
SDbw,0.3673620097410012,0.6241024434439449,1.4426235994462013
XB*,1.0307548713621657,0.37809379367119894,0.6421938112041752
S,0.02441415230613051,0.23172842458226195,0.20019049679509535
DB,1.088572863157482,0.9239277917872023,1.3440826564933488
CH,11.408615380070248,14.012350521897396,12.62046452144312
AD-S,0.1651640649892891,0.18865436028358135,0.053234644609941865
AD-DB,1.4567322553558595,1.464441937541899,1.9245970123089606
AD-CH,5.548703107980128,6.654897662726879,8.640871408645179
AD-idea,0.5261296039423857,0.7824061301089793,1.2112689074766887
