,labels_ring_KMeans_params1,labels_ring_KMeans_params10,labels_ring_KMeans_params11,labels_ring_KMeans_params12,labels_ring_KMeans_params13,labels_ring_KMeans_params14,labels_ring_KMeans_params15,labels_ring_KMeans_params16,labels_ring_KMeans_params17,labels_ring_KMeans_params18,labels_ring_KMeans_params19,labels_ring_KMeans_params2,labels_ring_KMeans_params20,labels_ring_KMeans_params21,labels_ring_KMeans_params22,labels_ring_KMeans_params23,labels_ring_KMeans_params24,labels_ring_KMeans_params25,labels_ring_KMeans_params26,labels_ring_KMeans_params27,labels_ring_KMeans_params28,labels_ring_KMeans_params29,labels_ring_KMeans_params3,labels_ring_KMeans_params30,labels_ring_KMeans_params31,labels_ring_KMeans_params32,labels_ring_KMeans_params33,labels_ring_KMeans_params34,labels_ring_KMeans_params35,labels_ring_KMeans_params36,labels_ring_KMeans_params37,labels_ring_KMeans_params38,labels_ring_KMeans_params39,labels_ring_KMeans_params4,labels_ring_KMeans_params40,labels_ring_KMeans_params41,labels_ring_KMeans_params42,labels_ring_KMeans_params43,labels_ring_KMeans_params44,labels_ring_KMeans_params45,labels_ring_KMeans_params46,labels_ring_KMeans_params47,labels_ring_KMeans_params48,labels_ring_KMeans_params49,labels_ring_KMeans_params5,labels_ring_KMeans_params50,labels_ring_KMeans_params51,labels_ring_KMeans_params52,labels_ring_KMeans_params53,labels_ring_KMeans_params54,labels_ring_KMeans_params6,labels_ring_KMeans_params7,labels_ring_KMeans_params8,labels_ring_KMeans_params9
cSIL,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.7556799515635584,0.6880657686252876,0.7556799515635584,0.7527860819104696,0.7527860819104696,0.7527860819104696,0.7527860819104696,0.7556799515635584,0.7556799515635584,0.7527860819104696,0.7527860819104696,0.7527860819104696,0.6880657686252876,0.7527860819104696,0.7556799515635584,0.7556799515635584,0.7527860819104696,0.7527860819104696,0.7527860819104696,0.7527860819104696,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6880657686252876,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6880657686252876,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6644349482137486,0.6880657686252876,0.6880657686252876,0.6880657686252876,0.6880657686252876
GD43,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.5906384373792595,1.1147449307040076,1.5906384373792595,1.5521849403659462,1.5521849403659462,1.5521849403659462,1.5521849403659462,1.5906384373792595,1.5906384373792595,1.5521849403659462,1.5521849403659462,1.5521849403659462,1.1147449307040076,1.5521849403659462,1.5906384373792595,1.5906384373792595,1.5521849403659462,1.5521849403659462,1.5521849403659462,1.5521849403659462,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.1147449307040076,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.1147449307040076,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.3496002429820346,1.1147449307040076,1.1147449307040076,1.1147449307040076,1.1147449307040076
GD53,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986,0.4043434409454875,0.42649495832986,0.4043434409454875,0.393948568150643,0.393948568150643,0.393948568150643,0.393948568150643,0.4043434409454875,0.4043434409454875,0.393948568150643,0.393948568150643,0.393948568150643,0.42649495832986,0.393948568150643,0.4043434409454875,0.4043434409454875,0.393948568150643,0.393948568150643,0.393948568150643,0.393948568150643,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.42649495832986,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.42649495832986,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.1707871469306737,0.42649495832986,0.42649495832986,0.42649495832986,0.42649495832986
PS,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.1304179541649864,1.2212303574426575,1.1304179541649864,1.1304403715860722,1.1304403715860722,1.1304403715860722,1.1304403715860722,1.1304179541649864,1.1304179541649864,1.1304403715860722,1.1304403715860722,1.1304403715860722,1.2212303574426575,1.1304403715860722,1.1304179541649864,1.1304179541649864,1.1304403715860722,1.1304403715860722,1.1304403715860722,1.1304403715860722,0.9425622257080519,0.9425622257080519,0.9425622257080519,1.2212303574426575,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,1.2212303574426575,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,0.9425622257080519,1.2212303574426575,1.2212303574426575,1.2212303574426575,1.2212303574426575
rCIP,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.05133106670668304,0.04569837479857067,0.05133106670668304,0.05077089685519316,0.05077089685519316,0.05077089685519316,0.05077089685519316,0.05133106670668304,0.05133106670668304,0.05077089685519316,0.05077089685519316,0.05077089685519316,0.04569837479857067,0.05077089685519316,0.05133106670668304,0.05133106670668304,0.05077089685519316,0.05077089685519316,0.05077089685519316,0.05077089685519316,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.04569837479857067,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.04569837479857067,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.007999849185297636,0.04569837479857067,0.04569837479857067,0.04569837479857067,0.04569837479857067
WB,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587,3.0631374075647675,5.197066547906587,3.0631374075647675,3.062284065254004,3.062284065254004,3.062284065254004,3.062284065254004,3.0631374075647675,3.0631374075647675,3.062284065254004,3.062284065254004,3.062284065254004,5.197066547906587,3.062284065254004,3.0631374075647675,3.0631374075647675,3.062284065254004,3.062284065254004,3.062284065254004,3.062284065254004,2.0767636807769425,2.0767636807769425,2.0767636807769425,5.197066547906587,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,5.197066547906587,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,2.0767636807769425,5.197066547906587,5.197066547906587,5.197066547906587,5.197066547906587
XB,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.28874826444117296,0.42349596032253806,0.28874826444117296,0.2912071905159762,0.2912071905159762,0.2912071905159762,0.2912071905159762,0.28874826444117296,0.28874826444117296,0.2912071905159762,0.2912071905159762,0.2912071905159762,0.42349596032253806,0.2912071905159762,0.28874826444117296,0.28874826444117296,0.2912071905159762,0.2912071905159762,0.2912071905159762,0.2912071905159762,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.42349596032253806,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.42349596032253806,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.2618365817940788,0.42349596032253806,0.42349596032253806,0.42349596032253806,0.42349596032253806
SSE,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525,241.82089711402855,345.64280361711525,241.82089711402855,241.78755941659958,241.78755941659958,241.78755941659958,241.78755941659958,241.82089711402855,241.82089711402855,241.78755941659958,241.78755941659958,241.78755941659958,345.64280361711525,241.78755941659958,241.82089711402855,241.82089711402855,241.78755941659958,241.78755941659958,241.78755941659958,241.78755941659958,163.5834986040294,163.5834986040294,163.5834986040294,345.64280361711525,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,345.64280361711525,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,163.5834986040294,345.64280361711525,345.64280361711525,345.64280361711525,345.64280361711525
RS,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.6470678503693992,-0.5365794825010203,-0.6470678503693992,-0.6556918641274837,-0.6556918641274837,-0.6556918641274837,-0.6556918641274837,-0.6470678503693992,-0.6470678503693992,-0.6556918641274837,-0.6556918641274837,-0.6556918641274837,-0.5365794825010203,-0.6556918641274837,-0.6470678503693992,-0.6470678503693992,-0.6556918641274837,-0.6556918641274837,-0.6556918641274837,-0.6556918641274837,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.5365794825010203,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.5365794825010203,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.8936093734539589,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203,-0.5365794825010203
DH,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.5162792324696989,0.6094336829742029,0.5162792324696989,0.5176521459371639,0.5176521459371639,0.5176521459371639,0.5176521459371639,0.5162792324696989,0.5162792324696989,0.5176521459371639,0.5176521459371639,0.5176521459371639,0.6094336829742029,0.5176521459371639,0.5162792324696989,0.5162792324696989,0.5176521459371639,0.5176521459371639,0.5176521459371639,0.5176521459371639,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.6094336829742029,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.6094336829742029,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.4739654275622846,0.6094336829742029,0.6094336829742029,0.6094336829742029,0.6094336829742029
