,labels_wine_MeanShift_params1,labels_wine_MeanShift_params10,labels_wine_MeanShift_params11,labels_wine_MeanShift_params12,labels_wine_MeanShift_params13,labels_wine_MeanShift_params14,labels_wine_MeanShift_params15,labels_wine_MeanShift_params16,labels_wine_MeanShift_params17,labels_wine_MeanShift_params18,labels_wine_MeanShift_params2,labels_wine_MeanShift_params21,labels_wine_MeanShift_params22,labels_wine_MeanShift_params25,labels_wine_MeanShift_params26,labels_wine_MeanShift_params3,labels_wine_MeanShift_params4,labels_wine_MeanShift_params5,labels_wine_MeanShift_params6,labels_wine_MeanShift_params7,labels_wine_MeanShift_params8,labels_wine_MeanShift_params9
cSIL,0.7966693781074854,0.7693168542932151,0.6273012128635282,0.7693168542932151,0.6707527085118962,0.8046192478953124,0.629391239952343,0.7693168542932151,0.6283338884376056,0.7219457387236714,0.843174767188152,0.6283338884376056,0.7219457387236714,0.6283338884376056,0.7219457387236714,0.744619460551801,0.8368804348437536,0.6719281517807326,0.8195104178540397,0.6707527085118962,0.8046192478953124,0.629391239952343
GD43,0.6102366161495133,0.5047909617882936,0.48751351101506035,0.5047909617882936,0.4621108290590413,0.46495010873192644,0.4638829385025314,0.5047909617882936,0.48203044178340354,0.49229655804951944,0.5597042696629587,0.48203044178340354,0.49229655804951944,0.48203044178340354,0.49229655804951944,0.5241197653010419,0.6014910949129216,0.46078583469305634,0.46495010873192644,0.4621108290590413,0.46495010873192644,0.4638829385025314
GD53,0.0,0.0,0.4669660345786582,0.0,0.34429709073287984,0.0,0.41880262677511587,0.0,0.45470039831782644,0.3674201230440149,0.0,0.45470039831782644,0.3674201230440149,0.45470039831782644,0.3674201230440149,0.12134994315797581,0.0,0.33877426583294906,0.0,0.34429709073287984,0.0,0.41880262677511587
PS,0.1496324940265712,0.4180916877341635,1.3227659805829302,0.4180916877341635,1.1425087791458712,-0.9682120666112264,1.2552491154555458,0.4180916877341635,1.302121703595616,0.6860796633149868,-3.7397467888730644,1.302121703595616,0.6860796633149868,1.302121703595616,0.6860796633149868,1.1327692551083608,-2.2149800276925355,1.127943641227319,-1.3959106665295309,1.1425087791458712,-0.9682120666112264,1.2552491154555458
rCIP,0.002296315335532953,0.00037695622846624106,0.00025817246393419887,0.00037695622846624106,0.00020309996915280736,0.0009494061442040287,0.00024241894284809977,0.00037695622846624106,0.00024655282614224384,0.00026403955339976415,0.014454686583266613,0.00024655282614224384,0.00026403955339976415,0.00024655282614224384,0.00026403955339976415,0.0011619657367074297,0.006150622101185862,0.000192701934669143,0.0014958465531092226,0.00020309996915280736,0.0009494061442040287,0.00024241894284809977
WB,6.201195981298073,8.57079598530958,5.62128321006562,8.57079598530958,5.979121284210785,11.102346121154618,5.660941901844004,8.57079598530958,5.62303607403374,7.090997536345941,9.230476997345152,5.62303607403374,7.090997536345941,5.62303607403374,7.090997536345941,5.274809662128164,8.320459503928678,6.008635520121394,12.23902109420938,5.979121284210785,11.102346121154618,5.660941901844004
XB,0.588144362648171,0.6874428841976742,0.7118860372880574,0.6874428841976742,0.6581447442411985,0.6670514884290789,0.7279037115878559,0.6874428841976742,0.7142874209379426,0.7019895128006292,0.6539261888077065,0.7142874209379426,0.7019895128006292,0.7142874209379426,0.7019895128006292,0.6338485726261586,0.5378484020499423,0.658125586183807,0.6577133237121997,0.6581447442411985,0.6670514884290789,0.7279037115878559
SSE,166.98071635803518,241.50805465784407,249.33275640999955,241.50805465784407,254.63571012651354,234.52853025894046,249.94206652150103,241.50805465784407,249.35980552980158,244.4851636422,145.67263113727142,249.35980552980158,244.4851636422,249.35980552980158,244.4851636422,178.90124293471936,149.23357211610028,255.05428748111188,231.2453263618571,254.63571012651354,234.52853025894046,249.94206652150103
RS,-1.2072529577801463,-0.859510380774634,-0.8814430035552719,-0.859510380774634,-0.6551874732942456,-0.9038488168481158,-0.8637157811216355,-0.859510380774634,-0.8766956004245787,-0.8618088853544765,-1.5297769522216476,-0.8766956004245787,-0.8618088853544765,-0.8766956004245787,-0.8618088853544765,-1.108514763855525,-1.546100525656877,-0.6513026439182013,-0.9172157842821814,-0.6551874732942456,-0.9038488168481158,-0.8637157811216355
DH,0.047853801932502577,0.09067463621383048,0.32202001170929717,0.09067463621383048,0.29826491214160894,0.04678590383297111,0.3195509807366909,0.09067463621383048,0.3212473015451699,0.14507346559075843,0.01637281518417743,0.3212473015451699,0.14507346559075843,0.3212473015451699,0.14507346559075843,0.08116262210854569,0.02164400010584295,0.29745289700901445,0.03830526315422914,0.29826491214160894,0.04678590383297111,0.3195509807366909
