,labels_zigzag_outliers_MeanShift_params1,labels_zigzag_outliers_MeanShift_params10,labels_zigzag_outliers_MeanShift_params11,labels_zigzag_outliers_MeanShift_params12,labels_zigzag_outliers_MeanShift_params13,labels_zigzag_outliers_MeanShift_params14,labels_zigzag_outliers_MeanShift_params15,labels_zigzag_outliers_MeanShift_params16,labels_zigzag_outliers_MeanShift_params17,labels_zigzag_outliers_MeanShift_params18,labels_zigzag_outliers_MeanShift_params19,labels_zigzag_outliers_MeanShift_params2,labels_zigzag_outliers_MeanShift_params20,labels_zigzag_outliers_MeanShift_params21,labels_zigzag_outliers_MeanShift_params22,labels_zigzag_outliers_MeanShift_params23,labels_zigzag_outliers_MeanShift_params24,labels_zigzag_outliers_MeanShift_params3,labels_zigzag_outliers_MeanShift_params4,labels_zigzag_outliers_MeanShift_params5,labels_zigzag_outliers_MeanShift_params6,labels_zigzag_outliers_MeanShift_params7,labels_zigzag_outliers_MeanShift_params8,labels_zigzag_outliers_MeanShift_params9
cSIL,0.9274154220458879,0.907619672992824,0.9198682996631814,0.9198682996631814,0.907619672992824,0.9150277966072298,0.9084930622908676,0.907619672992824,0.9127729803112624,0.9127729803112624,0.8814981706649384,0.9206175894956857,0.8734683699688883,0.9127729803112624,0.9127729803112624,0.8895659342260197,0.8895659342260197,0.9341783299261135,0.9212463011091392,0.9200092860199632,0.9336834742354969,0.907619672992824,0.9150277966072298,0.9084930622908676
GD43,6.3278691838599475,4.814229512729019,3.350430529661837,3.350430529661837,4.814229512729019,5.620167556919537,5.056334464401397,4.814229512729019,1.7876758774118708,1.7876758774118708,1.5750881957925131,7.392411473663278,1.5695967717370753,1.7876758774118708,1.7876758774118708,1.6349722580452222,1.6349722580452222,6.081383283522082,6.322744626142674,3.4004565181069673,5.360134434210919,4.814229512729019,5.620167556919537,5.056334464401397
GD53,0.006580660057053305,0.0025955447653816873,0.06918282503764002,0.06918282503764002,0.0025955447653816873,0.003030058380964351,0.002726073282629302,0.0025955447653816873,0.028269828849827455,0.028269828849827455,0.07528076330775296,0.00897890864474603,0.09445971512910993,0.028269828849827455,0.028269828849827455,0.07118166503645455,0.07118166503645455,0.0059931768350722624,0.006580660057053305,0.002127185155190857,0.004494536610219475,0.0025955447653816873,0.003030058380964351,0.002726073282629302
PS,-5.056982326564126,0.6207792203515812,0.9969759467816536,0.9969759467816536,0.6207792203515812,0.03852956135024144,0.5250569510228006,0.6207792203515812,0.4493719273586655,0.4493719273586655,0.4123218549503332,-7.090590053580511,0.4460184775956163,0.4493719273586655,0.4493719273586655,0.43332731759054616,0.43332731759054616,-3.7663645829386825,-5.136274339429663,-0.8779443929739459,-2.550487737698699,0.6207792203515812,0.03852956135024144,0.5250569510228006
rCIP,15.000967935977918,0.1249719807145212,0.051110848419495425,0.051110848419495425,0.1249719807145212,0.18725566834184618,0.13436723756331845,0.1249719807145212,0.0020422519095479267,0.0020422519095479267,0.03172099062344718,22.032208722417423,0.0326187014783383,0.0020422519095479267,0.0020422519095479267,0.02203449927636709,0.02203449927636709,9.37629256426241,13.01146654261795,2.0685756791758014,7.866379865535954,0.1249719807145212,0.18725566834184618,0.13436723756331845
WB,0.2354008698991172,0.5074847511485819,1.4617494717279773,1.4617494717279773,0.5074847511485819,0.5044308898916333,0.5071746623162595,0.5074847511485819,5.619036650521103,5.619036650521103,5.538074820640213,0.20497436024835516,5.500259034300805,5.619036650521103,5.619036650521103,5.5589023686315375,5.5589023686315375,0.24387386658362042,0.23120593389282773,0.39028970276641123,0.2815076669641049,0.5074847511485819,0.5044308898916333,0.5071746623162595
XB,0.1194165279197487,0.1157783703702444,0.154167278938209,0.154167278938209,0.1157783703702444,0.11512298239591455,0.1157118437901504,0.1157783703702444,0.2202559368318103,0.2202559368318103,0.28234671876165945,0.124602909010587,0.2845475364737897,0.2202559368318103,0.2202559368318103,0.262865974816394,0.262865974816394,0.11941580477094914,0.11751330836051424,0.09815167629020441,0.10761162103908158,0.1157783703702444,0.11512298239591455,0.1157118437901504
SSE,2.00784006528513,7.242901380910045,32.496151015228236,32.496151015228236,7.242901380910045,7.201901404410762,7.238739589227462,7.242901380910045,79.15783206502108,79.15783206502108,78.75708196399441,1.5358257523991634,78.56728335396973,79.15783206502108,79.15783206502108,78.86089983629716,78.86089983629716,2.23584134164184,1.9726408707817022,4.560896222636644,2.7831031183812134,7.242901380910045,7.201901404410762,7.238739589227462
RS,0.7577399856098188,0.5674263147801933,0.3285437293242568,0.3285437293242568,0.5674263147801933,0.5658090997439779,0.5666815587674897,0.5674263147801933,0.19143623954156636,0.19143623954156636,0.08416298195240207,0.7826812317019174,0.008662589967970898,0.19143623954156636,0.19143623954156636,0.09169133117173092,0.09169133117173092,0.7418910105743152,0.7618393274089047,0.64055132843334,0.7032538482100779,0.5674263147801933,0.5658090997439779,0.5666815587674897
DH,0.10227610094442398,0.15093560165548817,0.22189363857238342,0.22189363857238342,0.15093560165548817,0.1535724979239045,0.1515245044684223,0.15093560165548817,0.2185317595675406,0.2185317595675406,0.2665366302875297,0.09540338000663058,0.3027400908651564,0.2185317595675406,0.2185317595675406,0.26138975581115315,0.26138975581115315,0.10911344396079878,0.10266348672811258,0.13280144540779676,0.12007962028950485,0.15093560165548817,0.1535724979239045,0.1515245044684223
