,labels_parabolic_DBSCAN_params11,labels_parabolic_DBSCAN_params12,labels_parabolic_DBSCAN_params16,labels_parabolic_DBSCAN_params17,labels_parabolic_DBSCAN_params18,labels_parabolic_DBSCAN_params19,labels_parabolic_DBSCAN_params21,labels_parabolic_DBSCAN_params23,labels_parabolic_DBSCAN_params24,labels_parabolic_DBSCAN_params28,labels_parabolic_DBSCAN_params29,labels_parabolic_DBSCAN_params30,labels_parabolic_DBSCAN_params35,labels_parabolic_DBSCAN_params40,labels_parabolic_DBSCAN_params6
cSIL,0.9303233960869531,0.9441155868024245,0.7746995450763582,0.8110312569038525,0.9306700523486565,0.8909297816590207,0.41173395754799474,0.5455861708804951,0.8979785424943761,0.8004214414467623,0.7856998427025984,0.9953183340283875,0.9752384834810324,0.8925834796351252,0.989946605938682
GD43,9.791262811911226,46.17767679134764,0.26234807769099566,0.39644065327376105,5.105404012079231,22.43239796714595,0.34745778589202175,0.6846175962432174,4.83364588945275,1.9785333630522994,1.2854155589618457,54.64409258745891,11.31013274915181,3.3833198825695465,150.60564064947232
GD53,0.003400237307107248,0.0846101479003395,0.0009953932773245188,0.0031112831965981152,0.025589304499227625,0.33507551182669143,0.0013445197080790851,0.01179036308143101,0.3384895089862813,0.4996384549176467,0.02396247621831912,0.44144965508382933,0.43293602686191124,0.4757965737657346,0.052301212604992285
PS,-64.29956682931518,-4.523797251330602,-19.52464413585767,-15.608940184802668,-5.666559001128471,-0.39973471673444183,0.7883820700439249,-3.0234252344116923,0.2188916817368355,1.9452600703110627,-1.6338668024952447,1.7351808027594444,1.885903933490137,1.956702055555865,-4.699756089584791
rCIP,246.7669238655182,0.6513994118713721,12.563329867071714,33.73007920443688,2.1565940007315043,3.5997487873336422,1.0509161913660723,2.355869508346415,0.11637129313043112,0.08753209586165533,0.7714333620643764,8.993469256642078e-84,6.598086986482434e-14,0.011953809638485167,3.482335067872829e-07
WB,0.039729679169315975,0.00294494678736457,4.335917551799509,2.446094714749641,0.209637173223296,0.0101396691801694,1429.616331787448,2.275134489987768,0.11970588287094057,1.9948879245979556,1.2302551008763372,0.039024939997374,0.2046434380117868,0.9622652276427642,0.001090435915249642
XB,0.5848206536020158,0.13006799185147114,20.126735142875233,8.53250950324243,0.30163382532076916,0.18028140090570902,3.997308717388449,2.141043995614216,0.3010543049278009,0.24934017247560608,1.0888233449048017,0.0047972074929336205,0.025538899179482204,0.1202818080212513,0.07357473224592552
SSE,0.10176801155765472,0.014256658742238746,72.82433363176386,46.79803982699549,5.451490622037074,0.21426256791600182,499.4415446669674,112.75464566786184,9.761439297136883,251.9236455986226,72.9290896617735,3.591628012546222,31.325825098709828,147.48538771873672,0.002044202508826942
RS,0.9741795372905551,0.9974542502927071,0.4537824331560207,0.6208147094440876,0.9135102213379429,0.9900699448013988,-0.010051771316367903,0.35103147199908974,0.9150454949674873,0.001273110825260868,0.5570950192102638,0.9624724562966348,0.8155597355373327,0.3502078176931258,0.9989877002574393
DH,0.015104608690811672,0.015607574615846394,0.09088337776990263,0.09846348780688606,0.07654144763747492,0.045043375159116564,0.4348665573119949,0.21400170390298137,0.11828853303599016,0.5318994065417141,0.1868934825786827,0.08550559273411594,0.1927151278534336,0.4015842449006206,0.006795551710763085
