,labels_ring_noisy_MeanShift_params1,labels_ring_noisy_MeanShift_params10,labels_ring_noisy_MeanShift_params11,labels_ring_noisy_MeanShift_params12,labels_ring_noisy_MeanShift_params13,labels_ring_noisy_MeanShift_params14,labels_ring_noisy_MeanShift_params15,labels_ring_noisy_MeanShift_params16,labels_ring_noisy_MeanShift_params17,labels_ring_noisy_MeanShift_params18,labels_ring_noisy_MeanShift_params19,labels_ring_noisy_MeanShift_params2,labels_ring_noisy_MeanShift_params20,labels_ring_noisy_MeanShift_params21,labels_ring_noisy_MeanShift_params22,labels_ring_noisy_MeanShift_params23,labels_ring_noisy_MeanShift_params24,labels_ring_noisy_MeanShift_params25,labels_ring_noisy_MeanShift_params26,labels_ring_noisy_MeanShift_params28,labels_ring_noisy_MeanShift_params29,labels_ring_noisy_MeanShift_params3,labels_ring_noisy_MeanShift_params30,labels_ring_noisy_MeanShift_params31,labels_ring_noisy_MeanShift_params32,labels_ring_noisy_MeanShift_params4,labels_ring_noisy_MeanShift_params5,labels_ring_noisy_MeanShift_params6,labels_ring_noisy_MeanShift_params7,labels_ring_noisy_MeanShift_params8,labels_ring_noisy_MeanShift_params9
cSIL,0.9201996730342837,0.9285268779208996,0.9301817891688343,0.9365422419005824,0.9206377707017231,0.9274907257701719,0.9195455576798587,0.9285268779208996,0.9297073649254147,0.9340167035785747,0.9317719544598455,0.9384036158798214,0.9327655216161043,0.9234450084089664,0.9338693643618698,0.8904025315122486,0.9337448011616889,0.9341844136044045,0.9409226156204915,0.7474453645137963,0.7563871292921073,0.9323847853951506,0.7563871292921073,0.8282052452051015,0.6775912062901996,0.9293805230268888,0.9179918573404482,0.9368884167504534,0.9206377707017231,0.9274907257701719,0.9195455576798587
GD43,11.177597787379026,4.4168620633359605,6.518229962676488,6.363872617721596,10.478100379088186,13.051072911218617,4.667365983507756,4.4168620633359605,5.503142714669278,7.0936902063698035,7.258397589230997,15.096266056557596,9.553774208766134,5.353887269887438,8.289109410476556,3.0399030025027787,8.422747957632101,7.612222572112718,6.363872617721596,1.2877327780787404,1.4954845589918162,7.170192512829035,1.4954845589918162,2.3023241781700907,1.4175624435765297,6.683734230073556,6.516251493498312,6.914441876810607,10.478100379088186,13.051072911218617,4.667365983507756
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24284522613444437,0.29379425664398867,0.0,0.29379425664398867,0.4021977684180671,0.31783691408937736,0.0,0.0,0.0,0.0,0.0,0.0
PS,-36.940958883756686,-14.705491455200667,-8.602637488703206,-11.825848649687252,-26.913056392734283,-34.803532454108726,-12.567087047217854,-14.705491455200667,-5.451344811272992,-9.596759576994877,-18.671307669490073,-46.79078718360187,-18.662289293409554,-8.410145237857977,-9.563179015841976,-4.886765516498174,-5.55766607291649,-8.581731351379677,-10.75719617501624,0.39331672772125154,0.38321887518309383,-23.6559893655142,0.38321887518309383,0.29351360003388716,0.6371762349309235,-23.54662467180081,-19.71765024205719,-22.671173505458782,-26.913056392734283,-34.803532454108726,-12.567087047217854
rCIP,168.74529843499414,19.290775219324296,4.541186755479922,10.112676036894339,66.74618367313812,141.32245912154252,9.658717139226287,19.290775219324296,1.3744579709522875,6.380877880755039,24.31109651706996,234.84650352195587,22.236089627809474,6.420851378961342,6.741174825496865,2.8828017661292566,2.645248709235522,4.462378748209938,6.510458757551028,0.11520284054496462,0.12844499516310479,44.57813805707861,0.12844499516310479,0.033653578387039085,0.35326334695680806,52.01368605991321,34.69709696660307,41.024736727108674,66.74618367313812,141.32245912154252,9.658717139226287
WB,0.7563591206979238,1.3684568837813094,1.5221336381735517,1.4289607351969096,0.8610915215870049,0.8743380726880029,1.4338353609049013,1.3684568837813094,1.771187254728055,1.3656764465059914,1.6451531523819278,0.7535306757894332,1.582369236390048,1.4976641625858562,1.3658056509550347,1.3728784489203372,1.427485653184933,1.4837976117670133,1.47107803431851,99.20465674880913,92.09357316724346,1.6108540885743765,92.09357316724346,99.64694288566955,73.61747164449224,1.598262164407773,1.466036831625197,1.517316136791895,0.8610915215870049,0.8743380726880029,1.4338353609049013
XB,0.2932142209710704,0.17138097105404956,0.1454943393555293,0.19691644629430796,0.21589671620197917,0.23767015893549154,0.1760357448264843,0.17138097105404956,0.11868514665281414,0.12027863864824716,0.22345328238123668,0.22247809600315366,0.20139686574880217,0.13831107295954995,0.1107229909039489,0.1202429360433062,0.09692594497214933,0.13680611299319773,0.21323315480988875,0.24689900574034718,0.26817544673389476,0.311599479718901,0.26817544673389476,0.21033273161608693,0.35203630531009594,0.3496511689826307,0.24094169795966192,0.32114708787819995,0.21589671620197917,0.23767015893549154,0.1760357448264843
SSE,2.387770135499342,9.60966294587533,14.471039020307042,11.552707730500032,3.5724753780262883,2.9937990114588295,11.022052067193842,9.60966294587533,20.20254841480552,12.352907110841493,9.698424173017099,2.0145591742871773,9.350335762862464,14.259524399371251,12.353983883132633,17.429077565992806,16.698986613588566,14.139382903232818,12.509977517516884,152.46650191363022,152.1217170044664,8.004478364423694,152.1217170044664,152.48636839433317,150.92672314560264,7.945072819009048,8.38420608349884,7.809851955411947,3.5724753780262883,2.9937990114588295,11.022052067193842
RS,0.48283119855425216,0.15800848458527608,-0.011783840940280215,0.18757912745853278,0.4280832182287475,0.4974629879300954,-0.05248901978081318,0.15800848458527608,-0.2239108937206184,0.0795810165977193,0.2613258216387013,0.6438888847871284,0.2609485365620268,-0.19315147758983142,0.06632564565996653,-0.43457190419734615,-0.04784827076771679,-0.002891207487404988,0.14192729478454533,-3.0868750937149994,-2.7375799554523623,0.3620084883393613,-2.7375799554523623,-2.132428862310124,-2.819015567804238,0.3641330423581891,0.20075731182637638,0.4274023850636932,0.4280832182287475,0.4974629879300954,-0.05248901978081318
DH,0.0558622926993456,0.09800714097600108,0.12330243206094371,0.10009415643258754,0.06788221198669886,0.058181765678871455,0.1137220976954228,0.09800714097600108,0.14817084474185035,0.1182719265097935,0.07971761066860839,0.040219654484583894,0.08079638354229748,0.13926646142769555,0.11924587009933048,0.19250497456607815,0.14470421690988697,0.12333783312584964,0.10320254642112431,0.5355098276214922,0.5297219791376816,0.0729962642340667,0.5297219791376816,0.43877481893077214,0.6074726953178012,0.07254704201235837,0.09246166921235484,0.0700086559996824,0.06788221198669886,0.058181765678871455,0.1137220976954228
