,labels_wdbc_KMeans_params1,labels_wdbc_KMeans_params10,labels_wdbc_KMeans_params11,labels_wdbc_KMeans_params12,labels_wdbc_KMeans_params13,labels_wdbc_KMeans_params14,labels_wdbc_KMeans_params15,labels_wdbc_KMeans_params16,labels_wdbc_KMeans_params17,labels_wdbc_KMeans_params18,labels_wdbc_KMeans_params19,labels_wdbc_KMeans_params2,labels_wdbc_KMeans_params20,labels_wdbc_KMeans_params21,labels_wdbc_KMeans_params22,labels_wdbc_KMeans_params23,labels_wdbc_KMeans_params24,labels_wdbc_KMeans_params25,labels_wdbc_KMeans_params26,labels_wdbc_KMeans_params27,labels_wdbc_KMeans_params28,labels_wdbc_KMeans_params29,labels_wdbc_KMeans_params3,labels_wdbc_KMeans_params30,labels_wdbc_KMeans_params31,labels_wdbc_KMeans_params32,labels_wdbc_KMeans_params33,labels_wdbc_KMeans_params34,labels_wdbc_KMeans_params35,labels_wdbc_KMeans_params36,labels_wdbc_KMeans_params37,labels_wdbc_KMeans_params38,labels_wdbc_KMeans_params39,labels_wdbc_KMeans_params4,labels_wdbc_KMeans_params40,labels_wdbc_KMeans_params41,labels_wdbc_KMeans_params42,labels_wdbc_KMeans_params43,labels_wdbc_KMeans_params44,labels_wdbc_KMeans_params45,labels_wdbc_KMeans_params46,labels_wdbc_KMeans_params47,labels_wdbc_KMeans_params48,labels_wdbc_KMeans_params49,labels_wdbc_KMeans_params5,labels_wdbc_KMeans_params50,labels_wdbc_KMeans_params51,labels_wdbc_KMeans_params52,labels_wdbc_KMeans_params53,labels_wdbc_KMeans_params54,labels_wdbc_KMeans_params6,labels_wdbc_KMeans_params7,labels_wdbc_KMeans_params8,labels_wdbc_KMeans_params9
cSIL,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.6428177356271934,0.7029342050491583,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.7029342050491583,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.6428177356271934,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.7029342050491583,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.7029342050491583,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.5296265759162737,0.7029342050491583,0.7029342050491583,0.7029342050491583,0.7029342050491583
GD43,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.4095309086103252,0.44152351886796526,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.44152351886796526,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.4095309086103252,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.44152351886796526,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.44152351886796526,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.3021396427576408,0.44152351886796526,0.44152351886796526,0.44152351886796526,0.44152351886796526
GD53,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.3005420918643535,0.31965959765144625,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.31965959765144625,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.3005420918643535,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.31965959765144625,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.31965959765144625,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.22772569349031083,0.31965959765144625,0.31965959765144625,0.31965959765144625,0.31965959765144625
PS,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.2028675611179045,1.4607371432751632,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.4607371432751632,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,1.2028675611179045,0.8747065542542733,0.8747065542542733,0.8747065542542733,1.4607371432751632,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,1.4607371432751632,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,0.8747065542542733,1.4607371432751632,1.4607371432751632,1.4607371432751632,1.4607371432751632
rCIP,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,5.800180070358035e-12,1.5624571666860983e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,1.5624571666860983e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,5.800180070358035e-12,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.5624571666860983e-12,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.5624571666860983e-12,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.543686935902973e-11,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12,1.5624571666860983e-12
WB,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652,3.3518201944770674,3.114588413419652,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.114588413419652,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.3518201944770674,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.114588413419652,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.114588413419652,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.7175389732158393,3.114588413419652,3.114588413419652,3.114588413419652,3.114588413419652
XB,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.5246951320934882,0.3454550422252825,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.3454550422252825,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.5246951320934882,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.3454550422252825,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.3454550422252825,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.8150833735892169,0.3454550422252825,0.3454550422252825,0.3454550422252825,0.3454550422252825
SSE,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943,748.1369194315673,863.3532788817943,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,863.3532788817943,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,748.1369194315673,682.9285492255295,682.9285492255295,682.9285492255295,863.3532788817943,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,863.3532788817943,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,682.9285492255295,863.3532788817943,863.3532788817943,863.3532788817943,863.3532788817943
RS,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.9050198348570555,-0.3906045724400471,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.3906045724400471,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-0.9050198348570555,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-0.3906045724400471,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-0.3906045724400471,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-1.3215417634831161,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471,-0.3906045724400471
DH,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.3257702909299099,0.6390019116193028,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.6390019116193028,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.3257702909299099,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.6390019116193028,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.6390019116193028,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.21517131154861924,0.6390019116193028,0.6390019116193028,0.6390019116193028,0.6390019116193028
