,labels_wingnut_MeanShift_params1,labels_wingnut_MeanShift_params10,labels_wingnut_MeanShift_params11,labels_wingnut_MeanShift_params12,labels_wingnut_MeanShift_params13,labels_wingnut_MeanShift_params14,labels_wingnut_MeanShift_params15,labels_wingnut_MeanShift_params16,labels_wingnut_MeanShift_params17,labels_wingnut_MeanShift_params18,labels_wingnut_MeanShift_params19,labels_wingnut_MeanShift_params2,labels_wingnut_MeanShift_params20,labels_wingnut_MeanShift_params21,labels_wingnut_MeanShift_params22,labels_wingnut_MeanShift_params23,labels_wingnut_MeanShift_params24,labels_wingnut_MeanShift_params3,labels_wingnut_MeanShift_params4,labels_wingnut_MeanShift_params5,labels_wingnut_MeanShift_params6,labels_wingnut_MeanShift_params7,labels_wingnut_MeanShift_params8,labels_wingnut_MeanShift_params9
cSIL,0.7763444620309928,0.6904987975001488,0.7052102917613391,0.6929381063473784,0.7063378320727688,0.706003987065342,0.6986332840417182,0.6904987975001488,0.6863711586168786,0.6888670628683172,0.6845421271074771,0.7815727856675271,0.6857315253434448,0.6880969653360118,0.7917927624747486,0.6786539404812056,0.6758161046707948,0.7844696938916591,0.7536290258017637,0.7665718878727664,0.7833388937775903,0.7063378320727688,0.706003987065342,0.6986332840417182
GD43,1.8037300300351486,1.032272290275429,1.041355606151756,1.014175185753144,1.090403504685037,1.0814252857250415,1.049416170862044,1.032272290275429,1.0007438379988254,1.0155623667875895,1.0041245504330925,1.8555129628546934,1.009071983371238,0.9929659358645461,1.7391471358808015,0.9582842998148698,0.9791938606481895,2.5258804289683257,2.0146549032284278,1.7130646783070196,1.939431340021025,1.090403504685037,1.0814252857250415,1.049416170862044
GD53,0.11194581481416745,0.2817700404243894,0.261408375011803,0.26821257662166376,0.28507721600738667,0.2811707356156698,0.2756274949259709,0.2817700404243894,0.272784302155886,0.27823832266894655,0.2772209346309924,0.09603298853903505,0.28004364886313876,0.2655721289675041,0.49999999828382613,0.26282884058830286,0.275561363630406,0.2106360657270551,0.2073742403357005,0.25550820494624776,0.27412078412545166,0.28507721600738667,0.2811707356156698,0.2756274949259709
PS,-12.23108493232392,2.1962577122811084,2.061792313029766,2.130062078756358,2.032737176914918,2.0158166237862813,2.152667703810438,2.1962577122811084,2.301369752392513,2.261910930298399,2.283664952518218,-14.643222611481951,2.236044790598241,2.318844812381065,1.9633687222225316,2.241784303504271,2.2112043346975145,-5.617866082300251,-5.505798294975676,1.7025402774774803,2.3512744359355247,2.032737176914918,2.0158166237862813,2.152667703810438
rCIP,13.593902754211518,0.08611740419311587,0.08470081915778427,0.08652548511555708,0.0842253240605276,0.08390738743363688,0.08560153778947513,0.08611740419311587,0.09187823139016754,0.0896313532525499,0.09190401367487377,15.414784990149009,0.09045328935201039,0.09170776032854147,0.037199172842071984,0.09487492341271672,0.09720430703079144,4.289321814671569,5.646503992458207,1.0162402221091853,0.5715946946648089,0.0842253240605276,0.08390738743363688,0.08560153778947513
WB,1.5705561958523946,2.1050436138591966,2.1016848584352035,2.1077776950563445,2.105741920574572,2.106612855665146,2.102669917278306,2.1050436138591966,2.114071157195491,2.1086675636103216,2.115281346027699,1.5794569441465904,2.112276247155722,2.112309323177262,2.103653858865793,2.1249559002329717,2.1192725337694283,1.5661439438857243,1.6097236394036836,1.296003645103679,1.228912968708545,2.105741920574572,2.106612855665146,2.102669917278306
XB,0.5905851892387255,0.4746200310160837,0.44405677750178774,0.4722277530263717,0.4421505374290059,0.4444231509203624,0.45323665531112217,0.4746200310160837,0.47441754468148933,0.475884576794615,0.47741446604948223,0.3796133622069231,0.4812753463227856,0.4712501132881299,0.26295673235822414,0.4866204801384892,0.4894526820417909,0.38954611989770677,0.6185454371546402,0.3886352805659736,0.3114799370446752,0.4421505374290059,0.4444231509203624,0.45323665531112217
SSE,39.8209576597269,256.88269504680966,256.6416713417195,257.0786582032799,256.9327655971721,256.995194896116,256.71239187597325,256.88269504680966,257.52894097648624,257.14239359980246,257.6154001960675,35.677571776080086,257.4006322870608,257.40299753292436,319.3572409258645,258.30510899462047,257.9002519140896,58.895681590309394,60.375692173235834,97.32188143955858,105.90618855620016,256.9327655971721,256.995194896116,256.71239187597325
RS,-0.2214475516169699,-0.2247808028002232,-0.20813858474125035,-0.21825888638118915,-0.21047975273748626,-0.2086128996337409,-0.21976828852897445,-0.2247808028002232,-0.24547755720485553,-0.23737275847204056,-0.24808500698180344,-0.25817172089231355,-0.24316262775043013,-0.2417660741081348,-0.02525891862001113,-0.2616910349754184,-0.2604761984248312,-0.16467395639622937,-0.221599889437724,-0.11613722056662759,-0.07770343628128655,-0.21047975273748626,-0.2086128996337409,-0.21976828852897445
DH,0.2110353727542194,0.5085884305726166,0.5037984579653699,0.506383956904413,0.5045054539266121,0.5038438175443075,0.5071805409583926,0.5085884305726166,0.5137205392585849,0.5117581016639531,0.5145062820862544,0.19785722475038284,0.5132494907325871,0.5124713199181307,0.5424050923513355,0.5169320409485798,0.5175280941128442,0.2512494573422736,0.2542648515056576,0.3602367183019322,0.3718104053380559,0.5045054539266121,0.5038438175443075,0.5071805409583926
B,0.06410399981678962,0.45824317816755183,0.44537184890828263,0.4530457356402133,0.44345996353001854,0.44222439149168113,0.45388620419556497,0.45824317816755183,0.47582253093837307,0.46877849422238377,0.47818176417186026,0.05603761563061334,0.47374308420896116,0.4726457189077124,0.5269507693805834,0.48806160525258774,0.4887193108243666,0.09264948106185734,0.0907370681206615,0.17792183516270316,0.17119416411724703,0.44345996353001854,0.44222439149168113,0.45388620419556497
BH,1.7313459852055175,85.62756501560322,85.54722378057316,85.69288606775996,85.64425519905735,85.665064965372,85.57079729199108,85.62756501560322,85.84298032549539,85.71413119993416,85.87180006535584,1.3722142990800033,85.80021076235359,85.80099917764146,159.67862046293226,86.1017029982068,85.9667506380299,3.9263787726872934,4.025046144882388,13.90312591993694,17.65103142603336,85.64425519905735,85.665064965372,85.57079729199108
D,0.15769328703241942,0.14137345188463527,0.14938428837365414,0.14292675404025365,0.14309414174633292,0.14151422478910522,0.14750222210137087,0.14137345188463527,0.1537582166043418,0.14707314371270325,0.15285198194298805,0.1626838669735638,0.14716054270672838,0.15468481754153757,0.22941208705159707,0.15453378763329975,0.14914098043962734,0.20289381788720692,0.1620294840276687,0.23538517539779438,0.23182594724525454,0.14309414174633292,0.14151422478910522,0.14750222210137087
H,4.817713973417194,0.9273329122448608,0.8884148421563371,0.9153575166316781,0.8912436463266443,0.8895343502173965,0.9091219927678121,0.9273329122448608,0.9492583517475919,0.9418314926737233,0.9548523380086547,5.360574096251861,0.9516430510890301,0.941692393391869,0.4164144750505027,0.9693781445532834,0.9720579006387756,3.1616572029130623,3.5367811166235956,1.544831786462466,1.265282506788862,0.8912436463266443,0.8895343502173965,0.9091219927678121
DBCV,-0.6927058875386298,-0.9266117964649814,-0.9241567694638313,-0.9319038104435345,-0.8921119820824859,-0.9073214573143873,-0.9121905202230527,-0.9266117964649814,-0.9364026580857062,-0.9228396540060313,-0.9381194791549166,-0.5861994269493331,-0.9191996605375385,-0.9331444432083145,-0.8752758002090241,-0.9293479931700754,-0.9377027982370437,-0.7573828392800522,-0.8006238179736763,-0.8930077751517331,-0.9031793814721732,-0.8921119820824859,-0.9073214573143873,-0.9121905202230527
I,0.1784210494568212,0.7038460290953152,0.7263576624824888,0.7125901180652742,0.7301450652273848,0.7323388853000928,0.7122143361387311,0.7038460290953152,0.6774500349087166,0.6878581359547725,0.6741318260396746,0.15270897884844437,0.6804663428756726,0.6818057179616683,0.6446565075250593,0.6589128645663759,0.6554322743258261,0.2725564693275179,0.2705114519985349,0.42765320075012037,0.5314749767639185,0.7301450652273848,0.7323388853000928,0.7122143361387311
C,0.04238750628430154,0.14676468361610817,0.14883499279704196,0.1477920787143755,0.14956347695909883,0.14984824797597637,0.1473342364004132,0.14676468361610817,0.1442038768979176,0.14500814308498527,0.1440023483450876,0.04164487941232037,0.1444676690090518,0.14436100906704152,0.14684769986438964,0.14226931071071966,0.1423564202501521,0.0535388269005271,0.05584689824873813,0.06487928377545107,0.06357130522420928,0.14956347695909883,0.14984824797597637,0.1473342364004132
CDbw,0.2509698643799367,0.0846859240982446,0.09610818634080043,0.09228507993949588,0.08571840020014643,0.0870024804312547,0.07943767584962691,0.0846859240982446,0.07680775010389226,0.07485877463849631,0.07102320088731665,0.31087772390338586,0.07961954440887481,0.0879014738026717,0.004611245567642475,0.09594909267904246,0.06956149130061087,0.2353398610918555,0.18964559094143024,0.21090654356418767,0.1345719494249004,0.08571840020014643,0.0870024804312547,0.07943767584962691
VIASCKDE,0.4099817824586036,0.5284270316785133,0.5315121728239087,0.5262693007741173,0.5296646909923055,0.5321797688004721,0.5241184601769062,0.5284270316785133,0.5210135440669786,0.5249106990615042,0.5205582392900363,0.43300286335600735,0.5232471636163596,0.5212796359826737,0.5565580080672544,0.5263481171771086,0.5217956953579821,0.5072369908667754,0.47533621814667565,0.5121903621085528,0.5196793572823665,0.5296646909923055,0.5321797688004721,0.5241184601769062
