,labels_target_MeanShift_params1,labels_target_MeanShift_params10,labels_target_MeanShift_params11,labels_target_MeanShift_params12,labels_target_MeanShift_params13,labels_target_MeanShift_params14,labels_target_MeanShift_params15,labels_target_MeanShift_params16,labels_target_MeanShift_params17,labels_target_MeanShift_params18,labels_target_MeanShift_params19,labels_target_MeanShift_params2,labels_target_MeanShift_params20,labels_target_MeanShift_params21,labels_target_MeanShift_params22,labels_target_MeanShift_params23,labels_target_MeanShift_params24,labels_target_MeanShift_params25,labels_target_MeanShift_params26,labels_target_MeanShift_params27,labels_target_MeanShift_params28,labels_target_MeanShift_params29,labels_target_MeanShift_params3,labels_target_MeanShift_params30,labels_target_MeanShift_params31,labels_target_MeanShift_params32,labels_target_MeanShift_params4,labels_target_MeanShift_params5,labels_target_MeanShift_params6,labels_target_MeanShift_params7,labels_target_MeanShift_params8,labels_target_MeanShift_params9
cSIL,0.9183409479560006,0.9261245654262841,0.9445203708054283,0.9261245654262841,0.9247086618403915,0.9222114952559609,0.9445203708054283,0.9261245654262841,0.9359353110875558,0.9246467922687931,0.9434914593313671,0.8954500184050123,0.924904493316654,0.9436579526014112,0.9285552067255812,0.9282593520410144,0.9361720758983,0.9417899273522021,0.9266365694262773,0.9300240437141868,0.9339241872321759,0.9264491053764015,0.9211873261553838,0.927982745820253,0.9823022864732527,0.9823022864732527,0.9095228197720947,0.935078728708924,0.9190621299903724,0.9247086618403915,0.9222114952559609,0.9445203708054283
GD43,6.477247469024325,6.4320222000737,8.293456154111784,6.4320222000737,5.16008386383256,5.579761632704494,8.293456154111784,6.4320222000737,8.08682199908656,5.405762766389934,7.147686941061345,4.621424613574699,5.602139146947238,6.896772485986691,5.429315353590663,4.860253882178591,5.618343409408734,7.202766688351758,6.54808009697407,4.870596171709415,6.661305709621552,3.0618849774442527,9.328525457700755,3.0340334720557367,4.1082032814844505,4.1082032814844505,7.809053374826657,6.387035247164595,5.074701770786811,5.16008386383256,5.579761632704494,8.293456154111784
GD53,0.011738456070857373,0.00783250003193825,0.006699499163300972,0.00783250003193825,0.008095557914163805,0.008095557914163805,0.006699499163300972,0.00783250003193825,0.008154037464575313,0.005251453983348461,0.005834918719411602,0.012920896257308603,0.00699700176839883,0.005649981652885133,0.005562468337751537,0.0033059517283627344,0.00492312758451757,0.006160955419725395,0.006861740145158155,0.0032766940275751172,0.0056846777889756695,0.0017985431722153582,0.012920896257308603,0.0017788129650427144,0.001062243570785061,0.001062243570785061,0.012920896257308603,0.007518742658289566,0.006986960556027967,0.008095557914163805,0.008095557914163805,0.006699499163300972
PS,-10.88950985878229,-7.860949172266062,-5.804514482897912,-7.860949172266062,-7.852313511947319,-8.889654854293783,-5.804514482897912,-7.860949172266062,-6.82414918090914,-6.942605761357649,-5.828202037814569,-14.020297128928778,-7.907208149114945,-5.829483129502001,-6.878760680419848,-4.179418617922104,-5.841910942016001,-5.823551464362221,-7.826069245234176,-4.163487654940439,-5.7928161474921,-2.285996631082374,-9.961376956175297,-2.289873780910362,-0.4193945656881622,-0.4193945656881622,-11.023987944879101,-6.850343164196439,-8.941902495593945,-7.852313511947319,-8.889654854293783,-5.804514482897912
rCIP,9.016938785565348,5.711191014990875,1.4368654050884644,5.711191014990875,6.3479797046515,7.84931929390518,1.4368654050884644,5.711191014990875,3.2813279906442507,3.9051259639516407,1.4887530035282,18.0779512442757,5.590834930647441,1.5116524597978036,4.058975449436751,0.4342958959960901,1.9645584463967318,1.5839714776420815,5.834792297258906,0.41264762691783313,2.362897651606005,0.16277576515113995,8.253912076076883,0.16228206333566397,8.306268635833203e-05,8.306268635833203e-05,12.313442115158072,2.790702725113951,7.725293975146429,6.3479797046515,7.84931929390518,1.4368654050884644
WB,1.0713860985858266,1.1632020330720476,1.1504781459850073,1.1632020330720476,1.1309840115319467,1.1216241203967863,1.1504781459850073,1.1632020330720476,1.140901529672898,1.2763830984469042,1.1656242487421067,1.1330675596459325,1.1693087550775472,1.1692678943415016,1.2264206115150407,1.61362345188351,1.2724658709227905,1.1812616853732942,1.1700013086924568,1.5910322502699157,1.298516196322764,5.99909028234901,1.0557996797770688,6.0384886416206465,27.53072919301674,27.53072919301674,1.093435145751553,1.1272660603251645,1.1544714878647189,1.1309840115319467,1.1216241203967863,1.1504781459850073
XB,0.29753051745348036,0.17382249106489178,0.08723412218793453,0.17382249106489178,0.28112879964608956,0.223788013697232,0.08723412218793453,0.17382249106489178,0.12534202272979542,0.12892703995011712,0.09015538880807143,0.6404169152611867,0.18374502602569553,0.09105224660832094,0.13826898083614605,0.09823031977077869,0.112485396219529,0.1001895833807433,0.129412818171711,0.09492932633315505,0.10866086506996973,0.2433169843293191,0.1814699474593843,0.2432522325777435,0.08645782094465565,0.08645782094465565,0.25281130754206965,0.16896475382664275,0.2070055493590597,0.28112879964608956,0.223788013697232,0.08723412218793453
SSE,8.956522016969956,11.589083357549722,13.216659002682473,11.589083357549722,11.292085261704806,10.510500676473294,13.216659002682473,11.589083357549722,12.188658800541905,13.506651889952153,13.37525199763858,8.099871326524932,11.645235241120456,13.41334973133827,13.023528106818258,20.990332199454528,14.48369534617884,13.53860729640889,11.651600482574288,20.73679929482552,14.751257356492383,69.71998634003165,9.351780288670795,69.96580838019612,127.85236669982073,127.85236669982073,9.12970735059886,12.054609955372182,10.796309174904884,11.292085261704806,10.510500676473294,13.216659002682473
RS,0.38378565484301297,0.16280655129424762,0.17070482559045433,0.16280655129424762,0.25095909979491704,0.27581159476668593,0.17070482559045433,0.16280655129424762,0.17950590165507221,0.08761622859220317,0.16137924839556414,0.409431481139166,0.1718954730156968,0.1617918651265454,0.11112091527738324,-0.1320468617509617,0.06032062431572132,0.14685330186012815,0.15458653044509849,-0.10925872050539942,0.019712125795138716,-0.2095567156199216,0.3414953570598428,-0.18955559840511865,0.13302644919586512,0.13302644919586512,0.3338455247761749,0.22187104587706097,0.26925608746110213,0.25095909979491704,0.27581159476668593,0.17070482559045433
DH,0.10922123103290422,0.1293701278005608,0.12928722675274926,0.1293701278005608,0.12179956058490113,0.11977197145866172,0.12928722675274926,0.1293701278005608,0.128584488726132,0.13366865939534486,0.12980788267054594,0.10427686708418782,0.12829206228274037,0.12980914303349264,0.1328000773419532,0.14514805108685896,0.13588285167942565,0.13036674258781103,0.12972747921838232,0.14388945317149046,0.13887681391278542,0.13557194763807062,0.11482468473709764,0.13445150685428883,0.08184983501659936,0.08184983501659936,0.11434151553454124,0.12459894165752797,0.11955230733367105,0.12179956058490113,0.11977197145866172,0.12928722675274926
