,labels_x2_MeanShift_params1,labels_x2_MeanShift_params10,labels_x2_MeanShift_params11,labels_x2_MeanShift_params12,labels_x2_MeanShift_params13,labels_x2_MeanShift_params14,labels_x2_MeanShift_params15,labels_x2_MeanShift_params16,labels_x2_MeanShift_params17,labels_x2_MeanShift_params18,labels_x2_MeanShift_params19,labels_x2_MeanShift_params2,labels_x2_MeanShift_params20,labels_x2_MeanShift_params21,labels_x2_MeanShift_params22,labels_x2_MeanShift_params23,labels_x2_MeanShift_params24,labels_x2_MeanShift_params25,labels_x2_MeanShift_params26,labels_x2_MeanShift_params27,labels_x2_MeanShift_params28,labels_x2_MeanShift_params29,labels_x2_MeanShift_params3,labels_x2_MeanShift_params30,labels_x2_MeanShift_params31,labels_x2_MeanShift_params32,labels_x2_MeanShift_params4,labels_x2_MeanShift_params5,labels_x2_MeanShift_params6,labels_x2_MeanShift_params7,labels_x2_MeanShift_params8,labels_x2_MeanShift_params9
cSIL,0.9233291804621858,0.9102736769519354,0.8664772848986795,0.8962774882483636,0.9117865021023307,0.9102736769519354,,0.9102736769519354,0.848870464654661,0.8518521313253467,0.8552900524361698,0.9328026232635669,0.9034702182665492,0.8789548820423219,0.8957845669160014,0.8843171892629003,0.8749133832641408,0.8552900524361698,0.902749290393345,0.8411177743056416,0.8411177743056416,0.8411177743056416,0.9206357671001342,0.8411177743056416,0.8411177743056416,0.8411177743056416,0.916464181965794,0.9117865021023307,0.9102736769519354,0.9117865021023307,0.9102736769519354,
GD43,4.913552941615208,4.65032379594173,2.577191129343512,2.0591513729676425,4.442797796705351,4.65032379594173,,4.65032379594173,2.439558383852817,2.3718689737176737,3.015956060308652,3.013994496514579,2.0582317473685636,3.1237045235083367,2.53706907054773,3.396348791947755,2.5448464162902633,3.015956060308652,2.139405748799939,1.8856494138322382,1.8856494138322382,1.8856494138322382,4.758131257468427,1.8856494138322382,1.8856494138322382,1.8856494138322382,2.704160784864462,4.442797796705351,4.65032379594173,4.442797796705351,4.65032379594173,
GD53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1892275532957628,0.0,0.0,0.0,0.0,0.346610729888062,0.1440380112057754,0.1892275532957628,0.0,0.2665958277999349,0.2665958277999349,0.2665958277999349,0.0,0.2665958277999349,0.2665958277999349,0.2665958277999349,0.0,0.0,0.0,0.0,0.0,
PS,-11.866833581135149,-6.7579778471651135,-3.824049109975129,-5.367490725209062,-6.741461266020875,-6.7579778471651135,,-6.7579778471651135,-2.326716570003446,-4.487976664573093,-1.3027234843264601,-15.179822187906707,-2.587590220454019,-2.3062386200606784,-3.640174235358319,0.3328022114021808,-1.2090880417507026,-1.3027234843264601,-2.607547008377508,1.409151854752652,1.409151854752652,1.409151854752652,-7.381433531493933,1.409151854752652,1.409151854752652,1.409151854752652,-10.891025040623315,-6.741461266020875,-6.7579778471651135,-6.741461266020875,-6.7579778471651135,
rCIP,4.006645908950159,1.1718177487663306,1.1384119728621285,1.0034796734169544,1.3058456711713613,1.1718177487663306,,1.1718177487663306,0.466255956285781,0.9342839727488601,0.49254940630686284,7.5810454888184395,0.41632046226609104,0.46346662330082644,0.3511871901374193,0.12238498861609619,0.2507392224675109,0.49254940630686284,0.36352540231660835,0.011616547820151533,0.011616547820151533,0.011616547820151533,0.9415973957937802,0.011616547820151533,0.011616547820151533,0.011616547820151533,0.8072083456048089,1.3058456711713613,1.1718177487663306,1.3058456711713613,1.1718177487663306,
WB,1.003950507464698,0.9935017466843841,2.0556302699589932,2.489118163017468,1.0043619713645466,0.9935017466843841,,0.9935017466843841,1.8744573823943915,2.1862717526562827,1.7390319900224855,1.1573827337044027,1.9722168933450481,1.8512254398825951,2.121739183711535,1.2991223614129268,1.6984697816995522,1.7390319900224855,2.0052909520062228,1.3521670151094083,1.3521670151094083,1.3521670151094083,1.0267925219624625,1.3521670151094083,1.3521670151094083,1.3521670151094083,1.183691200772118,1.0043619713645466,0.9935017466843841,1.0043619713645466,0.9935017466843841,
XB,0.25072520357779565,0.17214209240099004,0.3487934164532306,0.6253240877887907,0.17056390484909842,0.17214209240099004,,0.17214209240099004,0.32089898080786394,0.44148904719399534,0.22337158028610513,0.3713147879764104,0.4543162759142739,0.285156963208555,0.433251664096438,0.16057114632046987,0.257380847298251,0.22337158028610513,0.46023858956924846,0.14418419803475668,0.14418419803475668,0.14418419803475668,0.15825404007612084,0.14418419803475668,0.14418419803475668,0.14418419803475668,0.46676962464606436,0.17056390484909842,0.17214209240099004,0.17056390484909842,0.17214209240099004,
SSE,2.069856411516607,2.9281000728105764,7.668407524655016,8.219727612250882,2.9578123621391352,2.9281000728105764,2.736664152616913,2.9281000728105764,8.71118926021244,8.060508953590126,9.267543131846118,2.0612525804392825,9.065642683674913,8.625804170190454,8.645309417765574,10.110899580888393,9.099072006414719,9.267543131846118,9.183819342322245,16.63597947589759,16.63597947589759,16.63597947589759,2.8181239690784774,16.63597947589759,16.63597947589759,16.63597947589759,2.684726554768564,2.9578123621391352,2.9281000728105764,2.9578123621391352,2.9281000728105764,2.736664152616913
RS,0.47825143052938507,0.34626294635476135,0.024645265264681505,0.3007178808182641,0.35510130983239085,0.34626294635476135,0.34615882645729124,0.34626294635476135,-0.006732808394839677,0.022849241692475184,-0.12506332712534154,0.4849492378687161,0.1192410065142025,0.12395416358598436,0.2023504658734526,0.09697716503439516,-0.0033534627493412607,-0.12506332712534154,0.10625005947280335,-0.0024640547795846787,-0.0024640547795846787,-0.0024640547795846787,0.39116427845185514,-0.0024640547795846787,-0.0024640547795846787,-0.0024640547795846787,0.4616225726329264,0.35510130983239085,0.34626294635476135,0.35510130983239085,0.34626294635476135,0.34615882645729124
DH,0.09170304915670469,0.12553039285346476,0.18066518419433317,0.12000699429327864,0.1246242186256509,0.12553039285346476,0.12426076902804793,0.12553039285346476,0.20837674926015887,0.16283857790671438,0.25386890789262195,0.07209223320616477,0.17096286328487836,0.18828743981069368,0.14676445293566193,0.29177076244047306,0.23065186402376542,0.25386890789262195,0.17204193591345046,0.4437981247994458,0.4437981247994458,0.4437981247994458,0.11783056455266828,0.4437981247994458,0.4437981247994458,0.4437981247994458,0.08565118621566993,0.1246242186256509,0.12553039285346476,0.1246242186256509,0.12553039285346476,0.12426076902804793
