,labels_aggregation_MeanShift_params1,labels_aggregation_MeanShift_params10,labels_aggregation_MeanShift_params11,labels_aggregation_MeanShift_params12,labels_aggregation_MeanShift_params13,labels_aggregation_MeanShift_params14,labels_aggregation_MeanShift_params15,labels_aggregation_MeanShift_params16,labels_aggregation_MeanShift_params17,labels_aggregation_MeanShift_params18,labels_aggregation_MeanShift_params19,labels_aggregation_MeanShift_params2,labels_aggregation_MeanShift_params20,labels_aggregation_MeanShift_params21,labels_aggregation_MeanShift_params22,labels_aggregation_MeanShift_params23,labels_aggregation_MeanShift_params24,labels_aggregation_MeanShift_params25,labels_aggregation_MeanShift_params26,labels_aggregation_MeanShift_params3,labels_aggregation_MeanShift_params4,labels_aggregation_MeanShift_params5,labels_aggregation_MeanShift_params6,labels_aggregation_MeanShift_params7,labels_aggregation_MeanShift_params8,labels_aggregation_MeanShift_params9
cSIL,0.8452031092006421,0.8864915016989071,0.8873319625935239,0.8899012915445639,0.8766307195571849,0.876986556777448,0.8873319625935239,0.8864915016989071,0.908549087103221,0.8881374188113014,0.8858637689200805,0.8386068592292675,0.8864915016989071,0.908549087103221,0.8745414478687611,0.9022869070732711,0.9022869070732711,0.8820339748139,0.8820339748139,0.8704375465533543,0.8719462649212788,0.8441329408129626,0.8830700208879171,0.8766307195571849,0.876986556777448,0.8873319625935239
GD43,3.9264852941634696,2.293702915084024,2.2786785563480447,2.2057498394521287,3.473712988032073,3.1292851406809015,2.2786785563480447,2.293702915084024,3.2546289953873373,2.2648334551443052,2.303588429999911,3.3416709941319183,2.293702915084024,3.2546289953873373,2.603302382591805,3.3964749960749256,3.3964749960749256,2.2969709895215944,2.2969709895215944,2.4341455627012962,2.764000533169655,2.1094438793408754,3.3487826970741796,3.473712988032073,3.1292851406809015,2.2786785563480447
GD53,0.21097673931638194,0.1656598008901722,0.16457468552482263,0.14895689993167757,0.23255492712265607,0.19697626751967495,0.16457468552482263,0.1656598008901722,0.28908575669999276,0.16357474054780202,0.1663737697402326,0.1405636026451002,0.1656598008901722,0.28908575669999276,0.1721488616548979,0.34025294079544377,0.34025294079544377,0.326848924106652,0.326848924106652,0.1608596568707537,0.15879058001550816,0.18511656383308642,0.20348797767519963,0.23255492712265607,0.19697626751967495,0.16457468552482263
PS,-1.1642950081271564,0.7005452633977023,0.6920222612441735,0.6665751431161395,0.08898325782273059,-0.11031176978046026,0.6920222612441735,0.7005452633977023,1.6594989648587417,0.6836397626765307,0.7085791647652615,-1.6527682824631127,0.7005452633977023,1.6594989648587417,0.16618330042227342,1.7625329449523586,1.7625329449523586,1.8472355291750404,1.8472355291750404,-0.24586333734973653,-1.420219417064964,0.23458817693903156,-0.17585351820802841,0.08898325782273059,-0.11031176978046026,0.6920222612441735
rCIP,4.540675020962073,0.048969509697590966,0.04900039831663079,0.04306877084376451,0.4532607346620645,0.3722119281006885,0.04900039831663079,0.048969509697590966,0.024726964067412406,0.04902863517756399,0.04913145438047925,5.714980601682148,0.048969509697590966,0.024726964067412406,0.25902308746391334,0.043308354907551846,0.043308354907551846,0.017475870422218535,0.017475870422218535,0.9322727167600868,0.4745698959211274,0.6230947649241964,0.33342248150643794,0.4532607346620645,0.3722119281006885,0.04900039831663079
WB,0.5466607872506605,0.9052959165755986,0.903597839022734,0.9038346013930182,0.7219715659748275,0.725425892761504,0.903597839022734,0.9052959165755986,0.866622379310846,0.9021180466989226,0.9064090843130096,0.5348726619463404,0.9052959165755986,0.866622379310846,0.9107336574052147,0.8673405819645466,0.8673405819645466,1.356551615096204,1.356551615096204,0.7131693599506507,0.7107960659934627,0.7219820376487553,0.7323438715431447,0.7219715659748275,0.725425892761504,0.903597839022734
XB,0.24272416389046203,0.22405660749492717,0.2237006665453532,0.23879061780417837,0.209118945479029,0.227586611725998,0.2237006665453532,0.22405660749492717,0.1260319556670518,0.22339031423871739,0.22428983205698508,0.2994214333409093,0.22405660749492717,0.1260319556670518,0.20203689506428468,0.1253364972937686,0.1253364972937686,0.14602680810619514,0.14602680810619514,0.3366287439073434,0.3017417997903371,0.4648624833099822,0.20754757137456514,0.209118945479029,0.227586611725998,0.2237006665453532
SSE,21.03052079550604,85.79151025248996,85.65522008918671,85.67422768345993,52.3223585294339,52.54919153548788,85.65522008918671,85.79151025248996,99.6546728567373,85.53638586512915,85.88081218217027,19.26806577443599,85.79151025248996,99.6546728567373,73.75010589370197,99.72254366615479,99.72254366615479,174.2564554466579,174.2564554466579,41.08914759620242,45.66490788943409,46.32406066335563,53.002860522723864,52.3223585294339,52.54919153548788,85.65522008918671
RS,0.4945867420948148,0.40938507659975937,0.41216568812394216,0.43132480531237877,0.40584502515580884,0.42473994202651166,0.41216568812394216,0.40938507659975937,0.3656657695242516,0.4147787564638372,0.40749128806070656,0.5125889924648136,0.40938507659975937,0.3656657695242516,0.34985511455482227,0.33440630970687907,0.33440630970687907,0.1369909045006095,0.1369909045006095,0.4187202562161257,0.4640337388437522,0.4080529216071622,0.42512987490962706,0.40584502515580884,0.42473994202651166,0.41216568812394216
DH,0.17469327923489603,0.27228724753822187,0.2717373254457991,0.2656582194004805,0.24894946574637944,0.243513463412025,0.2717373254457991,0.27228724753822187,0.31227464283552936,0.2712022356073854,0.27271192726959553,0.16713562386080305,0.27228724753822187,0.31227464283552936,0.2708952951990839,0.3248801283752851,0.3248801283752851,0.40414265188557885,0.40414265188557885,0.22337249644643353,0.22184484374694527,0.23566018834619587,0.24295166058832895,0.24894946574637944,0.243513463412025,0.2717373254457991
B,0.03572580162712925,0.1321499106441998,0.1317946472004701,0.13163190397914185,0.08548243816503377,0.08497196882724999,0.1317946472004701,0.1321499106441998,0.142060358799866,0.13146523399403331,0.13244028115504744,0.033850500751552236,0.1321499106441998,0.142060358799866,0.12143335353606093,0.14679215678409735,0.14679215678409735,0.26532490997294894,0.26532490997294894,0.07436911215184525,0.07313523138640744,0.07978904001332521,0.08541641815080435,0.08548243816503377,0.08497196882724999,0.1317946472004701
BH,1.50218005682186,17.158302050497994,17.131044017837343,17.134845536691987,7.474622647061987,7.507027362212554,17.131044017837343,17.158302050497994,24.913668214184323,17.107277173025828,17.17616243643406,1.2845377182957332,17.158302050497994,24.913668214184323,12.291684315616992,24.930635916538698,24.930635916538698,58.08548514888596,58.08548514888596,4.565460844022492,5.708113486179261,5.790507582919455,7.571837217531981,7.474622647061987,7.507027362212554,17.131044017837343
D,0.22188122613954353,0.36511595487401427,0.3740756277638384,0.3668519554125968,0.3606043996380349,0.3424197995465992,0.3740756277638384,0.36511595487401427,0.4114837102036972,0.3745674278538374,0.36511595487401427,0.18933760395855873,0.36511595487401427,0.4114837102036972,0.26308707729125824,0.3680065143765411,0.3680065143765411,0.3268217519443814,0.3268217519443814,0.22402502785538894,0.28276345136470143,0.2110025181069868,0.38771805465616327,0.3606043996380349,0.3424197995465992,0.3740756277638384
H,2.1169039493390396,0.5329314783013912,0.5299001424147445,0.5059348935265657,0.8432082506280175,0.8333743626184483,0.5299001424147445,0.5329314783013912,0.3553202795937203,0.5269630516547125,0.5351973172797321,2.3789677374272746,0.5329314783013912,0.3553202795937203,0.732324425201696,0.3843489820702996,0.3843489820702996,0.35223185756986986,0.35223185756986986,1.1466164105158343,0.9972288651842166,1.2349200866216883,0.7926312859397927,0.8432082506280175,0.8333743626184483,0.5299001424147445
DBCV,-0.3005931178292277,-0.46743500087566237,-0.4675926525800942,-0.38194417750403,-0.2898477218817092,-0.3031223840799812,-0.4675926525800942,-0.46743500087566237,-0.6953553173450554,-0.4669841055999611,-0.46719352866737085,-0.29837374368580466,-0.46743500087566237,-0.6953553173450554,-0.4689345187093006,-0.8530453055518444,-0.8530453055518444,-0.9052052345024145,-0.9052052345024145,-0.30137734888916307,-0.19623536828973817,-0.28509242807567653,-0.3166998694315269,-0.2898477218817092,-0.3031223840799812,-0.4675926525800942
I,0.6854670622437857,0.9387169242288231,0.9409114189304603,0.9340917802239566,0.910512595374944,0.9397237817675779,0.9409114189304603,0.9387169242288231,1.159895878480709,0.9431233566135272,0.9359257301911222,0.6747597418268729,0.9387169242288231,1.159895878480709,0.7601913059986044,1.0946125553120878,1.0946125553120878,0.7362464823645862,0.7362464823645862,0.8091943090618854,0.8339224906373768,0.8646556742347439,0.9274770672863126,0.910512595374944,0.9397237817675779,0.9409114189304603
C,0.025109100765256038,0.037073747333252006,0.03703330764509431,0.03666820240495736,0.03015084879573499,0.02884591159199879,0.03703330764509431,0.037073747333252006,0.03505094920026675,0.03699086770421894,0.03716587145254803,0.024349353610446777,0.037073747333252006,0.03505094920026675,0.04393756141903661,0.03884327376987707,0.03884327376987707,0.0830418618708819,0.0830418618708819,0.03913165032824054,0.029253893391136,0.036510773972770576,0.027426116626345576,0.03015084879573499,0.02884591159199879,0.03703330764509431
CDbw,0.3863158971393126,0.12165125708408364,0.1216651658854865,0.14550136400048855,0.22489192761726823,0.211706017527888,0.1216651658854865,0.12165125708408364,0.03282103741782647,0.12310078053951941,0.12128548438889068,0.2811867545906977,0.12165125708408364,0.03282103741782647,0.20145643081268558,0.040510174106437855,0.040510174106437855,0.03193022375395456,0.03193022375395456,0.1765431114464086,0.401558791898279,0.2076885284975504,0.22517666541948764,0.22489192761726823,0.211706017527888,0.1216651658854865
VIASCKDE,0.45726847089417977,0.5915018183417583,0.5912652012063916,0.6081673610312824,0.5634376345312,0.5730286183516498,0.5912652012063916,0.5915018183417583,0.6129911461086741,0.5926907749223272,0.5905951786689175,0.4377359384708665,0.5915018183417583,0.6129911461086741,0.5569654919871754,0.5904447974598922,0.5904447974598922,0.5921919017754959,0.5921919017754959,0.5256094243074847,0.5619838476090792,0.546183599651074,0.5728371816364859,0.5634376345312,0.5730286183516498,0.5912652012063916
COP,0.14227278110531114,0.18242831128374778,0.18339913921563683,0.18316767183384622,0.1733170269344686,0.17513847695644982,0.18339913921563683,0.18242831128374778,0.19917025872125832,0.18306180608290798,0.1827214544767898,0.14001038481657446,0.18242831128374778,0.19917025872125832,0.18658657690211486,0.19865057366103664,0.19865057366103664,0.22259101997315858,0.22259101997315858,0.16224082856779898,0.16121195608925928,0.16492539206201984,0.17478659819617579,0.1733170269344686,0.17513847695644982,0.18339913921563683
