,labels_mk1_DBSCAN_params11,labels_mk1_DBSCAN_params16,labels_mk1_DBSCAN_params17,labels_mk1_DBSCAN_params21,labels_mk1_DBSCAN_params22,labels_mk1_DBSCAN_params23,labels_mk1_DBSCAN_params26,labels_mk1_DBSCAN_params27,labels_mk1_DBSCAN_params28,labels_mk1_DBSCAN_params31,labels_mk1_DBSCAN_params32,labels_mk1_DBSCAN_params33,labels_mk1_DBSCAN_params34,labels_mk1_DBSCAN_params36,labels_mk1_DBSCAN_params37,labels_mk1_DBSCAN_params38,labels_mk1_DBSCAN_params39,labels_mk1_DBSCAN_params41,labels_mk1_DBSCAN_params42,labels_mk1_DBSCAN_params43,labels_mk1_DBSCAN_params44,labels_mk1_DBSCAN_params45,labels_mk1_DBSCAN_params46,labels_mk1_DBSCAN_params47,labels_mk1_DBSCAN_params48,labels_mk1_DBSCAN_params49,labels_mk1_DBSCAN_params50
cSIL,0.9957984994273824,0.8956712177277292,0.935251723321858,0.8251255001175248,0.8064947852486333,0.951261477192178,0.8598776810671692,0.8650075130901319,0.8431459888199405,0.9437732095611197,0.9449189968312006,0.9487475890155656,0.9038956482626875,0.8656122875764363,0.8668100096550995,0.9421942986717952,0.9462401606443563,0.8656122875764363,0.8656122875764363,0.8668246805185069,0.9408506812152347,0.9640824000740528,0.86390302699956,0.86390302699956,0.86390302699956,0.86390302699956,0.945893120441509
GD43,295.71017049097844,3.7647871049074166,21.3378925691127,1.245495145308492,1.5581248257192009,26.811132808442544,3.078387368802012,3.782906108227718,5.175506302538408,6.630083515412071,7.021957365238068,7.946437610298296,4.230396238820927,1.7637171595926204,1.7837210720315937,6.858419032623775,7.555421643977271,1.7637171595926204,1.7637171595926204,1.777968420168269,6.636030245176549,10.74312513885985,1.755980389770658,1.755980389770658,1.755980389770658,1.755980389770658,7.371070259565422
GD53,0.18066426326439133,0.007387678158993583,0.1246906007444005,0.002309571512842207,0.023685840520951268,0.43535086547442914,0.01551206194334526,0.03264176542337153,0.17403438593515755,0.4356664793456537,0.45371583116616415,0.47925853780601346,0.2972201867232314,0.37078783830521256,0.37076200455857,0.47457014568351347,0.48069640032116456,0.37078783830521256,0.37078783830521256,0.37055315657257415,0.4712400614210475,0.42862794722731246,0.3713235064228997,0.3713235064228997,0.3713235064228997,0.3713235064228997,0.4763205720133271
PS,0.8322942138508146,-20.05767135540186,-2.146449016774934,-12.203395442930239,-5.358924174833859,1.0118306110301365,-0.8506606282764169,0.09911802812265025,-1.8244679986101553,2.5865861699391104,2.598253877093918,2.686088817422409,1.1673865022183845,1.4533687222225316,1.4558310337803206,2.63250426485508,2.63544608107527,1.4533687222225316,1.4533687222225316,1.4558310337803206,2.6995007795866366,2.5054657502783977,1.4583687222225317,1.4583687222225317,1.4583687222225317,1.4583687222225317,2.6353587341468945
rCIP,6.60354945899481e-13,8.785514725560056,2.2077454447122133,11.59749345020948,16.173126628884724,0.003418200364654491,0.5796537677407481,0.7973999481371373,1.6318553475447477,0.0028374998533665344,0.001965209796349485,0.0009698743250553094,0.3086866438565554,3.688037258079178e-05,3.802049498711311e-05,0.003132748177294775,0.0015034412396738041,3.688037258079178e-05,3.688037258079178e-05,2.9393242219229853e-05,0.003307972320803531,1.5495023859089553e-05,5.3781439087144565e-05,5.3781439087144565e-05,5.3781439087144565e-05,5.3781439087144565e-05,0.002115519777551913
WB,0.002094754872722475,0.2069133611545131,0.03814944490000408,1.1009128871456795,0.3228189234143892,0.03469156857796475,0.693895385535374,0.501352019986703,0.20333273414898606,0.4275008504610698,0.4142844440538467,0.3767446510626069,0.25369876252806073,1.6066909605768696,1.5862221867867499,0.4369246427209499,0.3970448223041382,1.6066909605768696,1.6066909605768696,1.5862813766016393,0.45314314031727365,0.27262947588859004,1.6176277898328477,1.6176277898328477,1.6176277898328477,1.6176277898328477,0.40549545942363957
XB,0.013034114288953564,0.5652817528086128,0.13032657138938253,2.5946158731415654,2.404191867453259,0.07593828432675495,0.40241689058899976,0.3068489645938974,0.28353280902786065,0.06868120532275993,0.06725452234705576,0.062787191090181,0.3361222920084311,0.17730700659489798,0.17534778246389368,0.07042173584022945,0.0659155601015244,0.17730700659489798,0.17730700659489798,0.17535432555909924,0.07205269890454481,0.04333563986050315,0.17913127503434179,0.17913127503434179,0.17913127503434179,0.17913127503434179,0.06623880109422317
SSE,0.0012829694299833735,0.6141280451726102,0.1285327912328537,8.267517775058673,2.8694555607699836,0.16754861640508925,15.82119354122667,12.201143154828612,2.436762819423481,20.155340379326184,19.02997469103539,16.217310476900963,5.739185100509509,74.28197594578532,73.18005451477201,20.588463733322165,17.605037857779116,74.28197594578532,74.28197594578532,73.56867166176312,21.49183553111794,8.953752974747612,74.63891778650803,74.63891778650803,74.63891778650803,74.63891778650803,18.516882140015742
RS,0.9980217513463886,0.8987262393744073,0.9664863722935869,0.737171024524787,0.8162763846456446,0.9656054234640464,0.666746353512994,0.7047206892828808,0.8443678991603516,0.6269462726686378,0.6365508874245799,0.6653256908224773,0.7965804017639837,0.27062530027992604,0.27427737904346156,0.6188033833327855,0.6494611448582452,0.27062530027992604,0.27062530027992604,0.2746087628995996,0.6062838646135619,0.7527280068070099,0.2637808574430233,0.2637808574430233,0.2637808574430233,0.2637808574430233,0.6429290521286614
DH,0.017714838672292923,0.045532001514299286,0.052680215622695176,0.07658789944880318,0.10327099683830969,0.08622464876708605,0.16209825051909954,0.17578155321684663,0.1291266479328701,0.2690375716836524,0.26595403633508374,0.2550089622345495,0.17423101914537648,0.3924951241111183,0.3915323013663834,0.2721221226026252,0.2609492425789063,0.3924951241111183,0.3924951241111183,0.390953408638767,0.2764731791456907,0.21685466687419863,0.3959769610395307,0.3959769610395307,0.3959769610395307,0.3959769610395307,0.2636050759249532
