,labels_s1_MeanShift_params1,labels_s1_MeanShift_params10,labels_s1_MeanShift_params11,labels_s1_MeanShift_params12,labels_s1_MeanShift_params13,labels_s1_MeanShift_params14,labels_s1_MeanShift_params15,labels_s1_MeanShift_params16,labels_s1_MeanShift_params17,labels_s1_MeanShift_params18,labels_s1_MeanShift_params2,labels_s1_MeanShift_params3,labels_s1_MeanShift_params4,labels_s1_MeanShift_params5,labels_s1_MeanShift_params6,labels_s1_MeanShift_params7,labels_s1_MeanShift_params8,labels_s1_MeanShift_params9
cSIL,0.9500749847060865,0.8251113403006052,0.8276451572902586,0.8281887959795954,0.8698216311574851,0.8366065696665675,0.8252448868337515,0.8251113403006052,0.7084252470062434,0.7084824036989819,0.9500749847060865,0.9500686934800916,0.9500686934800916,0.855775595602596,0.8618755232193269,0.8698216311574851,0.8366065696665675,0.8252448868337515
GD43,15.790269191728934,1.8004868197851003,1.8106630681733302,1.8208033221996764,3.135405950776313,2.148316951906532,1.7983924744045188,1.8004868197851003,1.3013538105338454,1.3021402713782613,15.790269191728934,15.786112403779853,15.786112403779853,3.567498798657038,4.128989006017322,3.135405950776313,2.148316951906532,1.7983924744045188
GD53,0.254801093478722,0.22940260991598363,0.2228824608744693,0.22400582936019584,0.20770583378488097,0.21147944709458935,0.22873496977709867,0.22940260991598363,0.480201483046838,0.4804002134844757,0.254801093478722,0.254801093478722,0.254801093478722,0.2871669379358435,0.3202154615429287,0.20770583378488097,0.21147944709458935,0.22873496977709867
PS,3.076136115768013,1.5564839742913508,1.5090294278619807,1.5203196892659951,1.9873546132709676,0.8042280163680882,1.553117748443833,1.5564839742913508,1.9538145820951431,1.954607272600867,3.076136115768013,3.075397372400093,3.075397372400093,1.9260174792603761,2.5109534032276333,1.9873546132709676,0.8042280163680882,1.553117748443833
rCIP,0.017700324044422712,0.49629784430994106,0.4968314406868487,0.49048363433766784,0.43504968433105895,1.0953605925111791,0.49470701180178794,0.49629784430994106,0.02255112553574702,0.022520559826847402,0.017700324044422712,0.01776018732636444,0.01776018732636444,1.0131394775178493,0.9198213873387604,0.43504968433105895,1.0953605925111791,0.49470701180178794
WB,0.2355532595406913,1.4993583076271844,1.4942588429247252,1.4858642283949608,1.021158241116932,0.9519895283578557,1.5002980289839378,1.4993583076271844,3.2903817680074177,3.2894639090745645,0.2355532595406913,0.23555479028388127,0.23555479028388127,0.8907416004331193,0.8585907236819813,1.021158241116932,0.9519895283578557,1.5002980289839378
XB,0.06147734400540224,0.2764355791603225,0.27504501030059464,0.27385382082995247,0.19001427376512356,0.4048300791780097,0.2763065257643852,0.2764355791603225,0.41128824470143543,0.4111750281316606,0.06147734400540224,0.06151011815051437,0.06151011815051437,0.2228440863434843,0.20010818828895985,0.19001427376512356,0.4048300791780097,0.2763065257643852
SSE,41.14826583077227,613.9819423662373,612.3742047685396,609.7220799253514,338.82590787627794,283.03051005674496,614.2779384742253,613.9819423662373,1655.3122358664077,1655.1376424305472,41.14826583077227,41.14852909856987,41.14852909856987,266.64558413272323,257.95396213518376,338.82590787627794,283.03051005674496,614.2779384742253
RS,0.7685701690310349,-0.037629290553721655,-0.029964530729836472,-0.027107305920521078,0.17378557026862296,0.20258116080609914,-0.03718972658338695,-0.037629290553721655,-0.24366353813460043,-0.2435554330894225,0.7685701690310349,0.7685665017757303,0.7685665017757303,0.2129851613356793,0.23305357844714164,0.17378557026862296,0.20258116080609914,-0.03718972658338695
DH,0.007855557872647809,0.09403771163473917,0.09354845176482808,0.09341249496334475,0.04729650763728131,0.03836014147790305,0.09398861013432559,0.09403771163473917,0.6138376139055041,0.6138023020526515,0.007855557872647809,0.007855458041228901,0.007855458041228901,0.03705991652538871,0.036866385782910224,0.04729650763728131,0.03836014147790305,0.09398861013432559
