,labels_ionosphere_HDBSCAN_params1,labels_ionosphere_HDBSCAN_params10,labels_ionosphere_HDBSCAN_params11,labels_ionosphere_HDBSCAN_params12,labels_ionosphere_HDBSCAN_params13,labels_ionosphere_HDBSCAN_params14,labels_ionosphere_HDBSCAN_params2,labels_ionosphere_HDBSCAN_params22,labels_ionosphere_HDBSCAN_params23,labels_ionosphere_HDBSCAN_params24,labels_ionosphere_HDBSCAN_params25,labels_ionosphere_HDBSCAN_params26,labels_ionosphere_HDBSCAN_params27,labels_ionosphere_HDBSCAN_params28,labels_ionosphere_HDBSCAN_params29,labels_ionosphere_HDBSCAN_params3,labels_ionosphere_HDBSCAN_params30,labels_ionosphere_HDBSCAN_params31,labels_ionosphere_HDBSCAN_params32,labels_ionosphere_HDBSCAN_params33,labels_ionosphere_HDBSCAN_params34,labels_ionosphere_HDBSCAN_params35,labels_ionosphere_HDBSCAN_params4,labels_ionosphere_HDBSCAN_params43,labels_ionosphere_HDBSCAN_params44,labels_ionosphere_HDBSCAN_params45,labels_ionosphere_HDBSCAN_params46,labels_ionosphere_HDBSCAN_params47,labels_ionosphere_HDBSCAN_params48,labels_ionosphere_HDBSCAN_params49,labels_ionosphere_HDBSCAN_params5,labels_ionosphere_HDBSCAN_params6,labels_ionosphere_HDBSCAN_params7,labels_ionosphere_HDBSCAN_params8,labels_ionosphere_HDBSCAN_params9
cSIL,0.9269529071812087,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9269529071812087,0.8616436171475353,0.8616436171475353,0.8616436171475353,0.8616436171475353,0.8616436171475353,0.8616436171475353,0.8616436171475353,0.9325294515273796,0.9269529071812087,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9325294515273796,0.9269529071812087,0.8127571051694082,0.8127571051694082,0.8127571051694082,0.8127571051694082,0.8127571051694082,0.8127571051694082,0.8127571051694082,0.9269529071812087,0.9269529071812087,0.9269529071812087,0.9325294515273796,0.9325294515273796
GD43,1.2025501859213164,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.2025501859213164,0.5176971853042938,0.5176971853042938,0.5176971853042938,0.5176971853042938,0.5176971853042938,0.5176971853042938,0.5176971853042938,1.8049849791987513,1.2025501859213164,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.8049849791987513,1.2025501859213164,0.49243529010000725,0.49243529010000725,0.49243529010000725,0.49243529010000725,0.49243529010000725,0.49243529010000725,0.49243529010000725,1.2025501859213164,1.2025501859213164,1.2025501859213164,1.8049849791987513,1.8049849791987513
GD53,0.1548205255309805,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.1548205255309805,0.11872679881984945,0.11872679881984945,0.11872679881984945,0.11872679881984945,0.11872679881984945,0.11872679881984945,0.11872679881984945,0.35569282256917223,0.1548205255309805,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.35569282256917223,0.1548205255309805,0.4792772902324655,0.4792772902324655,0.4792772902324655,0.4792772902324655,0.4792772902324655,0.4792772902324655,0.4792772902324655,0.1548205255309805,0.1548205255309805,0.1548205255309805,0.35569282256917223,0.35569282256917223
PS,-0.050184224494258634,0.9246633303791634,0.9246633303791634,0.9246633303791634,0.9246633303791634,0.9246633303791634,-0.050184224494258634,0.8434087859147075,0.8434087859147075,0.8434087859147075,0.8434087859147075,0.8434087859147075,0.8434087859147075,0.8434087859147075,0.9246633303791634,-0.050184224494258634,0.9246633303791634,0.9246633303791634,0.9246633303791634,0.9246633303791634,0.9246633303791634,0.9246633303791634,-0.050184224494258634,1.1262900705371384,1.1262900705371384,1.1262900705371384,1.1262900705371384,1.1262900705371384,1.1262900705371384,1.1262900705371384,-0.050184224494258634,-0.050184224494258634,-0.050184224494258634,0.9246633303791634,0.9246633303791634
rCIP,2.928314917287717e-14,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,2.928314917287717e-14,8.206084938832734e-15,8.206084938832734e-15,8.206084938832734e-15,8.206084938832734e-15,8.206084938832734e-15,8.206084938832734e-15,8.206084938832734e-15,6.464601273004007e-15,2.928314917287717e-14,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,6.464601273004007e-15,2.928314917287717e-14,3.1541513257476315e-16,3.1541513257476315e-16,3.1541513257476315e-16,3.1541513257476315e-16,3.1541513257476315e-16,3.1541513257476315e-16,3.1541513257476315e-16,2.928314917287717e-14,2.928314917287717e-14,2.928314917287717e-14,6.464601273004007e-15,6.464601273004007e-15
WB,0.9506001072525367,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.9506001072525367,1.066981016962519,1.066981016962519,1.066981016962519,1.066981016962519,1.066981016962519,1.066981016962519,1.066981016962519,0.7992584626079764,0.9506001072525367,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.7992584626079764,0.9506001072525367,4.267669900729756,4.267669900729756,4.267669900729756,4.267669900729756,4.267669900729756,4.267669900729756,4.267669900729756,0.9506001072525367,0.9506001072525367,0.9506001072525367,0.7992584626079764,0.7992584626079764
XB,0.1178945631832687,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.1178945631832687,0.1474419513871566,0.1474419513871566,0.1474419513871566,0.1474419513871566,0.1474419513871566,0.1474419513871566,0.1474419513871566,0.08509162425202926,0.1178945631832687,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.08509162425202926,0.1178945631832687,0.25706214879655304,0.25706214879655304,0.25706214879655304,0.25706214879655304,0.25706214879655304,0.25706214879655304,0.25706214879655304,0.1178945631832687,0.1178945631832687,0.1178945631832687,0.08509162425202926,0.08509162425202926
SSE,112.29716624902625,101.80677624176198,101.80677624176198,101.80677624176198,101.80677624176198,101.80677624176198,112.29716624902625,171.42911474570374,171.42911474570374,171.42911474570374,171.42911474570374,171.42911474570374,171.42911474570374,171.42911474570374,101.80677624176198,112.29716624902625,101.80677624176198,101.80677624176198,101.80677624176198,101.80677624176198,101.80677624176198,101.80677624176198,112.29716624902625,762.7945413998315,762.7945413998315,762.7945413998315,762.7945413998315,762.7945413998315,762.7945413998315,762.7945413998315,112.29716624902625,112.29716624902625,112.29716624902625,101.80677624176198,101.80677624176198
RS,0.3115070218672556,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.3115070218672556,0.11999802438775835,0.11999802438775835,0.11999802438775835,0.11999802438775835,0.11999802438775835,0.11999802438775835,0.11999802438775835,0.47190056676402087,0.3115070218672556,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.47190056676402087,0.3115070218672556,-0.210541311093487,-0.210541311093487,-0.210541311093487,-0.210541311093487,-0.210541311093487,-0.210541311093487,-0.210541311093487,0.3115070218672556,0.3115070218672556,0.3115070218672556,0.47190056676402087,0.47190056676402087
DH,0.04822879176373475,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.04822879176373475,0.10867671557037732,0.10867671557037732,0.10867671557037732,0.10867671557037732,0.10867671557037732,0.10867671557037732,0.10867671557037732,0.13418543781449133,0.04822879176373475,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.13418543781449133,0.04822879176373475,0.4904001004555973,0.4904001004555973,0.4904001004555973,0.4904001004555973,0.4904001004555973,0.4904001004555973,0.4904001004555973,0.04822879176373475,0.04822879176373475,0.04822879176373475,0.13418543781449133,0.13418543781449133
