,labels_compound_MeanShift_params1,labels_compound_MeanShift_params10,labels_compound_MeanShift_params11,labels_compound_MeanShift_params12,labels_compound_MeanShift_params13,labels_compound_MeanShift_params14,labels_compound_MeanShift_params15,labels_compound_MeanShift_params16,labels_compound_MeanShift_params17,labels_compound_MeanShift_params18,labels_compound_MeanShift_params19,labels_compound_MeanShift_params2,labels_compound_MeanShift_params20,labels_compound_MeanShift_params21,labels_compound_MeanShift_params22,labels_compound_MeanShift_params23,labels_compound_MeanShift_params24,labels_compound_MeanShift_params25,labels_compound_MeanShift_params26,labels_compound_MeanShift_params27,labels_compound_MeanShift_params29,labels_compound_MeanShift_params3,labels_compound_MeanShift_params4,labels_compound_MeanShift_params5,labels_compound_MeanShift_params6,labels_compound_MeanShift_params7,labels_compound_MeanShift_params8,labels_compound_MeanShift_params9
cSIL,0.806791313685613,0.8290563151474103,0.8527194336152958,0.852456763959986,0.8047957234024546,0.8147475836471074,0.8527194336152958,0.8290563151474103,0.9123769290594778,0.9123769290594778,0.9123769290594778,0.8335469583357231,0.9123769290594778,0.9122633969862446,0.9122633969862446,0.9123769290594778,0.9123769290594778,0.9122633969862446,0.9122633969862446,0.8101780678537347,0.8102382393644476,0.7918176735250956,0.7905579550923234,0.8120209927748183,0.8036449529856912,0.8047957234024546,0.8147475836471074,0.8527194336152958
GD43,2.353318643813886,2.3819129366687797,2.4974682108498194,2.3794281375296844,2.5193947195138184,1.762009281444164,2.4974682108498194,2.3819129366687797,3.7559712701734407,3.7559712701734407,3.7559712701734407,2.089273294379109,3.7559712701734407,3.692900489284682,3.692900489284682,3.7559712701734407,3.7559712701734407,3.692900489284682,3.692900489284682,1.5094827203925363,1.493046028902761,2.074358884485395,2.643151350800692,2.2348456216946757,2.075717701572765,2.5193947195138184,1.762009281444164,2.4974682108498194
GD53,0.021663373457131863,0.33266870193360154,0.3230728659230904,0.3078031841647263,0.15343170367731893,0.12206249950540499,0.3230728659230904,0.33266870193360154,0.3627655675066293,0.3627655675066293,0.3627655675066293,0.0,0.3627655675066293,0.3527712750698718,0.3527712750698718,0.3627655675066293,0.3627655675066293,0.3527712750698718,0.3527712750698718,0.3883114104001925,0.38355058570001554,0.1367563754921491,0.2885639938306383,0.18238986023147583,0.23322644410656806,0.15343170367731893,0.12206249950540499,0.3230728659230904
PS,-15.256932541370704,0.6223908180972084,0.42485534294080485,0.42233302293769603,-3.4893263491792728,-4.115569770757046,0.42485534294080485,0.6223908180972084,2.0085650236288637,2.0085650236288637,2.0085650236288637,-17.29410124611729,2.0085650236288637,2.0207198497579135,2.0207198497579135,2.0085650236288637,2.0085650236288637,2.0207198497579135,2.0207198497579135,1.9386162469750068,1.9484433490882032,-3.5130300586665335,-3.1744513285007576,-0.9894088663836503,-0.470454225727987,-3.4893263491792728,-4.115569770757046,0.42485534294080485
rCIP,18.143137822598284,0.5165624279663685,0.20785992165112338,0.20445328067985938,2.251595094473434,2.229508178763023,0.20785992165112338,0.5165624279663685,0.006251559506214063,0.006251559506214063,0.006251559506214063,149.7603995465466,0.006251559506214063,0.0063319116953317375,0.0063319116953317375,0.006251559506214063,0.006251559506214063,0.0063319116953317375,0.0063319116953317375,0.013407456982563752,0.013081680603827882,2.4406841923055596,1.6302667802985542,1.167596059210674,0.5282048563722923,2.251595094473434,2.229508178763023,0.20785992165112338
WB,0.8673569601364234,0.868115365609292,0.9112234196783296,0.9126708787314365,0.9556007251100296,0.9461322747932587,0.9112234196783296,0.868115365609292,0.7665380946954867,0.7665380946954867,0.7665380946954867,0.9114358418803266,0.7665380946954867,0.766570615904546,0.766570615904546,0.7665380946954867,0.7665380946954867,0.766570615904546,0.766570615904546,1.8279027384736315,1.8244543318626303,0.9471564865654319,0.8992446146385087,0.9627546999772398,0.8329356436031632,0.9556007251100296,0.9461322747932587,0.9112234196783296
XB,0.577056562355738,0.2396669936146631,0.34277478946103734,0.34323523321454236,0.32109719345014265,0.3825167350415487,0.34277478946103734,0.2396669936146631,0.09630404266128516,0.09630404266128516,0.09630404266128516,0.6086504323873857,0.09630404266128516,0.09661595378140059,0.09661595378140059,0.09630404266128516,0.09630404266128516,0.09661595378140059,0.09661595378140059,0.22845196190608,0.22804389890600232,0.3732314349931909,0.3121549081339445,0.34577920447746696,0.34230372294663813,0.32109719345014265,0.3825167350415487,0.34277478946103734
SSE,7.813808259086017,35.807056988204764,37.311037584546554,37.36115688946862,19.346165355533984,19.169658045869753,37.311037584546554,35.807056988204764,49.25850265949961,49.25850265949961,49.25850265949961,7.630381810720858,49.25850265949961,49.260167180532314,49.260167180532314,49.25850265949961,49.25850265949961,49.260167180532314,49.260167180532314,115.57982074597304,115.46579368819579,19.188764513572377,19.96968771619976,25.999438245089834,25.73811377484216,19.346165355533984,19.169658045869753,37.311037584546554
RS,0.23981590123576763,0.20939318088957265,0.30284133506038347,0.2999202454048161,0.13624615270215312,0.17626744927930316,0.30284133506038347,0.20939318088957265,0.3952524024654116,0.3952524024654116,0.3952524024654116,0.2647370321311352,0.3952524024654116,0.39469683722636356,0.39469683722636356,0.3952524024654116,0.3952524024654116,0.39469683722636356,0.39469683722636356,0.041558938385941144,0.04373910088650873,0.13170501989119113,0.119960542525425,0.193240473619535,0.19701161863415295,0.13624615270215312,0.17626744927930316,0.30284133506038347
DH,0.13588019529864198,0.33440088151061603,0.3001011332210673,0.3004658219114584,0.23884256889761013,0.23168228564246868,0.3001011332210673,0.33440088151061603,0.33667879294295244,0.33667879294295244,0.33667879294295244,0.12479794953130818,0.33667879294295244,0.3369766983751496,0.3369766983751496,0.33667879294295244,0.33667879294295244,0.3369766983751496,0.3369766983751496,0.4862284444488227,0.4853578176291091,0.24050377668635795,0.24754787070839665,0.2732969254587735,0.2798604859552682,0.23884256889761013,0.23168228564246868,0.3001011332210673
