,labels_wdbc_HDBSCAN_params1,labels_wdbc_HDBSCAN_params10,labels_wdbc_HDBSCAN_params11,labels_wdbc_HDBSCAN_params12,labels_wdbc_HDBSCAN_params13,labels_wdbc_HDBSCAN_params14,labels_wdbc_HDBSCAN_params2,labels_wdbc_HDBSCAN_params22,labels_wdbc_HDBSCAN_params23,labels_wdbc_HDBSCAN_params24,labels_wdbc_HDBSCAN_params25,labels_wdbc_HDBSCAN_params26,labels_wdbc_HDBSCAN_params27,labels_wdbc_HDBSCAN_params28,labels_wdbc_HDBSCAN_params3,labels_wdbc_HDBSCAN_params4,labels_wdbc_HDBSCAN_params5,labels_wdbc_HDBSCAN_params6,labels_wdbc_HDBSCAN_params7,labels_wdbc_HDBSCAN_params8,labels_wdbc_HDBSCAN_params9
cSIL,0.8421338052761422,0.8693662798055981,0.8693662798055981,0.8693662798055981,0.8693662798055981,0.8693662798055981,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8421338052761422,0.8693662798055981,0.8693662798055981
GD43,1.227426935471847,1.3575093006348329,1.3575093006348329,1.3575093006348329,1.3575093006348329,1.3575093006348329,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.227426935471847,1.3575093006348329,1.3575093006348329
GD53,0.48426827423955116,0.48955340195797287,0.48955340195797287,0.48955340195797287,0.48955340195797287,0.48955340195797287,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48426827423955116,0.48955340195797287,0.48955340195797287
PS,1.0320710122988674,0.9990830079368173,0.9990830079368173,0.9990830079368173,0.9990830079368173,0.9990830079368173,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,1.0320710122988674,0.9990830079368173,0.9990830079368173
rCIP,4.668669288471868e-12,3.9070507514125915e-12,3.9070507514125915e-12,3.9070507514125915e-12,3.9070507514125915e-12,3.9070507514125915e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,4.668669288471868e-12,3.9070507514125915e-12,3.9070507514125915e-12
WB,7.8177174814381845,12.294938202447417,12.294938202447417,12.294938202447417,12.294938202447417,12.294938202447417,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,7.8177174814381845,12.294938202447417,12.294938202447417
XB,0.2351298191483577,0.20467197958889874,0.20467197958889874,0.20467197958889874,0.20467197958889874,0.20467197958889874,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.2351298191483577,0.20467197958889874,0.20467197958889874
SSE,185.3664184487995,165.84280534466888,165.84280534466888,165.84280534466888,165.84280534466888,165.84280534466888,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,185.3664184487995,165.84280534466888,165.84280534466888
RS,-0.24192068521001678,-0.22463619098705473,-0.22463619098705473,-0.22463619098705473,-0.22463619098705473,-0.22463619098705473,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.24192068521001678,-0.22463619098705473,-0.22463619098705473
DH,0.49865714940172284,0.44301081631527617,0.44301081631527617,0.44301081631527617,0.44301081631527617,0.44301081631527617,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.49865714940172284,0.44301081631527617,0.44301081631527617
B,0.26920887666101156,0.2209660093536771,0.2209660093536771,0.2209660093536771,0.2209660093536771,0.2209660093536771,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.26920887666101156,0.2209660093536771,0.2209660093536771
BH,92.68320922439975,82.92140267233444,82.92140267233444,82.92140267233444,82.92140267233444,82.92140267233444,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,92.68320922439975,82.92140267233444,82.92140267233444
D,0.44335234907409693,0.3686744534523743,0.3686744534523743,0.3686744534523743,0.3686744534523743,0.3686744534523743,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.44335234907409693,0.3686744534523743,0.3686744534523743
H,0.3056252058788428,0.24900882568282615,0.24900882568282615,0.24900882568282615,0.24900882568282615,0.24900882568282615,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.3056252058788428,0.24900882568282615,0.24900882568282615
