,labels_zigzag_noisy_DBSCAN_params11,labels_zigzag_noisy_DBSCAN_params16,labels_zigzag_noisy_DBSCAN_params17,labels_zigzag_noisy_DBSCAN_params18,labels_zigzag_noisy_DBSCAN_params21,labels_zigzag_noisy_DBSCAN_params22,labels_zigzag_noisy_DBSCAN_params23,labels_zigzag_noisy_DBSCAN_params24,labels_zigzag_noisy_DBSCAN_params26,labels_zigzag_noisy_DBSCAN_params27,labels_zigzag_noisy_DBSCAN_params28,labels_zigzag_noisy_DBSCAN_params29,labels_zigzag_noisy_DBSCAN_params31,labels_zigzag_noisy_DBSCAN_params32,labels_zigzag_noisy_DBSCAN_params33,labels_zigzag_noisy_DBSCAN_params34,labels_zigzag_noisy_DBSCAN_params38,labels_zigzag_noisy_DBSCAN_params39,labels_zigzag_noisy_DBSCAN_params40,labels_zigzag_noisy_DBSCAN_params44,labels_zigzag_noisy_DBSCAN_params45,labels_zigzag_noisy_DBSCAN_params49,labels_zigzag_noisy_DBSCAN_params50,labels_zigzag_noisy_DBSCAN_params6
cSIL,0.8685275580654301,0.9540614766068007,0.9844574297455141,0.9955354770729781,0.9241714806310287,0.9498268688715871,0.9936527084128413,0.9954101148844352,0.869319612727181,0.898174251482322,0.9899914806192252,0.9937452436344207,0.7419454471176199,0.49552946338014164,0.9097551019137933,0.9924922155131977,0.7147672761477291,0.9661091250729227,0.9917998930544834,0.892355525564584,0.9888193509051848,0.8662508791951353,0.9485019000288251,0.9940905735967315
GD43,14.888272250268017,4.816521065830636,29.661860333630038,82.8881943416944,5.399757838240201,10.205254645416916,67.4880348126878,82.70005718676084,2.0665191980557918,2.9625895480933147,38.7007447366586,67.47228291227154,0.9734673062410498,0.4486841490667265,5.54318204219214,55.57433621641231,1.3808817448372315,15.65296993606955,50.951398750270535,2.682076666084875,35.62681275556478,2.312312742446309,7.244701003367778,868.8525093025162
GD53,0.008590863395589794,0.004895618209102347,0.43026444175975526,0.4297348195889527,0.016395752385835488,0.05386676448581525,0.4952059906345582,0.44268464790662665,0.048101515668553696,0.01833637330451149,0.39586781311359165,0.4878629978701324,0.4948976469457456,0.009438115292386947,0.1420978071018292,0.48234339456296327,0.48632909526752954,0.3197755521312709,0.4816305544929928,0.20131334543659204,0.4643247694329087,0.2477395642407347,0.43841910634505676,0.23849182370187766
PS,-6.257030056592679,-20.368805924420776,1.1814247930215611,1.9179141767679861,-16.797920996926372,-11.030572179981778,1.924153035948022,1.859202055555865,-1.0047214783183067,-6.557322741532316,1.7048463396920468,1.924153035948022,0.9737493450599018,0.8866942736778829,-2.2037978251436323,1.9445007976942297,1.884421353801479,1.4434579010053015,1.944850203704013,1.7584698271480987,1.9282810029242858,1.9554097956744503,1.8508687222225315,1.0062666602648838
rCIP,51.75347914670141,3.6867679700765956,5.954636254444086e-29,2.6656360091704886e-79,11.95425155922354,2.312678864723006,3.0362088124032715e-61,4.247578000764791e-70,2.60537516797535,5.414896831725643,1.985178645547889e-34,1.0475949920278892e-55,0.0406319528661982,0.6335670113721089,0.45442235575278184,5.0527084868400414e-37,0.02065984492986804,2.149784199561639e-06,4.438871035687985e-27,0.01002207186922991,1.159237669887719e-21,0.038556436980951965,5.557187203051107e-07,1.0251006874770638e-12
WB,0.014783518697238984,0.24590589305138272,0.06949605672944716,0.036031474745545765,0.32988809753147863,0.2508225857141724,0.051133215882640366,0.03727743508301667,0.6274803119856618,0.5237663583265433,0.07031008580602083,0.05039852804463518,100.37747459150181,9.605447425949619,0.3159683142236279,0.06050061194202906,3.1931195098112846,0.15638315837487052,0.0661248762023049,1.0062856839237582,0.09060563326202657,1.3945822636372016,0.43924830544940574,0.0002070512567386326
XB,0.6730378685897879,0.7686707753320189,0.032968980289240904,0.004501498467399173,0.3738769792095119,0.16422408774179884,0.006389095324535913,0.0046456120040663205,0.26392578085784696,0.3681203751531884,0.01529519251281151,0.006297296079177166,0.510340064217208,1.2913663053476165,0.16540655397633422,0.0075618905447724285,0.3984658423765255,0.03406447192208661,0.008264887574940894,0.16576337991014106,0.011322092644947915,0.1688347796111992,0.054710985810986906,0.006854458682470827
SSE,0.028235447241549437,0.8819633635085387,0.7499559530383791,0.5135196598627171,1.7122317768362958,1.3359413740441497,0.8427113586091656,0.5612750788940939,8.232824958733733,4.3923154515214815,0.9674501586694915,0.8302155012774777,147.88060700860223,112.67826863305305,3.434958742032542,1.0459791192407863,90.89485090591856,2.4882668332497286,1.156811684262834,22.986781231878805,1.6802777610234652,41.54789711821738,10.107422483898628,0.00018446301673984944
RS,0.9904362382799475,0.9223773161213704,0.9507017957774323,0.9647439612353061,0.7842588785642057,0.8557261762095203,0.9501513473698437,0.9636801249523373,0.39347933753226855,0.5985438651911461,0.9415294422655681,0.9508652201844258,0.0027486591686455993,-0.2419181033077204,0.7030458422973049,0.9412555329685663,-0.23111461472458966,0.8383151530265268,0.935968799453343,0.3417122136741429,0.9134422486198785,0.1247125777892877,0.6430556838618073,0.9997929630323494
DH,0.022619726237796248,0.03848244123973566,0.08309700394489856,0.08142226217862922,0.07275864597759982,0.07113249334154467,0.09630378308169789,0.08306320607626996,0.19193972787302307,0.12737551472840333,0.09323862553330411,0.09589340599516229,0.41806491063423257,0.44001992154422986,0.146543363649026,0.10454142307205685,0.6013545794605404,0.15070404072185697,0.10921885226311426,0.33159412016749484,0.12352616552182119,0.4077882098797749,0.257581818723165,0.006194344035675311
