,labels_a2_DBSCAN_params13,labels_a2_DBSCAN_params14,labels_a2_DBSCAN_params15,labels_a2_DBSCAN_params16,labels_a2_DBSCAN_params17,labels_a2_DBSCAN_params18,labels_a2_DBSCAN_params19,labels_a2_DBSCAN_params20,labels_a2_DBSCAN_params23,labels_a2_DBSCAN_params24,labels_a2_DBSCAN_params5,labels_a2_DBSCAN_params9
cSIL,,,,,,,,,0.762363293322172,0.762363293322172,,
GD43,,,,,,,,,1.0175855293243323,1.0175855293243323,,
GD53,,,,,,,,,0.4512980963817322,0.4512980963817322,,
PS,,,,,,,,,1.0921582298552988,1.0921582298552988,,
rCIP,,,,,,,,,0.04493672260533026,0.04493672260533026,,
WB,,,,,,,,,8.181123658794638,8.181123658794638,,
XB,,,,,,,,,0.4134638236026351,0.4134638236026351,,
SSE,2710.729018261086,4042.620111271616,5470.292039434065,8091.8460515779025,4320.914178110363,4315.7398890561535,4139.2993298482315,3219.890485101838,2497.5083291529986,2497.5083291529986,4495.518825414258,5053.641643980884
RS,,,,,,,,,-0.02051573940139729,-0.02051573940139729,,
DH,0.0004383167486512576,0.0005523667702532863,0.0019370103487814014,0.15740226557808423,0.024123065341005643,0.008404935305536017,0.006488057723704808,0.0046788299571116675,0.5005219216556395,0.5005219216556395,0.024270871421615412,0.00013962509009784332
B,0.4518600787931546,0.2426198023044691,0.0728832221396593,0.01255828085049651,1.2879607057534337,1.231437191220914,1.2015958291877318,0.9241558071349734,0.5184232638415734,0.5184232638415734,0.013611707015970058,0.03747480516895108
BH,0.09969095972160386,0.029138176288177227,0.008067516665928724,0.0030193481224990893,38.35178291528792,5.873000533962723,4.165624714302752,1.7783552397744888,1248.754164576499,1248.754164576499,4.306561000606326e-05,0.0005302701489776156
D,0.10948665414555106,0.15367034569745672,0.9340179997942646,24.101727310499967,0.04583151838612391,0.07326009970644021,0.08144111305137584,0.04481152951893904,0.2770752077032399,0.2770752077032399,54.412307908353675,0.29046118477994864
H,,,,,,,,,0.37697369669556163,0.37697369669556163,,
DBCV,0.1852966097652872,0.19541271376861213,0.10066612076404476,0.007618364542372353,-0.05200632404233286,0.33656629391810083,0.3947590024572836,0.3206280005054545,-0.6653440429758034,-0.6653440429758034,0.005904187802717299,0.14401582683493883
I,0.24289526695151956,3.057171808429632,540.9734501271826,8323576.046994097,0.26487943496155686,0.36583777854074506,0.3704970633688702,0.47778935335046124,0.37950089852700675,0.37950089852700675,83266435.60903116,116.83806025357975
C,0.37196605722767717,0.4874692106710262,0.518840902215868,0.5513654801247152,0.0982366474922375,0.028742293573117576,0.03529393095993853,0.047720402490302405,0.3025696239384056,0.3025696239384056,0.5689175507164579,0.5130049184693573
CDbw,0.0,0.2769651350776082,0.6471552363720038,0.8720583107074862,0.2073721722241916,0.1747178593748628,0.19606352228272136,0.18805362999928749,0.08752534840462595,0.08752534840462595,1.0594049408422115,0.2802751043583339
VIASCKDE,,0.4703182217797779,0.6493657284931362,0.8053383257495187,0.7397452274044883,0.6897008787436405,0.6633844144244256,0.6244758705270362,0.8186845949872096,0.8186845949872096,0.7859464782160591,0.5231708421732365
COP,0.1558003639010848,0.2540344880671611,0.3509366961101777,0.38951057570802533,0.22711787343970025,0.1568862702714515,0.14980035581653808,0.13114214567600777,0.3630778956728252,0.3630778956728252,0.39016841840330596,0.3462635927751072
Sym,0.0004891712571322267,0.00029732289939794147,0.00045694736406898235,0.0026795044295204627,0.0023567776550756027,0.003947940224866647,0.0031130020189121645,0.0028944010866787024,0.002390042581511501,0.002390042581511501,0.0013442478269872576,0.00013771999739193612
CS,1.0080145013070185,0.9330765252413714,0.5882872689636572,1.1321063011565775,1.56752786720373,1.2001824927747877,1.1110247853738597,1.0191441848047555,1.1723502555071674,1.1723502555071674,0.6151632188189141,0.7345387805820413
SF,0.03736450220638787,0.09309846557917723,0.2677699153686396,0.3774828635518448,0.07463296361605698,0.05944186359987813,0.06217569965414771,0.05802634250636873,0.341557707854069,0.341557707854069,0.3804545980372406,0.18962910741820826
SD,3197414.083328651,3718959.058349915,9103496.347431542,88910668.09850739,45756979.27970108,21535879.354185298,17088056.733296882,13310328.09735573,139636692.7793415,139636692.7793415,38094047.819574334,2209637.566583933
SDbw,0.05842258223432162,0.07407653347641865,0.16945520865849753,0.9843924920351128,0.5164487642755746,0.23998953285328706,0.2147921384295681,0.1654337086122083,1.511611245543008,1.511611245543008,0.6615591592715176,0.06356050381371772
XB*,966.6264938585507,560.0532987925388,440.082575534119,3.604165707151984,18.5989580115696,16.93300727321352,16.660771400819147,31.101427268424708,0.45808283584350107,0.45808283584350107,12.476837816239877,2088.7688596296775
S,0.02752162160412474,-0.2738923805365006,-0.6502239674246827,-0.3477937881838128,0.2714113518612392,0.4232898084079314,0.4308523225893709,0.4767057374376948,0.27247388368507647,0.27247388368507647,-0.6367410673258933,-0.6635685606575685
