,labels_ionosphere_SpectralClustering_params1,labels_ionosphere_SpectralClustering_params10,labels_ionosphere_SpectralClustering_params11,labels_ionosphere_SpectralClustering_params12,labels_ionosphere_SpectralClustering_params13,labels_ionosphere_SpectralClustering_params14,labels_ionosphere_SpectralClustering_params15,labels_ionosphere_SpectralClustering_params16,labels_ionosphere_SpectralClustering_params17,labels_ionosphere_SpectralClustering_params18,labels_ionosphere_SpectralClustering_params19,labels_ionosphere_SpectralClustering_params2,labels_ionosphere_SpectralClustering_params20,labels_ionosphere_SpectralClustering_params21,labels_ionosphere_SpectralClustering_params22,labels_ionosphere_SpectralClustering_params23,labels_ionosphere_SpectralClustering_params24,labels_ionosphere_SpectralClustering_params25,labels_ionosphere_SpectralClustering_params26,labels_ionosphere_SpectralClustering_params27,labels_ionosphere_SpectralClustering_params28,labels_ionosphere_SpectralClustering_params29,labels_ionosphere_SpectralClustering_params3,labels_ionosphere_SpectralClustering_params30,labels_ionosphere_SpectralClustering_params31,labels_ionosphere_SpectralClustering_params32,labels_ionosphere_SpectralClustering_params33,labels_ionosphere_SpectralClustering_params34,labels_ionosphere_SpectralClustering_params35,labels_ionosphere_SpectralClustering_params36,labels_ionosphere_SpectralClustering_params4,labels_ionosphere_SpectralClustering_params5,labels_ionosphere_SpectralClustering_params6,labels_ionosphere_SpectralClustering_params7,labels_ionosphere_SpectralClustering_params8,labels_ionosphere_SpectralClustering_params9
cSIL,0.4977311182236952,0.6039775016158946,0.6219083906117084,0.6039775016158946,0.6907264772383629,0.5265944072764589,0.5208583091430511,0.4734727514390397,0.4786396591475616,0.47021665153107883,0.6497705843475118,0.49437235736031004,0.6144573973030952,0.6497705843475118,0.6144573973030952,0.6497705843475118,0.6144573973030952,0.5962285496863562,0.5757341754643573,0.5762179500949671,0.553869821885706,0.5663257697661996,0.5611273943943287,0.5570779102555663,0.716622957966946,0.6770065246056791,0.716622957966946,0.6770065246056791,0.716622957966946,0.6770065246056791,0.49464045478425167,0.4993569905844275,0.49658683342799187,0.6219083906117084,0.6039775016158946,0.6219083906117084
GD43,0.14123109721458313,0.19446224451234997,0.19310507716017627,0.19446224451234997,0.2081004899741472,0.11934958464325124,0.11881443375980659,0.1124384776169395,0.11420525515223061,0.1129520336642056,0.1933235108243088,0.1398466418542019,0.18884749716305735,0.1933235108243088,0.18884749716305735,0.1933235108243088,0.18884749716305735,0.12208238748956719,0.12296328359299256,0.1261970821224888,0.12583798274140925,0.12652644678111324,0.1894016158962037,0.1266040534247847,0.17078395051488582,0.16319894505996466,0.17078395051488582,0.16319894505996466,0.17078395051488582,0.16319894505996466,0.14052346138904506,0.14269876533680617,0.1423190090318657,0.19310507716017627,0.19446224451234997,0.19310507716017627
GD53,0.3362412157092128,0.47251934191296935,0.46765131570896334,0.47251934191296935,0.19177503260266274,0.17855687871840392,0.20920168757228122,0.22259703867277542,0.21992599160224505,0.23124184029914394,0.2632561401300729,0.3277257955226823,0.2984752184835891,0.2632561401300729,0.2984752184835891,0.2632561401300729,0.2984752184835891,0.15340421134014184,0.16728880574316396,0.15531492975155703,0.16059681728971134,0.16272789372247354,0.4851763397431742,0.1669410878662367,0.1040044891339583,0.10866784295328473,0.1040044891339583,0.10866784295328473,0.1040044891339583,0.10866784295328473,0.33526708557786244,0.3369706834397482,0.3383292949537006,0.46765131570896334,0.47251934191296935,0.46765131570896334
PS,1.6875066532570142,1.1378653665178335,1.0960548063649265,1.1378653665178335,1.0526477026289804,1.4338058791071286,1.5900376602017747,1.7835629910371198,1.6764635013839577,1.7929712568683263,1.0272232529032048,1.7674924335627378,1.0384640186749978,1.0272232529032048,1.0384640186749978,1.0272232529032048,1.0384640186749978,1.4743146793903088,1.5152853651876212,1.605775667132761,1.7222636698242104,1.7764153530434985,1.1957630884197146,1.7899451077341946,0.6401764694956785,0.5951450206236993,0.6401764694956785,0.5951450206236993,0.6401764694956785,0.5951450206236993,1.7310454898992993,1.8450891523300585,1.8864456452994547,1.0960548063649265,1.1378653665178335,1.0960548063649265
rCIP,4.487776285850738e-17,8.511682088685768e-17,7.797871859363767e-17,8.511682088685768e-17,8.184474020797617e-16,1.0768923138180251e-16,1.941488838421586e-16,2.4834313010226486e-16,2.0181987120629799e-16,2.542581545889245e-16,1.1917287374008056e-15,4.098155766192807e-17,1.2092840241319432e-15,1.1917287374008056e-15,1.2092840241319432e-15,1.1917287374008056e-15,1.2092840241319432e-15,9.140628698638487e-16,8.405383047108252e-16,1.1287453885330706e-15,1.0395167655111359e-15,1.1743448060701273e-15,9.735062780030062e-17,9.984443801111151e-16,4.60304645519326e-15,5.2761785803037406e-15,4.60304645519326e-15,5.2761785803037406e-15,4.60304645519326e-15,5.2761785803037406e-15,4.72453419807462e-17,4.771275317822499e-17,5.241788635563335e-17,7.797871859363767e-17,8.511682088685768e-17,7.797871859363767e-17
WB,6.4043428964467966,11.493189592316407,13.638333293643251,11.493189592316407,11.427117520566107,6.657137668063685,6.7554945765460035,7.140789620812799,6.99720237579918,7.232201445842007,13.8711794329039,6.172969389876774,13.080664832410939,13.8711794329039,13.080664832410939,13.8711794329039,13.080664832410939,7.502887034993533,7.416510248008073,7.129406070356362,7.28113183662197,7.33549766956616,10.679232681353449,7.3276275230527075,13.659539110524273,13.215741206609557,13.659539110524273,13.215741206609557,13.659539110524273,13.215741206609557,6.382320029580286,6.209591894366363,6.264894966766978,13.638333293643251,11.493189592316407,13.638333293643251
XB,0.7800489647872199,0.7269325139695306,0.7052409979476179,0.7269325139695306,0.6065251798251627,0.8736452890998243,1.0457964025915447,1.2430415875539322,1.1584104027097144,1.2628542916014383,0.7181999110925975,0.762525492307064,0.7735093089705894,0.7181999110925975,0.7735093089705894,0.7181999110925975,0.7735093089705894,0.9373201060540838,0.9303036321334733,0.8388744640682446,0.9036539043674969,0.9121429238280249,0.8170266831807715,0.9514591417139479,0.8839418904965481,0.9828048233322696,0.8839418904965481,0.9828048233322696,0.8839418904965481,0.9828048233322696,0.7840094024908093,0.7731322087581695,0.781858891852519,0.7052409979476179,0.7269325139695306,0.7052409979476179
SSE,2543.24036416961,2842.7753613255554,2910.6328672259433,2842.7753613255554,2643.465938441358,2300.6773135999515,2311.1304111781083,2350.1255263557255,2335.9446374320437,2358.9461516658985,2744.002733942536,2520.7562085225513,2714.8285779807006,2744.002733942536,2714.8285779807006,2744.002733942536,2714.8285779807006,2176.8983357231377,2168.1175494702884,2137.952034871492,2154.0848910504333,2159.760459495492,2811.0182924773744,2158.9422211066917,2581.5068127757263,2562.0192852325335,2581.5068127757263,2562.0192852325335,2581.5068127757263,2562.0192852325335,2541.1537005589985,2524.3994938951764,2529.8399704405265,2910.6328672259433,2842.7753613255554,2910.6328672259433
RS,-0.6264359073555035,-0.4692039966691084,-0.3498915223222424,-0.4692039966691084,-0.5710731418054094,-1.0433074792512007,-1.128537959904134,-1.1847995907188598,-1.1912520830322326,-1.183721783561719,-0.6567355882320359,-0.5883506581234348,-0.7892171876944335,-0.6567355882320359,-0.7892171876944335,-0.6567355882320359,-0.7892171876944335,-1.161608666155113,-1.2791552393042225,-1.4051810177199422,-1.4729570059307906,-1.3871792996956207,-0.5995241714604229,-1.4420404495653192,-0.611376905585404,-0.7873332485847536,-0.611376905585404,-0.7873332485847536,-0.611376905585404,-0.7873332485847536,-0.609720485987936,-0.5560488053167699,-0.5438881122699627,-0.3498915223222424,-0.4692039966691084,-0.3498915223222424
DH,0.7312542296569976,0.6834305205938361,0.6532550621150293,0.6834305205938361,0.29157053796919213,0.33111824701063547,0.3455693144776666,0.35628130575256145,0.35482745073508026,0.3581685344189802,0.2952088047691617,0.7245160729432863,0.3133040844840325,0.2952088047691617,0.3133040844840325,0.2952088047691617,0.3133040844840325,0.1963743547589235,0.20227672301615238,0.21126322644614767,0.2156276642570579,0.21268650939998152,0.7209678185367153,0.21522583551826283,0.16758461595028223,0.17993266219095017,0.16758461595028223,0.17993266219095017,0.16758461595028223,0.17993266219095017,0.7303431795625539,0.7244874195383043,0.7242840461707236,0.6532550621150293,0.6834305205938361,0.6532550621150293
