,labels_wingnut_DBSCAN_params11,labels_wingnut_DBSCAN_params16,labels_wingnut_DBSCAN_params17,labels_wingnut_DBSCAN_params18,labels_wingnut_DBSCAN_params21,labels_wingnut_DBSCAN_params22,labels_wingnut_DBSCAN_params23,labels_wingnut_DBSCAN_params26,labels_wingnut_DBSCAN_params27,labels_wingnut_DBSCAN_params28,labels_wingnut_DBSCAN_params29,labels_wingnut_DBSCAN_params34,labels_wingnut_DBSCAN_params35,labels_wingnut_DBSCAN_params40,labels_wingnut_DBSCAN_params6
cSIL,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,
SSE,1326.9817312812552,1647.9390893350605,1535.5165633002969,1131.2263640699673,1056.255721485103,1437.0712471506667,1188.26473198365,1010.1798878157167,1323.6005917345651,1054.816029566598,1030.587896279963,1070.3977864038056,1200.6083961616832,1190.7719920861578,911.5574878958644
RS,,,,,,,,,,,,,,,
DH,0.04471241582226964,0.07160149714631561,0.09414127665236441,0.38286477297483995,0.12828628220000046,0.13754073851719578,0.23489091016114863,0.191903038773097,0.24916710680659945,0.661790995046032,0.36035089034977474,0.656236190219281,0.42428902622542386,0.5721214729321176,0.39435939578586726
B,0.3998917132936023,1.7561952426171545,1.5133743908701305,0.04940961296134045,1.0926560924017077,1.2335794667351567,2.550976302176885,0.9727933925758979,1.7239057307052037,2.194472040628278,1.297961340539303,2.2608847277408,0.2486841940462792,1.6301998728860392,0.014807925266334539
BH,0.00035408433573654935,0.10786668105780713,0.10318955125940912,0.008576002769294875,4.601029573401246,5.122397015096785,1.1858214386544046,9.9550140394587,12.638085975004904,42.58875959476889,1.939649216725643,45.17921437783293,0.3462686019284386,23.9849009324499,4.043028367750382e-05
D,1.4270731097279974,0.12260579973972671,0.14570075772083077,7.408646753456073,0.04940582344774428,0.05315304919497414,0.11247212290318222,0.04291361970180609,0.04291361970180636,0.047964029806733456,0.20785407323813676,0.04832866553688594,2.0863579442176303,0.058874955250061624,54.037542202919674
H,,,,,,,,,,,,,,,
DBCV,0.10605201417620194,0.11824500547557414,0.09178034023907573,0.01966843782964865,-0.4202826236606942,-0.4610351486557904,-0.2644775708337201,-0.34753811316055483,-0.45425633939754456,-0.09170529350139298,0.2189476545401575,0.06790367407518351,0.09808578576347816,0.036642317728005795,0.0059055118110184655
I,1809.815105398125,0.21551423719415677,1.7840507415396565,265486.9560481555,0.04970045671072191,0.1134782604868963,2.9248558584978803,0.09022095261044205,0.11532413978346366,0.9717713559218136,22.359383783436236,0.91380794964318,1404.825545037564,2.8813981216465594,102104610.00468735
C,0.5925821047609904,0.4293054171074128,0.5281426789338185,0.5836706836788902,0.12838446389407887,0.16362250270962053,0.4630043485997631,0.11117872709448229,0.12190016031505974,0.21991087633806986,0.4582874737140395,0.19685160439938926,0.5351352396223145,0.26775139724240327,0.6433168589535847
CDbw,0.4004694703606539,0.2513242793375828,0.3309643581635119,1.0399747933935906,0.25244625101266155,0.23559885188200802,0.40220697413314493,0.15269805299183603,0.20533494052079845,0.17046699218806072,0.7009780025696658,0.09724047733773544,0.9430774287220656,0.12841433842904545,0.6269134873464941
VIASCKDE,0.38740133331179893,0.38610697521762455,0.36801819627130616,0.5504167397633034,0.5005252176082513,0.46270751196153687,0.47006491889010926,0.5642848759427088,0.5552142880997551,0.5059082287946391,0.47921564502942,0.49632917714397917,0.5383701370932851,0.5001256259860667,0.5637687553296048
COP,0.46119444599187964,0.34346617960141507,0.39940629999342847,0.3373780929087463,0.3838167797677025,0.4377820528045072,0.4217861733530809,0.3691729997197835,0.3843739511483562,0.3031686005122298,0.335368828332393,0.3008836691147945,0.3261979243337695,0.30206672365461246,0.34049163460518356
Sym,0.0042624609388603706,0.0034786532022046805,0.005187509302186542,0.0342707503269563,0.004119704936731533,0.00614145490678272,0.011723049897310572,0.005593870258535648,0.005926620989862579,0.016624681047518,0.025469737427451337,0.015766181962080517,0.036717806048787584,0.023020481635254882,0.025699937064081833
CS,0.7264117918393048,0.915940779810716,1.0318774742280483,1.0672463636756613,1.0576640690092225,1.0542798607774122,1.5976373432014974,1.2903017608069982,1.312223425299541,2.686118127763957,1.7367391960399274,2.6520740027522067,1.168639829746205,1.9967914377056468,1.3304280275395377
SF,0.2945529256285504,0.02390835886490017,0.08987294005153046,0.36477576842555415,0.042819399624250076,0.08272177452122653,0.1711356943613589,0.0465844444304685,0.06264374197186173,0.1785279461133259,0.2481551233371614,0.17722070034145898,0.334167661803943,0.23100405340784536,0.38090023844694854
SD,349344.00366776815,291325.33729845466,453304.8016418022,3906840.151789958,993715.7013796241,1156146.831554693,1438715.3821541104,2048712.5038335854,2473985.848474514,8386175.812853278,2753868.1745713777,8453507.997781165,4024011.418705019,6106466.1356869675,3895830.9459565175
SDbw,0.4310907915694763,0.10758601519451029,0.24607149860480487,1.0050664541176477,0.3186450378640306,0.3608135261188475,0.9357000104571812,0.5246383307393254,0.5669385045925357,1.5837310734019203,1.0925499169672026,1.5972536420035626,1.0179980832892856,1.4058366614386046,1.0130493557960092
XB*,193.55823900967712,109.70273192804582,88.2860920651303,1.2425258697209491,49.69048875328212,31.799007579625908,20.97698161648345,49.21197376049061,18.428418666425916,2.9495786962926505,6.435714157526784,2.8782424988457245,1.1438573420289402,1.6118998161911067,2.1720778241932392
