,labels_wdbc_DBSCAN_params51,labels_wdbc_DBSCAN_params52,labels_wdbc_DBSCAN_params53
cSIL,,,
GD43,,,
GD53,,,
PS,,,
rCIP,,,
WB,,,
XB,,,
SSE,1678.163169167873,2377.242183250278,2161.0094221171994
RS,,,
DH,0.07174894271052204,0.19931368384955714,0.367289800992573
B,0.44485796518334325,0.4303760458358813,0.14247381055951824
BH,8.53867363851812,12.030330150993512,5.878572262609418
D,0.2856475752081866,0.2972264913616802,0.7252014026036809
H,,,
DBCV,0.02184593373747946,0.002238961310406721,0.0
I,3.735383114137486,18.545360631973256,27.411516380551646
C,0.5654275739665399,0.5996311343219868,0.6828732579635117
VIASCKDE,0.007657405003116744,0.0004787157326539373,0.004981624892996578
COP,0.3331413952639596,0.32813712144354845,0.2933771957589295
Sym,0.00032678112712351907,0.0005249426104138101,0.0005108035245061331
CS,1.815769631884465,2.468002857666778,3.1323047514006084
SF,0.016085738478957,0.05968644806461254,0.09214229562713971
SD,40.96462262841912,62.539911263404406,69.71012827475298
SDbw,0.2984153834779747,0.628147579724233,1.0042813650140994
XB*,6.478640326110901,8.374295904974632,6.289615546985912
S,-0.2821758779856464,-0.20392130698910022,-0.1731442332698753
DB,2.0592542255678152,2.4376751874351,1.8443033406231903
CH,11.579477713901493,20.229096208240225,13.648279162205833
AD-S,0.03346338224919734,0.013722088642652088,-0.006903077469316721
AD-DB,1.9539350633790167,2.017196804123852,2.1827787138605643
AD-CH,65.7324495890926,153.51352260107788,190.92144512600925
AD-idea,0.7792476007060539,0.8832957362734686,1.0231456824345107
