,labels_s3_DBSCAN_params1,labels_s3_DBSCAN_params10,labels_s3_DBSCAN_params11,labels_s3_DBSCAN_params12,labels_s3_DBSCAN_params13,labels_s3_DBSCAN_params14,labels_s3_DBSCAN_params15,labels_s3_DBSCAN_params16,labels_s3_DBSCAN_params17,labels_s3_DBSCAN_params18,labels_s3_DBSCAN_params19,labels_s3_DBSCAN_params20,labels_s3_DBSCAN_params5,labels_s3_DBSCAN_params6,labels_s3_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,
SSE,2140.2343597596123,3935.8692461529995,3774.201660747626,3734.0254636345226,2171.9358521918257,3506.9340356293205,5448.9815734684325,5567.972066294611,2368.7695522456434,2375.5630246553474,3220.6556994520042,2451.924848497603,3784.542413381757,6089.517411254894,3328.557772001787
RS,,,,,,,,,,,,,,,
DH,0.12608811154713154,0.00514477354227333,0.0091209182083749,0.12679989549645973,0.00033781210121520527,0.003104383473397415,0.005641326832929445,0.00622726049441791,0.04378686382449672,0.12376188034114126,0.050427531433597704,0.01258867348137794,0.0019338223288033103,0.014542968184744296,0.0003709455412514207
B,0.006462735899360635,0.2654620752500706,0.1327345963415451,0.031367167279477685,0.4849949176478566,0.34509649768532485,0.3582505614921202,0.2774309088125475,0.6865949733724876,0.9047578960827329,1.144279405534664,0.7010351781834735,0.16758140923597495,0.05763347445850879,0.1684397784027796
BH,2.8294652682037834e-06,0.009058691350678013,0.008105820042327443,0.014021219432023942,0.06599034321820649,0.08096395211593028,0.053594877292708426,0.041988687601902226,260.051844239731,194.83210507849742,63.081121138859245,6.5014681257665305,0.0015425265345881212,0.0006950113440985249,0.005127168744336459
D,70.30369986190514,1.5925812264946684,1.8637390814473023,5.786757058200571,0.04951798430102486,0.25300992086899793,0.4166039681709755,0.8252215404910372,0.2293114187936298,0.16479008283225838,0.12651614925237376,0.016289178460217553,0.17460953604043167,6.5703179412478505,0.09103407811438605
H,,,,,,,,,,,,,,,
DBCV,0.004222628351222061,0.12398979049082506,0.09387867950631561,0.04994086005414531,0.05407394987683903,0.15873973405552042,0.22340980816571554,0.21694701735505678,-0.857302921122253,-0.6726370058584491,-0.5326438126205053,-0.28183718455145246,0.021980031800831593,0.03679189364887554,0.08851585178621957
I,920479297.1872393,1870.6511550588152,6650.19766131001,13681.074551234946,0.14740561062546995,14.273925897548102,103.0228360640435,219.35787551997592,0.07511328499999664,0.09074030508457137,0.22210289235408498,0.39203664848068304,4028.8145121011294,450629.1980243015,21.593451206995322
C,0.6641821670780915,0.5610154839181539,0.5712941551539473,0.6076967621742771,0.4515337839422946,0.5183162675329859,0.5334471891621517,0.535467752789457,0.4027240566864368,0.2001710943090151,0.18751713887979066,0.251816780454859,0.5781707448350024,0.5871309682308851,0.5357845928763043
CDbw,0.7119826608084602,1.4547533918871962,1.3362661405394205,0.7312753462271032,0.22382194977739514,0.6329853144905058,1.115075145024887,1.218982513426153,0.26885232745289506,0.09538868677670752,0.11465168925226561,0.2515576669005068,0.9138076016546722,1.295091482749025,0.39219465658628283
VIASCKDE,0.6556501545111543,0.578292897298782,0.6003397388840317,0.648458770823227,0.47435464667346333,0.5592127829264095,0.5879064422406657,0.5999852315403224,0.5500228041360804,0.5083032721714287,0.5238889760565959,0.5351992302621352,0.5704485777640782,0.6161289069499879,0.509807360661949
COP,0.4075432772178187,0.4050538181377485,0.4050327874801536,0.3944992878497702,0.28577656494108544,0.34615970041056027,0.36928439122269896,0.37341134976348783,0.4714650678389857,0.38035227107190656,0.3289521277532176,0.27443997182842006,0.4249388676391268,0.42359501335986405,0.38449855955039963
Sym,0.002402216880481519,0.002010874208784064,0.0025893430220311994,0.0025863434000794154,0.00041336270767108066,0.0013695876009058223,0.0019302339708384161,0.0021347743300937994,0.0025792622432331074,0.0009617623583786893,0.0025186966434512406,0.0017853371161182655,0.0011567448390033307,0.003345576766182771,0.00048665599091157513
CS,4.524727758857839,0.43415508122706986,0.5670079665767892,1.5390157152213337,0.8770044160567007,0.9619378250390338,0.5956601624797494,0.5211614810814489,1.329456753417128,2.1817478235146526,2.2118012778028167,1.332204720579333,0.7231767162541436,0.6098359314875543,1.0298942576217476
SF,0.42862869894086497,0.383492470323162,0.3994695431315979,0.41923421198644506,0.0584880250265889,0.2620294977236075,0.3227231584778305,0.342742844055978,0.18478460246087935,0.18591500749972367,0.14926236231833567,0.1494685564496796,0.39622234855712946,0.42017002745429954,0.2692502163193504
SD,301176930.67298514,78108890.58729331,103317293.0487573,308333013.08255744,13963308.938510831,50651906.47245405,72513536.14694826,80208102.53461632,520742056.9011788,650235007.356239,391106415.5103319,132495691.38950366,45827283.7354479,134865380.02953997,17395098.67206305
SDbw,1.5660459238336375,0.332271475048044,0.5214701045567115,1.4521587430999139,0.08454270150034629,0.21250542742623046,0.3234076566909583,0.33341188850408554,1.147386199367097,1.4391853264705767,0.9099178925789506,0.42532737266088594,0.2117128810669267,0.5522389484243808,0.13115061431882044
XB*,27127.644805797485,15.334066289577516,16.428238516402782,7.4611820789573295,1211.824146800191,307.61849618259805,101.9956612003856,16.022237410800994,18.57962123090645,6.80433566457485,11.471447974044114,19.504247658498144,3297.0767467179935,12.465753713620092,1212.0295974903238
