,labels_data3_DBSCAN_params13,labels_data3_DBSCAN_params14,labels_data3_DBSCAN_params17,labels_data3_DBSCAN_params18,labels_data3_DBSCAN_params19,labels_data3_DBSCAN_params20,labels_data3_DBSCAN_params21,labels_data3_DBSCAN_params22,labels_data3_DBSCAN_params23,labels_data3_DBSCAN_params24,labels_data3_DBSCAN_params25,labels_data3_DBSCAN_params26,labels_data3_DBSCAN_params27,labels_data3_DBSCAN_params28,labels_data3_DBSCAN_params29,labels_data3_DBSCAN_params30,labels_data3_DBSCAN_params31,labels_data3_DBSCAN_params32,labels_data3_DBSCAN_params33,labels_data3_DBSCAN_params34,labels_data3_DBSCAN_params35,labels_data3_DBSCAN_params36,labels_data3_DBSCAN_params37,labels_data3_DBSCAN_params38,labels_data3_DBSCAN_params39,labels_data3_DBSCAN_params40,labels_data3_DBSCAN_params41,labels_data3_DBSCAN_params42,labels_data3_DBSCAN_params43,labels_data3_DBSCAN_params44,labels_data3_DBSCAN_params9
cSIL,,,,,,,,,,,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,
GD43,,,,,,,,,,,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,
GD53,,,,,,,,,,,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,
PS,,,,,,,,,,,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,
rCIP,,,,,,,,,,,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,
WB,,,,,,,,,,,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,
XB,,,,,,,,,,,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,
SSE,1197.2789266544369,1534.158760246427,1482.2610175262164,1450.4079101338548,1453.9471504766907,1423.4905132661852,1602.5806601574038,1612.0730187137092,1493.2408440201411,1350.2016072307138,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,1243.4543239758946
RS,,,,,,,,,,,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,
DH,0.06576906953564043,0.10955971528695009,0.22215859402094307,0.3069477500546069,0.3038955487047404,0.2980603060033854,0.3094949922560878,0.3021627414510147,0.3066959966068182,0.30263491045565466,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.10203485607984994
B,1.3197176031828455,0.26285850900920554,2.3035388252636593,1.9985568495396286,1.9225790236795766,1.715533983670568,2.432344910958809,2.4113750047938884,2.249503320071198,1.8784997217731279,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.1804889974985108,0.15514253215919208
BH,0.062271811083959114,0.005304967032537773,2.8364024177450173,3.352283213272088,2.6206139182211263,1.8530732882889296,5.0781511699734665,5.039219972072772,4.990901677253011,4.894831140381645,7.0384381116835115,7.0384381116835115,7.0384381116835115,7.0384381116835115,7.0384381116835115,7.0384381116835115,7.0384381116835115,7.0384381116835115,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,104.1226561237285,0.0003016830313790201
D,,,,,,,,,,,0.9512780639470966,0.9512780639470966,0.9512780639470966,0.9512780639470966,0.9512780639470966,0.9512780639470966,0.9512780639470966,0.9512780639470966,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,0.7674440383777987,
H,,,,,,,,,,,0.0462331412350835,0.0462331412350835,0.0462331412350835,0.0462331412350835,0.0462331412350835,0.0462331412350835,0.0462331412350835,0.0462331412350835,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,0.13683345293476634,
