,labels_jain_MeanShift_params1,labels_jain_MeanShift_params10,labels_jain_MeanShift_params11,labels_jain_MeanShift_params12,labels_jain_MeanShift_params13,labels_jain_MeanShift_params14,labels_jain_MeanShift_params15,labels_jain_MeanShift_params16,labels_jain_MeanShift_params17,labels_jain_MeanShift_params18,labels_jain_MeanShift_params19,labels_jain_MeanShift_params2,labels_jain_MeanShift_params20,labels_jain_MeanShift_params21,labels_jain_MeanShift_params22,labels_jain_MeanShift_params25,labels_jain_MeanShift_params26,labels_jain_MeanShift_params3,labels_jain_MeanShift_params4,labels_jain_MeanShift_params5,labels_jain_MeanShift_params6,labels_jain_MeanShift_params7,labels_jain_MeanShift_params8,labels_jain_MeanShift_params9
cSIL,0.8634493413898031,0.8631404252578319,0.8441693450447864,0.8610944532946064,0.8722233478851897,0.8422116474150375,0.8509932093768007,0.8631404252578319,0.8595046726611341,0.862937079317812,0.8608390790038264,0.8530943566430275,0.829578729318504,0.8319161767955991,0.8306530735191162,0.8607377366952934,0.8559090094231008,0.8728039337856885,0.8608979561073806,0.8438914892066115,0.8407918128650791,0.8722233478851897,0.8422116474150375,0.8509932093768007
GD43,6.009000310783359,3.3411802627905467,2.5814620235160253,3.431102583742419,5.466103305008784,3.821979788863992,3.0991587993533485,3.3411802627905467,1.9957251715979485,1.9970434064742164,3.666736303006476,5.476296835778278,2.1999401592948016,2.1526907841363565,2.123473421623881,3.528430256837445,3.347421908701204,4.7873410066766,3.7595302379315525,3.2728020256858734,3.371716999281966,5.466103305008784,3.821979788863992,3.0991587993533485
GD53,0.17280836320358847,0.15710073766341304,0.21059913507943107,0.16944659645472576,0.13648446356484714,0.1123522974474663,0.312413553910344,0.15710073766341304,0.27795885088644773,0.27138268307326074,0.368496013195895,0.15871434418798122,0.24343244647843665,0.24459493744650226,0.2333558107641587,0.2015822680740152,0.20651956337900274,0.14543835576528907,0.13355771462925364,0.2328680399042313,0.1347537105336053,0.13648446356484714,0.1123522974474663,0.312413553910344
PS,-11.23985467732999,-0.6413139517669646,-0.916809801948087,-0.877908116856238,-12.935479577143337,-11.936988910228566,-0.03379524995733951,-0.6413139517669646,1.7090523284680554,1.6966504654150443,1.0381547028047944,-13.466828194368995,0.9963941414701833,0.8489754069139878,0.9378577067532157,-0.07315422870903487,-0.22644707209907944,-5.8550005395047995,-5.162673884111092,-1.78779048335327,-4.827678013421706,-12.935479577143337,-11.936988910228566,-0.03379524995733951
rCIP,13.887524168545271,1.2796111924030338,1.487016544493481,1.2912317520079966,13.787794564632769,19.819559139312503,0.9368306826889725,1.2796111924030338,0.05327484506380072,0.05071718803899739,0.287358731461821,18.547593046854168,0.4402370057073779,0.41429809084943536,0.44915885177260645,1.0843358561314507,1.1129169300176527,5.328611730632931,8.213602677873967,1.582276642063701,3.7365288250720305,13.787794564632769,19.819559139312503,0.9368306826889725
WB,0.4439976300002276,0.7468944716892723,0.9398432004895693,0.7601169132890355,0.45807037249993815,0.4586620052615881,0.9088814558828417,0.7468944716892723,1.0675475919189146,1.0655006497432316,0.8277993728483921,0.4217049978457078,0.8555093967822536,0.8385196231064003,0.8417512894895552,0.6599396913867402,0.6698095455660599,0.4442752977210637,0.47326059910753826,0.6906172650415918,0.7221219749448873,0.45807037249993815,0.4586620052615881,0.9088814558828417
XB,0.294819724635321,0.18048023427505483,0.3335152616806102,0.19612196357039557,0.2375896979171633,0.3016019603385748,0.28192548484315966,0.18048023427505483,0.22542677503991065,0.22126354016883534,0.19373050703589503,0.30984133676136777,0.2427879388262706,0.23653650865825943,0.23834880631631347,0.1803125440881896,0.2030747659255516,0.1752513561291077,0.2674710487735572,0.3399319395347436,0.2817745945666157,0.2375896979171633,0.3016019603385748,0.28192548484315966
SSE,3.809561284914522,18.566332833058496,22.794916446995636,18.86282165188821,3.9278445477942023,3.765165358302977,25.3334319550882,18.566332833058496,50.54161660188329,50.470105301076586,27.353633735295954,3.325272907792084,28.135499428210153,27.656996391538243,27.74822798164768,16.591032947553053,16.817493922633354,5.539609596415048,5.889969365916348,13.723993913338182,11.86311804423583,3.9278445477942023,3.765165358302977,25.3334319550882
RS,0.601412899275481,0.3322231201657882,0.28060613431621206,0.33257680979947596,0.5978589508154328,0.5692530568912191,0.2652444100497839,0.3322231201657882,0.22896968696536435,0.23705136021028642,0.2685681819502385,0.6081642276217735,0.21477094100667063,0.217468173737458,0.22150581552939919,0.36229337891715024,0.3582426438566256,0.5570235851791994,0.5300803218829042,0.397291273531333,0.4386477109563049,0.5978589508154328,0.5692530568912191,0.2652444100497839
DH,0.11224970852718621,0.24947592704142876,0.25507016120033976,0.24847589959187863,0.11192580844740635,0.1158934427940942,0.27201330153333697,0.24947592704142876,0.3881314440875526,0.38485903583514813,0.30216823463404285,0.1087616034762336,0.3192468616166316,0.3171097328969086,0.3182764882945708,0.2489202889510393,0.24972426183711322,0.14469617268549556,0.14940539869714153,0.20828097165345252,0.1858468236416329,0.11192580844740635,0.1158934427940942,0.27201330153333697
