,labels_fuzzyx_MeanShift_params1,labels_fuzzyx_MeanShift_params10,labels_fuzzyx_MeanShift_params11,labels_fuzzyx_MeanShift_params12,labels_fuzzyx_MeanShift_params13,labels_fuzzyx_MeanShift_params14,labels_fuzzyx_MeanShift_params15,labels_fuzzyx_MeanShift_params16,labels_fuzzyx_MeanShift_params2,labels_fuzzyx_MeanShift_params3,labels_fuzzyx_MeanShift_params4,labels_fuzzyx_MeanShift_params5,labels_fuzzyx_MeanShift_params6,labels_fuzzyx_MeanShift_params7,labels_fuzzyx_MeanShift_params8,labels_fuzzyx_MeanShift_params9
H,1.4885627069696739,0.47198543589684355,0.46521374767360296,0.47093010306083355,0.4925455222763051,0.7285866343788845,0.46521374767360296,0.47198543589684355,2.1103774295072038,0.691818885697971,0.9575297510212241,0.4922550678716303,0.7204297226507538,0.4925455222763051,0.7285866343788845,0.46521374767360296
DBCV,-0.6767180638465314,-0.8002429828854601,-0.8124424522065513,-0.7947656459778918,-0.8153564693243971,-0.8386508743769615,-0.8124424522065512,-0.8002429828854601,-0.6922959203352841,-0.7516633706307997,-0.7588596163744838,-0.7351198499008742,-0.7843798809641639,-0.8153564693243971,-0.8386508743769615,-0.8124424522065512
I,0.6962613193131562,0.5464055639578022,0.5543594308026055,0.5487596093179387,0.7111467517653902,0.6431447444860292,0.5543594308026055,0.5464055639578022,0.5725561350694813,0.7015053484842381,0.6538432376034256,0.714416856988119,0.6517089772850265,0.7111467517653902,0.6431447444860292,0.5543594308026055
C,0.01993932188652955,0.11541593754051618,0.1155401359508637,0.11406365444870685,0.04125712691508795,0.043286218201344,0.1155401359508637,0.11541593754051618,0.019626033761701335,0.04072055982467082,0.03688025143792467,0.04101531338348711,0.04086772271525524,0.04125712691508795,0.043286218201344,0.1155401359508637
CDbw,0.29472623476229703,0.025048797026429377,0.021664974862402327,0.02713978883539512,0.04030901944887602,0.038531879279621505,0.021664974862402327,0.025048797026429377,0.3018227946737573,0.061896314435394104,0.10680132334833443,0.042873647501301654,0.05413883851128428,0.04030901944887602,0.038531879279621505,0.021664974862402327
VIASCKDE,0.6041195197965331,0.6774471067556163,0.6737671810295653,0.6778821848254957,0.6859442974095951,0.653365494713232,0.6737671810295653,0.6774471067556163,0.5809426622736712,0.6600851884766459,0.6338416214002913,0.6799059165534925,0.6440537563576973,0.6859442974095951,0.653365494713232,0.6737671810295653
COP,0.11720637340810569,0.16578143521281946,0.1654651471121446,0.16537653497039817,0.16222555748249753,0.1511532368569284,0.1654651471121446,0.16578143521281946,0.11710851381228465,0.15562250156636692,0.1403849622003273,0.16148933751354824,0.15715152279574832,0.16222555748249753,0.1511532368569284,0.1654651471121446
Sym,0.04260762852631412,0.02184358564784996,0.02120172000377561,0.02125767710959603,0.04498750185215356,0.041121151642613166,0.02120172000377561,0.02184358564784996,0.03786700104520318,0.04302403416928451,0.041044256197532825,0.04575581587098728,0.04083553727021141,0.04498750185215356,0.041121151642613166,0.02120172000377561
CS,1.0181072075935749,0.9897126457349651,0.985203476546683,0.992457070172535,0.9141104175058965,1.008779390101764,0.985203476546683,0.9897126457349651,1.1257794148726739,0.9895726634140213,1.0061641809861581,0.9178445452680749,0.9889154435218513,0.9141104175058965,1.008779390101764,0.985203476546683
SF,0.22383940951354353,0.3116294657679598,0.31273047035569645,0.3103360565062935,0.30169220865763147,0.2813469690253315,0.31273047035569645,0.3116294657679598,0.19743845816961003,0.2898279192635369,0.25700856241420533,0.3018589522579386,0.28608820544326663,0.30169220865763147,0.2813469690253315,0.31273047035569645
SD,13942556.288323369,77232192.37773025,76781033.14323363,77621651.35849495,49404496.568873115,39759286.84567081,76781033.14323363,77232192.37773025,12206890.666662788,37929530.09683483,25796352.159468465,49336208.57078297,38205792.10508199,49404496.568873115,39759286.84567081,76781033.14323363
SDbw,0.21031833050941165,0.7339901565139781,0.7144916323342763,0.7534727551499764,0.40175075462484255,0.4088150458212643,0.7144916323342763,0.7339901565139781,0.19860138940432168,0.41663019199476004,0.35098954694608997,0.3985315985620486,0.40726492085180244,0.40175075462484255,0.4088150458212643,0.7144916323342763
XB*,0.23666449585781651,0.29266251880406274,0.28940843088618406,0.28539689933011314,0.14052940049016646,0.35452072203745016,0.28940843088618406,0.29266251880406274,0.4892518272950709,0.35775645885665786,0.4323401771987931,0.13470173042399278,0.38129714453977975,0.14052940049016646,0.35452072203745016,0.28940843088618406
S,0.4470132146982631,0.49714083912501406,0.49636981071353453,0.4999867949071663,0.5388274483069379,0.4917321572686277,0.49636981071353453,0.49714083912501406,0.4052993483651245,0.5095587149825572,0.47073515495296636,0.5393770923189052,0.49294969909570746,0.5388274483069379,0.4917321572686277,0.49636981071353453
DB,0.6627191581509855,0.720715680828933,0.7157068479625562,0.7183958381329676,0.5630708667069587,0.6150495912646281,0.7157068479625562,0.720715680828933,0.7395033888340173,0.602356261092596,0.6252350944964119,0.5624932697317017,0.617768074270005,0.5630708667069587,0.6150495912646281,0.7157068479625562
CH,2232.550526680947,938.8747830163127,935.9646085213467,951.780693835151,1666.315549385537,1569.2564971028823,935.9646085213468,938.8747830163127,2163.5035142207144,1651.6553853941268,1743.9874191829094,1669.7794131394767,1617.1868576182671,1666.315549385537,1569.2564971028823,935.9646085213468
AD-S,0.14654592872083252,0.0797246882945854,0.07803015271822766,0.06785204729944232,0.0952712217815779,0.11380053445304245,0.07803015271822766,0.0797246882945854,0.1062325808844946,0.12022111567059758,0.12333263160216146,0.09791687587998527,0.09108781638666169,0.0952712217815779,0.11380053445304245,0.07803015271822766
AD-DB,1.8465157225995812,2.0067791709414946,2.0083721398544303,2.0253534830439763,1.9843056649594846,1.8394271888331595,2.0083721398544303,2.0067791709414946,2.046545951214631,1.8904952266285449,1.8851954480050408,1.981993252576808,1.915790780368347,1.9843056649594846,1.8394271888331595,2.0083721398544303
AD-CH,94.89757663864096,308.9882088472479,308.2980149937357,305.99957188206736,227.41249276562917,189.99627977311565,308.2980149937357,308.9882088472479,80.47016899869887,176.02814527555483,139.51516109955,200.6923483327302,192.99303541474066,227.41249276562917,189.99627977311565,308.2980149937357
AD-idea,4.823891172293123,1.3511024660149882,1.3469088619393208,1.274836117828104,1.5070415024067825,1.7592024186953683,1.3469088619393208,1.3511024660149882,2.5190645651301615,1.8131559247518247,2.211590722468442,1.5169411097638434,1.6321271942339841,1.5070415024067825,1.7592024186953683,1.3469088619393208
