,labels_fuzzyx_MeanShift_params1,labels_fuzzyx_MeanShift_params10,labels_fuzzyx_MeanShift_params11,labels_fuzzyx_MeanShift_params12,labels_fuzzyx_MeanShift_params13,labels_fuzzyx_MeanShift_params14,labels_fuzzyx_MeanShift_params15,labels_fuzzyx_MeanShift_params16,labels_fuzzyx_MeanShift_params2,labels_fuzzyx_MeanShift_params3,labels_fuzzyx_MeanShift_params4,labels_fuzzyx_MeanShift_params5,labels_fuzzyx_MeanShift_params6,labels_fuzzyx_MeanShift_params7,labels_fuzzyx_MeanShift_params8,labels_fuzzyx_MeanShift_params9
cSIL,0.8732229712133236,0.8794889793450019,0.8812303304265983,0.8798274774563831,0.8993651492781923,0.8738274132831844,0.8812303304265984,0.8794889793450019,0.8452803874670487,0.8809648917075655,0.8765616409408099,0.8994021196002867,0.8735606812926008,0.8993651492781923,0.8738274132831844,0.8812303304265984
GD43,6.568696520657814,2.1451855191211413,2.154751490470047,2.1892298274989046,4.842316775010731,3.181266694606104,2.154751490470047,2.1451855191211413,4.692775309806616,3.1829750351852537,2.9586971765955377,5.051749778655211,3.0939327324741086,4.842316775010731,3.181266694606104,2.154751490470047
GD53,0.23717321531923996,0.17661373518174336,0.1748778295475851,0.18194277036163592,0.3262893200549563,0.21571699589005328,0.1748778295475851,0.17661373518174336,0.2156161939406519,0.19708577662252091,0.14704405094917677,0.338284083587506,0.218021813884826,0.3262893200549563,0.21571699589005328,0.1748778295475851
PS,-3.509477852916131,1.4404513019463014,1.416225944832196,1.4898478969074773,1.9693518402913164,1.1344701345728432,1.416225944832196,1.4404513019463014,-4.69971451197033,1.0497179879443526,0.34808961445777337,1.9689589089735966,0.8154744926897274,1.9693518402913164,1.1344701345728432,1.416225944832196
rCIP,4.546493688548476,0.2799144853183102,0.2713813437428301,0.29099199469431547,0.40968746190585137,1.0728698973184656,0.2713813437428301,0.2799144853183102,8.756154862353041,0.7962423127850327,2.2209535696533367,0.40802471317602057,0.9963077513279719,0.40968746190585137,1.0728698973184656,0.2713813437428301
WB,0.4827743734967269,1.4144591206652168,1.4188570677880628,1.3952794048058412,0.7464072458896753,0.7601051849727014,1.4188570677880625,1.4144591206652168,0.4907993663364244,0.7221845492395907,0.6500702202573525,0.7448588659154283,0.737577104575727,0.7464072458896753,0.7601051849727014,1.4188570677880625
XB,0.1732267559686853,0.19083433453147697,0.18871436365085806,0.18710514323349572,0.111475003434812,0.2650702071883923,0.18871436365085803,0.19083433453147697,0.3308973980417363,0.2581882420845224,0.2279030480328046,0.11127097863234085,0.2823643001559756,0.111475003434812,0.2650702071883923,0.18871436365085803
SSE,17.91968474760319,121.04102650244499,121.31883434172107,119.82419507557992,60.183400473013535,52.09757618079469,121.31883434172107,121.04102650244499,15.693106669125132,49.777724324949176,34.820733494963505,60.074740632794466,50.722535608310494,60.183400473013535,52.09757618079469,121.31883434172107
RS,0.552750945991099,0.1676872739541906,0.17285758996459227,0.16347953790232703,0.3346064098514822,0.3580144374714999,0.17285758996459227,0.1676872739541906,0.5418005121956938,0.387494231745853,0.4450711761408588,0.33548160492198886,0.38282540223009476,0.3346064098514822,0.3580144374714999,0.17285758996459227
DH,0.17417409388788938,0.3478408742048583,0.3460309112854898,0.3501414555753588,0.29695118812610494,0.27323874375452756,0.3460309112854898,0.3478408742048583,0.16832241908112586,0.2647426724159555,0.23138808661486757,0.2967650909838293,0.26656243914733635,0.29695118812610494,0.27323874375452756,0.3460309112854898
B,0.03374815206895679,0.20734017081553163,0.20609645959406417,0.20751074523452634,0.1058488388023596,0.09966635076117779,0.20609645959406414,0.20734017081553163,0.032663505449185684,0.09108913328752545,0.07220151135494424,0.10567716955087775,0.09461662081418916,0.1058488388023596,0.09966635076117779,0.20609645959406414
BH,1.493307062300266,30.260256625611245,30.329708585430275,29.956048768894984,12.036680094602707,8.682929363465782,30.32970858543027,30.260256625611245,1.1209361906517952,8.29628738749153,4.352591686870438,12.014948126558894,8.453755934718416,12.036680094602707,8.682929363465782,30.32970858543027
D,0.22070231512285807,0.23192072260365376,0.22943177350619823,0.2379993431853654,0.2843990784245097,0.2030591301534132,0.22943177350619823,0.23192072260365376,0.18115334899887375,0.2324947129946957,0.1850621270185296,0.28558023132217764,0.1796537995366864,0.2843990784245097,0.2030591301534132,0.22943177350619823
