,labels_data5_DBSCAN_params10,labels_data5_DBSCAN_params13,labels_data5_DBSCAN_params14,labels_data5_DBSCAN_params17,labels_data5_DBSCAN_params18,labels_data5_DBSCAN_params19,labels_data5_DBSCAN_params20,labels_data5_DBSCAN_params21,labels_data5_DBSCAN_params22,labels_data5_DBSCAN_params23,labels_data5_DBSCAN_params24,labels_data5_DBSCAN_params25,labels_data5_DBSCAN_params26,labels_data5_DBSCAN_params27,labels_data5_DBSCAN_params28,labels_data5_DBSCAN_params29,labels_data5_DBSCAN_params30,labels_data5_DBSCAN_params31,labels_data5_DBSCAN_params32,labels_data5_DBSCAN_params33,labels_data5_DBSCAN_params34,labels_data5_DBSCAN_params35,labels_data5_DBSCAN_params36,labels_data5_DBSCAN_params37,labels_data5_DBSCAN_params38,labels_data5_DBSCAN_params39,labels_data5_DBSCAN_params40,labels_data5_DBSCAN_params41,labels_data5_DBSCAN_params42,labels_data5_DBSCAN_params43,labels_data5_DBSCAN_params44,labels_data5_DBSCAN_params5,labels_data5_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,,
GD43,,,,,,,,,,,,,,,,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,,
GD53,,,,,,,,,,,,,,,,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,,
PS,,,,,,,,,,,,,,,,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,,
rCIP,,,,,,,,,,,,,,,,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,,
WB,,,,,,,,,,,,,,,,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,,
XB,,,,,,,,,,,,,,,,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,,
SSE,1614.480053057706,1165.7043737539807,981.3901142392443,1428.3010918629286,1545.5684358624449,1739.4996253760314,1660.3363624374742,1724.273621451119,1805.857853630736,1692.614478884785,1739.011436040867,2275.131387037655,2275.131387037655,2275.131387037655,2072.9724720780932,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,1594.525848593556,1921.3812422417723
RS,,,,,,,,,,,,,,,,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,,
DH,0.18710444891105152,0.09215918176087311,0.18175913886138972,0.10703498223604742,0.16571488058452832,0.20585327032622114,0.2157755492460785,0.2351201610952786,0.25454787119233574,0.2320707974696607,0.21475702898814036,0.17894038954134406,0.17894038954134406,0.17894038954134406,0.1955087778429538,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.23576647789807323,0.07986345493506457
