,labels_dense_DBSCAN_params1,labels_dense_DBSCAN_params11,labels_dense_DBSCAN_params12,labels_dense_DBSCAN_params16,labels_dense_DBSCAN_params21,labels_dense_DBSCAN_params22,labels_dense_DBSCAN_params26,labels_dense_DBSCAN_params27,labels_dense_DBSCAN_params31,labels_dense_DBSCAN_params32,labels_dense_DBSCAN_params36,labels_dense_DBSCAN_params37,labels_dense_DBSCAN_params38,labels_dense_DBSCAN_params41,labels_dense_DBSCAN_params42,labels_dense_DBSCAN_params43,labels_dense_DBSCAN_params46,labels_dense_DBSCAN_params49,labels_dense_DBSCAN_params55,labels_dense_DBSCAN_params6,labels_dense_DBSCAN_params7
cSIL,,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,,
SSE,176.0197897944395,132.82028610053604,232.83643518776057,225.6170676553975,187.99115753037734,180.4666749478713,190.5390238767344,204.4499384031655,243.23262317071976,195.9571162768902,247.7080494630615,294.8892932301298,257.85589308758927,559.0250816019816,421.7769968945787,303.24002388962606,517.8110980108642,243.4976762449593,301.5264754215215,189.08614713197082,178.0902182022363
RS,,,,,,,,,,,,,,,,,,,,,
DH,0.2129394920488901,0.2173165652120243,0.3417965612417938,0.1861168870605274,0.12098628198952924,0.2521899610642008,0.14001053492545534,0.2073547980823286,0.24664120398594575,0.24341443445824548,0.31199211510074887,0.3396405001148729,0.3502221993866482,0.2582151773270933,0.4354693847523692,0.44028583809061905,0.31391651298386825,0.4036600767414517,0.4528217649160512,0.13784331002415084,0.2590954744595295
B,0.025003091991001817,0.9616730188302601,0.8012892861375309,2.4165414632608555,1.4739051011912723,1.392855213926931,1.7972447635048294,1.0141004722899765,1.3441150594377467,1.5036895861555606,1.1647371179771586,2.2252964082405495,2.5958349031855485,1.7164554024273337,2.346297571555936,2.4578179454594538,1.2199694203738185,1.9825695868133186,2.125715725129662,0.08158601684574941,0.054811491840429945
BH,2.1700953218551396e-05,0.018978782910138964,0.030780399922467006,0.0665602318139479,0.03666511215810508,0.11021944956941054,0.055435262551807314,0.08871622952518748,1.736017807340158,0.2571457877208984,3.713076377494885,3.0711933981774644,1.279117379277908,6.4078810195649245,7.996094347559471,5.669176860173494,30.41053631327647,2.323534602220653,5.882754061680451,0.00046919496514134025,0.00035542999157364843
D,1.010316472566595,0.5892404006137014,7.789475991292746,0.17947068576472125,0.17868080489134952,0.12634764977913387,0.058950330481024556,0.11248323855599152,0.07697905771345602,0.11686010075318266,0.019267107899396736,0.05749575668443108,0.05568429573726031,0.18202404999340585,0.07132881118820021,0.013779754455101084,0.6166705568193555,0.07140574021191617,0.05958539939546893,0.3779886617564773,0.6066982008426756
H,,,,,,,,,,,,,,,,,,,,,
DBCV,0.0820286368770903,0.12381157558230846,0.09079972908972703,0.5505863775574836,0.6562295783662471,0.5239501164234668,0.6955372955352616,0.5525035543944771,0.49118370661939514,0.697542459877931,0.5798471960051393,0.5098935546115455,0.7164870589173162,0.7360365315243749,0.8274460268409914,0.5030971050910824,0.3402511456214966,0.7617906480422353,-0.41878151749141396,0.11648849653443051,0.09144645853184635
I,3418.3034718715667,172.99284722510632,2.19350235838258,39.04956192242454,10.051566241016644,113.13885720983377,5.131876833983481,102.99187275311301,1.5692836649394595,3.8370816829767396,1.7117335317039448,1.179226623928237,5.361005702056691,1.8373935205403729,1.1939126419099682,1.9343722742456233,0.2932008166709393,6.342334736748106,1.490955017541237,14.532190368970273,59.41725819403442
C,0.6100348516950321,0.3287515419363602,0.3444424423489791,0.09842835315665935,0.10044913578109037,0.0959672974953861,0.08384210520938011,0.09954145862031222,0.04800286243936504,0.05486926116404678,0.04583176416883689,0.044794953429548756,0.05524366022936925,0.05468539247361374,0.052343496060259107,0.049137352156520424,0.16905707019892166,0.05399896552685617,0.048843477111594064,0.5493774314396146,0.5692495105439411
CDbw,0.09232922995963373,0.6542875228489886,0.05221819520017987,1.074362897212083,1.2607720607090669,0.889209267129002,1.1460956872948733,1.1047299309819196,0.564261047786603,0.5497978395648596,0.3136010774085367,0.24659213356094248,0.425454749414215,0.46216846410023626,0.11310212471033866,0.12773974528929066,0.33017543878340505,0.27872494924501706,0.07156253597575864,0.06578018137378665,0.05941440106770561
VIASCKDE,0.2954117130030642,0.299625717181167,0.3144883283765577,0.5417083810812658,0.5222418768077461,0.5412261802622654,0.528225860253635,0.5298959695258438,0.5505630067909191,0.5135454438390259,0.6019013493795735,0.5994061831892773,0.5637704328204208,0.5925113699934517,0.5950958626950844,0.5894558200750546,0.5068508265937564,0.570306812689935,0.5548180479115428,0.2223543946926318,0.2833047065573341
COP,0.29140621992997034,0.30313369352232344,0.29800134371673437,0.28557272010738616,0.2862345265116693,0.25549881828869336,0.2799143615148881,0.2523972658528844,0.2918795572792001,0.28741054342594136,0.20381225355397944,0.20339472270037226,0.18765938341572164,0.16832852581769323,0.16954437963151772,0.17168034711015973,0.3168039631338832,0.17381381943125201,0.2160635252406521,0.318031721988635,0.30759652109684443
Sym,0.003962286677732354,0.02034990995298449,0.02236377241466485,0.03297812687303783,0.021930627151816606,0.0566912795792914,0.021678855993321765,0.058745065431026505,0.0367733045846519,0.028277868473446807,0.04651202916158905,0.033785347459153146,0.0461033908056991,0.09078157501099202,0.06328201913250492,0.03805607695309694,0.016837781194458237,0.04967284811358572,0.028057384055944424,0.005267041570052825,0.005928359380439385
