,labels_x3_DBSCAN_params11,labels_x3_DBSCAN_params16,labels_x3_DBSCAN_params17,labels_x3_DBSCAN_params21,labels_x3_DBSCAN_params22,labels_x3_DBSCAN_params26,labels_x3_DBSCAN_params27,labels_x3_DBSCAN_params31,labels_x3_DBSCAN_params32,labels_x3_DBSCAN_params33,labels_x3_DBSCAN_params38,labels_x3_DBSCAN_params43,labels_x3_DBSCAN_params44,labels_x3_DBSCAN_params49,labels_x3_DBSCAN_params6
cSIL,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,
SSE,65.24916550644237,127.63630666126656,63.63300803393871,119.97971807291555,89.77184570236517,84.82628889086259,107.76044368117641,98.0633835348643,124.95213504253773,105.73390850215814,137.67518216890903,123.17769516663967,131.24094298622407,127.0371275248274,66.72331361700817
RS,,,,,,,,,,,,,,,
DH,0.3118914340833383,0.20253733069082483,0.5078000931056199,0.17645454442013342,0.40027100622509076,0.17985742184027262,0.3140918882164316,0.45635262156611905,0.4170664378667381,0.44812357918149676,0.3990594063800284,0.5211607249433382,0.4643959320043284,0.5126354029005966,0.3649858898248091
B,0.15889590754669192,0.2324597499601588,0.3724386754614566,0.45468321408895923,0.14124657814249705,0.8680657005095336,0.8225211416331398,1.3951129825943094,1.5418039979057316,0.9908872105446941,1.6322870399659881,1.5841747107534363,1.135378543558893,1.3161690600898306,0.05805105381781452
BH,0.0011780249587037483,0.013286514108138888,0.014908523695069972,0.14334604792623876,0.09513375892002211,0.2099977872587196,0.2756127774187056,5.966194493518307,2.1098306579027497,1.7656431684284812,2.0708194111474323,7.80001016140779,4.2160482295241515,8.651392059112764,0.00023076297447822012
D,0.5639360393425841,0.4000559438201468,0.7637195589149963,0.18342247205113318,1.0310830905080575,0.2075710807351646,0.538583669901969,0.19216337348051776,0.159505119296155,0.07891907915075255,0.02417209144722026,0.19385013496057157,0.4901757039714597,0.34376405878206817,1.904146609437594
H,,,,,,,,,,,,,,,
DBCV,0.12470014215079134,0.1920192153680892,0.17664185770755342,0.5338941410391416,0.2873819664882263,0.4490390068054022,0.3306575190867895,-0.040812306036007204,0.6652294279175108,0.5640628831291086,0.6133578960799366,-0.015631697359872094,0.6460631343887091,0.6291537023813445,0.07583642277697264
I,70.81262072032398,33.80125163468089,14.724899887887283,1.6388728331231381,8.145921688891224,0.5762682013115059,3.0776524661591402,0.21784767773923103,0.5109580104597063,0.7225284645257226,0.5523568530189142,0.3071344392611062,0.7467521205996943,0.3002963920169852,323.18331716510903
C,0.6763131557987521,0.5921618737718412,0.6492907146220207,0.32097672729196114,0.5711892441419019,0.09095469256778911,0.35011292825920504,0.20743479066514625,0.0862280613404965,0.2319759538918304,0.10332552260195921,0.1841864706794604,0.1305238579635062,0.14974547518611336,0.6771995455108393
CDbw,0.49634189042462384,0.6604395770749726,0.4198221063511584,0.6930302956907805,0.35659616424634016,0.6136000934535916,0.675434279625304,0.1821966588809885,0.329288914741322,0.342223715459511,0.2637508900054173,0.11878303761114944,0.34406567044517106,0.10352872100258435,0.5427591236039503
VIASCKDE,0.25679229216950444,0.3751635671722243,0.3434496244126207,0.3478272079067403,0.4171891291394664,0.43507748026836923,0.38507158606548103,0.4106853672057946,0.4367235580874462,0.39997957248306526,0.42923928142201967,0.41069046275926446,0.39923398662150833,0.39582225114515773,0.25629398497221584
COP,0.4233898027020815,0.4205423710157612,0.4423265857110259,0.3465544624378802,0.43847554201036887,0.28408679630388817,0.34948851347605786,0.3640824248656986,0.2850699683007525,0.37128273908078196,0.294242968140227,0.37011607996514023,0.3184308848804706,0.35452086478105815,0.4068039260878152
Sym,0.002154779662588379,0.00838569685936212,0.0037568908253250996,0.015753527706257067,0.009641357740179116,0.0196984435841519,0.0170167979657438,0.0352016717234975,0.033889899917274924,0.015592746817338023,0.02550151296354639,0.04325077604052724,0.026419133063819034,0.028930943971817846,0.0025696410798832017
CS,5.399786885624164,1.5762619614519222,4.661093763959066,1.0261610364436444,2.686443660352072,1.0493924214914394,1.0977857451566189,1.9072002313499812,1.461647057420169,1.870542208696549,1.586436956116779,1.8423168843965139,1.4397072222213967,1.6596604223229,5.5464948156950555
SF,0.40751086515434476,0.3422502964212202,0.39570589045561433,0.24842740940808206,0.35202976600003544,0.19545653221708337,0.27635358665035903,0.180910845601566,0.2127007705081304,0.27310541368032426,0.22724495979135928,0.17064881283361122,0.3250485450077858,0.2815634927827042,0.42509916816730553
SD,625684.2447916018,448879.28200946195,1104395.973207458,374607.84997275745,920660.1962375606,360759.96078870323,730230.0972673892,1806368.1731964992,1162383.2527715315,1254025.4270781474,1109016.5052233608,2683825.8862409485,1409462.0487069343,1937187.3765841008,736720.1582811036
SDbw,1.6680094294995018,0.9863276639762323,1.9950813418649356,0.6078651847505218,1.8604758741880376,0.4779811710914804,1.0726038715387767,1.3147595026923187,1.0658022233771196,1.5412008801596957,1.1422604856832614,1.6271798298450837,1.3839495577797445,1.4316771143513067,1.6419246541054613
XB*,393.09995311899854,59.36503438646436,28.68565666739904,44.59852134760007,20.67027534220139,11.8152939361402,5.666584690465966,7.309062311411404,3.090898663876545,13.299155949043673,16.86028646527306,4.496215789946002,0.9251617813988284,1.2741237427779044,388.65995477514105
S,-0.23335970841260578,-0.22430407888268816,-0.13563749715271178,0.13557718065259558,-0.04462163681143137,0.28087152025591106,0.1361959069042053,0.11282443105059561,0.4564087316757126,0.193731560078205,0.40787292774850503,0.313476723034765,0.43364657197154555,0.4074823509421037,-0.27419168225874396
