,labels_data6_MeanShift_params1,labels_data6_MeanShift_params10,labels_data6_MeanShift_params11,labels_data6_MeanShift_params12,labels_data6_MeanShift_params13,labels_data6_MeanShift_params14,labels_data6_MeanShift_params15,labels_data6_MeanShift_params16,labels_data6_MeanShift_params17,labels_data6_MeanShift_params18,labels_data6_MeanShift_params19,labels_data6_MeanShift_params2,labels_data6_MeanShift_params20,labels_data6_MeanShift_params27,labels_data6_MeanShift_params28,labels_data6_MeanShift_params29,labels_data6_MeanShift_params3,labels_data6_MeanShift_params30,labels_data6_MeanShift_params37,labels_data6_MeanShift_params38,labels_data6_MeanShift_params4,labels_data6_MeanShift_params5,labels_data6_MeanShift_params6,labels_data6_MeanShift_params7,labels_data6_MeanShift_params8,labels_data6_MeanShift_params9
cSIL,0.8840636087948109,0.8673703911707188,0.8667389587902701,0.8675140700021148,0.8826764207644386,0.8803165231474633,0.8656150068037235,0.8673703911707188,0.7318838226801033,0.732189364281807,0.8678858545738318,0.8786970020741925,0.8697867257196704,0.8025018545221505,0.8025018545221505,0.7886188853494254,0.8850548030185822,0.73315847378719,0.8494003333360414,0.8492956116267611,0.8793078228885888,0.899665806917159,0.8963874114934921,0.8826764207644386,0.8803165231474633,0.8656150068037235
GD43,6.1913423765503754,3.1877092288112694,3.477878196839367,3.52604580960445,2.5693645965251255,2.657245093897094,3.173020303135883,3.1877092288112694,1.070176434602191,1.068039378982196,2.484403243972158,5.679867565870674,2.4345165992019027,1.5866809941067015,1.5866809941067015,1.765455211950726,3.64109779253491,1.0714313018432957,2.294425770230898,2.2959311548455212,4.1744862178356605,4.5084600830246115,4.399450914387937,2.5693645965251255,2.657245093897094,3.173020303135883
GD53,0.13191070570506916,0.3360387882993891,0.3593635237530246,0.3589685258939169,0.10523745155085526,0.1090672263613696,0.33582099792723846,0.3360387882993891,0.21649938172593935,0.21489418004903563,0.09523739017467843,0.10452532152989759,0.06361616377790649,0.2206316988302218,0.2206316988302218,0.28782092853281777,0.08221272810835238,0.21575279718149998,0.49371797511589655,0.49435221276519753,0.10009968543626115,0.18742909956912593,0.16993957615555103,0.10523745155085526,0.1090672263613696,0.33582099792723846
PS,-7.258902258151105,2.1000089346913153,1.9602101359173854,1.9528880495384127,-0.15817460123188537,-0.20893458291984834,2.0052816003869203,2.1000089346913153,2.3201246133323536,2.3016788521184073,-0.6121496997141059,-5.784082451481424,-0.9436746903781715,1.6714354191847256,1.6714354191847256,1.8869348847234515,-2.2569865208298463,2.288280326344134,1.9554005947324917,1.9593767062544676,-3.3478065882020096,-1.1734859836524443,-1.2218721757480524,-0.15817460123188537,-0.20893458291984834,2.0052816003869203
rCIP,33.35592321045672,0.25040335312396045,0.2316095334603876,0.23736465027732082,2.54174801575899,2.632483015581563,0.2400861616349257,0.25040335312396045,0.05008447963537785,0.0502503898495733,3.1891970153164184,43.85778331894857,4.1316333757549435,0.11211975197616225,0.11211975197616225,0.21066826035645958,15.451466993414337,0.0498642158050976,0.00975738858596771,0.009816024775189171,22.8214790735516,3.8872344947850723,4.151398275595421,2.54174801575899,2.632483015581563,0.2400861616349257
WB,0.2889026780785623,0.7895818036904232,0.7996143746912328,0.7989141332760538,0.5799504322191739,0.5756139468293138,0.790606568804187,0.7895818036904232,1.6699639598255531,1.6718081716257671,0.5888366344706559,0.278865654191599,0.5740046762457679,1.2889894585973225,1.2889894585973225,1.2157435197240722,0.3597072623945173,1.6733144329599363,1.4184572530434003,1.4195708251948544,0.3472987664103962,0.49490787266041386,0.5034893423050697,0.5799504322191739,0.5756139468293138,0.790606568804187
XB,0.25333347179064936,0.19740985863054397,0.1932784819517427,0.19089663896031892,0.24999191309406613,0.251518981381874,0.20363948760364775,0.19740985863054397,0.3756977107908985,0.3757278598939577,0.2690814286177661,0.26240716704000266,0.27937580435899323,0.31236499987373406,0.31236499987373406,0.2813612369118862,0.27824785573822075,0.3731407726596387,0.17730431971591898,0.1774456433639442,0.24254559365534914,0.2219018775453258,0.23689849497372895,0.24999191309406613,0.251518981381874,0.20363948760364775
SSE,7.807409897237765,73.19114565598267,74.01176287007945,73.95456502816236,34.499411166414916,34.25548796867753,73.27507782129375,73.19114565598267,225.0598415740863,225.21944343821292,31.97859805059196,6.942915603587471,31.21305058387535,153.38436878875874,153.38436878875874,146.70002078668583,13.041010603242395,225.3497049209439,261.15030536753386,261.2702141628041,11.297629852291166,27.097130731447592,27.54641757936132,34.499411166414916,34.25548796867753,73.27507782129375
RS,0.7355769202092841,0.290852097969344,0.2843586318927683,0.2839300441456766,0.4975059026808333,0.4970405730503151,0.29122295304016715,0.290852097969344,-0.07213870692450781,-0.07092397490360072,0.5010448849361788,0.7428216280249997,0.5160977368904355,0.1176458987352941,0.1176458987352941,0.047471406390566954,0.6699363953980201,-0.07358674930830819,0.17016088556483744,0.16975644217507133,0.6818454979423613,0.5524302549803353,0.5464065274982428,0.4975059026808333,0.4970405730503151,0.29122295304016715
DH,0.10001059067654948,0.28601570195159365,0.28710328673948143,0.28717325307858815,0.1879353108246336,0.18823607494734998,0.28594220073492266,0.28601570195159365,0.46091206745222296,0.4604997220093948,0.17996974702453175,0.09456666592071755,0.1774800162777028,0.3709955030149012,0.3709955030149012,0.3991600863807897,0.12445083052558077,0.4610532281462325,0.47069805119036556,0.470823441287783,0.11643355157002269,0.17610315499642895,0.17684042664055405,0.1879353108246336,0.18823607494734998,0.28594220073492266
