,labels_r15_MeanShift_params1,labels_r15_MeanShift_params10,labels_r15_MeanShift_params11,labels_r15_MeanShift_params12,labels_r15_MeanShift_params13,labels_r15_MeanShift_params14,labels_r15_MeanShift_params15,labels_r15_MeanShift_params16,labels_r15_MeanShift_params17,labels_r15_MeanShift_params18,labels_r15_MeanShift_params19,labels_r15_MeanShift_params2,labels_r15_MeanShift_params20,labels_r15_MeanShift_params21,labels_r15_MeanShift_params22,labels_r15_MeanShift_params25,labels_r15_MeanShift_params26,labels_r15_MeanShift_params3,labels_r15_MeanShift_params4,labels_r15_MeanShift_params5,labels_r15_MeanShift_params6,labels_r15_MeanShift_params7,labels_r15_MeanShift_params8,labels_r15_MeanShift_params9
cSIL,0.9465935471718849,0.9315626567140097,0.9831677378296517,0.9831677378296517,0.9309207040463361,0.9312094498060048,0.9327400169868797,0.9315626567140097,0.935270239598945,0.9831677378296517,0.9831677378296517,0.9439988266380841,0.9831677378296517,0.9819690256121099,0.9818887965612939,0.9831677378296517,0.9831677378296517,0.9210120563622487,0.9227572504608778,0.9818152244107061,0.9819690256121099,0.9309207040463361,0.9312094498060048,0.9327400169868797
GD43,5.377075202268988,3.2006351628444434,4.86260947279863,4.86260947279863,3.46136135443936,3.418038843339554,3.462533502111569,3.2006351628444434,2.935326091262751,4.86260947279863,4.86260947279863,5.772221663230207,4.86260947279863,4.884857391402655,4.85361454985117,4.86260947279863,4.86260947279863,4.815511344746276,5.054804121312249,4.878132018332469,4.884857391402655,3.46136135443936,3.418038843339554,3.462533502111569
GD53,0.04383575334389612,0.028153321949600914,0.019101844663048206,0.019101844663048206,0.030582965313075326,0.030141017832405352,0.03022051462345492,0.028153321949600914,0.012436440492037126,0.019101844663048206,0.019101844663048206,0.0460970377118383,0.019101844663048206,0.019838846431742455,0.019169293934082756,0.019101844663048206,0.019101844663048206,0.059680873894812976,0.05998670669589661,0.01916282205702178,0.019838846431742455,0.030582965313075326,0.030141017832405352,0.03022051462345492
PS,-0.6601068806329077,-1.0058515629761668,-1.4604971321520115,-1.4604971321520115,-0.8746711091316394,-0.9154584914719557,-0.9035378221390983,-1.0058515629761668,-0.7228768875361622,-1.4604971321520115,-1.4604971321520115,-0.12508813700932248,-1.4604971321520115,-1.4616516737300689,-1.4513815609367895,-1.4604971321520115,-1.4604971321520115,-1.6761385697985405,-1.6282723430862478,-1.4508849185825876,-1.4616516737300689,-0.8746711091316394,-0.9154584914719557,-0.9035378221390983
rCIP,0.49238762193641006,0.22702940631736818,0.001003094689734597,0.001003094689734597,0.2760433919356892,0.26983888716668647,0.223844150333565,0.22702940631736818,0.15584972354596918,0.0010030946897345969,0.001003094689734597,0.5908480396462605,0.001003094689734597,0.001432338520123359,0.001321131542153535,0.001003094689734597,0.001003094689734597,6.125143665133688,5.756547282676465,0.0016486134693766356,0.001432338520123359,0.2760433919356892,0.26983888716668647,0.223844150333565
WB,0.41615186281989075,0.6107965850320624,0.8903031858082852,0.8903031858082852,0.6121889109151778,0.6111297468311443,0.6033267635214278,0.6107965850320624,1.3260698510313327,0.8903031858082852,0.8903031858082852,0.4223782375809229,0.8903031858082852,0.8911443103867045,0.8938384467046029,0.8903031858082852,0.8903031858082852,0.3217482106470808,0.31829603423018193,0.8949798323353643,0.8911443103867045,0.6121889109151778,0.6111297468311443,0.6033267635214278
XB,0.12422873324589831,0.2300577948204563,0.07230127876649654,0.07230127876649654,0.23261689418895418,0.23133088123298132,0.22390274404981916,0.2300577948204563,0.11027562494687149,0.07230127876649654,0.07230127876649654,0.12092261398788393,0.07230127876649654,0.07236273991938855,0.07334394214613163,0.07230127876649654,0.07230127876649654,0.18764721618998603,0.1702529934886837,0.07264285497727833,0.07236273991938855,0.23261689418895418,0.23133088123298132,0.22390274404981916
SSE,10.753457414213884,17.105697770448728,26.95410619655612,26.95410619655612,17.142207221483687,17.11443487358225,16.909643989671103,17.105697770448728,42.86767513386255,26.95410619655612,26.95410619655612,10.907828053790665,26.95410619655612,26.977019075419076,27.050380243444284,26.95410619655612,26.95410619655612,7.028253054606797,6.9547923921758805,27.08144670306865,26.977019075419076,17.142207221483687,17.11443487358225,16.909643989671103
RS,0.745602558313221,0.7210100312304105,0.7626183613585646,0.7626183613585646,0.7186820902245348,0.7192778631905763,0.7222495668580611,0.7210100312304105,0.1787352157656505,0.7626183613585646,0.7626183613585646,0.7381287751158707,0.7626183613585646,0.7515577858208218,0.7489153540230904,0.7626183613585646,0.7626183613585646,0.7549864039350679,0.7561455774925645,0.7475727275473969,0.7515577858208218,0.7186820902245348,0.7192778631905763,0.7222495668580611
DH,0.11435772194671508,0.1139375934509034,0.1001969109003636,0.1001969109003636,0.11437258928257248,0.11428123864231217,0.11386219342324926,0.1139375934509034,0.18603429057281612,0.1001969109003636,0.1001969109003636,0.11591242927822507,0.1001969109003636,0.1024120519226058,0.1026245308999054,0.1001969109003636,0.1001969109003636,0.11458457598489144,0.11442773223590334,0.10281955836221347,0.1024120519226058,0.11437258928257248,0.11428123864231217,0.11386219342324926
