,labels_a3_DBSCAN_params10,labels_a3_DBSCAN_params13,labels_a3_DBSCAN_params14,labels_a3_DBSCAN_params15,labels_a3_DBSCAN_params16,labels_a3_DBSCAN_params17,labels_a3_DBSCAN_params18,labels_a3_DBSCAN_params19,labels_a3_DBSCAN_params20,labels_a3_DBSCAN_params5,labels_a3_DBSCAN_params9
cSIL,,,,,,,,,,,
GD43,,,,,,,,,,,
GD53,,,,,,,,,,,
PS,,,,,,,,,,,
rCIP,,,,,,,,,,,
WB,,,,,,,,,,,
XB,,,,,,,,,,,
SSE,13693.363147926975,3000.241092532684,3921.148808086462,5123.591018178828,6471.2458749455345,4275.997364540215,4800.997823256319,5142.244302856641,4432.109692377289,13623.71941179278,4551.660528375275
RS,,,,,,,,,,,
DH,0.009463790902915046,0.0007652406085006944,0.0007660826418792521,0.0005430037283301286,0.0022168679819558695,0.03281125445514243,0.011381548583900067,0.005795256064037105,0.0042429033809151225,0.0034384444308064813,4.8418048681700696e-05
B,0.01679924180930878,0.47826710137208256,0.30586196310141994,0.1977844216402409,0.07001948398607664,1.021891523534602,1.1072315420886123,1.0878410856013985,0.9442213380400922,0.009616643320699904,0.05615929202753541
BH,0.0005915908315875113,0.2553000871909479,0.09988093050396454,0.026452825311628892,0.011384674327088787,107.04465662581414,23.997076430557875,5.560603715122678,3.1990813777558644,5.929242428039742e-05,0.0013593412316894704
D,10.045282894381806,0.1423784369628314,0.2651876349885348,0.16246364895655996,2.196465939805814,0.011326605970680957,0.039042026736374545,0.01232382130341152,0.029700368049918366,14.961399008602797,0.10381205921971577
H,,,,,,,,,,,
DBCV,0.015596930619885135,0.29314790226398907,0.42989221449900883,0.24017782698895873,0.10744548463410548,-0.24653244685074624,0.21716929692951403,0.19714762216488077,0.3843966923034944,0.012336192564976887,0.22197302845956313
I,1617304.0607394548,0.23896835648235926,1.0923290832588433,5.682848066784712,820.4976461719202,0.11838738612651008,0.16421622236180447,0.24400185126268498,0.2598624462800172,4934620.667235275,2.6844697963443007
C,0.5103379933021001,0.2558282112664621,0.4605393866031347,0.49542681829277285,0.5013794195276009,0.1705314763809979,0.08976671041374838,0.024419885850922134,0.02056781511477481,0.5241156792399522,0.4995212638470864
CDbw,0.9023151918655841,0.16388073062696148,0.25192788331845833,0.3218352888499539,0.6956370103537729,0.2067260709161736,0.21829817204076274,0.15923111857008207,0.15738094270061057,0.7932927038415101,0.14608967680426255
VIASCKDE,0.8059033995198308,0.5436438100599887,0.4947316401892819,0.5138942789341325,0.7110710056505054,0.7712216173780866,0.7474613648653101,0.7179576057994267,0.6987991101282288,0.7897759000711537,0.43059101652476706
COP,0.4037226822875658,0.12844509621404923,0.1946430185999685,0.28297339402565946,0.3682477846364854,0.25586856699001237,0.18817090476534667,0.14358482737189707,0.12808340977562388,0.40464178214229507,0.288314899248612
Sym,0.0010530860826432006,0.0007557151478469585,0.00042376718158065017,0.000255404189793644,0.0004861369073892234,0.0007271665579744965,0.0012926978519023605,0.002897328344830976,0.002702030566238854,0.0006343185276392928,6.831295457743957e-05
CS,0.700931202264494,0.989290287087311,0.7896134582711578,0.6951944863027543,0.498199598320698,1.9024183841022275,1.355175783421955,1.2121536451921664,1.1034477710309345,0.5663481733041239,0.8259842225723403
SF,0.3609151436336554,0.03245689402932794,0.05855163586792844,0.10086177507634231,0.2704558807972992,0.0674892148859354,0.05399838319913208,0.04196947741041279,0.04040217529797585,0.3656260285987648,0.04933837062336288
SD,53364663.84605914,9292908.977829829,9534827.161412077,8323892.153360497,22003938.03915624,123782768.98644014,55127603.59822595,35109886.246544994,27085936.314364847,32642914.78953225,2167930.4767723335
SDbw,0.5832174457661233,0.058739169637416225,0.06772611804170534,0.07236788197414387,0.22473179536358603,0.6489699620704499,0.33258898502096146,0.18870329185240137,0.15301915613921244,0.4528874480356779,0.03971410712594206
XB*,306.69458339930134,442.63307633019707,195.28962718606252,587.6052183918893,347.1823560533387,8.855147665763335,11.607761322257598,57.72952093182734,88.00097643127859,1625.054551791668,2615.179262083752
S,-0.6117353744130806,0.25426280090869524,0.06475051832155296,-0.3249789104899111,-0.6412392922118115,0.14855239545220206,0.2959620965358836,0.4023452774450515,0.4613193493406765,-0.7453207094329819,-0.4320284211280018
DB,1.2064725165403487,1.3150115203582122,1.4674832831545463,1.4821443364740279,1.19512326663941,1.792911915249892,1.4881628979411636,1.6734238448116967,1.677193023426292,1.2421858582659353,1.3084938698734914
CH,13.088865574624304,574.2992026546704,181.81512249000858,59.83431749235705,36.75026375935243,2113.040276338038,3533.4872495353356,6458.496742741463,6176.062720789342,5.621787758615617,13.920064041339172
AD-S,-0.3822283020699079,0.3031279420307213,0.05458652405979981,-0.27786053465456056,-0.44069407463972976,0.4008830031053419,0.4341842775416697,0.44378172337745564,0.46941089169796846,-0.495384905441224,-0.33582572354155277
AD-DB,1.0754443645382188,1.296501329491843,1.3513065802161022,1.4204535399308513,1.1689252274452537,1.27449384946526,1.39147439704761,1.3461665872784523,1.3638304579782474,1.0367876590774805,1.2474928826763614
AD-CH,12.1723353468083,292.6262450033485,143.2308256948976,85.34760309572971,35.941319905395055,1398.3896823640491,978.0436956700916,827.2072825049928,769.0854018347,5.603901059158276,13.345288152162835
AD-idea,1.3656117835358954,4667759733115.502,921479432183.239,10635699.596492358,28.905688032853767,2513.4168687822716,2529571.4411876025,581938254.2562107,23306345543.177197,1.3404108526852943,226248347040.7835
