,labels_parabolic_KMeans_params1,labels_parabolic_KMeans_params10,labels_parabolic_KMeans_params11,labels_parabolic_KMeans_params12,labels_parabolic_KMeans_params13,labels_parabolic_KMeans_params14,labels_parabolic_KMeans_params15,labels_parabolic_KMeans_params16,labels_parabolic_KMeans_params17,labels_parabolic_KMeans_params18,labels_parabolic_KMeans_params19,labels_parabolic_KMeans_params2,labels_parabolic_KMeans_params20,labels_parabolic_KMeans_params21,labels_parabolic_KMeans_params22,labels_parabolic_KMeans_params23,labels_parabolic_KMeans_params24,labels_parabolic_KMeans_params25,labels_parabolic_KMeans_params26,labels_parabolic_KMeans_params27,labels_parabolic_KMeans_params28,labels_parabolic_KMeans_params29,labels_parabolic_KMeans_params3,labels_parabolic_KMeans_params30,labels_parabolic_KMeans_params31,labels_parabolic_KMeans_params32,labels_parabolic_KMeans_params33,labels_parabolic_KMeans_params34,labels_parabolic_KMeans_params35,labels_parabolic_KMeans_params36,labels_parabolic_KMeans_params37,labels_parabolic_KMeans_params38,labels_parabolic_KMeans_params39,labels_parabolic_KMeans_params4,labels_parabolic_KMeans_params40,labels_parabolic_KMeans_params41,labels_parabolic_KMeans_params42,labels_parabolic_KMeans_params43,labels_parabolic_KMeans_params44,labels_parabolic_KMeans_params45,labels_parabolic_KMeans_params46,labels_parabolic_KMeans_params47,labels_parabolic_KMeans_params48,labels_parabolic_KMeans_params49,labels_parabolic_KMeans_params5,labels_parabolic_KMeans_params50,labels_parabolic_KMeans_params51,labels_parabolic_KMeans_params52,labels_parabolic_KMeans_params53,labels_parabolic_KMeans_params54,labels_parabolic_KMeans_params6,labels_parabolic_KMeans_params7,labels_parabolic_KMeans_params8,labels_parabolic_KMeans_params9
cSIL,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8198817771529027,0.8657320234576737,0.8198817771529027,0.8205035713466149,0.8205035713466149,0.8218721148815447,0.8218721148815447,0.8198817771529027,0.8198817771529027,0.8205035713466149,0.8205035713466149,0.8218721148815447,0.8657320234576737,0.8218721148815447,0.8198817771529027,0.8198817771529027,0.8205035713466149,0.8205035713466149,0.8218721148815447,0.8218721148815447,0.8089328519688664,0.8089328519688664,0.8089328519688666,0.8657320234576737,0.8089328519688666,0.8089328519688666,0.8089328519688666,0.8089328519688664,0.8089328519688664,0.8089328519688666,0.8089328519688666,0.8089328519688666,0.8089328519688666,0.8089328519688664,0.8657320234576737,0.8089328519688664,0.8089328519688666,0.8089328519688666,0.8089328519688666,0.8089328519688666,0.8657320234576737,0.8657320234576737,0.8657320234576737,0.8657320234576737
GD43,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292,1.7345263697730764,2.8576289012818292,1.7345263697730764,1.733240238522388,1.733240238522388,1.7350186261188594,1.7350186261188594,1.7345263697730764,1.7345263697730764,1.733240238522388,1.733240238522388,1.7350186261188594,2.8576289012818292,1.7350186261188594,1.7345263697730764,1.7345263697730764,1.733240238522388,1.733240238522388,1.7350186261188594,1.7350186261188594,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.8576289012818292,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.8576289012818292,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.4351016067596554,2.8576289012818292,2.8576289012818292,2.8576289012818292,2.8576289012818292
GD53,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.2609118808687372,0.4998578959822545,0.2609118808687372,0.25970598044933213,0.25970598044933213,0.25785710639098325,0.25785710639098325,0.2609118808687372,0.2609118808687372,0.25970598044933213,0.25970598044933213,0.25785710639098325,0.4998578959822545,0.25785710639098325,0.2609118808687372,0.2609118808687372,0.25970598044933213,0.25970598044933213,0.25785710639098325,0.25785710639098325,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.4998578959822545,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.4998578959822545,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.27137739032387687,0.4998578959822545,0.4998578959822545,0.4998578959822545,0.4998578959822545
PS,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.4624795723601332,1.9435667420245117,1.4624795723601332,1.4584739204427777,1.4584739204427777,1.4577489469167246,1.4577489469167246,1.4624795723601332,1.4624795723601332,1.4584739204427777,1.4584739204427777,1.4577489469167246,1.9435667420245117,1.4577489469167246,1.4624795723601332,1.4624795723601332,1.4584739204427777,1.4584739204427777,1.4577489469167246,1.4577489469167246,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9435667420245117,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9435667420245117,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9073463774642865,1.9435667420245117,1.9435667420245117,1.9435667420245117,1.9435667420245117
rCIP,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.10998385817314944,0.006221468111418638,0.10998385817314944,0.11096983399713425,0.11096983399713425,0.10934786344744771,0.10934786344744771,0.10998385817314944,0.10998385817314944,0.11096983399713425,0.11096983399713425,0.10934786344744771,0.006221468111418638,0.10934786344744771,0.10998385817314944,0.10998385817314944,0.11096983399713425,0.11096983399713425,0.10934786344744771,0.10934786344744771,0.22938918510087652,0.22938918510087652,0.22938918510087655,0.006221468111418638,0.22938918510087655,0.22938918510087655,0.22938918510087655,0.22938918510087652,0.22938918510087652,0.22938918510087655,0.22938918510087655,0.22938918510087655,0.22938918510087655,0.22938918510087652,0.006221468111418638,0.22938918510087652,0.22938918510087655,0.22938918510087655,0.22938918510087655,0.22938918510087655,0.006221468111418638,0.006221468111418638,0.006221468111418638,0.006221468111418638
WB,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572,1.1944880715702435,1.240855333581572,1.1944880715702435,1.1944332414286662,1.1944332414286662,1.1943699261856562,1.1943699261856562,1.1944880715702435,1.1944880715702435,1.1944332414286662,1.1944332414286662,1.1943699261856562,1.240855333581572,1.1943699261856562,1.1944880715702435,1.1944880715702435,1.1944332414286662,1.1944332414286662,1.1943699261856562,1.1943699261856562,0.9251407527587673,0.9251407527587673,0.9251407527587673,1.240855333581572,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,1.240855333581572,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,0.9251407527587673,1.240855333581572,1.240855333581572,1.240855333581572,1.240855333581572
XB,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.32458922412495705,0.15509140600602675,0.32458922412495705,0.32444265920239457,0.32444265920239457,0.3226007422355268,0.3226007422355268,0.32458922412495705,0.32458922412495705,0.32444265920239457,0.32444265920239457,0.3226007422355268,0.15509140600602675,0.3226007422355268,0.32458922412495705,0.32458922412495705,0.32444265920239457,0.32444265920239457,0.3226007422355268,0.3226007422355268,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.15509140600602675,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.15509140600602675,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.21977348990832532,0.15509140600602675,0.15509140600602675,0.15509140600602675,0.15509140600602675
SSE,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566,146.73545677078545,197.28484334979566,146.73545677078545,146.73063928339488,146.73063928339488,146.7250761210948,146.7250761210948,146.73545677078545,146.73545677078545,146.73063928339488,146.73063928339488,146.7250761210948,197.28484334979566,146.7250761210948,146.73545677078545,146.73545677078545,146.73063928339488,146.73063928339488,146.7250761210948,146.7250761210948,96.78796985820301,96.78796985820301,96.78796985820301,197.28484334979566,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,197.28484334979566,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,96.78796985820301,197.28484334979566,197.28484334979566,197.28484334979566,197.28484334979566
RS,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.20579272661324555,0.23423991598135227,0.20579272661324555,0.20722758251029308,0.20722758251029308,0.20929164713493262,0.20929164713493262,0.20579272661324555,0.20579272661324555,0.20722758251029308,0.20722758251029308,0.20929164713493262,0.23423991598135227,0.20929164713493262,0.20579272661324555,0.20579272661324555,0.20722758251029308,0.20722758251029308,0.20929164713493262,0.20929164713493262,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.23423991598135227,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.23423991598135227,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.18844222527721974,0.23423991598135227,0.23423991598135227,0.23423991598135227,0.23423991598135227
DH,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.3982299251773589,0.44149808778368166,0.3982299251773589,0.39769621419453427,0.39769621419453427,0.39705123860410135,0.39705123860410135,0.3982299251773589,0.3982299251773589,0.39769621419453427,0.39769621419453427,0.39705123860410135,0.44149808778368166,0.39705123860410135,0.3982299251773589,0.3982299251773589,0.39769621419453427,0.39769621419453427,0.39705123860410135,0.39705123860410135,0.3711098874946942,0.3711098874946942,0.37110988749469426,0.44149808778368166,0.37110988749469426,0.37110988749469426,0.37110988749469426,0.3711098874946942,0.3711098874946942,0.37110988749469426,0.37110988749469426,0.37110988749469426,0.37110988749469426,0.3711098874946942,0.44149808778368166,0.3711098874946942,0.37110988749469426,0.37110988749469426,0.37110988749469426,0.37110988749469426,0.44149808778368166,0.44149808778368166,0.44149808778368166,0.44149808778368166
