,labels_s2_DBSCAN_params1,labels_s2_DBSCAN_params10,labels_s2_DBSCAN_params11,labels_s2_DBSCAN_params12,labels_s2_DBSCAN_params13,labels_s2_DBSCAN_params14,labels_s2_DBSCAN_params15,labels_s2_DBSCAN_params16,labels_s2_DBSCAN_params17,labels_s2_DBSCAN_params18,labels_s2_DBSCAN_params19,labels_s2_DBSCAN_params20,labels_s2_DBSCAN_params24,labels_s2_DBSCAN_params5,labels_s2_DBSCAN_params6,labels_s2_DBSCAN_params7,labels_s2_DBSCAN_params8,labels_s2_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,
SSE,4807.1516020342915,4872.966454758706,4904.628803928077,5015.224957500746,3775.885906544787,4689.154258726428,4845.651844889132,4956.367043372395,4127.530181919002,3891.839007929903,3707.189811805341,4106.768313802078,2863.9116507646186,4664.7361114459145,5104.407401862056,4754.3760367572595,3881.8431045995917,4243.020093833545
RS,,,,,,,,,,,,,,,,,,
DH,0.022260034103292997,0.00351282253700782,0.004143166029535484,0.006815887958714189,0.0006213643412420326,0.0051636634368853185,0.006102359932394658,0.00621067463642633,0.016125535572984535,0.01847422349772019,0.013502747223304227,0.010982868381443182,0.32404748315245613,0.000542287212143759,0.0063400666067828446,0.011257877639111109,0.10287787046785528,0.0002936298359301535
B,0.016525974743622093,0.37235984381925463,0.2828570533040572,0.20972003025770297,0.9641650282997424,0.8022365176308136,0.638338303906344,0.52657348887281,1.2846014464809752,1.506137379744177,1.442149935990878,1.4067429352170306,1.5458190708633566,0.16985834053598006,0.11424797267527786,0.08758111602519149,0.019234111106246184,0.40321294042867195
BH,2.9832201393231397e-06,0.01313418400858139,0.005619806965517073,0.0051242507358114425,0.1219316834573483,0.1940847813407446,0.12042895324890948,0.07144731089946194,82.13554967658601,9.281987502044656,5.017585062635304,2.3393116043001836,698.9199625662178,0.0005554539464057913,0.0007720496165120685,0.0004411804787226201,0.0004735295471990546,0.0084716387200664
D,132.11843635564605,0.7965680891893095,0.39088222770501446,5.986855122425611,0.04172612762460957,0.21983669194518793,0.35389206280457575,0.36686004473559075,0.04222670608603838,0.010368979410130728,0.01187873255491865,0.03312293345725324,0.2661795274827852,0.210501463994799,13.02188889404121,19.038056433519227,29.26644087676389,0.1281746303859008
H,,,,,,,,,,,,,,,,,,
DBCV,0.007999965567841029,0.17960966540302653,0.1200500477184249,0.12174772994516245,-0.04959709298875384,0.3708903373289865,0.37761624666134463,0.3283548865913512,-0.6181040301776389,0.1143929306137556,0.23929388099301938,0.4097194644942145,-0.5987036359778366,0.061601975704005746,0.06719084982694512,0.0469966027252632,0.019398035457438307,0.07114326152084258
I,792248748.1645397,485.30336091079806,1885.4211217381796,6991.197652234292,0.3312930455806677,12.401108500553836,40.505273619201226,97.73143313688747,0.06031359328739546,0.5881329076294567,0.7963912359903775,1.3407037237032124,0.09355175870217286,1016.1366367059823,83421.68489029724,343135.3531619734,3622455.0210169163,5.718757618030381
C,0.5296646404566485,0.518807524839804,0.5164430477394932,0.5078695770915952,0.37087591098327144,0.4588906494444499,0.4805306181905445,0.49011021517789843,0.24866588610119902,0.06441298416636053,0.11006336778641664,0.18596052907694635,0.3938721233416,0.5196638201880053,0.5163320131323905,0.5196366192751732,0.5196193832167058,0.4989172577581595
CDbw,1.5261199913850898,1.1944673838691908,1.353803360146486,1.4564786227913489,0.0,0.8929969998666146,1.153587681258885,1.2799702527125998,0.23310327324761004,0.33554120614465544,0.4241719422785505,0.6262898873815018,0.06880366325435275,0.573198852714155,1.4970278220166622,1.5360676621056872,0.6568300105021933,0.3385606150113596
VIASCKDE,0.6870188561194124,0.5872407300571575,0.5843841491324078,0.6141526292215095,,0.5730727039739357,0.5699217678165267,0.5750965328632521,0.6412054229569226,0.6530021260925937,0.6230705539432435,0.6131442701665164,0.7021102715173118,0.5691249393052901,0.6312431168173617,0.653962631320504,0.7052573192857917,0.501299353755099
COP,0.3343559878916313,0.30390372261934656,0.3158406537917007,0.30835409405841996,0.17322399178850686,0.22920232391786935,0.2398822823067569,0.2539319739130208,0.28339068730561157,0.16092947854356474,0.15567424397747986,0.1537163547778533,0.3188461802573024,0.3200275150815124,0.32571440394720735,0.3251610999471105,0.3307440575549736,0.25451500016251466
Sym,0.0021622628134637762,0.001050965028107558,0.001116935615197541,0.0014985660730127575,0.0005572137906386448,0.001313226414325775,0.0014622079039048133,0.0014502720127344442,0.0014477763399418026,0.004027119146810009,0.003110496386079155,0.00291177327265311,0.0015099898832292814,0.00039197697660035006,0.0014311747709027582,0.0015888564954332014,0.0022444456004297405,0.00029000781062064434
CS,0.5282760500229216,0.5514624192536612,0.40783682446934644,0.403050936440274,0.9264647509713404,0.7403685416569404,0.581306083607249,0.49533039265196466,1.4779699381173004,1.1677839480668244,1.0276737900229254,1.0170146985934372,2.7336126548906527,1.7156732198490525,0.3741960711112714,0.4307755481051009,1.1885410242859558,1.0793902377602511
SF,0.4088107797331556,0.3498644796774639,0.36559815361908554,0.3812518927236619,0.1117365760348048,0.2578487489029284,0.29480867413154266,0.3176088618796947,0.12927996995431823,0.1380302591849919,0.15829468984587058,0.1705199745695436,0.19839112700096395,0.35314362034185576,0.3950528235446763,0.4004250459626163,0.4070498939163294,0.21937165089713329
