,labels_sonar_HDBSCAN_params1,labels_sonar_HDBSCAN_params2,labels_sonar_HDBSCAN_params3,labels_sonar_HDBSCAN_params4,labels_sonar_HDBSCAN_params5,labels_sonar_HDBSCAN_params6,labels_sonar_HDBSCAN_params7
cSIL,0.7500164069243578,0.7500164069243578,0.7500164069243578,0.7500164069243578,0.7500164069243578,0.7500164069243578,0.7500164069243578
GD43,0.24857203792407984,0.24857203792407984,0.24857203792407984,0.24857203792407984,0.24857203792407984,0.24857203792407984,0.24857203792407984
GD53,0.49229755399461717,0.49229755399461717,0.49229755399461717,0.49229755399461717,0.49229755399461717,0.49229755399461717,0.49229755399461717
PS,0.9939809671204908,0.9939809671204908,0.9939809671204908,0.9939809671204908,0.9939809671204908,0.9939809671204908,0.9939809671204908
rCIP,4.8392690463085174e-32,4.8392690463085174e-32,4.8392690463085174e-32,4.8392690463085174e-32,4.8392690463085174e-32,4.8392690463085174e-32,4.8392690463085174e-32
WB,29.30304391926168,29.30304391926168,29.30304391926168,29.30304391926168,29.30304391926168,29.30304391926168,29.30304391926168
XB,0.42226717538785097,0.42226717538785097,0.42226717538785097,0.42226717538785097,0.42226717538785097,0.42226717538785097,0.42226717538785097
SSE,1876.354341190745,1876.354341190745,1876.354341190745,1876.354341190745,1876.354341190745,1876.354341190745,1876.354341190745
RS,-0.4084182278893581,-0.4084182278893581,-0.4084182278893581,-0.4084182278893581,-0.4084182278893581,-0.4084182278893581,-0.4084182278893581
DH,0.5812722846767033,0.5812722846767033,0.5812722846767033,0.5812722846767033,0.5812722846767033,0.5812722846767033,0.5812722846767033
B,0.45257702389397503,0.45257702389397503,0.45257702389397503,0.45257702389397503,0.45257702389397503,0.45257702389397503,0.45257702389397503
BH,938.1771705953724,938.1771705953724,938.1771705953724,938.1771705953724,938.1771705953724,938.1771705953724,938.1771705953724
D,0.5098053978727711,0.5098053978727711,0.5098053978727711,0.5098053978727711,0.5098053978727711,0.5098053978727711,0.5098053978727711
H,0.47126764935958826,0.47126764935958826,0.47126764935958826,0.47126764935958826,0.47126764935958826,0.47126764935958826,0.47126764935958826
DBCV,0.29046840342218283,0.29046840342218283,0.29046840342218283,0.29046840342218283,0.29046840342218283,0.29046840342218283,0.29046840342218283
I,5.859997825079321,5.859997825079321,5.859997825079321,5.859997825079321,5.859997825079321,5.859997825079321,5.859997825079321
C,0.13278725210289655,0.13278725210289655,0.13278725210289655,0.13278725210289655,0.13278725210289655,0.13278725210289655,0.13278725210289655
VIASCKDE,0.04862605785740787,0.04862605785740787,0.04862605785740787,0.04862605785740787,0.04862605785740787,0.04862605785740787,0.04862605785740787
COP,0.5151754605666835,0.5151754605666835,0.5151754605666835,0.5151754605666835,0.5151754605666835,0.5151754605666835,0.5151754605666835
Sym,0.0014491552748283677,0.0014491552748283677,0.0014491552748283677,0.0014491552748283677,0.0014491552748283677,0.0014491552748283677,0.0014491552748283677
CS,1.0779580279935312,1.0779580279935312,1.0779580279935312,1.0779580279935312,1.0779580279935312,1.0779580279935312,1.0779580279935312
SF,0.008220021338823824,0.008220021338823824,0.008220021338823824,0.008220021338823824,0.008220021338823824,0.008220021338823824,0.008220021338823824
SD,4.69906617309531,4.69906617309531,4.69906617309531,4.69906617309531,4.69906617309531,4.69906617309531,4.69906617309531
SDbw,inf,inf,inf,inf,inf,inf,inf
XB*,0.42887393199648927,0.42887393199648927,0.42887393199648927,0.42887393199648927,0.42887393199648927,0.42887393199648927,0.42887393199648927
S,0.2880537980613816,0.2880537980613816,0.2880537980613816,0.2880537980613816,0.2880537980613816,0.2880537980613816,0.2880537980613816
DB,1.0903779654637284,1.0903779654637284,1.0903779654637284,1.0903779654637284,1.0903779654637284,1.0903779654637284,1.0903779654637284
CH,13.65045901381833,13.65045901381833,13.65045901381833,13.65045901381833,13.65045901381833,13.65045901381833,13.65045901381833
AD-S,0.454328264745351,0.454328264745351,0.454328264745351,0.454328264745351,0.454328264745351,0.454328264745351,0.454328264745351
AD-DB,1.0948469961711171,1.0948469961711171,1.0948469961711171,1.0948469961711171,1.0948469961711171,1.0948469961711171,1.0948469961711171
AD-CH,10.886754206965914,10.886754206965914,10.886754206965914,10.886754206965914,10.886754206965914,10.886754206965914,10.886754206965914
AD-idea,3.337014976076477,3.337014976076477,3.337014976076477,3.337014976076477,3.337014976076477,3.337014976076477,3.337014976076477
