,labels_dense_KMeans_params1,labels_dense_KMeans_params10,labels_dense_KMeans_params11,labels_dense_KMeans_params12,labels_dense_KMeans_params13,labels_dense_KMeans_params14,labels_dense_KMeans_params15,labels_dense_KMeans_params16,labels_dense_KMeans_params17,labels_dense_KMeans_params18,labels_dense_KMeans_params19,labels_dense_KMeans_params2,labels_dense_KMeans_params20,labels_dense_KMeans_params21,labels_dense_KMeans_params22,labels_dense_KMeans_params23,labels_dense_KMeans_params24,labels_dense_KMeans_params25,labels_dense_KMeans_params26,labels_dense_KMeans_params27,labels_dense_KMeans_params28,labels_dense_KMeans_params29,labels_dense_KMeans_params3,labels_dense_KMeans_params30,labels_dense_KMeans_params31,labels_dense_KMeans_params32,labels_dense_KMeans_params33,labels_dense_KMeans_params34,labels_dense_KMeans_params35,labels_dense_KMeans_params36,labels_dense_KMeans_params37,labels_dense_KMeans_params38,labels_dense_KMeans_params39,labels_dense_KMeans_params4,labels_dense_KMeans_params40,labels_dense_KMeans_params41,labels_dense_KMeans_params42,labels_dense_KMeans_params43,labels_dense_KMeans_params44,labels_dense_KMeans_params45,labels_dense_KMeans_params46,labels_dense_KMeans_params47,labels_dense_KMeans_params48,labels_dense_KMeans_params49,labels_dense_KMeans_params5,labels_dense_KMeans_params50,labels_dense_KMeans_params51,labels_dense_KMeans_params52,labels_dense_KMeans_params53,labels_dense_KMeans_params54,labels_dense_KMeans_params6,labels_dense_KMeans_params7,labels_dense_KMeans_params8,labels_dense_KMeans_params9
cSIL,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8145528764440545,0.8985201601429658,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8985201601429658,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8145528764440545,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8985201601429658,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8985201601429658,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8466057790627237,0.8985201601429658,0.8985201601429658,0.8985201601429658,0.8985201601429658
GD43,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567,1.875376490294166,2.2091567841865567,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,2.2091567841865567,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,1.875376490294166,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.2091567841865567,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.2091567841865567,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.4437985588841293,2.2091567841865567,2.2091567841865567,2.2091567841865567,2.2091567841865567
GD53,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.17778496283083867,0.26167255731539585,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.26167255731539585,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.17778496283083867,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.26167255731539585,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.26167255731539585,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.0870420641005175,0.26167255731539585,0.26167255731539585,0.26167255731539585,0.26167255731539585
PS,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.229649220231922,1.7490830079368171,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.7490830079368171,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,1.229649220231922,0.8829731384720801,0.8829731384720801,0.8829731384720801,1.7490830079368171,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,1.7490830079368171,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,0.8829731384720801,1.7490830079368171,1.7490830079368171,1.7490830079368171,1.7490830079368171
rCIP,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.13641675598147654,0.004490147079384657,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.004490147079384657,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.13641675598147654,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.004490147079384657,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.004490147079384657,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.3654006739679067,0.004490147079384657,0.004490147079384657,0.004490147079384657,0.004490147079384657
WB,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.6550522680250738,0.7845836770983361,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.7845836770983361,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.6550522680250738,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.7845836770983361,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.7845836770983361,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.5935016338987249,0.7845836770983361,0.7845836770983361,0.7845836770983361,0.7845836770983361
XB,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515,0.19359276672327483,0.096660709018515,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.096660709018515,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.19359276672327483,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.096660709018515,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.096660709018515,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.13227388347807928,0.096660709018515,0.096660709018515,0.096660709018515,0.096660709018515
SSE,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903,18.46488750952676,29.029750213494903,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,29.029750213494903,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,18.46488750952676,13.311970517630591,13.311970517630591,13.311970517630591,29.029750213494903,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,29.029750213494903,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,13.311970517630591,29.029750213494903,29.029750213494903,29.029750213494903,29.029750213494903
RS,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.27549229524538943,0.3814898919253609,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.3814898919253609,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.27549229524538943,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.3814898919253609,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.3814898919253609,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.2568898840839462,0.3814898919253609,0.3814898919253609,0.3814898919253609,0.3814898919253609
DH,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.3241939243335447,0.32108390766341977,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.32108390766341977,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.3241939243335447,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.32108390766341977,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.32108390766341977,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.30513826445679326,0.32108390766341977,0.32108390766341977,0.32108390766341977,0.32108390766341977
