,labels_a3_MeanShift_params1,labels_a3_MeanShift_params10,labels_a3_MeanShift_params11,labels_a3_MeanShift_params12,labels_a3_MeanShift_params13,labels_a3_MeanShift_params14,labels_a3_MeanShift_params15,labels_a3_MeanShift_params16,labels_a3_MeanShift_params17,labels_a3_MeanShift_params18,labels_a3_MeanShift_params19,labels_a3_MeanShift_params2,labels_a3_MeanShift_params20,labels_a3_MeanShift_params27,labels_a3_MeanShift_params28,labels_a3_MeanShift_params29,labels_a3_MeanShift_params3,labels_a3_MeanShift_params30,labels_a3_MeanShift_params4,labels_a3_MeanShift_params5,labels_a3_MeanShift_params6,labels_a3_MeanShift_params7,labels_a3_MeanShift_params8,labels_a3_MeanShift_params9
cSIL,0.837380061447346,0.8184261510638068,0.8131897085497926,0.8640783841948458,0.8079328992649212,0.8156386905070517,0.8175766492532374,0.8184261510638068,0.8664457679995549,0.8440702439802603,0.8676861742569381,0.827174903236274,0.8621136269050984,0.865639132002025,0.8212260734438231,0.8232525734035622,0.8505354598770178,0.8183371571901472,0.8302579928113223,0.8028614237406695,0.8020746815276687,0.8079328992649212,0.8156386905070517,0.8175766492532374
GD43,4.0120127573087006,2.1893257464274316,2.046852134061062,2.787496066367974,2.646984303013985,3.07834893624639,1.9358528961435955,2.1893257464274316,3.281404321606776,2.297762626971633,3.0773938304658803,3.394325188105095,2.971771381136582,3.241266334369813,1.5716174312917528,1.6410650294712303,4.194884405636672,1.656578306055097,3.6938023043426975,2.4147224302900785,2.621924577581636,2.646984303013985,3.07834893624639,1.9358528961435955
GD53,0.14507582269257405,0.27369416666437413,0.36661771069158794,0.3410911168185625,0.3345809893198125,0.3600641794157926,0.2500098857263358,0.27369416666437413,0.47152982593101106,0.33998816847671204,0.4225611771101167,0.12424986828193085,0.41880979523640244,0.46493822642501703,0.27677475119620004,0.30155669750146546,0.21383053154997658,0.30560076621076326,0.2440474031059736,0.28445929334179737,0.2670822766334905,0.3345809893198125,0.3600641794157926,0.2500098857263358
PS,-6.5568537245169125,1.9522671101565692,1.915828539487946,2.4535535921533906,1.5900825546006152,1.6708924011753457,1.4709674053027797,1.9522671101565692,2.975873420959764,3.1152574270432645,2.7203944337672006,-6.9326689552485625,3.007225427644539,3.0457533449677836,2.1972161299411677,2.030583433934601,-0.011236750760014236,2.5873892448581937,0.27307646225532123,0.9698844236651691,1.539924680379777,1.5900825546006152,1.6708924011753457,1.4709674053027797
rCIP,6.9031210428807785,0.3974469702512131,0.32905750641075965,0.1629246717835375,0.6970797408281416,0.6315289924595168,0.4203525787834841,0.3974469702512131,0.14909003513768665,0.21507549874822315,0.14294070907171322,8.11415138453174,0.16218690983378917,0.15359271580855155,0.07952110404340774,0.06334171027750732,2.3542570858019776,0.06753115264856996,3.369279112675483,0.8944264133193579,1.2386775575208804,0.6970797408281416,0.6315289924595168,0.4203525787834841
WB,0.8214737736957217,1.1878459719005692,1.2657934087935474,1.2398085734652613,1.1200085862446285,1.106427987296139,1.215548330114507,1.1878459719005692,1.1736718251007665,1.36933928533254,1.1755901736856362,0.8441271295868762,1.2157056180830805,1.1783610866201142,1.929898190260845,1.9986451665640939,0.8859923759060481,1.911935213725612,0.902302446947406,1.1368631588493538,1.1107277919134444,1.1200085862446285,1.106427987296139,1.215548330114507
XB,0.39201923678437056,0.3150554283014447,0.34439538293912586,0.16276969556036655,0.2764342528111094,0.24791766365532922,0.3101078067121989,0.3150554283014447,0.15760392093549078,0.20342694161342864,0.15677322673138774,0.42006741910171885,0.16130377222414738,0.15802639475836144,0.23385947350694047,0.23450900414725342,0.21406970976894674,0.21842229404918218,0.2917062317021378,0.3999865271969843,0.327780576168685,0.2764342528111094,0.24791766365532922,0.3101078067121989
SSE,163.83326787235328,752.1655622127662,919.4726944970053,1076.9394652432825,627.7936835699004,621.2203900586766,766.7520914658232,752.1655622127662,1032.5233460347245,1160.7596382802521,1033.8276560790032,161.13077942961394,1060.8828546847549,1035.7099296282704,1781.757216766274,1819.849471040774,270.8970468860713,1771.6283454189127,258.2523036923326,566.3216316289198,500.00839798651583,627.7936835699004,621.2203900586766,766.7520914658232
RS,0.27982242881292707,0.06238772962004674,0.02256888496372847,0.08031461339556188,0.04851136503565674,0.06001989536677822,0.06074573446514269,0.06238772962004674,0.09305682273883246,-0.010288327405064385,0.09771118167063413,0.264706368436883,0.07188032678399811,0.08928742811210658,-0.09655702017054298,-0.10755026831464064,0.20725137825710918,-0.14883465677067012,0.17204335143188307,0.03878305261386247,0.03848849706067845,0.04851136503565674,0.06001989536677822,0.06074573446514269
DH,0.00788007343368982,0.06940073551477416,0.09729007561716423,0.13414729494310537,0.05399880168418336,0.05380558290769135,0.0696451320333409,0.06940073551477416,0.13410220032703551,0.14165863071567278,0.1331873295740588,0.007381352859638205,0.13573384314102124,0.1345285001802677,0.24538189181551126,0.24608347263333455,0.016579544230694118,0.25023877091865454,0.015354637597894372,0.04505244636518521,0.03665667530081358,0.05399880168418336,0.05380558290769135,0.0696451320333409
