,labels_s3_DBSCAN_params1,labels_s3_DBSCAN_params10,labels_s3_DBSCAN_params11,labels_s3_DBSCAN_params12,labels_s3_DBSCAN_params13,labels_s3_DBSCAN_params14,labels_s3_DBSCAN_params15,labels_s3_DBSCAN_params16,labels_s3_DBSCAN_params17,labels_s3_DBSCAN_params18,labels_s3_DBSCAN_params19,labels_s3_DBSCAN_params20,labels_s3_DBSCAN_params5,labels_s3_DBSCAN_params6,labels_s3_DBSCAN_params9
cSIL,0.9777352128409457,0.9988220437138782,0.9990556442744724,0.9989111208388147,0.8977549745742457,0.9019355697804203,0.9718755283235992,0.9956601091602589,0.8277541002464103,0.7810834086111912,0.7356639508580743,0.8592441001164238,0.9437224660082725,0.9998497125287502,0.9249452898722643
GD43,3551.7720972709094,349.7452795118356,418.88624836149506,626.2630286158692,1.7049189954916957,8.907873647071606,25.657824795951417,137.6432244290373,0.5841751326612202,0.745325117912865,0.5418860185152357,1.1847499445327738,26.222793206771097,3000.5188926604446,11.26616614671905
GD53,0.4138760210728798,0.06473096315241145,0.059729744713800964,0.11159573440736316,0.004262181012195724,0.03437760546259856,0.06644703163066726,0.1591408647930792,0.0012176015930873932,0.0017111678258958098,0.002987984593000842,0.006972242945049361,0.0053882469115891845,0.07982321391779727,0.010873687013729217
PS,-0.09409953072928934,-8.320103398241562,-5.737313961779943,0.9051541256400746,-107.34699545163764,-18.16791524065708,-8.830264736682675,-7.17195730849545,-2.6621701591112976,-0.05406436975236867,-2.0953531388138096,-8.828762070155474,-21.294567921636347,-3.4010916623098497,-68.0830073920922
rCIP,3800.824684038459,3.1366443813422045e-54,4.276786869488422e-74,9.685940643435065e-197,614.9810469390375,41.285219486443836,13.796946932391327,1.5739797673714605e-15,0.5127637694399227,0.3678029947968237,0.884007031519014,4.406375599946531,319.15988316324683,0.0,545.0540421595126
WB,2.1619675105116898e-05,0.014112654501352876,0.01196451377432906,0.02054948229801357,0.852624601009913,0.10280916637742735,0.04258081670080297,0.03035376482883324,515.8951320906456,5.381793351278803,3.3662938330971093,1.2685013827768592,0.012898411694971041,0.0014585705387984832,0.07257583176150384
XB,0.03391091889282372,0.0025596735848592237,0.002363326722949814,0.0020121529588717083,6.333731325589086,0.910988972857404,0.18887610567579133,0.007000078738997981,1.931826016819258,1.6124327700691923,2.424343783778803,1.0213454469011742,0.8132041135855789,0.0003555675314060516,0.9289369624055439
SSE,1.1317861072815134e-05,0.14493906161084824,0.09726984050792933,0.056084877728095776,7.91884118618478,2.1860267071301176,0.9647077912687516,0.6718190016304356,1820.362909678116,974.1605253924872,504.64896911087396,104.02349001226447,0.04164821643387927,0.006255102096886725,0.37941048708089814
RS,0.9999790903956655,0.9923894337333329,0.994348674063478,0.9884302267618084,0.7917376593229641,0.9353808203481487,0.9672360471965041,0.9762518964809662,-0.00919428669443279,-0.0037503560505038453,-0.08919212642596526,0.5312499708627992,0.9968164296124224,0.9992712722069104,0.9780010794325074
DH,0.0010386850361704693,0.0011584653145757242,0.0014889470027525224,0.01602830549505433,0.0002645443774401868,0.001687563385591804,0.002413036435884856,0.0023536544743258474,0.02808403598415264,0.11776553150960024,0.042159346644868624,0.009230737750752886,0.00030010102348537976,0.0008479254791961328,0.00018499285159959632
B,4.6825333206808385e-06,0.0005437918843035873,0.0005438764271853642,0.0017578293733555947,0.006556070523874832,0.0035905247974554193,0.0021733896627642974,0.0015226646220593083,0.5240004923335659,0.41001076278654036,0.26295622763765586,0.059665309220103706,0.0003256066112254972,8.652385567084928e-05,0.0008396719977116265
BH,3.7726203576050447e-06,0.009662604107389882,0.00884271277344812,0.01869495924269859,0.06654488391751916,0.08407795027423529,0.05674751713345598,0.04478793344202904,303.3938182796862,243.54013134812178,72.092709872982,6.934899334150966,0.001601854478226126,0.0007818877621108405,0.0051974039326150405
D,1.1905292040812725,2.89682087510306,3.402696969010452,4.828718311496427,0.04951798430102486,0.14949583471798536,0.24009861477968483,1.5078914009208637,0.1715349277134982,0.05669266828082243,0.09647478854772899,0.05759866679514062,0.1336032331019867,11.219298548280625,0.09103407811438605
H,0.0667726395407108,0.017658563396372288,0.010377389468889461,0.003262659902209619,10.664537540430443,2.245863075727112,0.44408313751003864,0.0650486709842855,0.5253948465291282,0.6102532560277261,1.3163400716356137,1.6940997813129184,1.3440136030531262,0.0012021012276654977,5.001580893161341
DBCV,0.9179626850482742,0.998307491874598,0.998709356450166,0.9988172010829062,0.08414869261879712,0.45667357323222213,0.8914996335423605,0.9933471490616153,-0.8823620019784408,-0.7281197292254266,-0.622538350421348,-0.36947716905014744,0.26229154893593787,0.9997797187194442,0.3688160491092482
I,5465.792186286773,18.23382951292145,25.703164819313365,3.4919453209641063,0.05391930322063882,1.4715836226549124,5.497453776347102,8.871685201567734,0.0934781808319888,0.11336820644568868,0.19594507469417197,0.22939344163783087,12.225690505016583,253.5332977690762,1.0124201430161508
