,labels_data3_DBSCAN_params13,labels_data3_DBSCAN_params14,labels_data3_DBSCAN_params17,labels_data3_DBSCAN_params18,labels_data3_DBSCAN_params19,labels_data3_DBSCAN_params20,labels_data3_DBSCAN_params21,labels_data3_DBSCAN_params22,labels_data3_DBSCAN_params23,labels_data3_DBSCAN_params24,labels_data3_DBSCAN_params25,labels_data3_DBSCAN_params26,labels_data3_DBSCAN_params27,labels_data3_DBSCAN_params28,labels_data3_DBSCAN_params29,labels_data3_DBSCAN_params30,labels_data3_DBSCAN_params31,labels_data3_DBSCAN_params32,labels_data3_DBSCAN_params33,labels_data3_DBSCAN_params34,labels_data3_DBSCAN_params35,labels_data3_DBSCAN_params36,labels_data3_DBSCAN_params37,labels_data3_DBSCAN_params38,labels_data3_DBSCAN_params39,labels_data3_DBSCAN_params40,labels_data3_DBSCAN_params41,labels_data3_DBSCAN_params42,labels_data3_DBSCAN_params43,labels_data3_DBSCAN_params44,labels_data3_DBSCAN_params9
cSIL,0.8658461799820126,0.9086824204098498,0.8735001512514888,0.9886911422947259,0.9904608722304294,0.9924561452859907,0.9850692097321739,0.9851714956970544,0.9852432473985303,0.9853741355135112,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9638990668276339
GD43,4.405646421089024,22.24388752586001,6.103529806570059,33.28037579555316,39.221594102115276,48.88332142374487,25.16071819928949,25.14177749245131,25.702966098807238,25.89728534670022,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,143.08787250852296
GD53,0.006439349937120465,0.07623000243249366,0.006485073511610076,0.4636253512520257,0.4646366945555991,0.4625793783821283,0.478958582207625,0.4740862278911533,0.4846682875566903,0.4788530598168627,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.2579508890135201
PS,-20.495959503502437,-5.997959109107085,-0.9909168843014341,2.5222806304640386,2.553132268954375,2.537996391895023,2.61139892028141,2.6075219038594946,2.600950035106883,2.590516847451602,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,-2.715356045685949
rCIP,114.19093160041561,30.887028223017257,1.2953482890863355,6.534838613547991e-15,2.985876714553372e-17,2.5327254198117414e-22,2.6540113360879207e-11,2.4935632186672355e-11,2.49356321866718e-11,2.4935632186670323e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,19.769612951263973
WB,0.11773328462158246,0.006039677386802649,0.1368408536711056,0.07120327755145714,0.06018301060057486,0.04768775896347863,0.09459775276534858,0.09393533540772993,0.09322165142207738,0.0922101173245879,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.0009596508259602641
XB,1.4882155119541083,0.2775351504028818,0.3467845134897855,0.013479330142226567,0.01145620603085364,0.009173632592551056,0.018237308867724913,0.018143043067752992,0.018005380627191706,0.01773043074062905,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.12034032415537467
SSE,1.6813388992668965,0.058354637357915504,17.01841450647011,13.409132853088352,10.482455672884505,7.412293153155718,20.312604679893866,20.156879888291087,19.963606709012044,19.579324561526583,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,0.0033185133451692217
RS,0.9645083444258641,0.9957898956692229,0.9186270895680408,0.930559866825611,0.9410328790331877,0.9530954671398537,0.9082939751887151,0.908916137050197,0.909582794911136,0.9105424262047994,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.9990707736213134
DH,0.02829306174092765,0.018599514815803537,0.08872343060549803,0.11300202185437264,0.10444497365790112,0.09340840139868783,0.12909052443276403,0.12875817132502398,0.1283281839720879,0.12770827987855185,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.13076958957163828,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.008794232142582261
