,labels_yeast_MeanShift_params1,labels_yeast_MeanShift_params10,labels_yeast_MeanShift_params11,labels_yeast_MeanShift_params12,labels_yeast_MeanShift_params13,labels_yeast_MeanShift_params14,labels_yeast_MeanShift_params15,labels_yeast_MeanShift_params16,labels_yeast_MeanShift_params17,labels_yeast_MeanShift_params18,labels_yeast_MeanShift_params19,labels_yeast_MeanShift_params2,labels_yeast_MeanShift_params20,labels_yeast_MeanShift_params21,labels_yeast_MeanShift_params22,labels_yeast_MeanShift_params23,labels_yeast_MeanShift_params24,labels_yeast_MeanShift_params25,labels_yeast_MeanShift_params26,labels_yeast_MeanShift_params27,labels_yeast_MeanShift_params28,labels_yeast_MeanShift_params29,labels_yeast_MeanShift_params3,labels_yeast_MeanShift_params30,labels_yeast_MeanShift_params31,labels_yeast_MeanShift_params32,labels_yeast_MeanShift_params4,labels_yeast_MeanShift_params5,labels_yeast_MeanShift_params6,labels_yeast_MeanShift_params7,labels_yeast_MeanShift_params8,labels_yeast_MeanShift_params9
cSIL,0.8248216681562963,0.8770686800179454,0.7815424659223967,0.8102692191238391,0.8016104685633458,0.8084916794196038,0.8786165843431771,0.8770686800179454,0.803965846654173,0.8295914534095226,0.803965846654173,0.8160312824487734,0.8295914534095226,0.8356321823192339,0.8399136296689349,0.815899993778328,0.8302148879632099,0.815899993778328,0.8302148879632099,0.9187485891294493,0.9187485891294493,0.9187485891294493,0.8266114619172549,0.9187485891294493,0.9187485891294493,0.9187485891294493,0.8266114619172549,0.8416401471569316,0.8270436023037651,0.8016104685633458,0.8084916794196038,0.8786165843431771
GD43,0.9825072837393651,0.6907467166297354,0.5157396455928442,0.5157396455928442,0.6404244586788523,0.6404244586788523,0.6907467166297354,0.6907467166297354,0.8139472782868372,0.8139472782868372,0.8139472782868372,0.9683178342066372,0.8139472782868372,1.1522656628172392,1.1617081037368697,0.772400699563114,0.8094408897650492,0.772400699563114,0.8094408897650492,1.8426958059863834,1.8426958059863834,1.8426958059863834,0.678995862065002,1.8426958059863834,1.8426958059863834,1.8426958059863834,0.678995862065002,0.6866229161920808,0.6866229161920808,0.6404244586788523,0.6404244586788523,0.6907467166297354
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05922864533894552,0.05922864533894552,0.05922864533894552,0.0,0.05922864533894552,0.1482913617272459,0.14950656102302076,0.06352010500294963,0.05890072816957031,0.06352010500294963,0.05890072816957031,0.3028676548439651,0.3028676548439651,0.3028676548439651,0.0,0.3028676548439651,0.3028676548439651,0.3028676548439651,0.0,0.0,0.0,0.0,0.0,0.0
PS,-21.533472707861,-6.9149635436618215,-7.276116802992752,-8.049973344355774,-9.534881397845725,-11.334123245819452,-6.307653201920926,-6.9149635436618215,-3.4652766621126703,-4.505356131502031,-3.4652766621126703,-27.021510208816107,-4.505356131502031,-2.3506666184102207,-2.8488635535035445,-4.512684994928078,-4.497892982368277,-4.512684994928078,-4.497892982368277,0.27958680642225675,0.27958680642225675,0.27958680642225675,-13.855780385080061,0.27958680642225675,0.27958680642225675,0.27958680642225675,-13.855780385080061,-12.856291178889268,-13.85360644309566,-9.534881397845725,-11.334123245819452,-6.307653201920926
rCIP,44.124869223253,2.8840539012746604,2.5315992562944767,4.130752948038073,5.923333210555966,8.001836414761598,2.8671289199763343,2.8840539012746604,0.791466918593344,0.8106199903367034,0.791466918593344,84.43257005971992,0.8106199903367034,0.32554567619263364,0.3388089364897044,0.7047108901325825,0.8036669066383102,0.7047108901325825,0.8036669066383102,0.00038886353315590276,0.00038886353315590276,0.00038886353315590276,10.84505736135295,0.00038886353315590276,0.00038886353315590276,0.00038886353315590276,10.84505736135295,10.252668834117744,10.768262419949167,5.923333210555966,8.001836414761598,2.8671289199763343
WB,31.279284787608034,34.55314521750026,32.01772228380526,34.62635372743852,33.82216997710216,38.2268911158146,32.857543746237866,34.55314521750026,22.97294919332633,26.68880317292181,22.97294919332633,33.85365481575301,26.68880317292181,26.713050996298605,29.746380007156354,26.946142203558324,26.95423455841239,26.946142203558324,26.95423455841239,18.876080174272133,18.876080174272133,18.876080174272133,36.95720574818272,18.876080174272133,18.876080174272133,18.876080174272133,36.95720574818272,35.451553773712774,37.092606940093795,33.82216997710216,38.2268911158146,32.857543746237866
XB,0.9913364160923048,0.7497758898607987,1.251612840010351,1.2510266767164937,1.1817251128006077,1.177873222342626,0.7568044954921923,0.7497758898607987,0.5249678684935892,0.5122035246386334,0.5249678684935892,0.9356623328785324,0.5122035246386334,0.5151581111104346,0.5106903592427475,0.5638644562546683,0.5134786656091418,0.5638644562546683,0.5134786656091418,0.1130957747208398,0.1130957747208398,0.1130957747208398,1.128469217006437,0.1130957747208398,0.1130957747208398,0.1130957747208398,1.128469217006437,1.1082027303689859,1.1049077215640928,1.1817251128006077,1.177873222342626,0.7568044954921923
SSE,336.82910261463974,473.79918195918685,464.3213104759607,464.10385656365145,451.46900344589534,449.99741827975936,478.24070594455577,473.79918195918685,489.263732117245,477.36751734428344,489.263732117245,318.4843275359133,477.36751734428344,521.2645514678984,516.7438409847425,478.51996085611717,478.5559333743861,478.51996085611717,478.5559333743861,526.7274508377764,526.7274508377764,526.7274508377764,421.5983061366528,526.7274508377764,526.7274508377764,526.7274508377764,421.5983061366528,423.3803419053895,422.1215090978468,451.46900344589534,449.99741827975936,478.24070594455577
RS,-4.738457573716975,-2.8240235379876495,-3.7503572059484998,-3.5028732240099685,-4.057418495687591,-4.201054344534706,-2.2678861794071135,-2.8240235379876495,-2.4385382771987936,-3.197783136459136,-2.4385382771987936,-5.5312031028610935,-3.197783136459136,-1.795189697465913,-2.35156994531894,-3.3446074649786968,-3.206345795745785,-3.3446074649786968,-3.206345795745785,-1.875087190193716,-1.875087190193716,-1.875087190193716,-4.434211299119738,-1.875087190193716,-1.875087190193716,-1.875087190193716,-4.434211299119738,-4.053659070875943,-4.444667865358435,-4.057418495687591,-4.201054344534706,-2.2678861794071135
DH,0.005092230518742852,0.015421782340464889,0.01881103317425399,0.015242435253978488,0.014529359994248352,0.01139736943052117,0.016320777285578496,0.015421782340464889,0.04203757554278871,0.028419787110380276,0.04203757554278871,0.003986688842344925,0.028419787110380276,0.04725173252191639,0.040469557940094804,0.02914303667938838,0.028410669241796888,0.02914303667938838,0.028410669241796888,0.09279506370348263,0.09279506370348263,0.09279506370348263,0.008522664658287353,0.09279506370348263,0.09279506370348263,0.09279506370348263,0.008522664658287353,0.008842340807299396,0.008523649465821206,0.014529359994248352,0.01139736943052117,0.016320777285578496
B,0.09275209526771785,0.09381271283441393,0.10141011648695805,0.09837951873272181,0.10280228511294073,0.10425363417748573,0.08951972310688865,0.09381271283441393,0.10159657656958763,0.10483565624691073,0.10159657656958763,0.08894681089118986,0.10483565624691073,0.10084184886962967,0.11071195764551633,0.10581418198478035,0.10501818964419977,0.10581418198478035,0.10501818964419977,0.10022463906543717,0.10022463906543717,0.10022463906543717,0.09674610340465753,0.10022463906543717,0.10022463906543717,0.10022463906543717,0.09674610340465753,0.09341978002156194,0.0968478875176929,0.10280228511294073,0.10425363417748573,0.08951972310688865
BH,12.029610807665703,39.48326516326558,38.693442539663394,35.700296658742424,32.24778596042109,28.12483864248496,43.47642781314144,39.48326516326558,69.89481887389215,53.040835260475944,69.89481887389215,9.367186103997446,53.040835260475944,86.87742524464976,73.82054871210607,53.16888453956857,53.172881486042904,53.16888453956857,53.172881486042904,131.68186270944415,131.68186270944415,131.68186270944415,22.18938453350805,131.68186270944415,131.68186270944415,131.68186270944415,22.18938453350805,23.521130105854972,22.21692153146562,32.24778596042109,28.12483864248496,43.47642781314144
D,0.1583655119482151,0.2884223439955127,0.1933222925967006,0.1933222925967006,0.1857797000412461,0.1857797000412461,0.2669566620338595,0.2884223439955127,0.26861393732083805,0.3502697519811491,0.26861393732083805,0.15707920429346123,0.3502697519811491,0.30555560616577665,0.32444930314992354,0.33198945054481155,0.34790988199984674,0.33198945054481155,0.34790988199984674,0.44981925056126437,0.44981925056126437,0.44981925056126437,0.1857797000412461,0.44981925056126437,0.44981925056126437,0.44981925056126437,0.1857797000412461,0.1857797000412461,0.1857797000412461,0.1857797000412461,0.1857797000412461,0.2669566620338595
H,4.618575959800079,1.4060432396763143,2.4978261915866904,2.3046222633318405,2.744815699161899,2.9555075714908527,1.2606187523752868,1.4060432396763143,1.2775006858199436,1.4449651509853905,1.2775006858199436,5.953276963535683,1.4449651509853905,0.9355730014084186,1.078586568417652,1.53913078067997,1.4395184341245386,1.53913078067997,1.4395184341245386,0.32350752809712763,0.32350752809712763,0.32350752809712763,3.136502077198743,0.32350752809712763,0.32350752809712763,0.32350752809712763,3.136502077198743,2.72588087642375,3.1297860432634197,2.744815699161899,2.9555075714908527,1.2606187523752868
DBCV,-0.7617863779808474,-0.7726078325579472,-0.78996235869485,-0.7894342750507896,-0.8074438040108166,-0.8081661074389723,-0.7731154454708279,-0.7726078325579472,-0.8985435141810091,-0.722265726261308,-0.8985435141810091,-0.7945428812752027,-0.722265726261308,0.5300874601350742,0.49033873524336047,-0.7423213730020373,-0.741796820287095,-0.7423213730020373,-0.741796820287095,0.5311447543169063,0.5311447543169063,0.5311447543169063,-0.7187811641560299,0.5311447543169063,0.5311447543169063,0.5311447543169063,-0.7187811641560299,-0.7486949387290999,-0.7643143964263224,-0.8074438040108166,-0.8081661074389723,-0.7731154454708279
I,0.023658869162155975,0.08278511100252275,0.08428021842371064,0.0719373090334039,0.07193793108434604,0.05530969398682001,0.09791281070275443,0.08278511100252275,0.21640667659242016,0.14576227901986855,0.21640667659242016,0.016922543643643664,0.14576227901986855,0.30217604781899526,0.22333615984325728,0.14485431591333847,0.14547916355607293,0.14485431591333847,0.14547916355607293,0.5792478772583632,0.5792478772583632,0.5792478772583632,0.04151139217160632,0.5792478772583632,0.5792478772583632,0.5792478772583632,0.04151139217160632,0.04608123294548551,0.04146276072459295,0.07193793108434604,0.05530969398682001,0.09791281070275443
C,0.1033475562264515,0.09397017728806983,0.11205995665518298,0.11206298120925133,0.12075584718963968,0.12216343671667125,0.09856724647464093,0.09397017728806983,0.11153681013830034,0.0925947928656154,0.11153681013830034,0.10147851419337292,0.0925947928656154,0.037707793538621484,0.04942154859892585,0.09048369111439257,0.09047655503588087,0.09048369111439257,0.09047655503588087,0.03705183151630221,0.03705183151630221,0.03705183151630221,0.11027545329112068,0.03705183151630221,0.03705183151630221,0.03705183151630221,0.11027545329112068,0.1092458073075777,0.10979249691685984,0.12075584718963968,0.12216343671667125,0.09856724647464093
VIASCKDE,,,,,,,,,,,,,,0.07986389752043087,0.07899414584076897,,,,,0.07853357315462965,0.07853357315462965,0.07853357315462965,,0.07853357315462965,0.07853357315462965,0.07853357315462965,,,,,,
COP,,0.3594897535530829,0.37614702780087744,0.37592995487512143,0.37771299316877516,0.37749632233398717,0.31725225334399376,0.3594897535530829,0.2928254741022299,0.3608441782506852,0.2928254741022299,,0.3608441782506852,0.32447908337053355,0.3255815204418842,0.3612636003992876,0.3612186948676083,0.3612636003992876,0.3612186948676083,0.32565970527062366,0.32565970527062366,0.32565970527062366,0.3879157931603785,0.32565970527062366,0.32565970527062366,0.32565970527062366,0.3879157931603785,0.3884417131085634,0.3881172325277065,0.37771299316877516,0.37749632233398717,0.31725225334399376
Sym,0.0007004140284240477,0.001127149784973714,0.0011390472531493,0.0010524291304133378,0.001071999368757807,0.0009387394859354317,0.0012168398255326808,0.001127149784973714,0.001768130090765544,0.0014895389213817204,0.001768130090765544,0.0005993973505863684,0.0014895389213817204,0.0020855652259823194,0.0018062205325891127,0.0014845339662669045,0.0014872826299260078,0.0014845339662669045,0.0014872826299260078,0.002869910073831303,0.002869910073831303,0.002869910073831303,0.0008722412179879833,0.002869910073831303,0.002869910073831303,0.002869910073831303,0.0008722412179879833,0.0009200432997073507,0.0008714819611369243,0.001071999368757807,0.0009387394859354317,0.0012168398255326808
CS,0.7341151236022164,0.6976949842987634,0.932743040216762,0.8200116348629913,0.9476005575140181,0.8917059265880475,0.6893910222010005,0.6976949842987634,1.1466315163909129,0.8787047415392634,1.1466315163909129,0.7352307814968952,0.8787047415392634,0.8789556445889949,0.8685803583265924,0.9184009827137597,0.8775925536244723,0.9184009827137597,0.8775925536244723,0.698785733532116,0.698785733532116,0.698785733532116,0.7965415237987071,0.698785733532116,0.698785733532116,0.698785733532116,0.7965415237987071,0.7481212860750226,0.7970254188922477,0.9476005575140181,0.8917059265880475,0.6893910222010005
SF,0.002717776542180861,0.03477596859705456,0.01528229470388398,0.021172136796386853,0.013006539107037418,0.011975528849134998,0.056379586671440274,0.03477596859705456,0.06546573027136637,0.02993026864382564,0.06546573027136637,0.0011159930944117935,0.02993026864382564,0.08059357889336505,0.04991132285424582,0.027549765949566374,0.02994202220771436,0.027549765949566374,0.02994202220771436,0.1199278089109791,0.1199278089109791,0.1199278089109791,0.008745253149429533,0.1199278089109791,0.1199278089109791,0.1199278089109791,0.008745253149429533,0.013151958241680473,0.00872932401583848,0.013006539107037418,0.011975528849134998,0.056379586671440274
SD,6462.300909852476,10481.531062741498,13003.07396849853,11436.161101894482,11410.486346909865,10289.056901282811,9614.424072997474,10481.531062741498,15149.734242635075,15193.683597504978,15149.734242635075,6141.422723811909,15193.683597504978,15777.915485002886,16384.806790847204,15957.499538458242,15212.99570422063,15957.499538458242,15212.99570422063,24237.207696956924,24237.207696956924,24237.207696956924,9045.76460731812,24237.207696956924,24237.207696956924,24237.207696956924,9045.76460731812,8895.457951947132,9071.483948075536,11410.486346909865,10289.056901282811,9614.424072997474
SDbw,inf,inf,inf,inf,inf,inf,inf,inf,0.6021549069457333,inf,0.6021549069457333,inf,inf,0.6194188505668644,0.6447821636243928,inf,inf,inf,inf,0.9531967303684643,0.9531967303684643,0.9531967303684643,inf,0.9531967303684643,0.9531967303684643,0.9531967303684643,inf,inf,inf,inf,inf,inf
XB*,1.0523804186572467,1.097621396679489,1.9186598636678909,1.9186598636678909,1.5225766487956383,1.5225766487956383,1.097621396679489,1.097621396679489,0.7670106347236725,0.7670106347236725,0.7670106347236725,1.0668427768664703,0.7670106347236725,0.5199856593621037,0.515759181254748,0.8470274470174691,0.7712808019021697,0.8470274470174691,0.7712808019021697,0.15155817874534547,0.15155817874534547,0.15155817874534547,1.4522156528526111,0.15155817874534547,0.15155817874534547,0.15155817874534547,1.4522156528526111,1.4201322197484416,1.4201322197484416,1.5225766487956383,1.5225766487956383,1.097621396679489
