,labels_x2_HDBSCAN_params1,labels_x2_HDBSCAN_params10,labels_x2_HDBSCAN_params11,labels_x2_HDBSCAN_params12,labels_x2_HDBSCAN_params13,labels_x2_HDBSCAN_params14,labels_x2_HDBSCAN_params2,labels_x2_HDBSCAN_params22,labels_x2_HDBSCAN_params23,labels_x2_HDBSCAN_params24,labels_x2_HDBSCAN_params25,labels_x2_HDBSCAN_params26,labels_x2_HDBSCAN_params27,labels_x2_HDBSCAN_params28,labels_x2_HDBSCAN_params29,labels_x2_HDBSCAN_params3,labels_x2_HDBSCAN_params30,labels_x2_HDBSCAN_params31,labels_x2_HDBSCAN_params32,labels_x2_HDBSCAN_params33,labels_x2_HDBSCAN_params34,labels_x2_HDBSCAN_params35,labels_x2_HDBSCAN_params4,labels_x2_HDBSCAN_params43,labels_x2_HDBSCAN_params44,labels_x2_HDBSCAN_params45,labels_x2_HDBSCAN_params46,labels_x2_HDBSCAN_params47,labels_x2_HDBSCAN_params48,labels_x2_HDBSCAN_params49,labels_x2_HDBSCAN_params5,labels_x2_HDBSCAN_params6,labels_x2_HDBSCAN_params7,labels_x2_HDBSCAN_params8,labels_x2_HDBSCAN_params9
cSIL,0.913484055681652,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.913484055681652,0.913484055681652,0.913484055681652,0.913484055681652,0.913484055681652,0.9349938092545508,0.9349938092545508,0.9349938092545508,0.9409982394599206,0.913484055681652,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.9409982394599206,0.913484055681652,0.913484055681652,0.913484055681652,0.913484055681652,0.913484055681652,0.9349938092545508,0.9349938092545508,0.9349938092545508,0.9349938092545508,0.9349938092545508,0.9349938092545508,0.9409982394599206,0.9409982394599206
GD43,3.7358386268089596,6.15914403383155,6.15914403383155,6.15914403383155,6.15914403383155,6.15914403383155,3.7358386268089596,3.7358386268089596,3.7358386268089596,3.7358386268089596,3.7358386268089596,6.496443335371291,6.496443335371291,6.496443335371291,6.15914403383155,3.7358386268089596,6.15914403383155,6.15914403383155,6.15914403383155,6.15914403383155,6.15914403383155,6.15914403383155,3.7358386268089596,3.7358386268089596,3.7358386268089596,3.7358386268089596,3.7358386268089596,6.496443335371291,6.496443335371291,6.496443335371291,6.496443335371291,6.496443335371291,6.496443335371291,6.15914403383155,6.15914403383155
GD53,0.13600369023208353,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.13600369023208353,0.13600369023208353,0.13600369023208353,0.13600369023208353,0.13600369023208353,0.47173306941577,0.47173306941577,0.47173306941577,0.45328843653596135,0.13600369023208353,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.45328843653596135,0.13600369023208353,0.13600369023208353,0.13600369023208353,0.13600369023208353,0.13600369023208353,0.47173306941577,0.47173306941577,0.47173306941577,0.47173306941577,0.47173306941577,0.47173306941577,0.45328843653596135,0.45328843653596135
PS,0.9250429546158699,1.1508687222225316,1.1508687222225316,1.1508687222225316,1.1508687222225316,1.1508687222225316,0.9250429546158699,0.9250429546158699,0.9250429546158699,0.9250429546158699,0.9250429546158699,1.2133687222225316,1.2133687222225316,1.2133687222225316,1.1508687222225316,0.9250429546158699,1.1508687222225316,1.1508687222225316,1.1508687222225316,1.1508687222225316,1.1508687222225316,1.1508687222225316,0.9250429546158699,0.9250429546158699,0.9250429546158699,0.9250429546158699,0.9250429546158699,1.2133687222225316,1.2133687222225316,1.2133687222225316,1.2133687222225316,1.2133687222225316,1.2133687222225316,1.1508687222225316,1.1508687222225316
rCIP,0.09573523376198467,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.09573523376198467,0.09573523376198467,0.09573523376198467,0.09573523376198467,0.09573523376198467,0.011861105555630946,0.011861105555630946,0.011861105555630946,0.013393574064075752,0.09573523376198467,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.013393574064075752,0.09573523376198467,0.09573523376198467,0.09573523376198467,0.09573523376198467,0.09573523376198467,0.011861105555630946,0.011861105555630946,0.011861105555630946,0.011861105555630946,0.011861105555630946,0.011861105555630946,0.013393574064075752,0.013393574064075752
WB,0.3690007221190075,1.2003257553266322,1.2003257553266322,1.2003257553266322,1.2003257553266322,1.2003257553266322,0.3690007221190075,0.3690007221190075,0.3690007221190075,0.3690007221190075,0.3690007221190075,0.9529928586897627,0.9529928586897627,0.9529928586897627,1.2003257553266322,0.3690007221190075,1.2003257553266322,1.2003257553266322,1.2003257553266322,1.2003257553266322,1.2003257553266322,1.2003257553266322,0.3690007221190075,0.3690007221190075,0.3690007221190075,0.3690007221190075,0.3690007221190075,0.9529928586897627,0.9529928586897627,0.9529928586897627,0.9529928586897627,0.9529928586897627,0.9529928586897627,1.2003257553266322,1.2003257553266322
XB,0.149668874232353,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.149668874232353,0.149668874232353,0.149668874232353,0.149668874232353,0.149668874232353,0.07623942869518101,0.07623942869518101,0.07623942869518101,0.07980005021562098,0.149668874232353,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.07980005021562098,0.149668874232353,0.149668874232353,0.149668874232353,0.149668874232353,0.149668874232353,0.07623942869518101,0.07623942869518101,0.07623942869518101,0.07623942869518101,0.07623942869518101,0.07623942869518101,0.07980005021562098,0.07980005021562098
SSE,2.0100022752612214,6.448058968598192,6.448058968598192,6.448058968598192,6.448058968598192,6.448058968598192,2.0100022752612214,2.0100022752612214,2.0100022752612214,2.0100022752612214,2.0100022752612214,6.916106969618078,6.916106969618078,6.916106969618078,6.448058968598192,2.0100022752612214,6.448058968598192,6.448058968598192,6.448058968598192,6.448058968598192,6.448058968598192,6.448058968598192,2.0100022752612214,2.0100022752612214,2.0100022752612214,2.0100022752612214,2.0100022752612214,6.916106969618078,6.916106969618078,6.916106969618078,6.916106969618078,6.916106969618078,6.916106969618078,6.448058968598192,6.448058968598192
RS,0.6067855530767933,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.6067855530767933,0.6067855530767933,0.6067855530767933,0.6067855530767933,0.6067855530767933,0.4125717019250966,0.4125717019250966,0.4125717019250966,0.4173581047545806,0.6067855530767933,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.4173581047545806,0.6067855530767933,0.6067855530767933,0.6067855530767933,0.6067855530767933,0.6067855530767933,0.4125717019250966,0.4125717019250966,0.4125717019250966,0.4125717019250966,0.4125717019250966,0.4125717019250966,0.4173581047545806,0.4173581047545806
DH,0.26595606302557584,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.26595606302557584,0.26595606302557584,0.26595606302557584,0.26595606302557584,0.26595606302557584,0.31425571131680996,0.31425571131680996,0.31425571131680996,0.29073836937674136,0.26595606302557584,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.29073836937674136,0.26595606302557584,0.26595606302557584,0.26595606302557584,0.26595606302557584,0.26595606302557584,0.31425571131680996,0.31425571131680996,0.31425571131680996,0.31425571131680996,0.31425571131680996,0.31425571131680996,0.29073836937674136,0.29073836937674136
