,labels_data2_MeanShift_params1,labels_data2_MeanShift_params10,labels_data2_MeanShift_params11,labels_data2_MeanShift_params12,labels_data2_MeanShift_params13,labels_data2_MeanShift_params14,labels_data2_MeanShift_params15,labels_data2_MeanShift_params16,labels_data2_MeanShift_params17,labels_data2_MeanShift_params18,labels_data2_MeanShift_params19,labels_data2_MeanShift_params2,labels_data2_MeanShift_params20,labels_data2_MeanShift_params27,labels_data2_MeanShift_params28,labels_data2_MeanShift_params3,labels_data2_MeanShift_params4,labels_data2_MeanShift_params5,labels_data2_MeanShift_params6,labels_data2_MeanShift_params7,labels_data2_MeanShift_params8,labels_data2_MeanShift_params9
cSIL,0.8762509490459933,0.9565252325052398,0.9565252325052398,0.9562261965326846,0.9565252325052398,0.9565252325052398,0.9565252325052398,0.9565252325052398,0.9390620866652302,0.9061330305564136,0.844266362220881,0.8762509490459933,0.844266362220881,0.833198425790709,0.833198425790709,0.9565252325052398,0.9565252325052398,0.9565252325052398,0.9565252325052398,0.9565252325052398,0.9565252325052398,0.9565252325052398
GD43,5.048536327187687,11.419419656776897,11.419419656776897,4.0514058284839365,11.419419656776897,11.419419656776897,11.419419656776897,11.419419656776897,4.30934576053391,2.785389962177676,1.82826139718832,5.048536327187687,1.82826139718832,1.8567678497126454,1.8567678497126454,11.419419656776897,11.419419656776897,11.419419656776897,11.419419656776897,11.419419656776897,11.419419656776897,11.419419656776897
GD53,0.17066011603484366,0.3919334893679696,0.3919334893679696,0.10715879597944071,0.3919334893679696,0.3919334893679696,0.3919334893679696,0.3919334893679696,0.12591087986246524,0.25323119645159553,0.41099751317642425,0.17066011603484366,0.41099751317642425,0.43786875155975374,0.43786875155975374,0.3919334893679696,0.3919334893679696,0.3919334893679696,0.3919334893679696,0.3919334893679696,0.3919334893679696,0.3919334893679696
PS,-1.2715543093731692,2.8366406225061835,2.8366406225061835,1.551733597957078,2.8366406225061835,2.8366406225061835,2.8366406225061835,2.8366406225061835,1.8581803295913446,2.2134526598938926,1.6328178040255366,-1.2715543093731692,1.6328178040255366,1.6756974893458192,1.6756974893458192,2.8366406225061835,2.8366406225061835,2.8366406225061835,2.8366406225061835,2.8366406225061835,2.8366406225061835,2.8366406225061835
rCIP,3.0185258101004564,0.0002840274648045792,0.0002840274648045792,0.0010795543582531547,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792,0.07847461371712673,0.07751048129827029,3.321514648628347e-07,3.0185258101004564,3.321514648628347e-07,3.81802895870554e-05,3.81802895870554e-05,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792,0.0002840274648045792
WB,0.27624846311122747,0.18181057846578175,0.18181057846578172,0.3832948393087444,0.18181057846578175,0.18181057846578175,0.18181057846578175,0.18181057846578175,0.46997188565501036,0.7910122379397782,1.5953641544559205,0.27624846311122747,1.5953641544559205,1.6846237071025525,1.6846237071025525,0.18181057846578172,0.18181057846578172,0.18181057846578172,0.18181057846578172,0.18181057846578175,0.18181057846578175,0.18181057846578175
XB,0.32616632415422564,0.06701210940665961,0.06701210940665961,0.08422273888204644,0.06701210940665961,0.06701210940665961,0.06701210940665961,0.06701210940665961,0.10053968961808793,0.12872124512189215,0.19160243726807882,0.32616632415422564,0.19160243726807882,0.20463461094916127,0.20463461094916127,0.0670121094066596,0.0670121094066596,0.0670121094066596,0.0670121094066596,0.06701210940665961,0.06701210940665961,0.06701210940665961
SSE,19.84038908571031,20.855540506874345,20.855540506874345,51.977587986850764,20.855540506874345,20.855540506874345,20.855540506874345,20.855540506874345,62.49581291235867,124.02574678579197,263.7550478559778,19.84038908571031,263.7550478559778,271.76504773931543,271.76504773931543,20.855540506874345,20.855540506874345,20.855540506874345,20.855540506874345,20.855540506874345,20.855540506874345,20.855540506874345
RS,0.7827623924422447,0.8245684826638223,0.8245684826638223,0.7258851640487132,0.8245684826638223,0.8245684826638223,0.8245684826638223,0.8245684826638223,0.622008898218313,0.40171654587912703,0.15998989336708325,0.7827623924422447,0.15998989336708325,0.11179196761613894,0.11179196761613894,0.8245684826638223,0.8245684826638223,0.8245684826638223,0.8245684826638223,0.8245684826638223,0.8245684826638223,0.8245684826638223
DH,0.13473003765416955,0.1548073124795336,0.1548073124795336,0.1903787298036248,0.15480731247953364,0.15480731247953364,0.1548073124795336,0.1548073124795336,0.2216821809482839,0.3175981131418586,0.43063666508543874,0.13473003765416955,0.43063666508543874,0.4472674314009293,0.4472674314009293,0.1548073124795336,0.1548073124795336,0.1548073124795336,0.1548073124795336,0.15480731247953364,0.15480731247953364,0.1548073124795336
