,labels_ecoli_HDBSCAN_params1,labels_ecoli_HDBSCAN_params10,labels_ecoli_HDBSCAN_params11,labels_ecoli_HDBSCAN_params12,labels_ecoli_HDBSCAN_params13,labels_ecoli_HDBSCAN_params14,labels_ecoli_HDBSCAN_params15,labels_ecoli_HDBSCAN_params16,labels_ecoli_HDBSCAN_params17,labels_ecoli_HDBSCAN_params18,labels_ecoli_HDBSCAN_params19,labels_ecoli_HDBSCAN_params2,labels_ecoli_HDBSCAN_params20,labels_ecoli_HDBSCAN_params21,labels_ecoli_HDBSCAN_params22,labels_ecoli_HDBSCAN_params23,labels_ecoli_HDBSCAN_params24,labels_ecoli_HDBSCAN_params25,labels_ecoli_HDBSCAN_params26,labels_ecoli_HDBSCAN_params27,labels_ecoli_HDBSCAN_params28,labels_ecoli_HDBSCAN_params29,labels_ecoli_HDBSCAN_params3,labels_ecoli_HDBSCAN_params30,labels_ecoli_HDBSCAN_params31,labels_ecoli_HDBSCAN_params32,labels_ecoli_HDBSCAN_params33,labels_ecoli_HDBSCAN_params34,labels_ecoli_HDBSCAN_params35,labels_ecoli_HDBSCAN_params36,labels_ecoli_HDBSCAN_params37,labels_ecoli_HDBSCAN_params38,labels_ecoli_HDBSCAN_params39,labels_ecoli_HDBSCAN_params4,labels_ecoli_HDBSCAN_params40,labels_ecoli_HDBSCAN_params41,labels_ecoli_HDBSCAN_params42,labels_ecoli_HDBSCAN_params43,labels_ecoli_HDBSCAN_params44,labels_ecoli_HDBSCAN_params45,labels_ecoli_HDBSCAN_params46,labels_ecoli_HDBSCAN_params47,labels_ecoli_HDBSCAN_params48,labels_ecoli_HDBSCAN_params49,labels_ecoli_HDBSCAN_params5,labels_ecoli_HDBSCAN_params50,labels_ecoli_HDBSCAN_params51,labels_ecoli_HDBSCAN_params52,labels_ecoli_HDBSCAN_params53,labels_ecoli_HDBSCAN_params54,labels_ecoli_HDBSCAN_params55,labels_ecoli_HDBSCAN_params56,labels_ecoli_HDBSCAN_params57,labels_ecoli_HDBSCAN_params58,labels_ecoli_HDBSCAN_params59,labels_ecoli_HDBSCAN_params6,labels_ecoli_HDBSCAN_params60,labels_ecoli_HDBSCAN_params61,labels_ecoli_HDBSCAN_params62,labels_ecoli_HDBSCAN_params63,labels_ecoli_HDBSCAN_params7,labels_ecoli_HDBSCAN_params8,labels_ecoli_HDBSCAN_params9
cSIL,0.8691812609252063,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8691812609252063,0.8914365531978914,0.8914365531978914,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8474710721015823,0.8691812609252063,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8691812609252063,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8372036190583796,0.8691812609252063,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8474710721015823,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8691812609252063,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8914365531978914,0.8691812609252063,0.8474710721015823,0.8474710721015823
GD43,1.3406826913236425,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,2.4864912066260767,2.4864912066260767,2.4864912066260767,2.4864912066260767,2.4864912066260767,1.3406826913236425,2.4864912066260767,2.4864912066260767,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7485480135583977,1.3406826913236425,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,2.4864912066260767,2.4864912066260767,2.4864912066260767,2.4864912066260767,1.3406826913236425,2.4864912066260767,2.4864912066260767,2.4864912066260767,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.7062441323005244,1.3406826913236425,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,1.7485480135583977,2.4864912066260767,2.4864912066260767,2.4864912066260767,1.3406826913236425,2.4864912066260767,2.4864912066260767,2.4864912066260767,2.4864912066260767,1.3406826913236425,1.7485480135583977,1.7485480135583977
GD53,0.49532196273314144,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.49532196273314144,0.43897518497656707,0.43897518497656707,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.43256463904030734,0.49532196273314144,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.49532196273314144,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.4418315534582597,0.49532196273314144,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43256463904030734,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.49532196273314144,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.43897518497656707,0.49532196273314144,0.43256463904030734,0.43256463904030734
PS,0.9909760841857218,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.358891110282233,1.358891110282233,1.358891110282233,1.358891110282233,1.358891110282233,0.9909760841857218,1.358891110282233,1.358891110282233,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3800353888891983,0.9909760841857218,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.358891110282233,1.358891110282233,1.358891110282233,1.358891110282233,0.9909760841857218,1.358891110282233,1.358891110282233,1.358891110282233,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,1.3868981339872375,0.9909760841857218,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.3800353888891983,1.358891110282233,1.358891110282233,1.358891110282233,0.9909760841857218,1.358891110282233,1.358891110282233,1.358891110282233,1.358891110282233,0.9909760841857218,1.3800353888891983,1.3800353888891983
rCIP,2.974344741254156e-23,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,2.974344741254156e-23,0.0054802933318451215,0.0054802933318451215,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.011507275223427486,2.974344741254156e-23,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,2.974344741254156e-23,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,0.014606608773657201,2.974344741254156e-23,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.011507275223427486,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,2.974344741254156e-23,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,0.0054802933318451215,2.974344741254156e-23,0.011507275223427486,0.011507275223427486
WB,13.707905902935066,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.3284535227891963,1.3284535227891963,1.3284535227891963,1.3284535227891963,1.3284535227891963,13.707905902935066,1.3284535227891963,1.3284535227891963,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,1.911640522437958,13.707905902935066,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.3284535227891963,1.3284535227891963,1.3284535227891963,1.3284535227891963,13.707905902935066,1.3284535227891963,1.3284535227891963,1.3284535227891963,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,2.017254517894128,13.707905902935066,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.911640522437958,1.3284535227891963,1.3284535227891963,1.3284535227891963,13.707905902935066,1.3284535227891963,1.3284535227891963,1.3284535227891963,1.3284535227891963,13.707905902935066,1.911640522437958,1.911640522437958
XB,0.17918911080067484,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.17918911080067484,0.13490058221351584,0.13490058221351584,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.19844019264061843,0.17918911080067484,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.17918911080067484,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.21080523272850327,0.17918911080067484,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.19844019264061843,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.17918911080067484,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.13490058221351584,0.17918911080067484,0.19844019264061843,0.19844019264061843
SSE,255.1857141409725,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,43.204985936836515,43.204985936836515,43.204985936836515,43.204985936836515,43.204985936836515,255.1857141409725,43.204985936836515,43.204985936836515,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,73.39968923437729,255.1857141409725,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,43.204985936836515,43.204985936836515,43.204985936836515,43.204985936836515,255.1857141409725,43.204985936836515,43.204985936836515,43.204985936836515,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,76.97772874653529,255.1857141409725,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,73.39968923437729,43.204985936836515,43.204985936836515,43.204985936836515,255.1857141409725,43.204985936836515,43.204985936836515,43.204985936836515,43.204985936836515,255.1857141409725,73.39968923437729,73.39968923437729
RS,-0.4550520751119748,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.28655611801286696,0.28655611801286696,0.28655611801286696,0.28655611801286696,0.28655611801286696,-0.4550520751119748,0.28655611801286696,0.28655611801286696,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.1292514133729159,-0.4550520751119748,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.28655611801286696,0.28655611801286696,0.28655611801286696,0.28655611801286696,-0.4550520751119748,0.28655611801286696,0.28655611801286696,0.28655611801286696,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,0.08568690300182402,-0.4550520751119748,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.1292514133729159,0.28655611801286696,0.28655611801286696,0.28655611801286696,-0.4550520751119748,0.28655611801286696,0.28655611801286696,0.28655611801286696,0.28655611801286696,-0.4550520751119748,0.1292514133729159,0.1292514133729159
DH,0.4290924205536113,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.4290924205536113,0.40535581576222957,0.40535581576222957,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.47084857855391343,0.4290924205536113,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.4290924205536113,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.48562697174985764,0.4290924205536113,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.47084857855391343,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.4290924205536113,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.40535581576222957,0.4290924205536113,0.47084857855391343,0.47084857855391343
B,0.1902110413525099,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.1902110413525099,0.22963335964554957,0.22963335964554957,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.34222027204410355,0.1902110413525099,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.1902110413525099,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.3652293636288191,0.1902110413525099,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.34222027204410355,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.1902110413525099,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.22963335964554957,0.1902110413525099,0.34222027204410355,0.34222027204410355
