,labels_a2_MeanShift_params1,labels_a2_MeanShift_params10,labels_a2_MeanShift_params11,labels_a2_MeanShift_params12,labels_a2_MeanShift_params13,labels_a2_MeanShift_params14,labels_a2_MeanShift_params15,labels_a2_MeanShift_params16,labels_a2_MeanShift_params17,labels_a2_MeanShift_params18,labels_a2_MeanShift_params19,labels_a2_MeanShift_params2,labels_a2_MeanShift_params20,labels_a2_MeanShift_params27,labels_a2_MeanShift_params28,labels_a2_MeanShift_params29,labels_a2_MeanShift_params3,labels_a2_MeanShift_params30,labels_a2_MeanShift_params37,labels_a2_MeanShift_params38,labels_a2_MeanShift_params4,labels_a2_MeanShift_params5,labels_a2_MeanShift_params6,labels_a2_MeanShift_params7,labels_a2_MeanShift_params8,labels_a2_MeanShift_params9
cSIL,0.8492817366484487,0.8310227548642575,0.8302041708919704,0.8298648701067315,0.8381737635747287,0.8425001947868384,0.8443484656972886,0.8310227548642575,0.8132409479641546,0.8082409642768164,0.8293896386625044,0.847232354791302,0.8285855419164305,0.8691616791282021,0.8478399938404686,0.7812109274574711,0.8452960227315703,0.7860819375361167,0.8110921295157122,0.8325982269467078,0.8335736391026849,0.8575348443757724,0.8235521173069091,0.8381737635747287,0.8425001947868384,0.8443484656972886
GD43,4.525922007028018,2.2717511736135667,2.3173754941048226,2.346646519513296,2.015761887778867,3.0241268065339377,2.745425005749164,2.2717511736135667,1.5421646676181668,1.5592247514757027,2.3358625596266704,4.492432572976821,2.5333350915054655,4.351147613210595,2.7791209139194155,1.5196928039005113,4.330484678773195,1.4676278824316211,2.1186932049588014,2.292604256334387,4.014766719656338,2.473980907305785,2.4925622339105074,2.015761887778867,3.0241268065339377,2.745425005749164
GD53,0.17199701482243254,0.15328125788361346,0.35367858579908834,0.3570087635648883,0.12160280188225445,0.1778609975307594,0.23991958781486517,0.15328125788361346,0.26832490897663713,0.2721231892759556,0.35443011826320786,0.20792303935225606,0.3771154981981178,0.2323992275207184,0.12703039597312688,0.3539109878223151,0.20670491211247985,0.31448584815209735,0.2606244172094155,0.3532726240461982,0.14796159229587597,0.1970400153168299,0.21844561063842677,0.12160280188225445,0.1778609975307594,0.23991958781486517
PS,-2.8875128518313464,1.2761542124231149,2.11467374525396,2.189625743322532,-2.5668926396606566,-3.7086000135164183,2.064209783464798,1.2761542124231149,2.220030334815544,2.0880058709623004,2.174041607010406,-2.7022692119372533,2.4629917548283893,-0.4414187289389418,-0.7344442357012267,2.178902466334636,-2.7359871424899325,2.378785439499434,1.963769410512738,2.019591282345555,-5.150250943058955,1.3672893158476283,1.7968322702497543,-2.5668926396606566,-3.7086000135164183,2.064209783464798
rCIP,4.05098624720902,1.0465740613271886,0.36324367073259356,0.37030263315328066,4.515099466864075,4.384719851740183,0.5180358443485377,1.0465740613271886,0.06736979841776672,0.07321510459233858,0.3708227850349445,4.602375323225108,0.3795130809743318,1.2338225426520815,2.0998692724846078,0.0739974538464314,3.9796670028689736,0.08042546634018954,0.4243429894050396,0.3448867558273717,5.197906347624882,0.7427179099445487,0.9783585281661076,4.515099466864075,4.384719851740183,0.5180358443485377
WB,0.7499107517662383,1.0829627437003813,1.2412702326300125,1.2472171816922117,0.9387867437805812,0.8479942176916865,1.0432782624475998,1.0829627437003813,1.9593615088075595,2.0255400931358993,1.243023838715031,0.757662341948268,1.2422610291976914,0.8156818283827094,0.8592736105341516,2.1317464004735207,0.7569996947438012,2.0798961475113185,1.170387684629705,1.2377852494941204,0.773744050651428,0.9795670564229721,0.9995072271514358,0.9387867437805812,0.8479942176916865,1.0432782624475998
XB,0.276091345543595,0.30593708486294213,0.27394022075872154,0.27135536124181125,0.42560516072473564,0.3601651752476859,0.22705841408645724,0.30593708486294213,0.23847240607296832,0.238993708481984,0.2752358259721217,0.2688792844475344,0.2759808245757791,0.19031901089041042,0.24448840329428206,0.27492310079103455,0.27757708546764265,0.2646208337217094,0.300603499986147,0.26937475319018644,0.30999979755756996,0.2248898992680291,0.3073026308703525,0.42560516072473564,0.3601651752476859,0.22705841408645724
SSE,131.31160421507965,370.5746301963468,618.1346003627543,620.5048513288624,195.31757400569813,166.30614142462377,403.14081127254565,370.5746301963468,1227.943842489929,1252.7020910528622,618.833997368122,132.61101796628049,618.5298116012381,197.81935023396784,192.6995524559656,1291.1005094086213,132.49998150534225,1272.5548698586533,507.3139519688607,616.7435047539873,121.6180721527476,339.05368868954906,310.6683713011439,195.31757400569813,166.30614142462377,403.14081127254565
RS,0.3217705289205452,0.13495024343646592,0.035456729088361186,0.030427356006145326,0.23417658153843426,0.27473087271919144,0.12446789695562771,0.13495024343646592,-0.12222195823417042,-0.13806430354315785,0.033800092114061805,0.2976655753718666,0.028551612371474487,0.2855100754336309,0.2554360045601658,-0.2378449773836965,0.3021083867574931,-0.22383085563992822,0.05572751570682921,0.04000220371186399,0.2910460076384554,0.175990018958749,0.11720704366534719,0.23417658153843426,0.27473087271919144,0.12446789695562771
DH,0.011059519313294191,0.04308681792615981,0.09278834351043322,0.09299263209792175,0.015735712257728855,0.013557286007745235,0.05149023156559291,0.04308681792615981,0.24593503095070993,0.2485376216662693,0.09287052359796501,0.011438945789225873,0.09337572207204622,0.019049548987020767,0.018055099569299186,0.2574444539162753,0.011311184242908421,0.2570071616019295,0.06842394137834275,0.09240872346136696,0.009260018640443502,0.04092561986616434,0.03467703568423182,0.015735712257728855,0.013557286007745235,0.05149023156559291
B,0.039321731665973296,0.12900659929417427,0.1859957887057251,0.18697342233746903,0.056503570188508496,0.046987962770833044,0.12584010168407755,0.12900659929417427,0.4136957098876692,0.4270866330032557,0.18631754868332925,0.04067798360268463,0.18770351558606901,0.05563104388779659,0.061876040311556225,0.45868353094354286,0.04036927760860105,0.4579113520794345,0.15746937770135522,0.18492829967059532,0.03493925508604142,0.10783036718066594,0.09745851239739202,0.056503570188508496,0.046987962770833044,0.12584010168407755
BH,7.724212012651744,46.32182877454335,123.62692007255086,124.10097026577246,13.951255286121294,11.087076094974918,57.59154446750653,46.32182877454335,409.31461416330967,417.5673636842874,123.7667994736244,7.800648115663561,123.70596232024764,16.484945852830656,14.823042496612743,430.3668364695405,7.794116559137778,424.1849566195511,84.55232532814345,123.34870095079744,6.400951165934085,42.38171108619364,34.51870792234932,13.951255286121294,11.087076094974918,57.59154446750653
D,0.23660965627420538,0.24872644994246096,0.25993094518219395,0.2572690086072884,0.1745029970579852,0.20831779819037435,0.24563456212455256,0.24872644994246096,0.2515068804650649,0.19576131699697966,0.25306082233611893,0.22301772361068567,0.2662214556833338,0.2800791473843148,0.18793026684194247,0.22475225433247462,0.24031555482670586,0.19870274802421395,0.1780435954432138,0.2632072729603029,0.1581362786438089,0.23281555461890205,0.17407604671554833,0.1745029970579852,0.20831779819037435,0.24563456212455256
H,2.5144869533232015,1.2662550045675092,0.8496023529756654,0.8519294758037282,2.2064388126813848,2.315678914887909,1.0749273113250042,1.2662550045675092,0.5323000825008527,0.5385517397331717,0.8540676698269807,2.557723018263657,0.8569798074496235,1.539381413985552,1.899452289852861,0.6134087330045173,2.59138173148183,0.5974715390577906,1.1171014800714945,0.8367664202884342,3.0939092036930886,1.1120916405996126,1.565380633034607,2.2064388126813848,2.315678914887909,1.0749273113250042
DBCV,-0.7916918211333385,-0.8086997473302453,-0.9665918678317071,-0.9832088234485614,-0.9586660485619443,-0.9403835024495595,-0.9076487077009096,-0.8086997473302453,-0.9661832187442962,-0.9753067587763866,-0.9714594775431351,-0.9115707877864062,-0.9836613903504275,-0.8838588707807797,-0.8879901062089377,-0.968972644361495,-0.7771634459717729,-0.9746275611836255,-0.9735526297639484,-0.968732908548846,-0.9245218625488041,-0.8049114940946975,-0.8006135969296367,-0.9586660485619443,-0.9403835024495595,-0.9076487077009096
I,0.38187562333260705,0.4062733202772457,0.44138152825570487,0.4412240771058777,0.3105820157864791,0.35853023288414715,0.4790616289341569,0.4062733202772457,0.38637952278449483,0.36676494335395043,0.44525159454719904,0.3491569978044398,0.464167646013007,0.47049054814339014,0.41679026090574356,0.35858514302793665,0.37558638681585865,0.35535747210780605,0.443751512096084,0.4362650111093934,0.3628488843852908,0.4780900166527923,0.4197371617552055,0.3105820157864791,0.35853023288414715,0.4790616289341569
C,0.02116050302967637,0.05215887184041173,0.06982101245117105,0.07038786284192766,0.0324947562701369,0.026961256248263836,0.04977792866098405,0.05215887184041173,0.13249849636250063,0.13996586511587092,0.07005813183339138,0.02197582101615051,0.07001558097314459,0.025699947207139716,0.027588231024634462,0.1386474459821447,0.02147788476973154,0.13580852672351423,0.06248558461844432,0.06933511673520894,0.022220819487152908,0.04414785788743549,0.0409033281438304,0.0324947562701369,0.026961256248263836,0.04977792866098405
CDbw,0.18825046563581865,0.08258669643229431,0.01344399848332816,0.017278905821579055,0.13358486242540424,0.14986245177380314,0.04406913835201243,0.08258669643229431,0.005456783668126119,0.004790826543724876,0.014185858131245134,0.15276263281362754,0.011342525649625894,0.08143256649728649,0.19250710225507087,0.01067707897212846,0.18978134213685138,0.007917323317704483,0.06400941126742274,0.011611189263130706,0.19248065742320314,0.06429765364601982,0.06168484886193204,0.13358486242540424,0.14986245177380314,0.04406913835201243
VIASCKDE,0.7140936073569982,0.7450173571971085,0.7560446802297657,0.7555962468577331,0.7219887127886081,0.7198881204144386,0.7517754290568174,0.7450173571971085,0.7901458101337842,0.7798115742241417,0.757666411588762,0.7074899120839996,0.7564835170376317,0.7397661134898513,0.7258442059983062,0.7803443074825249,0.7108669942966589,0.7778053443301313,0.7437136066189228,0.7566117939548245,0.6930638846516981,0.7476445541694968,0.7362309118088582,0.7219887127886081,0.7198881204144386,0.7517754290568174
COP,0.16679574254447496,0.22898962844974574,0.2611377219583276,0.26021803166993346,0.18415311381012522,0.1814484612690422,0.22568323709373972,0.22898962844974574,0.2899607054522689,0.29638097001377817,0.2603214605204488,0.173182880505319,0.25932419819977165,0.19139477494189808,0.19338290668586378,0.3067274464665542,0.16677857520871306,0.296052183539364,0.2428879225319132,0.2627593210829042,0.16433797285517787,0.23140088220865873,0.21848672261441537,0.18415311381012522,0.1814484612690422,0.22568323709373972
Sym,0.006880684858957057,0.0048761470222568005,0.0032526202108049585,0.003211613233828493,0.0051179830513589635,0.005695284645675232,0.005188593770580659,0.0048761470222568005,0.002845004671358175,0.002080210337790994,0.0032544405562655323,0.006446326661362747,0.0032619420585278717,0.007078024572645632,0.005662891543047143,0.0019078556904385726,0.006871642778834928,0.00178805988657151,0.003220173688254224,0.0032928970689305257,0.006548033989296681,0.005113056492737425,0.005394031520805087,0.0051179830513589635,0.005695284645675232,0.005188593770580659
CS,1.0695689548994483,1.1080096534805493,1.1665159829968343,1.1666936846317186,1.1241965825586835,1.1018543321794614,1.070192687620739,1.1080096534805493,1.2092798008133716,1.2177298513749941,1.1633539899053997,1.077565351098159,1.14008425576477,0.9935198675698086,1.063431494408038,1.3778709424547826,1.0918219626953705,1.3616528653993778,1.2498295787554308,1.1642071533701406,1.1504380537777932,1.0132718698564538,1.1356765863744323,1.1241965825586835,1.1018543321794614,1.070192687620739
SF,0.09086748222377605,0.15550095400247954,0.20518488542313496,0.2046107266912086,0.09978527761931255,0.09480324369082849,0.16856800767469549,0.15550095400247954,0.2702522608967649,0.2679485259800126,0.20485836410076697,0.08483043195836737,0.20358943643157024,0.12063390564341048,0.11006481456919281,0.25430969486589183,0.08731304118411698,0.25650518767717834,0.18247343967270302,0.20597859414941522,0.07699938596848566,0.15771394625843127,0.1358758061809615,0.09978527761931255,0.09480324369082849,0.16856800767469549
SD,11184911.838822631,30234053.766433436,52220205.314195,52556413.972779304,15948543.390504709,13830874.354685009,35312549.95612364,30234053.766433436,111367343.73576361,111103715.42531282,52265839.092889264,11667220.615515828,52477067.65537883,16927008.224701915,16358300.621631287,123013426.92804995,11491547.04955584,120946216.7916619,42844410.11723911,52176436.54475588,10603483.844039025,28844636.545559425,27827185.674424823,15948543.390504709,13830874.354685009,35312549.95612364
SDbw,0.17907042356920322,0.47479137882471695,0.7517575438520616,0.7520384693566008,0.2376597684098566,0.20839200501780697,0.5048765113345891,0.47479137882471695,1.2427146133636047,1.2087006292187028,0.7526090375460884,0.1866758389673593,0.7669230189508389,0.2463060338051605,0.24313038099332665,1.2899585591542888,0.1829110085701548,1.279724417094856,0.620811003806038,0.7509134559547757,0.1681664394193394,0.44884386911114316,0.39988347539599356,0.2376597684098566,0.20839200501780697,0.5048765113345891
XB*,0.36704341204334173,0.4582126926153036,0.3291088944528671,0.3228483660903936,0.8389637734764009,0.5575019278925412,0.3131702423663408,0.4582126926153036,0.32737741951859584,0.3209299649967448,0.32709037859659473,0.36312567411188335,0.3020759519848571,0.25825726025826895,0.46433454256056467,0.3478719723917601,0.3829102980644202,0.3559651325416701,0.4162365330963791,0.33025295654705916,0.4555866487369771,0.3771412624674868,0.4571284640620453,0.8389637734764009,0.5575019278925412,0.3131702423663408
S,0.4343340543666314,0.4066326474283397,0.40390728613892896,0.4020131670459632,0.4105360963576573,0.4179490257739633,0.42017295162039175,0.4066326474283397,0.3930816664597671,0.38434191434499,0.40260935985068014,0.427782764630225,0.4012834230551541,0.4586223997409006,0.4270700995332004,0.36874977771391726,0.4314724653114521,0.374053175978815,0.40248415078513444,0.40664533776393563,0.41762611205164407,0.4327929898084192,0.40799164600289023,0.4105360963576573,0.4179490257739633,0.42017295162039175
