,labels_yeast_DBSCAN_params16,labels_yeast_DBSCAN_params21,labels_yeast_DBSCAN_params26,labels_yeast_DBSCAN_params27,labels_yeast_DBSCAN_params31,labels_yeast_DBSCAN_params32,labels_yeast_DBSCAN_params33,labels_yeast_DBSCAN_params36,labels_yeast_DBSCAN_params37,labels_yeast_DBSCAN_params38,labels_yeast_DBSCAN_params41,labels_yeast_DBSCAN_params46,labels_yeast_DBSCAN_params47,labels_yeast_DBSCAN_params51,labels_yeast_DBSCAN_params52
cSIL,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,
SSE,684.8966898915133,836.3321267000138,788.9164089000377,862.1759191397291,1292.2452765171133,819.8102185279781,881.401184683355,985.6843167161959,1199.3018717005752,991.5599649484021,849.9015764766687,929.3044507940795,902.4146637896242,1359.993456433427,1606.6364652779068
RS,,,,,,,,,,,,,,,
DH,0.2834362904548201,0.09055696723918406,0.019141630035673204,0.3117710682097644,0.005917320864377496,0.024677474267357963,0.19989762379134005,0.0287777243926666,0.09257413481599626,0.34175195926075114,0.030965495335493472,0.18209850065641245,0.3499716102131538,0.05196072315626223,0.13622923978060356
B,0.0056192627743600855,0.013813305086576931,0.07226066775720323,0.008627673196033246,0.40112018257940346,0.2897009642378685,0.10169722661167625,0.42435854763941405,0.3740574251375693,0.46652852414769697,0.48844836394304997,0.6884554596336566,1.3956197760442417,0.26856739806254737,0.34759155882296666
BH,0.0015990106193406403,0.006436444083966521,0.029121757531494312,0.04485702863706562,1.2205095680799003,2.138094047544494,1.5913055796384283,19.58493976865415,27.688585514609567,33.109175307090375,29.126883990318962,100.25853319431546,129.71381449449902,70.65925998942427,123.42102105928419
D,2.5083586318684303,0.6455592338003509,0.40996768860723976,1.557014280949602,0.11769754361700113,0.16186465938209396,0.2682728566600997,0.1819807780452148,0.18511836731460082,0.4988857808621087,0.12984862044297113,0.33628786267716515,0.3681022855576667,0.21358043939588828,0.6302314602113392
H,,,,,,,,,,,,,,,
DBCV,0.00412938747414771,0.008947006193892604,0.03320916365813289,0.0074679724072350484,-0.00036982354324787954,-0.029429075421362066,0.002752924982707164,-0.28609612943534596,-0.2584637698094241,-0.13623833465426535,-0.2727213905748222,-0.3714155453665271,-0.2728711098888288,0.7688181813854744,0.8993190320466108
I,272516.3224524739,5151.260719178498,30.008875255506304,4436.561146407298,0.06860541526440381,0.4485356826794012,19.793890661141134,0.09195026158450403,0.21008852178127338,0.500241057765045,0.04172934336132788,0.1845141634956342,0.08031487389854206,0.23005068823602481,0.6070421967549469
C,0.7941656668527884,0.8000509174415745,0.7652212713580314,0.8013179904030421,0.56339193449538,0.6452325749539016,0.7360066361370372,0.30905227827895465,0.3347917080411129,0.4676203456776,0.2266598697169295,0.185994245147104,0.19438078302152487,0.06940855985902647,0.0714246755223258
VIASCKDE,0.053284859641187246,0.061397966651905056,0.06349691365031289,0.06524227400342866,0.06788772999464866,0.05045615653190041,0.05497349033426053,0.06236100023993387,0.05622188638279355,0.05527772257366238,0.06802767627782236,0.0693511250379603,0.06767146818626395,0.0780628749761505,0.07661682304485666
COP,0.24781816991225197,0.2483574371604647,0.2561081648522544,0.24914122819981488,0.34757666030419465,0.3087642480549527,0.2611624907735499,0.3901483555104465,0.3668069651013212,0.34759561872063643,0.398954516426554,0.409497074762076,0.4068290516237721,0.34301586023013775,0.34490751155358534
Sym,0.0003536464449968412,0.0001848349672192123,0.0001072023378983919,0.0003646918948992261,0.0001393895169121896,0.00022648949180203987,0.0004191463219353088,0.00043016790744796087,0.000556018761785925,0.0006221513174726948,0.0003966263498899218,0.0009465334550887892,0.0007574585603477706,0.0015644506617374843,0.0023310704485088704
CS,4.0058610847833895,2.6467415311498406,1.561494413379172,3.9497272100123295,1.1419847061697181,1.4661778955121234,3.0788918149917612,1.2837931731976848,2.560108782259298,3.5024358624334737,1.494975704117235,2.0682346839539956,3.230147142364803,1.3627855534309776,1.2332315928776563
SF,0.40969925532358553,0.3619925539047749,0.16323662410862283,0.38163538735468716,0.008572534071591087,0.10458478929140291,0.3048090378546652,0.08559745451564849,0.14266604841500452,0.25088384222705784,0.05649901079589914,0.12211065186568626,0.15825353006063014,0.031225764257432065,0.06766409110050442
SD,8644.118021748041,4748.858591026959,2185.731725013307,9003.406146436495,2260.8617819360097,3507.661073813462,8180.825164988491,6905.860873926737,11275.274982166473,16565.890678290685,9295.360078061249,29982.51356062469,35443.02883043246,29247.512055244733,51019.21650173009
SDbw,1.6911686784225601,1.8137586184908923,0.9767948867033404,1.5163984886886281,0.13012676830827707,0.48922619629826614,1.4597162732845033,0.438601071214293,0.9893095125113702,1.6038839157481741,0.5331209334573739,1.756033386462658,2.366955833492228,1.2017707978002197,2.192466641581002
XB*,13.755744887605468,56.90041125915069,33.36349559772345,11.691797799711606,19.31169828920855,10.070677859720718,8.68277757644789,14.981237185572382,14.476753261525682,11.517981818085712,15.563631972132056,10.806628122093754,10.709159193632635,6.72650025195491,3.9026514899963134
S,-0.3532031191038368,-0.37910732032334976,-0.4194612851317292,-0.3403466560438854,-0.378454067966201,-0.38612752862635824,-0.2936234930361862,-0.21726957279358272,-0.1533895927358342,-0.009105064340082522,-0.0842820939204614,0.1663289917938261,0.07563828214528155,0.43410883881312246,0.5455760429808585
