,labels_wdbc_SpectralClustering_params1,labels_wdbc_SpectralClustering_params10,labels_wdbc_SpectralClustering_params11,labels_wdbc_SpectralClustering_params12,labels_wdbc_SpectralClustering_params13,labels_wdbc_SpectralClustering_params14,labels_wdbc_SpectralClustering_params15,labels_wdbc_SpectralClustering_params16,labels_wdbc_SpectralClustering_params17,labels_wdbc_SpectralClustering_params18,labels_wdbc_SpectralClustering_params19,labels_wdbc_SpectralClustering_params2,labels_wdbc_SpectralClustering_params20,labels_wdbc_SpectralClustering_params21,labels_wdbc_SpectralClustering_params22,labels_wdbc_SpectralClustering_params23,labels_wdbc_SpectralClustering_params24,labels_wdbc_SpectralClustering_params25,labels_wdbc_SpectralClustering_params26,labels_wdbc_SpectralClustering_params27,labels_wdbc_SpectralClustering_params28,labels_wdbc_SpectralClustering_params29,labels_wdbc_SpectralClustering_params3,labels_wdbc_SpectralClustering_params30,labels_wdbc_SpectralClustering_params31,labels_wdbc_SpectralClustering_params32,labels_wdbc_SpectralClustering_params33,labels_wdbc_SpectralClustering_params34,labels_wdbc_SpectralClustering_params35,labels_wdbc_SpectralClustering_params36,labels_wdbc_SpectralClustering_params4,labels_wdbc_SpectralClustering_params5,labels_wdbc_SpectralClustering_params6,labels_wdbc_SpectralClustering_params7,labels_wdbc_SpectralClustering_params8,labels_wdbc_SpectralClustering_params9
cSIL,0.7017058081109713,0.7129747839936695,0.7296698418365262,0.7129747839936695,0.6391300223591094,0.5660504168258239,0.5898444608473551,0.5727245683836159,0.602555119441068,0.5755208564644677,0.9636176589114269,0.6930629453705555,0.7859540869882018,0.9636176589114269,0.7859540869882018,0.9636176589114269,0.7859540869882018,0.5193760913784116,0.4767894666344107,0.49889944187598634,0.4832211501646496,0.4728148842400587,0.7049143691832739,0.47066001262209,0.9016881234653706,0.7477445711130792,0.9016881234653706,0.7477445711130792,0.9016881234653706,0.7477445711130792,0.6942402291722393,0.7037128584178369,0.6932114267818348,0.7296698418365262,0.7129747839936695,0.7296698418365262
GD43,0.45607739630170807,0.4493264731451039,0.4959659536788103,0.4493264731451039,0.4096506066820762,0.3459356569500664,0.3784945480288382,0.3507418912518175,0.39320769355182483,0.3546427579210503,0.4804900604712706,0.4451830835428008,0.4764232766440839,0.4804900604712706,0.4764232766440839,0.4804900604712706,0.4764232766440839,0.2305559932568831,0.20618019481538716,0.22565764912029335,0.21738479487258136,0.20966290661389383,0.4564395505153776,0.2050847105832677,0.5260627782456607,0.5036813442959801,0.5260627782456607,0.5036813442959801,0.5260627782456607,0.5036813442959801,0.4349945419776662,0.4455169718664614,0.43181359303495415,0.4959659536788103,0.4493264731451039,0.4959659536788103
GD53,0.3405266950920584,0.31665960792249725,0.3495786467851188,0.31665960792249725,0.2924771136522086,0.3000610705481293,0.302868429503142,0.2948532249175475,0.2929718748922227,0.29901578777455157,0.0,0.3411951087976791,0.2644260777555847,0.0,0.2644260777555847,0.0,0.2644260777555847,0.24272747951931614,0.22393159805218227,0.21261626834637323,0.2045340292682816,0.2150013664035596,0.3355365419631777,0.2028530914648112,0.0,0.2936198566328623,0.0,0.2936198566328623,0.0,0.2936198566328623,0.3256677795439621,0.32371659196600705,0.32297289200875606,0.3495786467851188,0.31665960792249725,0.3495786467851188
PS,1.4726525418511787,1.3477969460668138,1.2714146992340258,1.3477969460668138,1.2684981657146035,1.634412588681563,1.4276992427251318,1.5791113301813668,1.3911847029375706,1.592436146249458,0.15667030454410008,1.5222728318115726,0.5022552119740922,0.15667030454410008,0.5022552119740922,0.15667030454410008,0.5022552119740922,0.20517845698676526,0.6190545394637187,0.9182673668374847,1.150965819113197,1.5224283504117495,1.4568070424325055,1.7175220287147281,-0.059166719414529806,-0.011499438316053157,-0.059166719414529806,-0.011499438316053157,-0.059166719414529806,-0.011499438316053157,1.505374142276732,1.45289751803405,1.522272831811573,1.2714146992340258,1.3477969460668138,1.2714146992340258
rCIP,1.7037719651700302e-12,1.3382980291357374e-12,1.2778018962662747e-12,1.3382980291357374e-12,5.885185305111645e-12,7.911653627775907e-12,7.1078832053604975e-12,7.74471982004886e-12,6.861804260454659e-12,7.708406708123653e-12,1.108622575241219e-12,1.8212486794754435e-12,1.421616378834909e-12,1.108622575241219e-12,1.421616378834909e-12,1.108622575241219e-12,1.421616378834909e-12,1.677081132007964e-11,1.86074605555212e-11,2.022740573592806e-11,2.095938810252763e-11,1.9904921845914303e-11,1.6271518706542662e-12,2.0741584116842678e-11,1.517036503131908e-12,2.3983415754678108e-12,1.517036503131908e-12,2.3983415754678108e-12,1.517036503131908e-12,2.3983415754678108e-12,1.7083320482020614e-12,1.568438943334452e-12,1.7215211857488908e-12,1.2778018962662747e-12,1.3382980291357374e-12,1.2778018962662747e-12
WB,3.237798650515329,3.2215517745019207,3.485772198251023,3.2215517745019207,3.4569101011399814,3.758726054536747,3.5552011869008773,3.683684450298051,3.497898625632459,3.681478362838112,84.03438916413579,3.2946068686120715,4.44724444029727,84.03438916413579,4.44724444029727,84.03438916413579,4.44724444029727,4.245929933116377,4.159837245214512,4.03213641294352,4.077751467134219,3.9157683711455467,3.18991783430363,3.968180244523244,29.42634687797826,5.263448056231334,29.42634687797826,5.263448056231334,29.42634687797826,5.263448056231334,3.205311898462113,3.1429605616199834,3.1803182386175393,3.485772198251023,3.2215517745019207,3.485772198251023
XB,0.3619410885173037,0.32307956970204216,0.31378958774536164,0.32307956970204216,0.508336486201071,0.7193935761510984,0.6139220065936498,0.6868589308399552,0.5464490239645001,0.6820202117334396,0.4469514105572857,0.3788541971343905,0.3205210060762005,0.4469514105572857,0.3205210060762005,0.4469514105572857,0.3205210060762005,1.5642266471786457,1.8723627869538313,1.6590030689801292,1.7947259012897272,1.90249728868395,0.3528643577137154,1.8827309117106976,0.4075131098468073,0.3418739028728406,0.4075131098468073,0.3418739028728406,0.4075131098468073,0.3418739028728406,0.3653188897157224,0.34672836561346476,0.365711892487764,0.31378958774536164,0.32307956970204216,0.31378958774536164
SSE,876.3944282331793,874.7100095752855,900.8651822852277,874.7100095752855,759.0351977598598,788.4504402217142,768.9121554109797,781.3849686664062,763.1903260543907,781.1748551233891,1368.8779612679878,882.2028375588709,846.630600496718,1368.8779612679878,846.630600496718,1368.8779612679878,846.630600496718,730.0149471062202,722.7588398885886,711.7094139204787,715.6964043529663,701.3301122701232,871.4000569060561,706.0424457519925,1248.0902886099684,805.5569339798394,1248.0902886099684,805.5569339798394,1248.0902886099684,805.5569339798394,873.0158085928138,866.4116973004438,870.3876278873943,900.8651822852277,874.7100095752855,900.8651822852277
RS,-0.37837923048034433,-0.4538363473645665,-0.4600331606023753,-0.4538363473645665,-0.9526292060111277,-0.8545105747871782,-0.8778303168486481,-0.8559239397693373,-0.8904563119758577,-0.8497777588128396,0.031063381124429773,-0.3722651583063125,-0.9272269273734169,0.031063381124429773,-0.9272269273734169,0.031063381124429773,-0.9272269273734169,-1.1931112482167623,-1.210652145375317,-1.1802937997998577,-1.1666553581419323,-1.157366439228099,-0.3818841679366554,-1.1389175152296762,-0.6816188459178627,-1.631962637772944,-0.6816188459178627,-1.631962637772944,-0.6816188459178627,-1.631962637772944,-0.38252285369145045,-0.39211833650681965,-0.3762763807675806,-0.4600331606023753,-0.4538363473645665,-0.4600331606023753
DH,0.6446909839803203,0.6313307317955916,0.623896490780345,0.6313307317955916,0.3299950338722731,0.3330488938349873,0.3304228929386472,0.33227775394314063,0.33085695715103286,0.33118202484786513,0.07949869998033247,0.6514760743070239,0.1851500629955911,0.07949869998033247,0.1851500629955911,0.07949869998033247,0.1851500629955911,0.20613934707392517,0.2129528407754087,0.21770354849136705,0.2177158400051873,0.21418860108452376,0.6411229675612968,0.2149321507486371,0.07957892207534253,0.1366374447623927,0.07957892207534253,0.1366374447623927,0.07957892207534253,0.1366374447623927,0.6470434420243778,0.6394865721271562,0.6468176004573368,0.623896490780345,0.6313307317955916,0.623896490780345
