,labels_s1_DBSCAN_params1,labels_s1_DBSCAN_params10,labels_s1_DBSCAN_params11,labels_s1_DBSCAN_params12,labels_s1_DBSCAN_params13,labels_s1_DBSCAN_params14,labels_s1_DBSCAN_params15,labels_s1_DBSCAN_params16,labels_s1_DBSCAN_params17,labels_s1_DBSCAN_params18,labels_s1_DBSCAN_params19,labels_s1_DBSCAN_params20,labels_s1_DBSCAN_params21,labels_s1_DBSCAN_params22,labels_s1_DBSCAN_params23,labels_s1_DBSCAN_params24,labels_s1_DBSCAN_params5,labels_s1_DBSCAN_params6,labels_s1_DBSCAN_params7,labels_s1_DBSCAN_params8,labels_s1_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,,
SSE,6383.725190835134,5672.924097341376,6019.020295762339,6112.286582353637,4674.477304922481,5521.210562341588,5644.438295458611,5819.943825057646,6001.810225612728,4490.896177952869,5407.642177617505,5440.984965321813,8963.907731510213,5730.359813741843,5059.957883809722,4977.821068524069,5667.662058305026,6236.030773815424,6204.901983978927,5282.61554346736,4884.425223107256
RS,,,,,,,,,,,,,,,,,,,,,
DH,0.019701556768894228,0.0026996430334768964,0.004924295180859245,0.004788813219264126,0.000884065608080117,0.002843653803161318,0.004470569122129177,0.006184628926760933,0.01857946588042591,0.010532416478515126,0.01027755421466018,0.010041715711231435,0.03322049486960896,0.03951409536396147,0.03713031398762012,0.038079327328433714,0.0007332516090667274,0.005071597460390473,0.010084449462454442,0.1999738546673518,0.0002438654762918739
B,0.010455792180837248,0.44087045556300863,0.36007019049825983,0.30958338940171354,1.3962774386763706,1.3804757675861856,0.9532129848362503,0.8082866504180611,2.558625295716185,1.6252785946756865,1.9237951639038755,1.8790998126781868,2.208999020342437,1.8474984981900966,1.8335597222813398,1.8274157222542466,0.19166756094101015,0.16241417642601116,0.09560407400759285,0.030256258035296947,0.5284790405424772
BH,3.2507276073703884e-06,0.012171847965422183,0.01005733221714693,0.006127986309369357,0.2142320306765733,0.19401946881169824,0.14303703900399092,0.10361901971227569,15.656200134038293,2.0030690596201537,1.8054161163307505,1.6443313209389376,103.77474848207,61.34777637403678,34.8265133488659,34.81951294005946,0.0016235648065559144,0.0014941239097093066,0.0008395228173039687,0.0011483486915986163,0.010933449836400337
D,134.38874245768173,0.2759325548973007,3.852285191141864,4.8347981962518185,0.09264133638044775,0.2751020523287697,1.142653359268668,1.7792871922924103,0.09353605723212204,0.39392569445649867,0.4368459651586001,0.331227143338345,0.06939602218178356,0.02722990066435605,0.16841510648265087,0.16841510648265087,0.11362626145394122,7.8965212805476055,11.16900971069982,36.19106046975464,0.08532555115659858
H,,,,,,,,,,,,,,,,,,,,,
DBCV,0.009279586133942487,0.1402452367954463,0.19886663866415633,0.17269196571388284,-0.16489160844638914,0.21491532655801135,0.3138045859353289,0.4087007862471035,0.560827758747193,0.6459349797279554,0.723381847921976,0.7864142044520523,0.12979368484737608,0.39597803367168255,0.2604471536745776,0.3221457252659735,0.13227346625680053,0.09678129578802287,0.0635924483729852,0.02339932664141616,0.07393065558992382
I,501054252.00193495,358.3756494728192,1567.2692188558444,2910.1608197896458,0.453855171674803,5.5027243500372105,24.940863933659568,74.92613213235178,0.4598102331537886,1.7578142989738756,1.9726427990689321,2.19343486400218,0.3123159901708786,0.3476693119365842,0.41069697204553013,0.4108837609268192,795.8426359342893,27632.777742253398,142131.52687525164,2083236.6629044542,3.7901953653477096
C,0.527447821630878,0.49356783274391863,0.5007138791504445,0.5057269277422268,0.24482238674872162,0.40713706266629013,0.44873788737465287,0.4716541959708707,0.048704067717294026,0.015600821715409283,0.03269690831604604,0.05321608361948463,0.15229964552368982,0.08543620330066136,0.04466104332242641,0.04471008087111996,0.5012012888808975,0.521353267804208,0.5251685170973563,0.5240937303339153,0.47000408144660666
CDbw,0.8753130610918854,0.8603411145239097,1.177915728157956,1.1853669755980993,0.29167689582276135,0.556608699391927,0.8111252930191765,1.0352898607264946,0.24989824887369813,0.35173699473892467,0.4326633796814562,0.48405932671929686,0.0,0.3708238746067137,0.17863623070646673,0.16418184666632357,0.5587207910164705,1.2227709214768965,1.0941015288211573,0.48132779882117627,0.27255080414792926
VIASCKDE,0.7310702880369931,0.6195556746529577,0.6208623308885697,0.6246492415034982,0.5919682987645198,0.5844009630714325,0.5931798682910064,0.6075883815531234,0.7410322665226793,0.7003675826829235,0.6830263393151156,0.6675694717137584,,0.7821449859117775,0.7809676036626675,0.7796132040406027,0.5987668848716223,0.6424087714665314,0.6817893146201536,0.7594824213163237,0.528902514821673
COP,0.5527178384386038,0.42825256969613545,0.455492711410087,0.4689493721938174,0.18593911572696215,0.2641536076644439,0.3110959328786028,0.35151228289615366,0.19946187629797807,0.1253116541666464,0.13443588651286523,0.14230267256923454,0.3358834622088956,0.2848429405271121,0.23820506552872067,0.23835508276707423,0.4681874643966029,0.5102185997762186,0.5287590075697518,0.49286661940271154,0.32924133785476994
Sym,0.0014472602014275159,0.0009391248800708192,0.001287840393499662,0.0012138276312180596,0.000950136602962491,0.0013100782830144614,0.001584358617778167,0.0016421053722922422,0.006183306163107498,0.00623522484412958,0.005448797972040655,0.004659380627324921,0.0026608381434223235,0.0026168721284568638,0.005434198259466048,0.005344880716604047,0.0004878966060933649,0.0011704006926661291,0.0013749559768039508,0.001994854663683432,0.0003290561302344531
