,labels_d31_MeanShift_params1,labels_d31_MeanShift_params10,labels_d31_MeanShift_params11,labels_d31_MeanShift_params12,labels_d31_MeanShift_params13,labels_d31_MeanShift_params14,labels_d31_MeanShift_params15,labels_d31_MeanShift_params16,labels_d31_MeanShift_params17,labels_d31_MeanShift_params18,labels_d31_MeanShift_params19,labels_d31_MeanShift_params2,labels_d31_MeanShift_params20,labels_d31_MeanShift_params27,labels_d31_MeanShift_params28,labels_d31_MeanShift_params3,labels_d31_MeanShift_params4,labels_d31_MeanShift_params5,labels_d31_MeanShift_params6,labels_d31_MeanShift_params7,labels_d31_MeanShift_params8,labels_d31_MeanShift_params9
cSIL,0.9051171428981538,0.8124393073161184,0.8438597562968484,0.8475542868366067,0.8293434652057482,0.8163775430513588,0.8122143454880577,0.8124393073161184,0.8413965372344995,0.8413965372344995,0.8121310540366287,0.8821915456878479,0.8125191142651456,0.8226103225546846,0.8202998446832469,0.8618021447520059,0.8557125153707177,0.8235214714024089,0.8227980486815445,0.8293434652057482,0.8163775430513588,0.8122143454880577
GD43,6.307750431938757,1.8545336171509113,2.613815153530246,2.539742182760115,2.9628400313721746,2.9043794765524646,1.8579748335452644,1.8545336171509113,1.967595720212056,1.967595720212056,1.8542529381724326,5.0722781114704665,1.8504851524983297,2.0075876417516727,2.0088191798460926,5.000059076975584,4.504195802474516,2.2952227113910233,1.9715260481065446,2.9628400313721746,2.9043794765524646,1.8579748335452644
GD53,0.14345808406582955,0.22367415006535132,0.42343162389554556,0.372086219314148,0.16550922822219724,0.16390884797435734,0.22511626297786827,0.22367415006535132,0.3215199697458602,0.3215199697458602,0.22354776766881215,0.12342412340054101,0.22283150438210964,0.21291886276579025,0.2093888387431992,0.1818553394444176,0.1450940137049159,0.2078264775875258,0.20454325060150957,0.16550922822219724,0.16390884797435734,0.22511626297786827
PS,-8.280875295536962,1.7231228311672213,2.63553622382905,2.5118518334447826,0.9036091179096669,-1.686830024810976,1.7257485257974807,1.7231228311672213,2.082245465687031,2.082245465687031,1.7145999245366983,-4.988200190348717,1.715467296564748,1.1712878618753273,1.1428892932168895,-0.7791098220516849,-1.7265594656840808,1.1990537221701296,1.1247054589264123,0.9036091179096669,-1.686830024810976,1.7257485257974807
rCIP,3.5424591672635257,0.3511771894159176,0.1851929782551764,0.18719154137887634,1.8744290806465858,2.235010822038257,0.3493787686422142,0.3511771894159176,0.07417552631529883,0.07417552631529883,0.34781186503262,2.6695109823544003,0.35181817254184866,1.1483134935298407,1.206903985452808,3.6358607625716486,6.603988578872501,0.6975971386396479,1.1358676281122515,1.8744290806465858,2.235010822038257,0.3493787686422142
WB,0.43761231508625736,1.3238120350651426,1.2760502397641087,1.2782096367630833,0.9168892686482164,1.006885689105445,1.3228208174397946,1.3238120350651426,1.6855989656754518,1.6855989656754518,1.3245672673091866,0.5343025260806658,1.325193996800214,1.142767974208499,1.1526138011159506,0.7113887954377525,0.7404906351172779,1.098331059472129,1.1435806666862005,0.9168892686482164,1.006885689105445,1.3228208174397946
XB,0.16140148391740972,0.39607385704766424,0.22192169642469847,0.21501069026792227,0.3524078465259429,0.3439743393934567,0.39444455910057497,0.39607385704766424,0.20222744529900855,0.20222744529900855,0.3943073122560343,0.23576097311738567,0.39670056805891146,0.37941589114348234,0.3807739350737523,0.2012344526638619,0.2541183579841554,0.26175341351178255,0.3862826421760923,0.3524078465259429,0.3439743393934567,0.39444455910057497
SSE,27.1698791123698,369.60571038905675,427.02190264981215,427.56953390562444,125.32861875185388,136.6778520138425,369.38686344172675,369.60571038905675,635.1560527976116,635.1560527976116,369.7724090300377,38.450749656471515,369.9107136760611,220.68441441101183,222.34633645258734,70.9162404923062,69.76376553771034,239.45782777381447,220.82172800300864,125.32861875185388,136.6778520138425,369.38686344172675
RS,0.6097127268515607,0.05882597934371988,0.03691594291157448,0.04824704155961079,0.19370680361141374,0.14369057770461202,0.058155318472368156,0.05882597934371988,-0.018879782226143383,-0.018879782226143383,0.058353852351210184,0.5478703883927974,0.05889392152829453,0.08547362934523789,0.07665758347389141,0.344633323697736,0.3215177257285404,0.11833466347477632,0.08838864829165194,0.19370680361141374,0.14369057770461202,0.058155318472368156
DH,0.003998239969566549,0.09377302753085129,0.13707357545633478,0.13611011683419166,0.020778898519647603,0.02142571556852451,0.09386401309073719,0.09377302753085129,0.23634969305708795,0.23634969305708795,0.09386206716035915,0.005349135090740846,0.09374889258080729,0.044091453036414235,0.04412388372357069,0.01107816949914021,0.010347182993426912,0.051391466077518294,0.04404001769977926,0.020778898519647603,0.02142571556852451,0.09386401309073719
