,labels_pathbased_MeanShift_params1,labels_pathbased_MeanShift_params10,labels_pathbased_MeanShift_params11,labels_pathbased_MeanShift_params12,labels_pathbased_MeanShift_params13,labels_pathbased_MeanShift_params14,labels_pathbased_MeanShift_params15,labels_pathbased_MeanShift_params16,labels_pathbased_MeanShift_params17,labels_pathbased_MeanShift_params18,labels_pathbased_MeanShift_params19,labels_pathbased_MeanShift_params2,labels_pathbased_MeanShift_params20,labels_pathbased_MeanShift_params21,labels_pathbased_MeanShift_params22,labels_pathbased_MeanShift_params23,labels_pathbased_MeanShift_params24,labels_pathbased_MeanShift_params25,labels_pathbased_MeanShift_params26,labels_pathbased_MeanShift_params28,labels_pathbased_MeanShift_params29,labels_pathbased_MeanShift_params3,labels_pathbased_MeanShift_params30,labels_pathbased_MeanShift_params4,labels_pathbased_MeanShift_params5,labels_pathbased_MeanShift_params6,labels_pathbased_MeanShift_params7,labels_pathbased_MeanShift_params8,labels_pathbased_MeanShift_params9
cSIL,0.8040557453632932,0.8589498089175559,0.8598766183696029,0.8583975792123731,0.8684131184240328,0.8649958934905903,0.8620743363565343,0.8589498089175559,0.8681413784294657,0.8557832459216944,0.8690216662346291,0.8049335185275842,0.8620617285394399,0.8598766183696029,0.8422646410624517,0.8838529377100914,0.884843642653989,0.846505659460634,0.8468886403280764,0.6900685160967901,0.8812589712850888,0.7963953565032487,0.8767031701406891,0.7981421876489828,0.8548625119484167,0.8521480782652475,0.8684131184240328,0.8649958934905903,0.8620743363565343
GD43,3.0368386480582985,2.028634142920658,1.8070182789810925,2.072818913366678,2.8437861026596116,2.4940679100444307,2.549128227002655,2.028634142920658,2.7810670234100954,1.6342887138952027,2.577097919703993,2.5811283910463247,2.4994537056271624,1.8070182789810925,2.2168344069489043,3.2681815516879653,3.130209370897899,1.8070182789810925,1.9772034506215261,1.0917826231655,2.777050121219642,2.3343344069341136,2.723871161668886,2.7477666153599434,2.305287240943348,2.229348221834249,2.8437861026596116,2.4940679100444307,2.549128227002655
GD53,0.07934533232928324,0.06071992651024771,0.0911286589322634,0.10259964492778252,0.08888325380645296,0.0594460187101617,0.0822197381277352,0.06071992651024771,0.20895593684448174,0.07341651449294638,0.1733626320384954,0.08758993126752672,0.17799224529474195,0.0911286589322634,0.12640377290412938,0.32178276568617314,0.2865490942060458,0.0911286589322634,0.09870747350076958,0.4846624644548971,0.3663199801409079,0.045175955298075075,0.37224951045659593,0.053450082598337466,0.0670702090159528,0.07857198635527125,0.08888325380645296,0.0594460187101617,0.0822197381277352
PS,-12.78964309040093,-5.959838466200692,-0.43914694581985037,-0.33406000532151825,-5.709565331183347,-6.758184533531381,-4.774114235112301,-5.959838466200692,0.8323651190527889,-0.46344715498574274,0.7342012214384738,-13.766822043613383,0.6540773774126517,-0.43914694581985037,-0.4607537621550235,1.6768064657727957,1.637190622014669,-1.6465776937413756,-1.581071953275937,1.1313374722225316,2.0752656245741137,-16.309366898117414,2.017728289151241,-15.01471854045525,-5.018770512205262,-3.752724220014622,-5.709565331183347,-6.758184533531381,-4.774114235112301
rCIP,15.396818362600154,7.917643705007321,1.577408988562056,1.0129179124503864,5.834643452101399,7.319181157682207,4.395390107834491,7.917643705007321,0.2987259975277644,1.6213652223291157,0.3540922496519219,17.333301578608534,0.4881046918376395,1.577408988562056,0.9228218612382142,0.1110680606767302,0.124405102083329,1.656605432527253,1.1234622915461099,0.0124052669126945,0.014689887948366148,25.051915589052292,0.016125651514551864,19.426290235086082,5.451903066017469,4.266416052358708,5.834643452101399,7.319181157682207,4.395390107834491
WB,1.1740893741168927,1.3216627294746999,1.6270589256139656,1.5794688398298091,1.2226542691490152,1.2401888373648988,1.2309556276402003,1.3216627294746999,1.3950883772003548,1.6179396656213996,1.4483115931759296,1.22969389363284,1.4877936849711813,1.6270589256139656,1.5343816286186778,1.3134204360127892,1.3295692521358906,1.512440722405843,1.4799724343144414,7.850172841099528,1.2513558867426275,1.316557437166262,1.2602082574927749,1.2631398840910324,1.203418641625488,1.2478140544068006,1.2226542691490152,1.2401888373648988,1.2309556276402003
XB,0.46581337168639475,0.5360099587070859,0.4635540904824528,0.36640772562069224,0.3318646004925386,0.47965628309703034,0.34436321551441695,0.5360099587070859,0.20602905395256166,0.5808492592413032,0.2470303766131366,0.641774176786905,0.2681338815484252,0.4635540904824528,0.3091002994257181,0.14987012949963482,0.16047300998880087,0.3860810621241297,0.32610140933904824,0.48329829999006507,0.12474475502010103,0.7449091658912197,0.13263502858611811,0.5546940632088697,0.3289809539886653,0.40437486478892487,0.3318646004925386,0.47965628309703034,0.34436321551441695
SSE,8.902955183263119,15.177113398596193,32.63421346868101,31.878601489286122,14.145294575841943,13.322908329977722,15.396038117562618,15.177113398596193,33.37199270776386,32.49015354253072,34.35919356005895,8.86094935459862,35.08105539735453,32.63421346868101,31.153923270632735,37.81434286731932,38.16329138627412,27.180111353263694,26.69845658976473,121.91645831635539,45.02776068626239,8.637784229136821,45.25207114711926,8.679445957539905,13.943034792056269,16.971050073903235,14.145294575841943,13.322908329977722,15.396038117562618
RS,0.21537748601831885,0.20664490808172592,0.23074147387218696,0.22415853933599936,0.22314821351484346,0.24414275517494743,0.19041758633769296,0.20664490808172592,0.1517749982817101,0.22013800966405783,0.19213056655618663,0.22188845845585456,0.18010804583126389,0.23074147387218696,0.1734919105681827,0.1300416492569976,0.1552304911903239,0.16454763135539707,0.17277595520395883,-0.46898691394957426,0.04692384843525875,0.23261438006625984,0.04617661730254716,0.21800758393798156,0.11919915561321562,0.1440624781042795,0.22314821351484346,0.24414275517494743,0.19041758633769296
DH,0.15861620740129484,0.1877573020572774,0.25259678438430877,0.25632715827474634,0.19191181527994838,0.17919528585031808,0.20268471901102617,0.1877573020572774,0.30274667174222464,0.2538795461410735,0.29048393082747986,0.15232559026645942,0.2897587991880414,0.25259678438430877,0.27163117392594877,0.3400621690716976,0.333522264644592,0.25143158871387217,0.2520644063012973,0.6115648581241263,0.40855847843795895,0.14106430826496275,0.4089420881292566,0.14794098622945645,0.20987350939483837,0.21808054525853013,0.19191181527994838,0.17919528585031808,0.20268471901102617
