,labels_mk2_SpectralClustering_params1,labels_mk2_SpectralClustering_params10,labels_mk2_SpectralClustering_params11,labels_mk2_SpectralClustering_params12,labels_mk2_SpectralClustering_params13,labels_mk2_SpectralClustering_params14,labels_mk2_SpectralClustering_params15,labels_mk2_SpectralClustering_params16,labels_mk2_SpectralClustering_params17,labels_mk2_SpectralClustering_params18,labels_mk2_SpectralClustering_params19,labels_mk2_SpectralClustering_params2,labels_mk2_SpectralClustering_params20,labels_mk2_SpectralClustering_params21,labels_mk2_SpectralClustering_params22,labels_mk2_SpectralClustering_params23,labels_mk2_SpectralClustering_params24,labels_mk2_SpectralClustering_params25,labels_mk2_SpectralClustering_params26,labels_mk2_SpectralClustering_params27,labels_mk2_SpectralClustering_params28,labels_mk2_SpectralClustering_params29,labels_mk2_SpectralClustering_params3,labels_mk2_SpectralClustering_params30,labels_mk2_SpectralClustering_params31,labels_mk2_SpectralClustering_params32,labels_mk2_SpectralClustering_params33,labels_mk2_SpectralClustering_params34,labels_mk2_SpectralClustering_params35,labels_mk2_SpectralClustering_params36,labels_mk2_SpectralClustering_params4,labels_mk2_SpectralClustering_params5,labels_mk2_SpectralClustering_params6,labels_mk2_SpectralClustering_params7,labels_mk2_SpectralClustering_params8,labels_mk2_SpectralClustering_params9
cSIL,0.0025789674650542604,0.7333780308955717,0.7333806367773645,0.7333780308955717,-0.005737971382343517,0.28176439326200986,-0.22407060087820532,-0.19766116869161413,0.3133991601435685,0.22774339454548773,0.8252718529890571,0.13240851248647367,0.8217486474623095,0.8252718529890571,0.8217486474623095,0.8252718529890571,0.8217486474623095,-0.3754415376356838,-0.06465593027506315,-0.150871210453426,-0.264775178151296,0.1863412731985812,0.0053691660369828975,0.24411708296083834,0.8317651039554095,0.8315915103080969,0.8317651039554095,0.8315915103080969,0.8317651039554095,0.8315915103080969,0.002254239932092561,0.0859880741948113,0.0766030992667196,0.7333806367773645,0.7333780308955717,0.7333806367773645
GD43,0.03554086219049121,1.5402344188271964,1.5475914536934121,1.5402344188271964,0.03399695051987158,0.4256521201611544,0.05406547551293373,0.038472958214817686,0.2439098243916961,0.18398245524174675,2.2408974309147043,0.27618681656036004,2.41053806519876,2.2408974309147043,2.41053806519876,2.2408974309147043,2.41053806519876,0.015666015298025325,0.10228253508001979,0.09654200588852765,0.038472958214817686,0.375981301261214,0.06042932126491411,0.534954376992093,2.97818327803788,2.9450154565603857,2.97818327803788,2.9450154565603857,2.97818327803788,2.9450154565603857,0.038315635174012715,0.27864083373919013,0.25542960978778223,1.5475914536934121,1.5402344188271964,1.5475914536934121
GD53,0.3785478788858008,0.4937589495266365,0.49609445378482525,0.4937589495266365,0.3052789088214936,0.40269760657836656,0.15605126519628423,0.15753754136834552,0.03290684011721187,0.06024250477735801,0.41695454292462003,0.46652222585063946,0.4816713527948303,0.41695454292462003,0.4816713527948303,0.41695454292462003,0.4816713527948303,0.04797863647191702,0.2319410030270566,0.11826031568872983,0.11794139997473048,0.05352434751916768,0.43198023575677186,0.07706614013045002,0.47791920801492466,0.46956582415422193,0.47791920801492466,0.46956582415422193,0.47791920801492466,0.46956582415422193,0.4276462591176433,0.45824038511496007,0.45226179503745934,0.49609445378482525,0.4937589495266365,0.49609445378482525
PS,1.5113563383216029,1.9357553099937346,1.9396533072027689,1.9357553099937346,-0.32849954355869726,1.7760667934585652,1.4155514686764317,1.5689290552374835,0.5769806847018848,0.5598967696878844,2.7423805568396076,1.6162612842060027,2.642632699816106,2.7423805568396076,2.642632699816106,2.7423805568396076,2.642632699816106,-1.0362427723465644,0.7807288805704056,0.11523879711851795,0.17851955802596625,0.3863986751363959,1.2212303574426575,0.92211235536059,2.9617997848978614,2.9725511277415677,2.9617997848978614,2.9725511277415677,2.9617997848978614,2.9725511277415677,1.2671496870204455,1.0646903081256154,1.0894948483486577,1.9396533072027689,1.9357553099937346,1.9396533072027689
rCIP,0.3125906715882077,0.04151687312448408,0.04150009069134937,0.04151687312448408,1.0388231914644006,0.8296305807243771,1.3263166143213545,1.2497567983627336,0.9617985179485466,0.9249293252811817,0.10288703047181369,0.3176594600174281,0.10736303229914392,0.10288703047181369,0.10736303229914392,0.10288703047181369,0.10736303229914392,2.326931632665276,1.9645618361105874,2.8731966725278517,2.826150380843409,1.448864255656249,0.43008564125035204,1.2360058568571406,0.3283131820869716,0.3268572489219642,0.3283131820869716,0.3268572489219642,0.3283131820869716,0.3268572489219642,0.4153548504120717,0.4843786405456982,0.4690766416173349,0.04150009069134937,0.04151687312448408,0.04150009069134937
WB,2082.2002868869745,2.909298139061644,2.908999232937774,2.909298139061644,825.4494904771386,13.677948615715664,225.52831454477897,401.1643731406835,121.5275004857487,125.16299919940451,1.826954639921572,51.99180416064818,1.854981199321812,1.826954639921572,1.854981199321812,1.826954639921572,1.854981199321812,505.97240180516246,72.30274692500478,66.76195698913592,152.53684021802982,5.271106689450402,1316.8189265515996,5.127899330605439,1.4584184119716996,1.455814789537883,1.4584184119716996,1.455814789537883,1.4584184119716996,1.455814789537883,2924.9502582555715,137.7336600032726,134.1494656146081,2.908999232937774,2.909298139061644,2.908999232937774
XB,238.08294520323048,0.3635909895782985,0.3635725421310289,0.3635909895782985,252.038237200262,2.5941547590918073,71.94060081837283,130.5002355533048,6.502301051834097,10.426503476127078,0.21741230356007488,6.212370699645449,0.22409970889519457,0.21741230356007488,0.22409970889519457,0.21741230356007488,0.22409970889519457,1012.4149516856965,21.946503730992315,24.46284389552764,128.11652467588937,4.217785616155458,107.30428227737346,2.0453063584909614,0.210842156413925,0.2114405418353798,0.210842156413925,0.2114405418353798,0.210842156413925,0.2114405418353798,261.36039280155563,5.752859511016689,6.67098462608323,0.3635725421310289,0.3635909895782985,0.3635725421310289
SSE,476.4939922849295,282.64623220216004,282.6344010561102,282.64623220216004,475.2245272582312,391.1584487447227,470.6905036876334,473.4113954851992,465.46140203491353,465.78733755782844,180.52149677273758,459.2841170760139,182.2327120523019,180.52149677273758,182.2327120523019,180.52149677273758,182.2327120523019,473.2106755388747,451.94855590539805,449.9907661699983,464.7640862437569,271.1718515531891,476.228374204778,267.9433776169393,127.43528483420573,127.26848871838125,127.43528483420573,127.26848871838125,127.43528483420573,127.26848871838125,476.6257719281938,470.1250929854499,469.9453802087903,282.6344010561102,282.64623220216004,282.6344010561102
RS,-1.142963879043208,-0.18500686760462418,-0.18505664430178867,-0.18500686760462418,-1.6349272817704856,-1.4517878438899612,-1.5266210993455975,-1.6628713621825737,-0.2966858523297299,-0.4943354071580935,-0.13738704063362048,-0.9499005366681642,-0.1477379392360023,-0.13738704063362048,-0.1477379392360023,-0.13738704063362048,-0.1477379392360023,-1.7559857555880825,-2.880537101848182,-1.7320831972767483,-2.105929292842531,-0.47315846487621727,-0.5444756298771163,-0.5505471872836057,-0.06663459275962746,-0.06571114374472665,-0.06663459275962746,-0.06571114374472665,-0.06663459275962746,-0.06571114374472665,-0.6111395597167243,-0.1746563338674895,-0.2500227979061696,-0.18505664430178867,-0.18500686760462418,-0.18505664430178867
DH,0.9776361677626874,0.6045501105810688,0.6045602184835851,0.6045501105810688,0.8579336483597592,0.8287048956589879,0.8931455258057928,0.9085537402410291,0.6149988450472162,0.6935547412624036,0.5021636541477714,0.9548268213938321,0.5047130290999103,0.5021636541477714,0.5047130290999103,0.5021636541477714,0.5047130290999103,0.7157705119879169,0.9018945564189133,0.7943393157909441,0.8473162414717064,0.5038449063255446,0.9402640931546884,0.5292349012430932,0.43861450836221616,0.43854860438638,0.43861450836221616,0.43854860438638,0.43861450836221616,0.43854860438638,0.9528619176200126,0.7780994073246865,0.8173855627576121,0.6045602184835851,0.6045501105810688,0.6045602184835851
