,labels_zigzag_outliers_DBSCAN_params1,labels_zigzag_outliers_DBSCAN_params11,labels_zigzag_outliers_DBSCAN_params12,labels_zigzag_outliers_DBSCAN_params16,labels_zigzag_outliers_DBSCAN_params17,labels_zigzag_outliers_DBSCAN_params18,labels_zigzag_outliers_DBSCAN_params19,labels_zigzag_outliers_DBSCAN_params21,labels_zigzag_outliers_DBSCAN_params22,labels_zigzag_outliers_DBSCAN_params23,labels_zigzag_outliers_DBSCAN_params24,labels_zigzag_outliers_DBSCAN_params26,labels_zigzag_outliers_DBSCAN_params27,labels_zigzag_outliers_DBSCAN_params28,labels_zigzag_outliers_DBSCAN_params29,labels_zigzag_outliers_DBSCAN_params31,labels_zigzag_outliers_DBSCAN_params32,labels_zigzag_outliers_DBSCAN_params33,labels_zigzag_outliers_DBSCAN_params34,labels_zigzag_outliers_DBSCAN_params35,labels_zigzag_outliers_DBSCAN_params36,labels_zigzag_outliers_DBSCAN_params37,labels_zigzag_outliers_DBSCAN_params38,labels_zigzag_outliers_DBSCAN_params39,labels_zigzag_outliers_DBSCAN_params40,labels_zigzag_outliers_DBSCAN_params41,labels_zigzag_outliers_DBSCAN_params42,labels_zigzag_outliers_DBSCAN_params43,labels_zigzag_outliers_DBSCAN_params44,labels_zigzag_outliers_DBSCAN_params45,labels_zigzag_outliers_DBSCAN_params46,labels_zigzag_outliers_DBSCAN_params47,labels_zigzag_outliers_DBSCAN_params48,labels_zigzag_outliers_DBSCAN_params49,labels_zigzag_outliers_DBSCAN_params50,labels_zigzag_outliers_DBSCAN_params51,labels_zigzag_outliers_DBSCAN_params52,labels_zigzag_outliers_DBSCAN_params53,labels_zigzag_outliers_DBSCAN_params6,labels_zigzag_outliers_DBSCAN_params7
cSIL,0.9999853965136443,0.9347064000829262,0.8974364063817375,0.9309900018265496,0.9525200118243425,0.9976849841803965,0.9968133744014818,0.6462017505397124,0.7973132301184535,0.9959767099451305,0.9951033615189326,0.6823684796845694,0.6805138623235368,0.964869933181327,0.9951033615189326,0.6823684796845694,0.6823684796845694,0.6823684796845694,0.9951033615189326,0.9951033615189326,0.6823684796845694,0.6823684796845694,0.6823684796845694,0.9562880988927431,0.9951033615189326,0.6823684796845694,0.6823684796845694,0.6823684796845694,0.47072593219757436,0.9951033615189326,0.6966127986647664,0.6966127986647664,0.6966127986647664,0.3933897904443304,0.9846061650953424,0.9229730413146405,0.9229730413146405,0.9229730413146405,0.9667612693940838,0.9816857811839693
GD43,29162.36026662431,7.733281995900853,13.91738877747577,3.732529890453678,16.269477911634993,125.67872747108416,187.02609866895295,0.40754360801667716,1.4385987474532582,90.29653738733546,119.64472966302685,0.5016882349506928,0.4992935398288881,8.707056998058192,119.64472966302685,0.5016882349506928,0.5016882349506928,0.5016882349506928,119.64472966302685,119.64472966302685,0.5016882349506928,0.5016882349506928,0.5016882349506928,10.46677642660853,119.64472966302685,0.5016882349506928,0.5016882349506928,0.5016882349506928,0.5016882349506928,119.64472966302685,0.7558100540247881,0.7558100540247881,0.7558100540247881,0.7558100540247881,24.118786729004622,1.8468757228319508,1.8468757228319508,1.8468757228319508,123.51338160207825,296.77380808476477
GD53,0.24483362395790398,0.005478302340225487,0.04636357103172963,0.009228706737998077,0.038735460390716646,0.038735460390716646,0.4957231269594506,0.00045643309375999994,0.000903897481210384,0.03681429809631832,0.48760075215952026,0.0003087972944076957,0.00031257803330658415,0.011661299957857392,0.48760075215952026,0.0003087972944076957,0.0003087972944076957,0.0003087972944076957,0.48760075215952026,0.48760075215952026,0.0003087972944076957,0.0003087972944076957,0.0003087972944076957,0.06279584799169495,0.48760075215952026,0.0003087972944076957,0.0003087972944076957,0.0003087972944076957,0.00408998136061367,0.48760075215952026,0.0003720500240691421,0.0003720500240691421,0.0003720500240691421,0.400960489485129,0.3091255656910218,0.0004012917317053363,0.0004012917317053363,0.0004012917317053363,0.04751507958206243,0.21704260958394386
PS,0.8603485489266587,-9.243856377397062,-3.09057170956323,-16.04092254266798,-8.787998879604748,1.4124554197536394,1.8936012803620663,-1.1322571925521463,0.20912144728636806,0.5724635232344895,1.9633687222225316,-0.6331060926685164,-0.6342864216732638,-2.1439412853388036,1.9633687222225316,-0.6331060926685164,-0.6331060926685164,-0.6331060926685164,1.9633687222225316,1.9633687222225316,-0.6331060926685164,-0.6331060926685164,-0.6331060926685164,2.6808377020817313,1.9633687222225316,-0.6331060926685164,-0.6331060926685164,-0.6331060926685164,0.9971462769524405,1.9633687222225316,-0.283534200303765,-0.283534200303765,-0.283534200303765,1.2133687222225316,1.8724596313134407,0.4447081089613698,0.4447081089613698,0.4447081089613698,-4.559641476923162,0.6565846427570338
rCIP,0.0,14.49193355328729,31.140464735889918,26.862688385262878,13.402879561371007,3.1936574944571626e-66,2.7360139298139044e-82,1.233803599002374,0.0691826250487656,2.1410026609783128e-35,2.760333713504563e-55,1.1782000956463852,1.1754425794978207,1.1381813751339562,2.760333713504563e-55,1.1782000956463852,1.1782000956463852,1.1782000956463852,2.760333713504563e-55,2.760333713504563e-55,1.1782000956463852,1.1782000956463852,1.1782000956463852,0.00014932943467089028,2.760333713504563e-55,1.1782000956463852,1.1782000956463852,1.1782000956463852,1.1763198544582514,2.760333713504563e-55,0.5111571311439836,0.5111571311439836,0.5111571311439836,0.5105818472020195,9.089333394119003e-10,0.0001334098439989098,0.0001334098439989098,0.0001334098439989098,1.2800331758744197,4.880662797742506e-05
WB,3.502582144332568e-05,0.030697051259653226,0.007553479681504016,0.16920756425953215,0.07586018418870152,0.02086631578057612,0.025600245802449125,2.3858819876710657,0.9724163280315933,0.02942741271745238,0.039365742401645365,5.258488843738181,5.161071936478243,0.08184556866564173,0.039365742401645365,5.258488843738181,5.258488843738181,5.258488843738181,0.039365742401645365,0.039365742401645365,5.258488843738181,5.258488843738181,5.258488843738181,0.2689392019477146,0.039365742401645365,5.258488843738181,5.258488843738181,5.258488843738181,10.887011081628046,0.039365742401645365,5.206826261711916,5.206826261711916,5.206826261711916,12.809209042137635,0.12844760491713142,5.666311816832373,5.666311816832373,5.666311816832373,0.00044093965789611275,6.461881482708075e-05
XB,2.0922580894186483e-05,1.279540857614298,0.677666160471906,0.4447944819406939,0.18206264603138703,0.003519403519373608,0.003195850107433045,2.3829143925071263,0.3175058872354445,0.006669756229210414,0.0049207178002056715,1.2967577601883602,1.3212787470223069,0.1060308060926979,0.0049207178002056715,1.2967577601883602,1.2967577601883602,1.2967577601883602,0.0049207178002056715,0.0049207178002056715,1.2967577601883602,1.2967577601883602,1.2967577601883602,0.04000804767981788,0.0049207178002056715,1.2967577601883602,1.2967577601883602,1.2967577601883602,1.4521902913085865,0.0049207178002056715,0.9150453798065458,0.9150453798065458,0.9150453798065458,1.0247367233710107,0.01601954256336106,0.20611679760339943,0.20611679760339943,0.20611679760339943,0.09091259664371065,0.04173845083002261
SSE,0.00010882643284344992,0.13008138607684103,0.04996076813465893,0.784773032146801,0.4067390070834602,0.3055691200465085,0.18245913950760048,34.545458896337045,14.467821045032876,0.3648192234888109,0.3375305825815568,62.23981892391141,61.083541870017086,0.733237799579104,0.3375305825815568,62.23981892391141,62.23981892391141,62.23981892391141,0.3375305825815568,0.3375305825815568,62.23981892391141,62.23981892391141,62.23981892391141,2.1527151870950485,0.3375305825815568,62.23981892391141,62.23981892391141,62.23981892391141,62.232173764570234,0.3375305825815568,68.66792006227793,68.66792006227793,68.66792006227793,68.66027490293676,1.0767084516378007,79.38837511568045,79.38837511568045,79.38837511568045,0.0015343135408867345,0.0004545118624696205
RS,0.9999661616174487,0.9890235705539498,0.9945139291262318,0.886022155490818,0.951240859617289,0.9856816963702885,0.9747156917789319,0.20136236407736954,0.36780183129205535,0.9792874701880518,0.961394131927227,0.031713013503014774,0.037448093019512185,0.9223625593791259,0.961394131927227,0.031713013503014774,0.031713013503014774,0.031713013503014774,0.961394131927227,0.961394131927227,0.031713013503014774,0.031713013503014774,0.031713013503014774,0.7086741632008553,0.961394131927227,0.031713013503014774,0.031713013503014774,0.031713013503014774,-0.32079147681335624,0.961394131927227,0.20146790571195827,0.20146790571195827,0.20146790571195827,-0.088955974688407,0.8830302375262077,0.26660336493266645,0.26660336493266645,0.26660336493266645,0.999617787912046,0.9999377400844985
DH,0.002168391091179202,0.02028438444472868,0.021321293384417177,0.05277603302848454,0.047162711143726145,0.037048959036470236,0.07120139251022865,0.18065123636690322,0.17205039482645926,0.043452195855716864,0.08710447405110221,0.18931592957527288,0.18863471023360356,0.06854387892467007,0.08710447405110221,0.18931592957527288,0.18931592957527288,0.18931592957527288,0.08710447405110221,0.08710447405110221,0.18931592957527288,0.18931592957527288,0.18931592957527288,0.18974675170063177,0.08710447405110221,0.18931592957527288,0.18931592957527288,0.18931592957527288,0.4269770386000047,0.08710447405110221,0.18620638762227545,0.18620638762227545,0.18620638762227545,0.5316911076786665,0.12425361942406037,0.18566164997424714,0.18566164997424714,0.18566164997424714,0.005177183922800208,0.0035889663638294564
