,labels_trajectories_DBSCAN_params10,labels_trajectories_DBSCAN_params11,labels_trajectories_DBSCAN_params12,labels_trajectories_DBSCAN_params13,labels_trajectories_DBSCAN_params14,labels_trajectories_DBSCAN_params15,labels_trajectories_DBSCAN_params16,labels_trajectories_DBSCAN_params17,labels_trajectories_DBSCAN_params18,labels_trajectories_DBSCAN_params19,labels_trajectories_DBSCAN_params20,labels_trajectories_DBSCAN_params21,labels_trajectories_DBSCAN_params22,labels_trajectories_DBSCAN_params23,labels_trajectories_DBSCAN_params24,labels_trajectories_DBSCAN_params25,labels_trajectories_DBSCAN_params26,labels_trajectories_DBSCAN_params27,labels_trajectories_DBSCAN_params28,labels_trajectories_DBSCAN_params5,labels_trajectories_DBSCAN_params6,labels_trajectories_DBSCAN_params9
cSIL,,,,,,,,0.9235619062683609,0.9235619062683609,0.8462775557974381,,0.9235619062683609,0.9235619062683609,0.9235619062683609,0.9235619062683609,0.7297122402494242,0.7297122402494242,0.7297122402494242,0.7297122402494242,,,
GD43,,,,,,,,3.172588126411894,3.172588126411894,1.4428991788359544,,3.172588126411894,3.172588126411894,3.172588126411894,3.172588126411894,1.008764564092658,1.008764564092658,1.008764564092658,1.008764564092658,,,
GD53,,,,,,,,0.16317490311673125,0.16317490311673125,0.02508613766179126,,0.16317490311673125,0.16317490311673125,0.16317490311673125,0.16317490311673125,0.4093902196267987,0.4093902196267987,0.4093902196267987,0.4093902196267987,,,
PS,,,,,,,,3.212614812697555,3.212614812697555,0.012792545826897483,,3.212614812697555,3.212614812697555,3.212614812697555,3.212614812697555,1.296702055555865,1.296702055555865,1.296702055555865,1.296702055555865,,,
rCIP,,,,,,,,0.0023799860334421438,0.0023799860334421438,0.49567545080030384,,0.0023799860334421438,0.0023799860334421438,0.0023799860334421438,0.0023799860334421438,0.009698202202644899,0.009698202202644899,0.009698202202644899,0.009698202202644899,,,
WB,,,,,,,,0.536838536135931,0.536838536135931,0.5795533862722079,,0.536838536135931,0.536838536135931,0.536838536135931,0.536838536135931,4.4581674856154265,4.4581674856154265,4.4581674856154265,4.4581674856154265,,,
XB,,,,,,,,0.09569148945081872,0.09569148945081872,1.9873526079125243,,0.09569148945081872,0.09569148945081872,0.09569148945081872,0.09569148945081872,0.41795320177644624,0.41795320177644624,0.41795320177644624,0.41795320177644624,,,
SSE,8981.896988985027,13505.219164904409,15511.503320220228,7074.195064444422,2708.170188629605,3637.2388773177267,6809.922799382137,675.4775472252927,675.4775472252927,436.4860707495192,11923.360361829815,675.4775472252927,675.4775472252927,675.4775472252927,675.4775472252927,3940.6479162266237,3940.6479162266237,3940.6479162266237,3940.6479162266237,15185.300620014918,16772.863638852552,6799.046312179582
RS,,,,,,,,0.5266849090087635,0.5266849090087635,0.6166599009783212,,0.5266849090087635,0.5266849090087635,0.5266849090087635,0.5266849090087635,-0.0750564610387814,-0.0750564610387814,-0.0750564610387814,-0.0750564610387814,,,
DH,0.02527333150290222,0.03406620308601076,0.05035199078920688,0.09280702163428138,0.0658602721946605,0.06278678429596954,0.06005083353870814,0.2605318693709429,0.2605318693709429,0.18227379583673525,0.18648483866051785,0.2605318693709429,0.2605318693709429,0.2605318693709429,0.2605318693709429,0.5255130524713439,0.5255130524713439,0.5255130524713439,0.5255130524713439,0.008511977635882254,0.06055182950697926,0.021377689746266
B,0.20361377291981608,0.06755204416361142,0.05269544714253357,1.1932896248333418,0.290467402493382,0.21581023954635722,0.5843221055865531,0.10069750452729796,0.10069750452729796,0.07728149424442701,2.2648366526997608,0.10069750452729796,0.10069750452729796,0.10069750452729796,0.10069750452729796,0.6688588946212372,0.6688588946212372,0.6688588946212372,0.6688588946212372,0.011374476492139223,0.017149242891416262,0.5398304137081971
