,labels_zigzag_noisy_MeanShift_params1,labels_zigzag_noisy_MeanShift_params10,labels_zigzag_noisy_MeanShift_params11,labels_zigzag_noisy_MeanShift_params12,labels_zigzag_noisy_MeanShift_params13,labels_zigzag_noisy_MeanShift_params14,labels_zigzag_noisy_MeanShift_params15,labels_zigzag_noisy_MeanShift_params16,labels_zigzag_noisy_MeanShift_params17,labels_zigzag_noisy_MeanShift_params18,labels_zigzag_noisy_MeanShift_params19,labels_zigzag_noisy_MeanShift_params2,labels_zigzag_noisy_MeanShift_params20,labels_zigzag_noisy_MeanShift_params21,labels_zigzag_noisy_MeanShift_params22,labels_zigzag_noisy_MeanShift_params23,labels_zigzag_noisy_MeanShift_params24,labels_zigzag_noisy_MeanShift_params25,labels_zigzag_noisy_MeanShift_params26,labels_zigzag_noisy_MeanShift_params27,labels_zigzag_noisy_MeanShift_params28,labels_zigzag_noisy_MeanShift_params3,labels_zigzag_noisy_MeanShift_params4,labels_zigzag_noisy_MeanShift_params5,labels_zigzag_noisy_MeanShift_params6,labels_zigzag_noisy_MeanShift_params7,labels_zigzag_noisy_MeanShift_params8,labels_zigzag_noisy_MeanShift_params9
cSIL,0.8809454696280232,0.8790265729717355,0.8601721869498182,0.823625815018926,0.8619208062295348,0.8790265729717355,0.862909096711842,0.8790265729717355,0.8588174987999351,0.8458312668185235,0.877208487018036,0.8833150440810749,0.877208487018036,0.8588174987999351,0.8862780778486026,0.8423448276839114,0.8041523637179906,0.8958083973151266,0.8953030233289078,0.8773244614060013,0.8773586832684058,0.8717272034559455,0.8887985488565081,0.896726941342037,0.8937497852268106,0.8619208062295348,0.8790265729717355,0.862909096711842
GD43,4.7427802679546875,4.307891400069312,2.6473336413758854,1.725135761246198,2.9898987602598286,4.307891400069312,2.9898987602598286,4.307891400069312,2.6652307091460337,2.1019471158306358,3.5605693271589933,4.869064801945731,3.5605693271589933,2.6652307091460337,3.671651344318871,2.7405395485125252,2.5099531796875723,4.421954034810786,3.488777450464245,3.427342535607467,3.50143891422268,3.9957042076224503,4.786260250261732,4.403822200330282,3.7251952901868792,2.9898987602598286,4.307891400069312,2.9898987602598286
GD53,0.0,0.12992813199175607,0.0721708286326189,0.054140944811154716,0.09210419120164205,0.12992813199175607,0.09210419120164205,0.12992813199175607,0.07265873321362003,0.06370421848557467,0.42935288463077764,0.0,0.42935288463077764,0.07265873321362003,0.10721695800982574,0.18172780463133403,0.16643740146703237,0.13612684675200878,0.10810895551619627,0.41552811162223124,0.42960033734072733,0.05378485138033881,0.06337885961287597,0.1355686705624261,0.12248778134404692,0.09210419120164205,0.12992813199175607,0.09210419120164205
PS,-24.77872213637017,-2.5682297841396613,0.9663162710189868,0.9987586557455764,-1.1168372432083462,-2.5682297841396613,-1.1056802480028236,-2.5682297841396613,1.0639460665226421,0.9593935304522141,2.669493391942161,-26.608664768818077,2.669493391942161,1.0639460665226421,0.3352121428270754,1.0127666332773326,1.6564357031732935,-3.666670743835036,-4.74102391079347,2.641966825083637,2.679102784910063,-10.316329485434494,-12.029011387519823,-3.641641699050786,-4.618947651177903,-1.1168372432083462,-2.5682297841396613,-1.1056802480028236
rCIP,27.897841563142414,3.472089734769924,0.6705396994402424,0.6931037243802928,1.280012519262053,3.472089734769924,1.2958546483857576,3.472089734769924,0.6693431952295575,0.8007073286019253,0.13546159218077924,33.79433927365777,0.13546159218077924,0.6693431952295575,1.0609725965293342,0.4004950158269782,0.14898014800500012,3.0653572788958656,4.08771973187529,0.1226369380974732,0.12635418559901868,9.397350786656709,10.847638865068763,3.019765528644988,4.157524189391301,1.280012519262053,3.472089734769924,1.2958546483857576
WB,0.5355589531505371,0.6349910125758141,0.8070906596183565,0.8557936491490472,0.6930650734134658,0.6349910125758141,0.69229062266913,0.6349910125758141,0.8065320526846697,0.8137744208001794,0.9873287872346922,0.5382203613930158,0.9873287872346922,0.8065320526846697,0.6798859950669891,0.8675528690562969,0.9190051564153656,0.595766680818806,0.6035022917229319,1.0108745661782192,1.0061545564046885,0.6292636654581724,0.5742472238624201,0.5954782850615026,0.6022886773005822,0.6930650734134658,0.6349910125758141,0.69229062266913
XB,0.4616129489166056,0.17286942375563882,0.1910815674107117,0.23055559294709765,0.1651190999398568,0.17286942375563882,0.16494653747079602,0.17286942375563882,0.19096142734567298,0.21605223918022845,0.1574462361305523,0.437764657008947,0.1574462361305523,0.19096142734567298,0.1450771223906943,0.21769605310834805,0.2622216638590161,0.14541629254764865,0.21851209459561358,0.15961422596989006,0.15921883939750497,0.29780628741175635,0.2971780988767924,0.14534898332332505,0.1912871476686171,0.1651190999398568,0.17286942375563882,0.16494653747079602
SSE,2.511837426053418,7.904646149961769,14.413838336178161,15.199572151936955,10.194398262224958,7.904646149961769,10.1837443128311,7.904646149961769,14.404775821679088,14.522182695334832,31.137489378768798,2.382068466361766,31.137489378768798,14.404775821679088,11.047287215427623,17.34387252215556,20.89123365160312,6.892270287525218,6.499975099066272,31.730252689279872,31.61187362668365,5.0421810925640695,4.186518798681405,6.88908004412983,6.4874430927834155,10.194398262224958,7.904646149961769,10.1837443128311
RS,0.5822724157892929,0.37682866107567536,0.25377163853943047,0.18687682652981316,0.3101984388351379,0.37682866107567536,0.3127082381975391,0.37682866107567536,0.2400071595497695,0.242801234729835,0.21131190145362755,0.5834231522625183,0.21131190145362755,0.2400071595497695,0.3166537389943142,0.21871265981597718,0.15134802033745126,0.4024334553751863,0.4216496677294872,0.20292299671612046,0.2033393843665245,0.44844818504734774,0.4866226714367684,0.4025316153490064,0.410704525004883,0.3101984388351379,0.37682866107567536,0.3127082381975391
DH,0.08676003937746045,0.19193877183297597,0.24639481987799927,0.25493003521363033,0.21464059737585314,0.19193877183297597,0.21425744153062337,0.19193877183297597,0.2491901551672825,0.2466168746936031,0.35859960388923745,0.08642391653746319,0.35859960388923745,0.2491901551672825,0.22692613760233735,0.26578031708913996,0.29460680451812793,0.17927660999871298,0.1692353107540186,0.35916769582605873,0.3592404482290167,0.13496607275736605,0.12747498111419608,0.1791573726617584,0.17155171661511448,0.21464059737585314,0.19193877183297597,0.21425744153062337
