,labels_twodiamonds_SpectralClustering_params1,labels_twodiamonds_SpectralClustering_params10,labels_twodiamonds_SpectralClustering_params11,labels_twodiamonds_SpectralClustering_params12,labels_twodiamonds_SpectralClustering_params13,labels_twodiamonds_SpectralClustering_params14,labels_twodiamonds_SpectralClustering_params15,labels_twodiamonds_SpectralClustering_params16,labels_twodiamonds_SpectralClustering_params17,labels_twodiamonds_SpectralClustering_params18,labels_twodiamonds_SpectralClustering_params19,labels_twodiamonds_SpectralClustering_params2,labels_twodiamonds_SpectralClustering_params20,labels_twodiamonds_SpectralClustering_params21,labels_twodiamonds_SpectralClustering_params22,labels_twodiamonds_SpectralClustering_params23,labels_twodiamonds_SpectralClustering_params24,labels_twodiamonds_SpectralClustering_params25,labels_twodiamonds_SpectralClustering_params26,labels_twodiamonds_SpectralClustering_params27,labels_twodiamonds_SpectralClustering_params28,labels_twodiamonds_SpectralClustering_params29,labels_twodiamonds_SpectralClustering_params3,labels_twodiamonds_SpectralClustering_params30,labels_twodiamonds_SpectralClustering_params31,labels_twodiamonds_SpectralClustering_params32,labels_twodiamonds_SpectralClustering_params33,labels_twodiamonds_SpectralClustering_params34,labels_twodiamonds_SpectralClustering_params35,labels_twodiamonds_SpectralClustering_params36,labels_twodiamonds_SpectralClustering_params4,labels_twodiamonds_SpectralClustering_params5,labels_twodiamonds_SpectralClustering_params6,labels_twodiamonds_SpectralClustering_params7,labels_twodiamonds_SpectralClustering_params8,labels_twodiamonds_SpectralClustering_params9
cSIL,0.7864814549283486,0.8190088898235772,0.8190088898235772,0.8190088898235772,0.8556437867484087,0.8556437867484087,0.8280115297226992,0.8273075493126815,0.8322400427679227,0.8305635511531967,0.8172142098221751,0.7864814549283486,0.8081509830586561,0.8172142098221751,0.8081509830586561,0.8172142098221751,0.8081509830586561,0.8563101741492748,0.8551955498492755,0.8307941472483024,0.8302419163027442,0.8317884313954508,0.8190088898235772,0.8303788287286384,0.8313832616943467,0.8313221275217565,0.8313832616943467,0.8313221275217565,0.8313832616943467,0.8313221275217565,0.8190088898235772,0.8189407952528109,0.8189407952528109,0.8190088898235772,0.8190088898235772,0.8190088898235772
GD43,1.1042588330811864,2.199652323923088,2.199652323923088,2.199652323923088,2.013530157130584,2.013530157130584,1.584479762535604,1.5824715893061658,1.5976329249329293,1.5933248363365295,1.6254650398364074,1.1042588330811864,1.5935534442595918,1.6254650398364074,1.5935534442595918,1.6254650398364074,1.5935534442595918,1.6913494089698737,1.6864562860756531,2.885858906745743,2.8907341744579127,2.9272332117914104,2.199652323923088,3.178096401499458,3.0967316899284696,3.123019096689212,3.0967316899284696,3.123019096689212,3.0967316899284696,3.123019096689212,2.199652323923088,2.1995866652532476,2.1995866652532476,2.199652323923088,2.199652323923088,2.199652323923088
GD53,0.4950245636595012,0.49434209006264135,0.49434209006264135,0.49434209006264135,0.45236426938052726,0.45236426938052726,0.2270237653219493,0.22846383979970264,0.22317097022875668,0.22599943425142754,0.24576662674756158,0.4950245636595012,0.2643651836924001,0.24576662674756158,0.2643651836924001,0.24576662674756158,0.2643651836924001,0.19528166508350292,0.20081451915491966,0.3623697053956885,0.3658865635646891,0.37108040091463107,0.49434209006264135,0.4438402574578231,0.4214146874068905,0.42601221817028145,0.4214146874068905,0.42601221817028145,0.4214146874068905,0.42601221817028145,0.49434209006264135,0.49449218974232967,0.49449218974232967,0.49434209006264135,0.49434209006264135,0.49434209006264135
PS,0.9734697323235417,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.6622061201228093,1.6622061201228093,1.5718715634541525,1.574732271775529,1.5747567363543078,1.5797844952080984,2.7239904218739333,0.9734697323235417,2.38989287681906,2.7239904218739333,2.38989287681906,2.7239904218739333,2.38989287681906,0.9811340239805326,0.9844992924000451,2.229970734253648,2.269747596938667,2.355679606124471,1.9633687222225316,2.641089225781508,2.5418911714679773,2.5578586436915938,2.5418911714679773,2.5578586436915938,2.5418911714679773,2.5578586436915938,1.9633687222225316,1.9583811910504618,1.9583811910504618,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,0.03979656138650833,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092,0.14555560758799432,0.14555560758799432,0.2043522776470615,0.206386101392996,0.19282677247135194,0.19643153441214156,0.14316295280223332,0.03979656138650833,0.134991994078099,0.14316295280223332,0.134991994078099,0.14316295280223332,0.134991994078099,0.3151191566375915,0.31653268271721524,0.4181331162873771,0.42123441174886667,0.4094960772752514,0.0018794274806136092,0.4002320162915301,0.4059061066304626,0.40666281877962646,0.4059061066304626,0.40666281877962646,0.4059061066304626,0.40666281877962646,0.0018794274806136092,0.0018946369732924296,0.0018946369732924296,0.0018794274806136092,0.0018794274806136092,0.0018794274806136092
WB,85.29622491874483,1.7678433053228,1.7678433053228,1.7678433053228,2.473134827079329,2.4731348270793294,1.5344618443649112,1.5344320481168174,1.5273903709390448,1.52662631655691,1.7767074283512585,85.29622491874483,1.7809604811738926,1.7767074283512585,1.7809604811738926,1.7767074283512585,1.7809604811738926,1.8986894437946957,1.8999951308137821,1.097431150796422,1.0964930959843273,1.0839713598866505,1.7678433053228,1.0733450402440983,1.0723596458122326,1.0719782058161114,1.0723596458122326,1.0719782058161114,1.0723596458122326,1.0719782058161114,1.7678433053228,1.7686208620045376,1.7686208620045376,1.7678433053228,1.7678433053228,1.7678433053228
XB,0.422216313347787,0.22098041316535008,0.22098041316535008,0.22098041316535008,0.25401962602340783,0.2540196260234079,0.3204942409429778,0.3219779005962304,0.31348273485898737,0.31653562404502006,0.22965005773647604,0.422216313347787,0.244910128234309,0.22965005773647604,0.244910128234309,0.22965005773647604,0.244910128234309,0.30029871162732663,0.3029549502518235,0.20857420057896586,0.2095135774762898,0.20978433244201752,0.22098041316535008,0.2108251901005311,0.20840216838600545,0.2093452147448224,0.20840216838600545,0.2093452147448224,0.20840216838600545,0.2093452147448224,0.22098041316535008,0.22107622601551866,0.22107622601551866,0.22098041316535008,0.22098041316535008,0.22098041316535008
SSE,380.7734975141976,182.8450892976305,182.8450892976305,182.8450892976305,176.09377855070522,176.09377855070522,131.87507146503032,131.8733772577153,131.472363852122,131.42877702009346,144.9504748495549,380.7734975141976,145.1682010039038,144.9504748495549,145.1682010039038,144.9504748495549,145.1682010039038,125.43847628952666,125.4969585645341,83.89928909941425,83.84300343925824,83.08967845993017,182.8450892976305,82.44746746350792,82.38777795228778,82.36466629073078,82.38777795228778,82.36466629073078,82.38777795228778,82.36466629073078,182.8450892976305,182.88776877947146,182.88776877947146,182.8450892976305,182.8450892976305,182.8450892976305
RS,0.00824145639286367,0.06161527321192945,0.06161527321192945,0.06161527321192945,0.08266178517236936,0.08266178517236936,0.11424596405729319,0.11262753582269386,0.12252147677299254,0.1190551479375165,-0.11232771761072584,0.00824145639286367,-0.13496299667993986,-0.11232771761072584,-0.13496299667993986,-0.11232771761072584,-0.13496299667993986,0.13986292367356823,0.13635037367660163,0.15847556070211052,0.1570188995369358,0.16173428773422813,0.06161527321192945,0.15625304501016543,0.1595109588894024,0.15952085170717614,0.1595109588894024,0.15952085170717614,0.1595109588894024,0.15952085170717614,0.06161527321192945,0.06137016558666906,0.06137016558666906,0.06161527321192945,0.06161527321192945,0.06161527321192945
DH,0.39266961521668287,0.502717536293308,0.502717536293308,0.502717536293308,0.34675927572771215,0.3467592757277121,0.42612400317683075,0.4266599628605251,0.4231059246824032,0.42432230112826524,0.4888614602795994,0.39266961521668287,0.49134839563299043,0.4888614602795994,0.49134839563299043,0.4888614602795994,0.49134839563299043,0.3206723132198994,0.3215078084724244,0.3832615919502353,0.3838103919573272,0.38287484885324263,0.502717536293308,0.38495368191372487,0.38411673465294555,0.3841377020657798,0.38411673465294555,0.3841377020657798,0.38411673465294555,0.3841377020657798,0.502717536293308,0.5028157604907099,0.5028157604907099,0.502717536293308,0.502717536293308,0.502717536293308
B,0.43182462721564874,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.2724452085707645,0.2724452085707645,0.31998049241170456,0.3206052356281177,0.31640894926627683,0.317679504345316,0.3954299094208334,0.43182462721564874,0.39848272615410085,0.3954299094208334,0.39848272615410085,0.3954299094208334,0.39848272615410085,0.2206814059397623,0.22120190459340933,0.2041130156142645,0.2043771649605402,0.2023480852312936,0.4430684975746366,0.20192768934926453,0.2013000194815703,0.201267786157624,0.2013000194815703,0.201267786157624,0.2013000194815703,0.201267786157624,0.4430684975746366,0.44325783317842987,0.44325783317842987,0.4430684975746366,0.4430684975746366,0.4430684975746366
BH,190.3867487570988,91.42254464881525,91.42254464881525,91.42254464881525,58.6979261835684,58.697926183568406,43.9583571550101,43.95779241923844,43.824121284040665,43.80959234003115,48.31682494985163,190.3867487570988,48.389400334634594,48.31682494985163,48.389400334634594,48.31682494985163,48.389400334634594,31.359619072381665,31.37423964113352,20.974822274853558,20.96075085981456,20.772419614982542,91.42254464881525,20.61186686587698,20.59694448807194,20.59116657268269,20.59694448807194,20.59116657268269,20.59694448807194,20.59116657268269,91.42254464881525,91.44388438973573,91.44388438973573,91.42254464881525,91.42254464881525,91.42254464881525
D,0.45571566584117446,0.2650599943229336,0.2654443927682905,0.2650599943229336,0.24405046139683104,0.2833836415004277,0.17562639065094393,0.17562639065094393,0.1836259750269032,0.18583065086285358,0.2699526194708017,0.45571566584117446,0.25859261390223826,0.2699526194708017,0.25859261390223826,0.2699526194708017,0.25859261390223826,0.19567964080155678,0.19663363887223753,0.28221663393960117,0.29477285356076094,0.31529972957186975,0.2654443927682905,0.31753339148578374,0.32667832525894197,0.32894400766283194,0.32667832525894197,0.32894400766283194,0.32667832525894197,0.32894400766283194,0.2650599943229336,0.24405046139683104,0.2837818572747802,0.2654443927682905,0.2650599943229336,0.2654443927682905
H,0.30105455325107033,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3830188001855906,0.38301880018559065,0.49821659038735877,0.5003814425250879,0.48692849260881954,0.4922300243613545,0.5477179137781856,0.30105455325107033,0.5677784900718309,0.5477179137781856,0.5677784900718309,0.5477179137781856,0.5677784900718309,0.5251292356238735,0.5300424034568777,0.6711767190914231,0.6737592673990466,0.6686569510296945,0.3619650567323057,0.6776832497395086,0.6730751997082756,0.6734283377306548,0.6730751997082756,0.6734283377306548,0.6730751997082756,0.6734283377306548,0.3619650567323057,0.36210222399069825,0.36210222399069825,0.3619650567323057,0.3619650567323057,0.3619650567323057
DBCV,-0.7637300768211799,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.6211538874026212,-0.6211538874026212,-0.4913201591868909,-0.4598849872230584,-0.5383908435054203,-0.5241176773102838,-0.8474062563630632,-0.7637300768211799,-0.7699541273111946,-0.8474062563630632,-0.7699541273111946,-0.8474062563630632,-0.7699541273111946,-0.6508039589696213,-0.7000034765134887,-0.6224989130983754,-0.6059249748166726,-0.6497672321795523,-0.32153966046770294,-0.6897329594578427,-0.7176143568376103,-0.7375397016817385,-0.7176143568376103,-0.7375397016817385,-0.7176143568376103,-0.7375397016817385,-0.32153966046770294,-0.4516737375014083,-0.4516737375014084,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294
