,labels_mk2_KMeans_params1,labels_mk2_KMeans_params10,labels_mk2_KMeans_params11,labels_mk2_KMeans_params12,labels_mk2_KMeans_params13,labels_mk2_KMeans_params14,labels_mk2_KMeans_params15,labels_mk2_KMeans_params16,labels_mk2_KMeans_params17,labels_mk2_KMeans_params18,labels_mk2_KMeans_params19,labels_mk2_KMeans_params2,labels_mk2_KMeans_params20,labels_mk2_KMeans_params21,labels_mk2_KMeans_params22,labels_mk2_KMeans_params23,labels_mk2_KMeans_params24,labels_mk2_KMeans_params25,labels_mk2_KMeans_params26,labels_mk2_KMeans_params27,labels_mk2_KMeans_params28,labels_mk2_KMeans_params29,labels_mk2_KMeans_params3,labels_mk2_KMeans_params30,labels_mk2_KMeans_params31,labels_mk2_KMeans_params32,labels_mk2_KMeans_params33,labels_mk2_KMeans_params34,labels_mk2_KMeans_params35,labels_mk2_KMeans_params36,labels_mk2_KMeans_params37,labels_mk2_KMeans_params38,labels_mk2_KMeans_params39,labels_mk2_KMeans_params4,labels_mk2_KMeans_params40,labels_mk2_KMeans_params41,labels_mk2_KMeans_params42,labels_mk2_KMeans_params43,labels_mk2_KMeans_params44,labels_mk2_KMeans_params45,labels_mk2_KMeans_params46,labels_mk2_KMeans_params47,labels_mk2_KMeans_params48,labels_mk2_KMeans_params49,labels_mk2_KMeans_params5,labels_mk2_KMeans_params50,labels_mk2_KMeans_params51,labels_mk2_KMeans_params52,labels_mk2_KMeans_params53,labels_mk2_KMeans_params54,labels_mk2_KMeans_params6,labels_mk2_KMeans_params7,labels_mk2_KMeans_params8,labels_mk2_KMeans_params9
cSIL,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.8230838062759992,0.7337198586235688,0.8230838062759992,0.822979773227679,0.822979773227679,0.822979773227679,0.822979773227679,0.8230838062759992,0.8230838062759992,0.822979773227679,0.822979773227679,0.822979773227679,0.7337198586235688,0.822979773227679,0.8230838062759992,0.8230838062759992,0.822979773227679,0.822979773227679,0.822979773227679,0.822979773227679,0.8337068507973402,0.8337068507973402,0.8338325024004016,0.7337198586235688,0.8338325024004016,0.8338325024004016,0.8338325024004016,0.8337068507973402,0.8337068507973402,0.8338325024004016,0.8338325024004016,0.8338325024004016,0.8338325024004016,0.8337068507973402,0.7337198586235688,0.8337068507973402,0.8338325024004016,0.8338325024004016,0.8338325024004016,0.8338325024004016,0.7337198586235688,0.7337198586235688,0.7337198586235688,0.7337198586235688
GD43,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819,2.371898250021418,1.5477705920690819,2.371898250021418,2.3890579008292527,2.3890579008292527,2.3890579008292527,2.3890579008292527,2.371898250021418,2.371898250021418,2.3890579008292527,2.3890579008292527,2.3890579008292527,1.5477705920690819,2.3890579008292527,2.371898250021418,2.371898250021418,2.3890579008292527,2.3890579008292527,2.3890579008292527,2.3890579008292527,2.8901935049044436,2.8901935049044436,2.886460070188663,1.5477705920690819,2.886460070188663,2.886460070188663,2.886460070188663,2.8901935049044436,2.8901935049044436,2.886460070188663,2.886460070188663,2.886460070188663,2.886460070188663,2.8901935049044436,1.5477705920690819,2.8901935049044436,2.886460070188663,2.886460070188663,2.886460070188663,2.886460070188663,1.5477705920690819,1.5477705920690819,1.5477705920690819,1.5477705920690819
GD53,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.46048102203244035,0.4955594375507621,0.46048102203244035,0.46593412301885356,0.46593412301885356,0.46593412301885356,0.46593412301885356,0.46048102203244035,0.46048102203244035,0.46593412301885356,0.46593412301885356,0.46593412301885356,0.4955594375507621,0.46593412301885356,0.46048102203244035,0.46048102203244035,0.46593412301885356,0.46593412301885356,0.46593412301885356,0.46593412301885356,0.4512166838294035,0.4512166838294035,0.4507999809812376,0.4955594375507621,0.4507999809812376,0.4507999809812376,0.4507999809812376,0.4512166838294035,0.4512166838294035,0.4507999809812376,0.4507999809812376,0.4507999809812376,0.4507999809812376,0.4512166838294035,0.4955594375507621,0.4512166838294035,0.4507999809812376,0.4507999809812376,0.4507999809812376,0.4507999809812376,0.4955594375507621,0.4955594375507621,0.4955594375507621,0.4955594375507621
PS,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346,2.6306855868371835,1.9357553099937346,2.6306855868371835,2.5993593237730037,2.5993593237730037,2.5993593237730037,2.5993593237730037,2.6306855868371835,2.6306855868371835,2.5993593237730037,2.5993593237730037,2.5993593237730037,1.9357553099937346,2.5993593237730037,2.6306855868371835,2.6306855868371835,2.5993593237730037,2.5993593237730037,2.5993593237730037,2.5993593237730037,2.7266933045975987,2.7266933045975987,2.7159210251284307,1.9357553099937346,2.7159210251284307,2.7159210251284307,2.7159210251284307,2.7266933045975987,2.7266933045975987,2.7159210251284307,2.7159210251284307,2.7159210251284307,2.7159210251284307,2.7266933045975987,1.9357553099937346,2.7266933045975987,2.7159210251284307,2.7159210251284307,2.7159210251284307,2.7159210251284307,1.9357553099937346,1.9357553099937346,1.9357553099937346,1.9357553099937346
rCIP,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.10540053479703575,0.040464142805090815,0.10540053479703575,0.1056593913510871,0.1056593913510871,0.1056593913510871,0.1056593913510871,0.10540053479703575,0.10540053479703575,0.1056593913510871,0.1056593913510871,0.1056593913510871,0.040464142805090815,0.1056593913510871,0.10540053479703575,0.10540053479703575,0.1056593913510871,0.1056593913510871,0.1056593913510871,0.1056593913510871,0.3098654746019732,0.3098654746019732,0.310635511460599,0.040464142805090815,0.310635511460599,0.310635511460599,0.310635511460599,0.3098654746019732,0.3098654746019732,0.310635511460599,0.310635511460599,0.310635511460599,0.310635511460599,0.3098654746019732,0.040464142805090815,0.3098654746019732,0.310635511460599,0.310635511460599,0.310635511460599,0.310635511460599,0.040464142805090815,0.040464142805090815,0.040464142805090815,0.040464142805090815
WB,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982,1.8216949271673881,2.9041724044706982,1.8216949271673881,1.8211597609015187,1.8211597609015187,1.8211597609015187,1.8211597609015187,1.8216949271673881,1.8216949271673881,1.8211597609015187,1.8211597609015187,1.8211597609015187,2.9041724044706982,1.8211597609015187,1.8216949271673881,1.8216949271673881,1.8211597609015187,1.8211597609015187,1.8211597609015187,1.8211597609015187,1.446098985439159,1.446098985439159,1.4457984822760137,2.9041724044706982,1.4457984822760137,1.4457984822760137,1.4457984822760137,1.446098985439159,1.446098985439159,1.4457984822760137,1.4457984822760137,1.4457984822760137,1.4457984822760137,1.446098985439159,2.9041724044706982,1.446098985439159,1.4457984822760137,1.4457984822760137,1.4457984822760137,1.4457984822760137,2.9041724044706982,2.9041724044706982,2.9041724044706982,2.9041724044706982
XB,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.2204753439195613,0.36295039833492776,0.2204753439195613,0.2207015079800653,0.2207015079800653,0.2207015079800653,0.2207015079800653,0.2204753439195613,0.2204753439195613,0.2207015079800653,0.2207015079800653,0.2207015079800653,0.36295039833492776,0.2207015079800653,0.2204753439195613,0.2204753439195613,0.2207015079800653,0.2207015079800653,0.2207015079800653,0.2207015079800653,0.2118730263119493,0.2118730263119493,0.21185160180250615,0.36295039833492776,0.21185160180250615,0.21185160180250615,0.21185160180250615,0.2118730263119493,0.2118730263119493,0.21185160180250615,0.21185160180250615,0.21185160180250615,0.21185160180250615,0.2118730263119493,0.36295039833492776,0.2118730263119493,0.21185160180250615,0.21185160180250615,0.21185160180250615,0.21185160180250615,0.36295039833492776,0.36295039833492776,0.36295039833492776,0.36295039833492776
SSE,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541,180.19813795079187,282.4431483687541,180.19813795079187,180.16519722897087,180.16519722897087,180.16519722897087,180.16519722897087,180.19813795079187,180.19813795079187,180.16519722897087,180.16519722897087,180.16519722897087,282.4431483687541,180.16519722897087,180.19813795079187,180.19813795079187,180.16519722897087,180.16519722897087,180.16519722897087,180.16519722897087,126.64465625631411,126.64465625631411,126.62532605750536,282.4431483687541,126.62532605750536,126.62532605750536,126.62532605750536,126.64465625631411,126.64465625631411,126.62532605750536,126.62532605750536,126.62532605750536,126.62532605750536,126.64465625631411,282.4431483687541,126.64465625631411,126.62532605750536,126.62532605750536,126.62532605750536,126.62532605750536,282.4431483687541,282.4431483687541,282.4431483687541,282.4431483687541
RS,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.13529199912284764,-0.1842173006458023,-0.13529199912284764,-0.13495137456156373,-0.13495137456156373,-0.13495137456156373,-0.13495137456156373,-0.13529199912284764,-0.13529199912284764,-0.13495137456156373,-0.13495137456156373,-0.13495137456156373,-0.1842173006458023,-0.13495137456156373,-0.13529199912284764,-0.13529199912284764,-0.13495137456156373,-0.13495137456156373,-0.13495137456156373,-0.13495137456156373,-0.05663580594162845,-0.05663580594162845,-0.05629850858757524,-0.1842173006458023,-0.05629850858757524,-0.05629850858757524,-0.05629850858757524,-0.05663580594162845,-0.05663580594162845,-0.05629850858757524,-0.05629850858757524,-0.05629850858757524,-0.05629850858757524,-0.05663580594162845,-0.1842173006458023,-0.05663580594162845,-0.05629850858757524,-0.05629850858757524,-0.05629850858757524,-0.05629850858757524,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023,-0.1842173006458023
DH,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152,0.5020429739347485,0.604229382691152,0.5020429739347485,0.5019132180419993,0.5019132180419993,0.5019132180419993,0.5019132180419993,0.5020429739347485,0.5020429739347485,0.5019132180419993,0.5019132180419993,0.5019132180419993,0.604229382691152,0.5019132180419993,0.5020429739347485,0.5020429739347485,0.5019132180419993,0.5019132180419993,0.5019132180419993,0.5019132180419993,0.43543913907317244,0.43543913907317244,0.4353535498210854,0.604229382691152,0.4353535498210854,0.4353535498210854,0.4353535498210854,0.43543913907317244,0.43543913907317244,0.4353535498210854,0.4353535498210854,0.4353535498210854,0.4353535498210854,0.43543913907317244,0.604229382691152,0.43543913907317244,0.4353535498210854,0.4353535498210854,0.4353535498210854,0.4353535498210854,0.604229382691152,0.604229382691152,0.604229382691152,0.604229382691152
