,labels_a1_DBSCAN_params13,labels_a1_DBSCAN_params14,labels_a1_DBSCAN_params15,labels_a1_DBSCAN_params17,labels_a1_DBSCAN_params18,labels_a1_DBSCAN_params19,labels_a1_DBSCAN_params20,labels_a1_DBSCAN_params21,labels_a1_DBSCAN_params22,labels_a1_DBSCAN_params23,labels_a1_DBSCAN_params24,labels_a1_DBSCAN_params9
cSIL,0.857483111331725,0.9401304286061362,0.998076365225443,0.8298667513383295,0.8456748440113894,0.916089851370238,0.9265484428451549,0.775296429602854,0.775565622805117,0.775565622805117,0.775916154189474,0.9809387599304155
GD43,4.438121126416259,17.978656490134213,707.6980721308324,0.7877870054298709,2.357250748101213,3.6843988452440963,3.841130661648346,1.2742184926742166,1.2754100418837422,1.2754100418837422,1.277111346918365,55.38958651189737
GD53,0.00600015009938071,0.0821971543168627,0.4222010752070745,0.023809746087025997,0.06970604857303153,0.08607444027571205,0.0868508726302552,0.2485669388909903,0.24866864468604016,0.24866864468604016,0.24885790867762753,0.051560566367584056
PS,-69.35616688770565,-20.055426066588023,2.3301739272872863,-2.9614724942502666,-7.18978238444898,-8.21188372732519,-8.257962281337898,1.23626539842908,1.2373357602079242,1.2373357602079242,1.2384437300628268,-16.28697436909364
rCIP,418.27295894815006,39.23725281930278,2.5311900791906837e-116,0.16454305097268793,2.595186729756775,0.49892503644691477,0.25177975876413644,0.2658011894834079,0.26527521506649215,0.26527521506649215,0.2647111156613902,44.818797804340825
WB,0.3558801266862703,0.03267661357053593,0.008654129775643631,1.9851937535040627,0.6509555662205447,0.40378851992773507,0.36269658345769273,2.2436423275334008,2.2418824090051626,2.2418824090051626,2.2393002856746977,0.0045349379404379785
XB,1.6809111099323573,0.31744999385808154,0.0020523341488307644,1.1576287544543475,0.4333940407478202,0.20495393849378982,0.1912805901195629,0.4324331604699515,0.4318111372040332,0.4318111372040332,0.43104211342058285,0.1577533420686681
SSE,3.908678896117472,0.27583151406485046,0.008791931682903924,290.62530925570536,52.19959870043263,29.552821009111792,25.19830721828736,639.456728366875,638.9954299566484,638.9954299566484,638.3748991854937,0.013612959711827112
RS,0.85976499824116,0.9748303043771512,0.991370763069776,0.3217217997250802,0.5624139575316884,0.6917559208560434,0.7289000664792632,0.11950748267647242,0.11978715470304839,0.11978715470304839,0.12022658382584618,0.9961909756299242
DH,0.00037676440465168914,0.0007579278816019313,0.020348300426031578,0.026392321318276086,0.008230602813217072,0.006858700122401475,0.006446481145708534,0.18834462464547508,0.1883028641167131,0.1883028641167131,0.1882480437428881,0.00032884336592204673
